value_loss,true_reward,policy_loss,ep_len_mean,explained_variance,policy_entropy,n_updates,clipfrac,fps,serial_timesteps,total_timesteps,approxkl,time_elapsed,ep_reward_mean
0.059444953,-0.027305441,-0.0017107495,81.62,0.9273253381252289,5.378386,73,0.019243998,59761,18250,1825000,0.00242726,65.31385111808777,-0.02289697500929833
0.059054203,-0.031120319,-0.0016881686,70.44,0.9259237498044968,5.3738375,74,0.018879998,63055,18500,1850000,0.0025129155,66.20360040664673,-0.07818720556673725
0.06551705,-0.029202374,-0.0015749813,69.33,0.9054238200187683,5.3686447,75,0.020236,62571,18750,1875000,0.0024433928,67.00636792182922,-0.14407181071426634
0.05598051,-0.032600917,-0.0014495528,63.72,0.9249568581581116,5.3677773,76,0.0131,52952,19000,1900000,0.0020258445,67.80356645584106,-0.05352132825613239
0.06101208,-0.031353798,-0.00224638,65.9,0.9173053726553917,5.365359,77,0.026208002,62521,19250,1925000,0.002810595,68.69211840629578,-0.2572596096629081
0.059247054,-0.030675668,-0.0020289128,69.16,0.9236000776290894,5.3602076,78,0.022003999,62989,19500,1950000,0.0026169065,69.49438953399658,-0.1407506186588762
0.05101428,-0.029353134,-0.0014583964,73.45,0.9351465627551079,5.355203,79,0.01348,62427,19750,1975000,0.0019314054,70.29116344451904,-0.1950007377420002
0.052670293,-0.029202322,-0.0013746339,72.09,0.9333555623888969,5.352166,80,0.015412,60672,20000,2000000,0.0021711993,71.12137627601624,-0.1325882194990291
0.056844134,-0.029575141,-0.0014834156,73.11,0.9247283712029457,5.3497114,81,0.013552001,55332,20250,2025000,0.0019969733,71.95800113677979,0.0925361590957118
0.057062536,-0.025984107,-0.0016548221,68.81,0.923422671854496,5.349243,82,0.021672,53814,20500,2050000,0.0026863324,72.86020255088806,-0.13951321468867717
0.057302855,-0.02906097,-0.0013853657,79.67,0.9277720674872398,5.348298,83,0.014252,61149,20750,2075000,0.0021275503,73.75947713851929,-0.19539822800744333
0.052306443,-0.029786821,-0.0015010145,73.88,0.933082103729248,5.3434706,84,0.017644,61042,21000,2100000,0.0024713513,74.56371307373047,-0.2824551392522244
0.054539472,-0.028308596,-0.0019624787,75.78,0.9258783236145973,5.340519,85,0.028380001,62660,21250,2125000,0.0030383584,75.37901949882507,-0.12889158664606953
0.057960637,-0.03038601,-0.0014983829,71.86,0.9204044416546822,5.339326,86,0.021844,61807,21500,2150000,0.002745549,76.18139624595642,-0.2612546305785963
0.05070292,-0.029639013,-0.0010539091,76.96,0.9347618892788887,5.342859,87,0.005604,62052,21750,2175000,0.0011718961,76.99130964279175,-0.18109004873721518
0.058719963,-0.029541807,-0.0017964697,70.47,0.9275612756609917,5.341791,88,0.027115997,60117,22000,2200000,0.0030833296,77.79308557510376,-0.19653887710781895
0.052464493,-0.031831652,-0.0019192228,66.96,0.9351391717791557,5.338624,89,0.02274,60094,22250,2225000,0.0029794634,78.61595678329468,-0.20774904198216063
0.05816718,-0.027804468,-0.0023365777,73.05,0.9289716482162476,5.333971,90,0.032968003,61747,22500,2250000,0.003475216,79.44518566131592,-0.07021580560211987
0.055753876,-0.026661487,-0.002139343,75.08,0.9340073615312576,5.3267627,91,0.01858,62284,22750,2275000,0.0021796394,80.25695180892944,-0.16728817874469995
0.060148098,-0.026305372,-0.0013284318,72.01,0.9322763010859489,5.3187013,92,0.02032,59118,23000,2300000,0.002593791,81.06706428527832,0.004125469684638006
0.055357464,-0.025722587,-0.001959763,77.99,0.9357639253139496,5.3135095,93,0.014192,59541,23250,2325000,0.0019956795,81.92641735076904,0.008104012205499202
0.06557572,-0.027957471,-0.0016842345,70.5,0.9247317016124725,5.308781,94,0.020607999,62578,23500,2350000,0.0022969786,82.75030970573425,-0.21701784173502972
0.04996657,-0.027432246,-0.0015450309,75.05,0.9439395628869534,5.3048606,95,0.017376,63804,23750,2375000,0.0020868625,83.55177807807922,-0.08995958480224601
0.05314094,-0.024161011,-0.0019793177,79.14,0.9416004046797752,5.3034687,96,0.028560001,59687,24000,2400000,0.0030182377,84.35675311088562,0.03251911431701728
0.050120056,-0.026453882,-0.00155426,78.21,0.9435908198356628,5.300555,97,0.025428,59335,24250,2425000,0.0029723425,85.17530679702759,-0.05562293211738961
0.06104834,-0.02769188,-0.0018577945,70.43,0.9344668164849281,5.2931237,98,0.020407999,57047,24500,2450000,0.0026551392,86.01318836212158,-0.04766563168274331
0.05001805,-0.026516562,-0.0017256904,73.21,0.9419487603008747,5.2879734,99,0.021728,57984,24750,2475000,0.0026936228,86.87732148170471,-0.0755884377648735
0.051024545,-0.025930386,-0.0024024418,75.03,0.9427242614328861,5.284465,100,0.040052,60234,25000,2500000,0.004131187,87.73267006874084,-0.024165893561466305
0.0638052,-0.024824666,-0.0016052753,74.57,0.9254658967256546,5.278501,101,0.029312,62896,25250,2525000,0.0034292978,88.55157661437988,-0.045413906882643004
0.05371915,-0.026211426,-0.00168419,76.9,0.94206478074193,5.2735844,102,0.024716001,63312,25500,2550000,0.0031711073,89.37128281593323,0.1814866622493173
0.052233256,-0.023673305,-0.0022997044,73.33,0.9486183412373066,5.2668643,103,0.032896,63453,25750,2575000,0.0033875494,90.17372846603394,-0.09054575002449837
0.06936085,-0.02526237,-0.0016696608,77.06,0.9292379319667816,5.2627625,104,0.026731998,63482,26000,2600000,0.0032372368,90.98398399353027,-0.039884916436298
0.05980326,-0.022271601,-0.0014677814,78.13,0.9357417821884155,5.259017,105,0.021068,61124,26250,2625000,0.0027872734,91.76353931427002,0.0358372046105967
0.04500772,-0.024668192,-0.0022784367,83.76,0.9606732279062271,5.2529287,106,0.033796,58743,26500,2650000,0.003566378,92.57222938537598,0.041334809482721085
0.062316366,-0.025317434,-0.0021199032,76.61,0.9411267563700676,5.248043,107,0.026579997,59259,26750,2675000,0.0029707062,93.39611721038818,-0.05215340628343967
0.047694527,-0.024662718,-0.0014995248,72.96,0.9489498473703861,5.244701,108,0.021464,62339,27000,2700000,0.0026159943,94.21379017829895,0.08849288311763985
0.047390763,-0.026011113,-0.0016671546,77.34,0.9533113427460194,5.2450047,109,0.021988,62677,27250,2725000,0.002430555,95.02440929412842,-0.16990111604713548
0.06010108,-0.025236523,-0.0018141267,78.8,0.9450606927275658,5.241946,110,0.01852,53337,27500,2750000,0.0023514316,95.84710431098938,0.010732913258636926
0.055058587,-0.025209427,-0.0027274243,71.66,0.9426338747143745,5.237185,111,0.041208003,63476,27750,2775000,0.0038985007,96.73076510429382,0.10307972308584795
0.048151575,-0.024509601,-0.0012868723,78.55,0.9557804241776466,5.231538,112,0.018075999,62713,28000,2800000,0.0025087367,97.52312088012695,0.008730368437172729
0.05448954,-0.025950046,-0.0022703116,76.33,0.9431937076151371,5.227268,113,0.026435997,59956,28250,2825000,0.003060725,98.32305479049683,-0.07679369900313987
0.04150402,-0.024417965,-0.0018908537,80.04,0.9572966247797012,5.224791,114,0.024076,61040,28500,2850000,0.0027734702,99.14853239059448,-0.012908080866568951
0.05751385,-0.024522562,-0.0014933596,73.12,0.9434287957847118,5.2202487,115,0.013431999,61291,28750,2875000,0.002004458,99.9788978099823,0.03293517446682927
0.048113197,-0.021482876,-0.0016156329,83.71,0.9514173790812492,5.2163625,116,0.018668,62171,29000,2900000,0.0024946092,100.78634452819824,0.14479569751538293
0.044338573,-0.023915086,-0.0019671377,86.67,0.9555599428713322,5.214219,117,0.017140001,62119,29250,2925000,0.0023599546,101.59162092208862,-0.10303547479236215
0.046186734,-0.021467622,-0.0021319033,84.77,0.9537255726754665,5.2139387,118,0.024980001,62360,29500,2950000,0.0027164351,102.40535879135132,-0.05846290885248607
0.046614967,-0.024146914,-0.0018906835,74.39,0.9579306542873383,5.214635,119,0.027548,62910,29750,2975000,0.0031920034,103.2041449546814,-0.060043106207565415
0.052532315,-0.022629604,-0.0012946137,79.55,0.951306976377964,5.2110653,120,0.017180001,62151,30000,3000000,0.0023931065,104.01217484474182,-0.00910168007649645
0.06425258,-0.020090057,-0.002055037,89.53,0.9333456382155418,5.203703,121,0.028784001,61211,30250,3025000,0.0032027923,104.8029773235321,0.22670733599642062
0.04399114,-0.022589616,-0.001730638,79.34,0.9557830356061459,5.1966395,122,0.020647999,62014,30500,3050000,0.0026314626,105.6077082157135,-0.1392010787142226
0.049389105,-0.02317084,-0.0023232552,77.79,0.9528911486268044,5.1863875,123,0.027983999,63439,30750,3075000,0.0029722569,106.4421899318695,0.10305034857464762
0.046655074,-0.02328788,-0.0018699318,79.66,0.9510281980037689,5.1777782,124,0.022656,63310,31000,3100000,0.0026365535,107.22804689407349,-0.10410234406394465
0.04706765,-0.02460016,-0.0016809481,76.63,0.9572283513844013,5.169155,125,0.019072,58564,31250,3125000,0.002450544,108.02029728889465,-0.03593046025289368
0.046826534,-0.021395935,-0.0013278518,79.02,0.9546261690557003,5.159541,126,0.013100001,63421,31500,3150000,0.0019773229,108.8529143333435,0.08874850167690397
0.043317895,-0.022786384,-0.0022363705,77.78,0.9564896002411842,5.1509657,127,0.021952,63303,31750,3175000,0.002529167,109.6402416229248,-0.04415378877733247
0.031679776,-0.019631606,-0.0022719526,92.29,0.9706142731010914,5.145163,128,0.028052002,62255,32000,3200000,0.0031610462,110.43259382247925,0.006248091144334467
0.035338372,-0.021956172,-0.0016793578,83.65,0.9664498493075371,5.1450596,129,0.028148001,62532,32250,3225000,0.003233694,111.21396160125732,0.12075678190626889
0.0458494,-0.021836648,-0.0016858692,83.99,0.9566331766545773,5.143548,130,0.022908,63167,32500,3250000,0.0028844173,112.00768089294434,-0.04484496168503369
0.041273035,-0.019547584,-0.0019225117,91.5,0.9611772894859314,5.13622,131,0.025011998,63173,32750,3275000,0.0029732306,112.79725289344788,0.23063205008572824
0.04382018,-0.021309441,-0.0018335476,84.07,0.955187764018774,5.1288166,132,0.019672,64011,33000,3300000,0.0027194244,113.5924460887909,-0.02543606979949459
0.039199926,-0.019102316,-0.0020264704,87.9,0.9655703231692314,5.1203885,133,0.028128002,62803,33250,3325000,0.003228747,114.38062310218811,0.25675891968933684
0.0451776,-0.02078791,-0.0021656314,79.98,0.9579433985054493,5.112468,134,0.032328,62029,33500,3350000,0.0035242238,115.17190909385681,0.1614217038373397
0.03744947,-0.020614577,-0.0024318874,78.17,0.9654754772782326,5.1017847,135,0.032772,61328,33750,3375000,0.003426103,115.97419238090515,0.16948326004648606
0.038825087,-0.020896448,-0.0013773805,79.89,0.9640997685492039,5.091489,136,0.016044,60850,34000,3400000,0.0023975144,116.77550983428955,0.07346726729916896
0.037511505,-0.020804128,-0.0017518175,76.79,0.9659686759114265,5.0846047,137,0.026244,60722,34250,3425000,0.0031031575,117.58842468261719,0.17086093163654922
0.045308016,-0.021936566,-0.0021469267,72.47,0.9583206437528133,5.078172,138,0.031888,60118,34500,3450000,0.0033278964,118.40608191490173,0.02688957876883251
0.050384957,-0.021193044,-0.0018219927,80.92,0.9555142484605312,5.0740676,139,0.0257,60383,34750,3475000,0.003206738,119.2324116230011,0.1769554394488239
0.040136266,-0.019444684,-0.001965372,88.77,0.9673176594078541,5.0714064,140,0.0262,61473,35000,3500000,0.0032408468,120.05468773841858,-0.1356220923232945
0.050711803,-0.022538066,-0.0015921432,83.29,0.9526217617094517,5.064763,141,0.027548,61687,35250,3525000,0.0031525283,120.85711312294006,-0.07724364400155195
0.043625757,-0.019944312,-0.002111618,80.48,0.9578890390694141,5.058575,142,0.031544,61888,35500,3550000,0.0034875893,121.66539573669434,0.04198005232940431
0.042990573,-0.017785272,-0.0019292437,81.66,0.9594740346074104,5.0486326,143,0.021108,62745,35750,3575000,0.002515246,122.4561333656311,0.21389318524630938
0.034290582,-0.020412976,-0.002022596,86.45,0.9694519508630037,5.0356402,144,0.0187,62789,36000,3600000,0.0025486245,123.25103545188904,0.10962932229886518
