value_loss,clipfrac,ep_reward_mean,policy_loss,explained_variance,ep_len_mean,approxkl,policy_entropy,n_updates,true_reward,total_timesteps,fps,time_elapsed,serial_timesteps
313.42514,0.628556,-7.891655804177862,0.14642891,-0.1780937910079956,20.33,479427.9,5.6808424,13,-0.6639368,325000,58397,15.107404708862305,3250
263.7182,0.68536794,-9.15523312256264,0.12093244,0.3084055781364441,18.66,210134.92,5.682036,14,-0.61090535,350000,59852,15.969103336334229,3500
353.97372,0.528016,-5.212605295621325,0.10560036,-0.09001338481903076,18.17,87746.914,5.683419,15,-0.66095173,375000,58229,16.81800413131714,3750
639.3943,0.51036006,-9.099938853039202,0.11243894,-0.13215506076812744,20.99,243313.38,5.684297,16,-0.80354005,400000,57738,17.66650915145874,4000
1298.5149,0.36124796,-7.231522992013779,0.13368079,-0.7790484428405762,17.96,2543.4302,5.6849813,17,-1.0634904,425000,59024,18.530483722686768,4250
1420.0599,0.42941198,-12.624275769392916,0.13550565,-0.830879807472229,19.64,14858.318,5.685569,18,-1.1305004,450000,58201,19.382651329040527,4500
976.44775,0.506268,-9.29931446212824,0.14619467,-0.5492061376571655,18.7,158367.47,5.6860113,19,-1.0342792,475000,58709,20.237476348876953,4750
912.5277,0.25208,-9.001675653084822,0.111722074,-0.3863714933395386,19.88,239.07272,5.6865525,20,-1.04201,500000,59734,21.07284140586853,5000
791.56146,0.549888,-7.859686605198949,0.14404319,-0.23687994480133057,20.15,1678381.0,5.687051,21,-1.0092062,525000,58712,21.902185678482056,5250
628.2459,0.610844,-10.352594164584298,0.15301983,0.023748397827148438,21.4,8019621.0,5.687415,22,-0.9226803,550000,59751,22.75228786468506,5500
384.05215,0.45330796,-8.839023333815858,0.10030667,0.13919830322265625,21.13,99040.32,5.6877203,23,-0.7479668,575000,59673,23.594932794570923,5750
335.65613,0.54951596,-6.267600534785015,0.1073245,0.17618197202682495,22.78,579823.6,5.6880236,24,-0.695571,600000,58831,24.43083143234253,6000
255.0308,0.63975203,-6.765541042489203,0.1644601,0.23425358533859253,20.76,1979099.0,5.6882524,25,-0.63802767,625000,58516,25.289352655410767,6250
176.34853,0.458412,-5.958667731506284,0.094197825,0.2287798523902893,20.76,57227.26,5.688455,26,-0.58785313,650000,58747,26.138290882110596,6500
322.60965,0.294644,-8.23332132293086,0.07948371,0.18214941024780273,22.24,3901.0579,5.6890206,27,-0.70185226,675000,58206,26.970621824264526,6750
319.58554,0.45862,-7.009646318058949,0.10867669,0.19224858283996582,20.21,65353.387,5.6900315,28,-0.7580519,700000,58877,27.805420398712158,7000
364.96182,0.580608,-5.971708582558276,0.15000719,0.04843693971633911,18.36,10339893.0,5.690863,29,-0.7919824,725000,59617,28.65978217124939,7250
367.82236,0.537304,-7.756499287174302,0.14608824,-0.06132912635803223,21.21,658386.25,5.6909146,30,-0.8865078,750000,50978,29.521578073501587,7500
364.54166,0.2816,-7.534267040031846,0.1130517,-0.03268873691558838,21.59,1372.5745,5.6910243,31,-0.9586636,775000,57975,30.43888759613037,7750
375.59454,0.44278002,-6.925266191122355,0.15034622,0.04676550626754761,22.46,218719.12,5.6912546,32,-0.9946192,800000,57712,31.32167911529541,8000
279.05768,0.30546397,-7.240337716400391,0.105193004,0.12437999248504639,22.28,2654.9165,5.692225,33,-0.86646646,825000,58193,32.20309019088745,8250
259.4704,0.27166,-5.456850941528683,0.08976428,0.15015506744384766,19.24,3870.198,5.693152,34,-0.81412786,850000,57556,33.066553354263306,8500
243.40555,0.396748,-6.984725327940614,0.124792896,0.16591650247573853,20.71,28880.246,5.693917,35,-0.81694484,875000,59759,33.936774015426636,8750
303.30438,0.45493203,-7.224344240906649,0.13014205,0.22153693437576294,21.32,57710.6,5.695153,36,-0.92151946,900000,59186,34.78290581703186,9000
254.67924,0.327248,-7.2083866035434765,0.107390955,0.2735402584075928,22.02,102925.01,5.6965394,37,-0.85621524,925000,59014,35.63178634643555,9250
213.03564,0.34717998,-8.5146350151566,0.09845017,0.3418399691581726,23.35,4902.784,5.6974196,38,-0.8712547,950000,59495,36.47975444793701,9500
223.16821,0.254724,-7.894336163005064,0.08762024,0.34958094358444214,20.61,1163.2102,5.6979747,39,-0.86880016,975000,58878,37.32990002632141,9750
221.88376,0.61948806,-7.0291768632589084,0.19618596,0.3587961196899414,21.11,7582913.5,5.6987963,40,-0.8776566,1000000,60325,38.18354773521423,10000
225.0129,0.446144,-6.218725557625671,0.14825264,0.3719133138656616,20.12,57745.906,5.6996374,41,-0.9186364,1025000,58755,39.016088247299194,10250
198.12863,0.34841996,-7.951244305339187,0.1194682,0.3516695499420166,20.16,4598.2417,5.7007318,42,-0.8314997,1050000,59528,39.853981018066406,10500
214.91057,0.293752,-5.782713249515073,0.0905388,0.37457746267318726,19.24,10039.896,5.7020726,43,-0.8902815,1075000,60045,40.70710015296936,10750
