approxkl,ep_reward_mean,policy_loss,n_updates,ep_len_mean,time_elapsed,policy_entropy,clipfrac,serial_timesteps,total_timesteps,fps,value_loss,true_reward,explained_variance
2314143.0,0.07629758560935443,0.09942591,42,17.42,41.522775173187256,5.8170776,0.713868,10500,1050000,52804,1.7511501,-0.10205657,-0.18593251705169678
64505.97,0.4761457339354092,0.045590635,43,15.42,42.50689625740051,5.823297,0.60837996,10750,1075000,53870,2.7199502,-0.10623633,-1.0209994316101074
20672944.0,0.4382218662960804,0.11174591,44,18.02,43.443872690200806,5.82619,0.68928397,11000,1100000,47120,2.1168637,-0.10181009,0.0349583625793457
1759911.2,0.5392823367448,0.09274166,45,19.86,44.44678807258606,5.8292446,0.535988,11250,1125000,57251,1.8991108,-0.095375,-0.15688729286193848
3327640.5,0.4874433321878314,0.14202234,46,17.89,45.42115259170532,5.833723,0.808344,11500,1150000,56954,1.4629223,-0.093697794,-0.06732559204101562
888749.8,0.2645233739684409,0.11516261,47,21.46,46.35020589828491,5.83731,0.726812,11750,1175000,58514,2.9009612,-0.095424704,-0.21114134788513184
1961126.0,0.3041739090728515,0.11557063,48,20.88,47.24007964134216,5.840454,0.76544,12000,1200000,57458,3.214885,-0.09830584,0.11223602294921875
4410141.5,0.403723052567002,0.098435596,49,20.37,48.11916494369507,5.844677,0.702288,12250,1225000,57434,2.2184043,-0.09194172,-0.09986543655395508
869017.5,0.10223517591173731,0.08278518,50,20.52,49.00365090370178,5.8500032,0.658924,12500,1250000,59715,3.7242322,-0.10584334,-0.10324466228485107
14401005.0,0.22153602903588762,0.12427831,51,18.76,49.889041900634766,5.85414,0.80873203,12750,1275000,57482,3.1407218,-0.10849964,0.17633187770843506
4201714.5,-0.13025848374523774,0.15043752,52,19.46,50.77795147895813,5.857038,0.77069604,13000,1300000,52095,4.684597,-0.12672707,-0.21249735355377197
