true_reward,total_timesteps,ep_len_mean,approxkl,n_updates,fps,time_elapsed,clipfrac,value_loss,serial_timesteps,explained_variance,ep_reward_mean,policy_loss,policy_entropy
-0.0040028286,13500,0.99,0.08051659,54,2144,11.023418664932251,0.48680001,0.0011507745,13500,-16.3054141998291,-0.004752073651179672,-0.011739112,5.6354
-0.004017737,13750,0.99,0.056736626,55,1567,11.17538070678711,0.442,0.0010678299,13750,-25.52832794189453,-0.004764192230068147,-0.008081093,5.6305685
-0.0040081027,14000,0.99,0.09622506,56,2130,11.372375011444092,0.4512,0.00064455357,14000,-6.083433628082275,-0.0047535559022799136,-0.017708594,5.6305475
-0.0048130024,14250,0.99,0.06679611,57,2206,11.524930000305176,0.388,0.0013467434,14250,-52614.12890625,-0.004765917058102786,-0.008293792,5.633325
-0.0047996966,14500,0.99,0.25648466,58,2112,11.67315125465393,0.36439997,0.018138947,14500,-2250739.25,-0.0047555747162550685,-0.012250992,5.6348734
-0.0048084785,14750,0.99,0.09892909,59,2225,11.82621455192566,0.43320003,0.030476412,14750,-316583.15625,-0.004754578447900713,-0.004254921,5.6354074
-0.0048119114,15000,0.99,0.17061953,60,2181,11.973254680633545,0.612,0.034752488,15000,-605896.25,-0.004765176298096776,0.06796174,5.6376967
-0.0048182565,15250,0.99,0.08364177,61,2166,12.124597787857056,0.51399994,0.018726686,15250,-626249.9375,-0.004772530775517226,0.030075435,5.639947
-0.00482381,15500,0.99,0.26128438,62,2181,12.276055574417114,0.62679994,0.0052710203,15500,-697977.0,-0.00477041129488498,-0.0066310363,5.641261
-0.0048126564,15750,0.99,1.0520833,63,2189,12.426141500473022,0.60679996,0.001597462,15750,-143185.890625,-0.004772665142081678,-0.0031352665,5.642768
-0.004819891,16000,0.99,0.07868021,64,2238,12.576807022094727,0.4564,0.0015782478,16000,-331038.28125,-0.004772807010449469,0.0012797607,5.6432257
-0.004820166,16250,0.99,0.11108625,65,2095,12.725213766098022,0.5356,0.00091064646,16250,-63676.1015625,-0.004775981148704886,0.010213478,5.642545
-0.004027403,16500,0.99,0.70079625,66,2138,12.879873752593994,0.6284,0.0022082191,16500,-49.70825958251953,-0.004775921255350113,0.0013113646,5.6425514
-0.00481723,16750,0.99,0.08736022,67,2227,13.031344413757324,0.5388,0.00021029697,16750,-32420.005859375,-0.004772398951463402,0.021244887,5.644024
-0.004817312,17000,0.99,0.15406142,68,2296,13.178314447402954,0.582,0.0012444016,17000,-175768.296875,-0.0047669878229498865,0.0073718615,5.643506
-0.004816662,17250,0.99,0.12468447,69,2128,13.321650266647339,0.5752,0.00031276414,17250,-55621.671875,-0.0047660625074058775,0.01069158,5.635736
-0.004829778,17500,0.99,0.052378416,70,2219,13.473445415496826,0.41679996,0.00057865353,17500,-158028.59375,-0.004786229128949344,-0.00984,5.6312284
-0.0040234835,17750,0.99,1.1252185,71,2098,13.620941162109375,0.42559996,0.020110756,17750,-47.99491500854492,-0.004779305546544492,-0.011034996,5.629121
-0.0040260954,18000,0.99,0.11598923,72,2181,13.775428533554077,0.566,0.038684674,18000,-2395.850830078125,-0.00478541377466172,-0.004878927,5.6266174
-0.0048135165,18250,0.99,0.09130563,73,2228,13.924870729446411,0.54120004,0.012222668,18250,-678220.375,-0.004766984288580716,0.017791603,5.6265554
-0.004015997,18500,0.99,1.841601,74,2203,14.071733236312866,0.5536,0.024951212,18500,-222.39190673828125,-0.0047573429718613626,-0.0049129566,5.626548
-0.0048256363,18750,0.99,0.06737733,75,2157,14.220021724700928,0.47719997,0.013804518,18750,-149313.421875,-0.004774318048730492,0.0032554592,5.6257086
-0.0040174825,19000,0.99,2.4167027,76,2218,14.373974800109863,0.39600003,0.019090842,19000,-369.8099365234375,-0.004763820734806359,-0.013245334,5.6247506
-0.0040288395,19250,0.99,0.030999726,77,2164,14.520915985107422,0.332,0.01324599,19250,-251.02700805664062,-0.004780513127334416,-0.0118448865,5.623629
-0.004822003,19500,0.99,0.13744985,78,2128,14.671844482421875,0.34040004,0.010740598,19500,-684026.5,-0.00477292659226805,-0.013420197,5.61971
-0.0048113633,19750,0.99,0.063775554,79,2219,14.82386302947998,0.486,0.007496702,19750,-24667.939453125,-0.00476103700697422,0.012701456,5.617815
-0.004818635,20000,0.99,0.038879775,80,2148,14.971526622772217,0.3948,0.004989475,20000,-160502.640625,-0.0047719397675246,0.01013963,5.6194544
-0.004011265,20250,0.99,0.06865637,81,2196,15.122543811798096,0.3416,0.0032670374,20250,-21.91919708251953,-0.004759226902388036,-0.013331118,5.6239386
-0.0048126634,20500,0.99,0.07332829,82,2145,15.271395683288574,0.48920003,0.013225359,20500,-145504.9375,-0.00476206551771611,-0.006077373,5.6265173
-0.0039964425,20750,0.99,0.43432873,83,2191,15.423552751541138,0.3152,0.018610094,20750,-42.781864166259766,-0.0047540938062593345,-0.018867021,5.6280885
-0.00479793,21000,0.99,0.041009676,84,2079,15.572446823120117,0.3808,0.016861087,21000,-38247.08984375,-0.004743036269210279,-0.011966501,5.629157
-0.0047957534,21250,0.99,0.03212891,85,2095,15.727563381195068,0.304,0.015723186,21250,-40322.43359375,-0.004745906260795891,-0.0038273777,5.627929
-0.0047924197,21500,0.99,0.0751162,86,2205,15.883056879043579,0.476,0.005153346,21500,-9357.224609375,-0.004744441909715533,0.0399562,5.6234217
-0.0039954027,21750,0.99,0.047748007,87,2111,16.031749963760376,0.43240005,0.00068113836,21750,-1.7084875106811523,-0.004750737445428968,0.0024249037,5.6222205
-0.004796814,22000,0.99,0.15746407,88,2181,16.185405492782593,0.61919993,0.0039843665,22000,-200472.796875,-0.004743899037130177,-0.008104773,5.6235995
-0.004806607,22250,0.99,0.14158091,89,2233,16.33487844467163,0.57199997,0.0028501798,22250,-151140.390625,-0.004752886323258281,0.000243696,5.6278205
-0.004805402,22500,0.99,0.7395372,90,2185,16.482711791992188,0.6488001,0.000788011,22500,-101469.7734375,-0.004755003424361348,0.009170166,5.6315923
