ep_len_mean,time_elapsed,explained_variance,fps,policy_entropy,approxkl,total_timesteps,clipfrac,ep_reward_mean,n_updates,serial_timesteps,value_loss,true_reward,policy_loss
96.45,97.23386740684509,0.981005385518074,57513,5.222804,0.0024926655,2525000,0.021383999,2.221230319714009,101,25250,0.08464428,-0.006591671,-0.0022293634
99.05,98.06866812705994,0.9716590698808432,56485,5.21948,0.0026083034,2550000,0.022564,2.690786900874709,102,25500,0.12064072,-0.0041415016,-0.002549909
101.05,98.92860865592957,0.9693849794566631,52754,5.215531,0.003124321,2575000,0.032196,2.2652598861681237,103,25750,0.13318351,-0.008305422,-0.0023709612
103.41,99.88625192642212,0.9626466631889343,46595,5.2126303,0.003501159,2600000,0.034803998,2.4748048107274805,104,26000,0.1729285,-0.0069383685,-0.00237339
93.34,100.85792636871338,0.9704187121242285,52125,5.208256,0.0030595746,2625000,0.026023999,2.248989991628987,105,26250,0.14015493,-0.0078063263,-0.002257292
101.6,101.82710838317871,0.9699298068881035,54778,5.2037916,0.002908842,2650000,0.025599997,2.546368875526214,106,26500,0.13767754,-0.00728503,-0.0019076576
91.7,102.69355916976929,0.974704572930932,56230,5.19946,0.0027887025,2675000,0.02436,2.0818763460388436,107,26750,0.11658261,-0.0099237785,-0.0019800582
93.7,103.58825325965881,0.9778005573898554,52086,5.195676,0.0026317914,2700000,0.02092,2.2541284984983303,108,27000,0.10301922,-0.007085526,-0.002008543
95.88,104.50637173652649,0.9811888244003057,52979,5.1888294,0.0027824885,2725000,0.026952002,2.3924550047735464,109,27250,0.08918848,-0.008003107,-0.0020876238
87.2,105.43309545516968,0.9750164076685905,53515,5.1842237,0.0025087253,2750000,0.020720001,2.371295506452475,110,27500,0.11469533,-0.006340046,-0.0024505265
84.34,106.32453894615173,0.9806768670678139,49328,5.181402,0.002657874,2775000,0.021512,1.8554620370283736,111,27750,0.091032915,-0.009819543,-0.0018774692
97.57,107.27400279045105,0.9788844119757414,49805,5.18254,0.0027639028,2800000,0.02308,2.2958833987428715,112,28000,0.10232298,-0.008870229,-0.002191544
105.03,108.21514463424683,0.979868657886982,53271,5.182201,0.0016795829,2825000,0.012836,2.8995728504079534,113,28250,0.09771023,-0.00439797,-0.0016673425
87.77,109.1163592338562,0.9713241681456566,46375,5.1821656,0.0022232593,2850000,0.016056,2.1653048610795578,114,28500,0.14014465,-0.008210467,-0.0019561227
98.49,110.13842558860779,0.9707193970680237,54358,5.175638,0.0035561658,2875000,0.035108004,2.3962688582131615,115,28750,0.14314972,-0.006514953,-0.002772418
97.09,111.03251934051514,0.9752095397561789,53701,5.169642,0.0029076724,2900000,0.022428,2.4463518949719036,116,29000,0.117755435,-0.006473551,-0.0015719198
93.09,111.92791938781738,0.979686202481389,54199,5.1650686,0.0023134951,2925000,0.017632,2.2948623545400553,117,29250,0.09252359,-0.0063888696,-0.0018562336
84.55,112.86293196678162,0.9680898897349834,53494,5.162854,0.003083863,2950000,0.028123999,1.9133580641103982,118,29500,0.15464243,-0.010730183,-0.0019871602
89.72,113.79287528991699,0.9831441268324852,49415,5.162049,0.0027125673,2975000,0.021364,2.2502071015646834,119,29750,0.08226184,-0.009618202,-0.0020139017
94.94,114.78802514076233,0.9804596360772848,53931,5.154645,0.003711943,3000000,0.038032003,2.475178774965443,120,30000,0.095185325,-0.00803757,-0.002881793
95.76,115.69360566139221,0.9715362079441547,55073,5.1481504,0.00391751,3025000,0.042184,2.3399419944390867,121,30250,0.13825954,-0.007134549,-0.002318799
89.92,116.60316300392151,0.9802736546844244,51988,5.1414595,0.0022547762,3050000,0.016848,2.0783643976395343,122,30500,0.09461037,-0.007894254,-0.0015844129
101.34,117.56625366210938,0.9847849626094103,49271,5.1315303,0.0027942774,3075000,0.026912,2.5528478614569723,123,30750,0.0757906,-0.0038737315,-0.0017743402
96.55,118.52888917922974,0.9782701451331377,53116,5.1240964,0.002064227,3100000,0.015767999,2.4530337111439757,124,31000,0.106320396,-0.005909438,-0.001607427
103.8,119.43688750267029,0.9752173107117414,54677,5.118417,0.003139338,3125000,0.026231999,2.803372316675304,125,31250,0.11699636,-0.0039933547,-0.0020134852
93.91,120.31222987174988,0.9773768782615662,52697,5.1152434,0.0025426708,3150000,0.022288,2.265430509434773,126,31500,0.113206945,-0.006241505,-0.002245446
92.45,121.24383449554443,0.9797158148139715,52016,5.115569,0.0028597512,3175000,0.027864,2.0608919335617704,127,31750,0.10497807,-0.008624637,-0.0021102563
91.95,122.1751058101654,0.9753549452871084,54717,5.1158237,0.0022407405,3200000,0.016472,2.32787030372514,128,32000,0.12302525,-0.0072416742,-0.0018051857
101.88,123.0857424736023,0.9760845340788364,53381,5.1138554,0.0025689153,3225000,0.021388,2.3577003971906922,129,32250,0.11631217,-0.005387814,-0.001979319
94.51,123.99910378456116,0.9765767455101013,52070,5.11231,0.003258859,3250000,0.030824,2.367987993091847,130,32500,0.11170205,-0.0084019285,-0.0023618191
99.18,124.88420581817627,0.9772575385868549,55471,5.113181,0.0032357008,3275000,0.029528001,2.462205362938137,131,32750,0.114722446,-0.007797096,-0.0023831122
103.29,125.8017885684967,0.9802536554634571,46485,5.110214,0.0025697146,3300000,0.021216001,2.5106811498674277,132,33000,0.10128808,-0.007522663,-0.0017253937
92.81,126.78163456916809,0.9684101641178131,54900,5.1051054,0.005214719,3325000,0.062695995,2.2110443499177563,133,33250,0.16453925,-0.009328774,-0.0029415407
103.54,127.69414162635803,0.9819609951227903,52532,5.096618,0.0031678341,3350000,0.028604,2.692940791125975,134,33500,0.09098264,-0.0039043366,-0.0019478118
110.77,128.60525608062744,0.974066061899066,52739,5.0885873,0.0031334504,3375000,0.027156001,2.636128629626364,135,33750,0.12293081,-0.0053930175,-0.002039432
