policy_entropy,value_loss,policy_loss,total_timesteps,ep_len_mean,approxkl,n_updates,true_reward,ep_reward_mean,time_elapsed,fps,explained_variance,serial_timesteps,clipfrac
4.9382186,0.029600218,-0.0018438266,2700000,99.77,0.003128097,108,0.029883575,2.6521111237729476,92.91262626647949,68276,0.9145826920866966,27000,0.027088001
4.9329567,0.02178867,-0.0022541403,2725000,109.81,0.0036020149,109,0.029467462,2.9243757221359554,93.67309999465942,69734,0.9397085420787334,27250,0.032732
4.9247937,0.019720642,-0.0025753654,2750000,88.6,0.0040574046,110,0.030647798,2.279303487511297,94.44384407997131,65949,0.9501722641289234,27500,0.041980002
4.9184875,0.017366547,-0.0017148642,2775000,90.15,0.0034827732,111,0.030430267,2.3040661659747275,95.23286461830139,64725,0.9490501284599304,27750,0.030063998
4.9138303,0.017254923,-0.0018230656,2800000,107.46,0.0036080866,112,0.030689117,2.793543305240164,96.025062084198,60155,0.9558625295758247,28000,0.033944
4.9087005,0.017731588,-0.0017140817,2825000,96.5,0.0023701414,113,0.030623311,2.489968711397596,96.8698673248291,69192,0.9545104056596756,28250,0.019732
4.904502,0.019787509,-0.0020270157,2850000,105.78,0.0034074734,114,0.030418685,2.6914001442959123,97.62536764144897,67466,0.9488275088369846,28500,0.031628
4.900711,0.022409694,-0.0023849613,2875000,85.21,0.0037445636,115,0.031381022,2.217231943224074,98.38235139846802,68995,0.9471503868699074,28750,0.039311998
4.8955774,0.01349128,-0.0015120263,2900000,88.42,0.002510876,116,0.03082786,2.149576828359859,99.13203835487366,67636,0.9635752961039543,29000,0.017844
4.8901324,0.021261318,-0.0016825512,2925000,82.88,0.0031118554,117,0.031469557,2.2536118733377224,99.87647604942322,70962,0.941395677626133,29250,0.027748
4.8877387,0.022952717,-0.0022575948,2950000,97.14,0.0033809573,118,0.031022385,2.650532516273233,100.61484694480896,42894,0.9401114694774151,29500,0.031168003
4.885957,0.017206898,-0.001703207,2975000,110.07,0.0029009613,119,0.031471618,3.029667879851295,101.57937932014465,66854,0.9514609090983868,29750,0.02568
4.88628,0.018958533,-0.002439049,3000000,100.46,0.003985231,120,0.031314425,2.691791270714384,102.34525775909424,68289,0.9518212825059891,30000,0.04098
4.885875,0.017636787,-0.0016659303,3025000,100.16,0.0026882705,121,0.03140667,2.5632564910978544,103.12676453590393,57416,0.9531453587114811,30250,0.020760002
4.883597,0.017622674,-0.0020191534,3050000,107.94,0.003561078,122,0.031314075,2.9392100813089677,103.97079229354858,67225,0.9555920325219631,30500,0.036372002
4.881266,0.019590186,-0.0018871671,3075000,112.5,0.003382108,123,0.030606987,3.133524274072879,104.73672223091125,70713,0.9474689848721027,30750,0.034291998
4.878618,0.019543353,-0.0022301585,3100000,109.33,0.0033781237,124,0.031480715,2.9650714080639817,105.49095249176025,69309,0.9506888650357723,31000,0.035836004
4.872955,0.02053848,-0.0019098495,3125000,144.0,0.0038156055,125,0.031053323,4.1111730299591,106.25167489051819,64086,0.9443975202739239,31250,0.037731998
4.8654933,0.026347801,-0.0018211035,3150000,111.51,0.0028098882,126,0.031566456,2.9878091625184244,107.04752612113953,69107,0.9295474216341972,31500,0.022956
4.861991,0.020871317,-0.0022273655,3175000,103.21,0.0033495873,127,0.03016844,2.5151869017106403,107.79328083992004,68584,0.9462272599339485,31750,0.031528
4.858886,0.02104253,-0.00274094,3200000,97.75,0.0047559557,128,0.031431116,2.4989029322457643,108.53965950012207,66738,0.9492484852671623,32000,0.054743998
4.8546767,0.014003871,-0.0018771639,3225000,93.51,0.0036925308,129,0.030767431,2.438592518130972,109.31052422523499,67603,0.965416818857193,32250,0.036648
4.848034,0.018074263,-0.0018683814,3250000,130.41,0.0033677637,130,0.030705761,3.692575656786939,110.07344365119934,68197,0.9527918733656406,32500,0.032852
4.8420115,0.013327299,-0.0021261964,3275000,106.87,0.0035830685,131,0.031433493,2.804897155248036,110.82992243766785,67456,0.9701475016772747,32750,0.034840003
4.8342695,0.015540704,-0.001757898,3300000,84.4,0.0037574042,132,0.030317282,2.1081600397755027,111.59780049324036,67725,0.9669367671012878,33000,0.0358
4.8256903,0.020877479,-0.002254815,3325000,102.72,0.0035020697,133,0.03145958,2.7953285817631697,112.36479544639587,68994,0.9512996785342693,33250,0.031872
4.8185587,0.017093863,-0.0020979797,3350000,113.76,0.0032597694,134,0.031338762,3.1509986247614687,113.11805129051208,66107,0.9598670415580273,33500,0.030283999
4.8151093,0.014392051,-0.0022450485,3375000,142.82,0.0031124514,135,0.030728154,4.077971499910664,113.90053486824036,68618,0.9616409093141556,33750,0.028628001
4.811808,0.018684013,-0.0019675596,3400000,135.68,0.0026092757,136,0.030939514,3.886016213027651,114.6533031463623,69695,0.9494345597922802,34000,0.022164
4.807674,0.0155944945,-0.0018694522,3425000,130.31,0.0036748764,137,0.031935602,3.80967133833944,115.40371561050415,60729,0.9567847959697247,34250,0.040192
4.8070345,0.017173458,-0.0018416684,3450000,112.09,0.0031155213,138,0.030402021,3.0319641433784272,116.19773030281067,68060,0.9525372460484505,34500,0.028460002
4.8063645,0.015195377,-0.0020337808,3475000,147.14,0.003257523,139,0.03162519,4.328896250678226,116.97212409973145,67909,0.9614856019616127,34750,0.032664
4.8047523,0.013029496,-0.0024184007,3500000,131.92,0.004033145,140,0.03181549,3.7856290487991644,117.72810220718384,67199,0.9653300680220127,35000,0.0428
4.8041854,0.018348837,-0.002104349,3525000,154.0,0.004156411,141,0.031400148,4.617515484945543,118.50679016113281,67195,0.9492511078715324,35250,0.042483997
4.8018346,0.011345483,-0.002594903,3550000,152.27,0.0036291666,142,0.030617224,4.296351784686849,119.28693318367004,67777,0.9649065844714642,35500,0.036096
4.8005147,0.015543828,-0.0020000073,3575000,152.93,0.002803215,143,0.03166848,4.4870994936231,120.04701018333435,59018,0.9537385851144791,35750,0.025384
4.7985787,0.013160914,-0.0016834631,3600000,176.64,0.0030950732,144,0.030502366,5.0391456429120804,120.87889409065247,51735,0.9551326744258404,36000,0.025236
4.7962165,0.016477918,-0.001416899,3625000,156.75,0.0026181687,145,0.031799894,4.587011230609569,121.73147916793823,68365,0.9506710581481457,36250,0.023184001
4.793896,0.010354841,-0.0018962612,3650000,160.98,0.0032515544,146,0.032428943,4.974244343439059,122.48753666877747,68814,0.9682002291083336,36500,0.028491998
4.7894826,0.011220885,-0.0021398473,3675000,148.26,0.003392186,147,0.03246635,4.464543722411072,123.39035201072693,50826,0.9704893529415131,36750,0.030715998
4.7845325,0.016894778,-0.0017229033,3700000,154.24,0.0029051544,148,0.031783167,4.603771154829683,124.29947352409363,64424,0.9484214223921299,37000,0.028344
4.7830973,0.011370441,-0.0013802907,3725000,179.44,0.0032521295,149,0.031955037,5.3368871197371845,125.10682678222656,55923,0.9610062278807163,37250,0.027176002
4.7799644,0.0136979865,-0.0020658893,3750000,152.96,0.0045505147,150,0.032324072,4.630041229138015,126.11245632171631,57856,0.9595336616039276,37500,0.047932
4.7765226,0.013713092,-0.0023402944,3775000,168.76,0.0045170747,151,0.031552713,4.922503850709782,127.00138449668884,53437,0.9595069885253906,37750,0.050244004
4.7718916,0.01037111,-0.0018446945,3800000,167.7,0.003405448,152,0.032865353,5.197376177065344,127.92423939704895,69442,0.9651292003691196,38000,0.032364
4.766127,0.014249223,-0.0014601611,3825000,162.81,0.002658877,153,0.03215157,4.8460149626569,128.69480109214783,70037,0.9566113129258156,38250,0.020908
4.7621546,0.0123675745,-0.001954054,3850000,125.79,0.0034430872,154,0.032599416,3.7794303425781255,129.48501896858215,69015,0.9612416736781597,38500,0.034675997
4.7572813,0.011894408,-0.0020730812,3875000,121.55,0.003664264,155,0.032916296,3.533522007545471,130.27886605262756,60330,0.9599235765635967,38750,0.036216
4.749643,0.011259617,-0.0013783607,3900000,157.36,0.0026723258,156,0.03139887,4.628059924954396,131.11327028274536,71136,0.9617812149226665,39000,0.020523999
4.738862,0.009359717,-0.0021846644,3925000,162.08,0.0037002235,157,0.031500086,4.670603036611792,131.87446665763855,71211,0.9662253297865391,39250,0.037152
4.725866,0.008846428,-0.0025659273,3950000,159.92,0.003439114,158,0.03268714,4.86889916805434,132.6435148715973,64354,0.970597455278039,39500,0.033768002
