ep_reward_mean,ep_len_mean,true_reward,clipfrac,explained_variance,time_elapsed,policy_loss,serial_timesteps,n_updates,total_timesteps,policy_entropy,approxkl,value_loss,fps
8.673655544668437,44.83,0.18982111,0.836012,-17.34087562561035,33.80939817428589,0.089229375,9250,37,925000,5.6878138,20591438000000.0,6940.6045,56820
8.635576687157155,44.63,0.18982103,0.770944,-42.70627975463867,34.68236708641052,0.08089459,9500,38,950000,5.687819,2371756400000000.0,58986.21,56044
8.772036951631307,45.35,0.1898177,0.687252,-25.789880752563477,35.54295992851257,0.067241155,9750,39,975000,5.6878757,3584853000000000.0,2182378.0,58165
8.788880921453238,45.44,0.18981582,0.588692,-13.859745025634766,36.40063118934631,0.08443376,10000,40,1000000,5.687932,455520900000000.0,9514436.0,57150
8.796553656458855,45.48,0.18981498,0.480164,-29.329158782958984,37.27566623687744,0.050756313,10250,41,1025000,5.687932,24669241000000.0,20700938.0,57324
8.787021112442016,45.43,0.18981583,0.399096,-15.554977416992188,38.153751611709595,0.046303008,10500,42,1050000,5.687932,1903744000000.0,8083802.5,58036
8.813600291162729,45.57,0.18981428,0.363372,-5.056565761566162,39.00786375999451,0.052757196,10750,43,1075000,5.687932,175914390000.0,11884278.0,56898
8.804197989404202,45.52,0.18981582,0.33444,-16.909944534301758,39.85761380195618,0.05967942,11000,44,1100000,5.687932,65682450000.0,13490869.0,57394
8.789006174504756,45.44,0.18981595,0.334008,-21.493825912475586,40.71745252609253,0.12639758,11250,45,1125000,5.687932,525754240000.0,23936228.0,55750
8.78521360397339,45.42,0.18981656,0.34698,-21.845104217529297,41.58736562728882,0.08193965,11500,46,1150000,5.687932,3186684000000.0,18167764.0,58031
8.794638227671385,45.47,0.18981569,0.351588,-16.39377212524414,42.45828580856323,0.11547716,11750,47,1175000,5.687932,256599820000.0,7594415.0,57425
8.802233190089463,45.51,0.18981552,0.305172,-15.474897384643555,43.30433893203735,0.109655,12000,48,1200000,5.687932,66074268000.0,8146729.0,56665
8.809772486388683,45.55,0.189815,0.27588,-15.862232208251953,44.154327154159546,0.021035155,12250,49,1225000,5.687932,2907709000.0,7771804.0,55737
8.800284010469914,45.5,0.18981524,0.364748,-30.08259391784668,45.00808572769165,0.06083401,12500,50,1250000,5.687932,1593075200000.0,9497107.0,57453
8.800472895056009,45.5,0.18981613,0.349184,-22.432682037353516,45.86632680892944,0.07323481,12750,51,1275000,5.687932,900018500000.0,10966419.0,56676
8.792823342233897,45.46,0.18981563,0.337808,-14.096145629882812,46.710492849349976,0.030173784,13000,52,1300000,5.687932,394195100000.0,9436055.0,56419
8.785167987197637,45.42,0.18981557,0.349936,-15.793289184570312,47.5600209236145,0.08837998,13250,53,1325000,5.687932,2141426700000.0,8436037.0,56453
8.805981477499008,45.53,0.18981475,0.26448,-19.193586349487305,48.433754682540894,0.021928433,13500,54,1350000,5.687932,10234169000.0,31686474.0,56897
8.790836806297301,45.45,0.1898149,0.374128,-3.947662830352783,49.2995765209198,0.11176169,13750,55,1375000,5.687932,3008989000000.0,21534000.0,57468
8.815548490434885,45.58,0.18981388,0.324168,-11.140106201171875,50.15544939041138,0.03846808,14000,56,1400000,5.687932,193773100000.0,10413426.0,56636
8.788899832665921,45.44,0.18981495,0.355012,-24.114370346069336,51.01479625701904,0.07989405,14250,57,1425000,5.687932,8522235400000.0,9973501.0,57930
8.783274578601121,45.41,0.18981542,0.30670398,-9.750016212463379,51.851126194000244,0.09679934,14500,58,1450000,5.687932,405829520000.0,19245582.0,56588
8.809708449691534,45.55,0.18981504,0.317128,-26.941835403442383,52.70858383178711,0.058831386,14750,59,1475000,5.687932,32308064000.0,7904653.5,58858
8.790848499536514,45.45,0.18981454,0.367604,-7.241281509399414,53.584752798080444,0.047022235,15000,60,1500000,5.687932,2089954300000.0,13957850.0,53072
8.808054885417222,45.54,0.18981476,0.308372,-24.77692222595215,54.459192991256714,0.02673987,15250,61,1525000,5.687932,36302150000.0,19453088.0,54704
