policy_loss,serial_timesteps,ep_reward_mean,explained_variance,true_reward,approxkl,n_updates,fps,policy_entropy,time_elapsed,ep_len_mean,clipfrac,value_loss,total_timesteps
-0.0023454188,11250,5.92226128352135,0.42407888174057007,0.019229671,0.0029057995,45,56411,5.5334854,45.697221994400024,193.42,0.028816,0.58262694,1125000
-0.0018018829,11500,6.67989633303745,0.6634624004364014,0.02421163,0.0025069981,46,50722,5.5299087,46.49324107170105,220.74,0.024216,0.3109532,1150000
-0.00268966,11750,6.204814606776133,0.5518665611743927,0.021692539,0.0035447248,47,55694,5.527551,47.355427742004395,214.82,0.036824,0.38927707,1175000
-0.0028456585,12000,6.20887859332608,0.5083782970905304,0.022180676,0.0055982945,48,45027,5.525727,48.163193702697754,218.96,0.067112,0.36571902,1200000
-0.002717698,12250,5.868076553512194,0.38505470752716064,0.02023714,0.0058461064,49,54649,5.526274,49.07540774345398,214.79,0.07396,0.4527809,1225000
-0.0026957754,12500,5.863420883958704,0.6506327688694,0.02076356,0.0063238563,50,56871,5.527083,49.89066028594971,227.69,0.074968,0.23814556,1250000
-0.0019084269,12750,5.610971726914077,0.4922170639038086,0.019026345,0.0032439544,51,44254,5.524892,50.676764249801636,219.4,0.031736,0.3759807,1275000
-0.001694815,13000,5.856383285019158,0.5739659667015076,0.022484886,0.0027300382,52,43081,5.521344,51.592689990997314,236.29,0.026363999,0.14949062,1300000
-0.0017093361,13250,5.206147319800557,0.24696528911590576,0.01652385,0.0029503698,53,56868,5.5198064,52.515819787979126,211.4,0.027788002,0.50373876,1325000
-0.0023428176,13500,5.97243216709398,0.5516858994960785,0.02200267,0.0044972184,54,56592,5.5156364,53.30824136734009,231.4,0.052823998,0.22411788,1350000
-0.0019419205,13750,6.328752365112059,0.6897095143795013,0.024529291,0.0034708567,55,55396,5.5121374,54.11114263534546,245.59,0.03674,0.1046543,1375000
-0.0013364438,14000,5.828703045494367,0.4610075354576111,0.022097187,0.0025175638,56,57171,5.5099874,54.91813325881958,237.52,0.022068,0.20620565,1400000
-0.0018379083,14250,6.650204776052751,0.48508572578430176,0.025168603,0.0038491923,57,56482,5.511428,55.72264385223389,236.76,0.042424,0.23533198,1425000
-0.002704473,14500,6.228882930781124,0.5109042823314667,0.023688396,0.0047292225,58,43689,5.513234,56.512489318847656,235.21,0.05658,0.22396028,1450000
-0.0020839167,14750,6.5326189500720195,0.6202682256698608,0.025419947,0.0039297906,59,39798,5.5142336,57.44123959541321,244.74,0.046256,0.11387192,1475000
-0.0012980688,15000,6.483923366202694,0.5350437462329865,0.024828715,0.0031052749,60,38870,5.512299,58.42662858963013,241.13,0.032084,0.16984083,1500000
-0.0021882665,15250,6.309906841831048,0.5595701336860657,0.024114495,0.0040566185,61,55332,5.510658,59.42559885978699,239.86,0.044439998,0.16569228,1525000
-0.0024472894,15500,6.345638250176023,0.4839619994163513,0.023635477,0.0051336423,62,32359,5.5128884,60.246394634246826,238.69,0.059488,0.23866096,1550000
-0.0018197112,15750,5.765929957154667,0.29437255859375,0.020486487,0.001963013,63,43116,5.5178266,61.380587577819824,219.94,0.0146160005,0.45067507,1575000
-0.0028012171,16000,5.74503142414932,0.1716822385787964,0.021085588,0.0027606967,64,55558,5.5232534,62.32318091392517,213.91,0.025148,0.5613491,1600000
-0.0020123064,16250,5.693022529522505,0.20009690523147583,0.020079724,0.0020585374,65,40973,5.526963,63.13488984107971,213.51,0.017816,0.5903606,1625000
-0.0024630746,16500,6.1573155521683836,0.2399941086769104,0.021714197,0.0029000868,66,56896,5.527603,64.11588716506958,215.5,0.03064,0.5757624,1650000
-0.0017548349,16750,5.688362737721504,0.2674979567527771,0.019178433,0.0019832056,67,46963,5.5310736,64.91128349304199,207.27,0.0154,0.615099,1675000
-0.0026476823,17000,5.91846587553986,0.40063297748565674,0.022830615,0.0031716437,68,56523,5.5375185,65.80286765098572,232.28,0.0334,0.29340369,1700000
-0.0028575237,17250,6.120457957395538,0.35960888862609863,0.022975931,0.0047858693,69,44917,5.5393343,66.60111975669861,232.2,0.056572,0.31939262,1725000
-0.0024440885,17500,5.707128795772905,0.39262455701828003,0.020673852,0.0050347336,70,56813,5.5377884,67.52629399299622,231.22,0.059551995,0.28943276,1750000
-0.0025224632,17750,6.442257197262225,0.6158768534660339,0.025658268,0.0043539354,71,54675,5.534705,68.34043860435486,243.08,0.048896004,0.12140121,1775000
-0.002749872,18000,6.105651819062959,0.5046083629131317,0.023263674,0.0030211308,72,53929,5.5303016,69.17212700843811,237.69,0.030472001,0.20766333,1800000
-0.0018653603,18250,5.891859088405193,0.33278632164001465,0.02174933,0.004330388,73,54363,5.5263376,70.01374363899231,225.0,0.050128,0.40131402,1825000
-0.0025219987,18500,6.064529175286569,0.37542474269866943,0.022385923,0.005039026,74,54765,5.5256677,70.83414220809937,224.59,0.061047994,0.38594836,1850000
