n_updates,ep_len_mean,value_loss,time_elapsed,total_timesteps,clipfrac,serial_timesteps,ep_reward_mean,true_reward,policy_loss,policy_entropy,fps,explained_variance,approxkl
968,30.37,2.5756214,895.8926160335541,24200000,0.052436,242000,0.5163869705550133,-1.9774247,-0.003866611,2.6866493,54246,0.9469666033983231,0.0047025257
969,28.95,3.515319,896.7659049034119,24225000,0.06514,242250,0.5963742112231557,-1.8847227,-0.002716321,2.6737275,54276,0.9318923875689507,0.005374624
970,34.22,3.5234158,897.6126482486725,24250000,0.039295997,242500,0.5626092136529405,-1.9754659,-0.0029896747,2.668019,53234,0.9352719783782959,0.0037198323
971,25.91,3.253388,898.470050573349,24275000,0.036560003,242750,0.4101088371478943,-2.0005217,-0.0023411713,2.6662164,43923,0.9231815412640572,0.003448017
972,40.78,3.490083,899.4224970340729,24300000,0.037327997,243000,0.8085329901902605,-1.936297,-0.0026024815,2.664659,54591,0.9385012425482273,0.0035568331
973,34.18,2.5704443,900.2713017463684,24325000,0.051960003,243250,0.5923435253416028,-1.8395383,-0.004136885,2.6637278,55334,0.9529095031321049,0.0045468397
974,34.31,3.0432837,901.1099467277527,24350000,0.054403998,243500,0.8706773939615613,-2.0048769,-0.0026399184,2.6642973,54044,0.9508473686873913,0.0048665865
975,33.13,3.0705152,901.957605600357,24375000,0.07604001,243750,0.706940360709732,-1.8722956,-0.0035134307,2.660853,41233,0.9443653449416161,0.006274555
976,24.71,2.652338,902.9472846984863,24400000,0.068448,244000,0.7758100921223161,-1.9623157,-0.003512898,2.652973,48139,0.944566436111927,0.00606276
977,33.42,3.0614808,903.8602213859558,24425000,0.049351998,244250,0.5020076566121133,-2.051505,-0.0025416256,2.65221,53274,0.9423694349825382,0.0045251413
978,34.81,2.6890092,904.7188377380371,24450000,0.047872,244500,0.7105435344738805,-1.8363882,-0.0028668684,2.649941,53380,0.9513507261872292,0.0043042526
979,38.63,3.0128741,905.5746695995331,24475000,0.038052,244750,0.8356342878899613,-1.8071334,-0.0028753895,2.6461883,51940,0.9453735239803791,0.0036930689
980,39.78,3.2843175,906.4352974891663,24500000,0.042552,245000,0.6909678162248883,-1.9474959,-0.0025072445,2.6425166,53339,0.9445847794413567,0.003942232
981,31.75,3.4081032,907.2937657833099,24525000,0.049216,245250,0.7134420857408305,-1.8424442,-0.002323206,2.6397412,54327,0.943709809333086,0.0045839176
982,35.22,3.6661897,908.1400022506714,24550000,0.033112,245500,0.7673743211146938,-2.0071967,-0.0030171562,2.6394398,53745,0.9355031028389931,0.0032614246
983,28.01,3.5093277,908.9937283992767,24575000,0.040071998,245750,0.6370568321568771,-1.9371617,-0.0028000178,2.6389058,33936,0.9334894046187401,0.0038756677
984,34.04,3.8619766,910.112649679184,24600000,0.03582,246000,0.6730202463936052,-2.0727623,-0.0025898786,2.6386423,41916,0.9248246476054192,0.0035511225
985,29.17,2.7971349,911.0822949409485,24625000,0.051316,246250,0.5857431048554099,-2.0806065,-0.0030840705,2.6371703,53029,0.9423267282545567,0.004636285
986,35.94,3.3080153,911.9281711578369,24650000,0.06718,246500,0.8349063406560526,-2.049321,-0.0022775594,2.6349816,54658,0.9398404061794281,0.005639885
987,29.04,3.3633723,912.7670834064484,24675000,0.055668004,246750,0.8452526357130545,-1.9128959,-0.0031197497,2.6343825,54107,0.9347890242934227,0.004827292
988,32.01,2.921962,913.6158218383789,24700000,0.05274,247000,0.8271826813351799,-1.9948949,-0.0038993217,2.6332335,53717,0.9451330006122589,0.004656953
989,32.73,3.97121,914.4849574565887,24725000,0.042783998,247250,0.9361207291642267,-1.8770387,-0.002945029,2.627928,53059,0.9288458824157715,0.003983174
990,29.42,3.024355,915.3616664409637,24750000,0.049248002,247500,0.5405475030044181,-1.8290142,-0.0032391523,2.6240041,42736,0.9404246099293232,0.0045091957
991,33.21,2.8114498,916.3189890384674,24775000,0.051012002,247750,0.7488380801698986,-1.9944558,-0.0036216371,2.6184373,54173,0.9496623687446117,0.004623329
992,25.63,3.48783,917.1617312431335,24800000,0.102212,248000,0.5845298412126431,-1.9296638,-0.0015660761,2.6130738,43501,0.9313552752137184,0.008475077
993,37.41,2.9542656,918.1115283966064,24825000,0.090708,248250,0.8458250683126607,-1.8722631,-0.0012512988,2.6066744,53043,0.9428271353244781,0.007628251
994,27.26,3.6616375,918.971958398819,24850000,0.067248,248500,0.4790627794590773,-2.041062,-0.0025622183,2.6030564,53135,0.9309337213635445,0.0058719344
995,33.2,2.9329045,919.8411645889282,24875000,0.056376,248750,0.8326438682958497,-1.9783375,-0.003282362,2.6011226,54195,0.9417144954204559,0.004991486
996,34.29,3.2328835,920.6834270954132,24900000,0.055016004,249000,0.5696260413017444,-1.935064,-0.0038746682,2.5983093,54611,0.9428188391029835,0.004746531
997,29.49,2.8534334,921.5275874137878,24925000,0.048488,249250,0.6956208842037177,-1.9906392,-0.002967038,2.595987,35455,0.9475909657776356,0.0044481102
998,32.35,3.0084286,922.6156923770905,24950000,0.040828,249500,0.7811145256066356,-2.0160744,-0.0028725644,2.5932775,53276,0.9442374929785728,0.0037297078
999,33.61,2.830663,923.46470952034,24975000,0.048675995,249750,0.91935872429769,-1.9465969,-0.0035074304,2.591202,53771,0.951583731919527,0.0042945268
1000,28.77,2.7036176,924.3186852931976,25000000,0.034872003,250000,0.7938805721738936,-1.9371268,-0.0027887963,2.590777,48895,0.9496734216809273,0.0035032853
1001,30.31,3.4090114,925.2142658233643,25025000,0.047632,250250,0.6874701840497437,-1.8938279,-0.003373728,2.5867646,54276,0.9321404919028282,0.004310075
1002,29.05,2.9802513,926.0656185150146,25050000,0.070716,250500,0.8852403025502471,-2.0169773,-0.0037575108,2.583952,52752,0.9441770277917385,0.00581749
1003,35.47,3.3057945,926.9384524822235,25075000,0.07192,250750,0.38656522880934746,-2.017096,-0.0033578589,2.5775952,53152,0.9387769512832165,0.005948854
1004,31.96,3.845073,927.8233063220978,25100000,0.074852,251000,0.5388075277793541,-1.9905415,-0.0031033917,2.5739596,53795,0.9315478876233101,0.006142113
1005,29.63,3.3802724,928.6882061958313,25125000,0.052884,251250,0.9987976636603344,-2.046746,-0.003497382,2.5754046,55259,0.9292914345860481,0.0047832523
