clipfrac,n_updates,policy_loss,time_elapsed,ep_reward_mean,serial_timesteps,approxkl,fps,ep_len_mean,explained_variance,true_reward,policy_entropy,value_loss,total_timesteps
0.63138,15,0.1237175,16.759863138198853,-6.841944294144342,3750,483337.06,59037,16.02,0.1278349757194519,-0.52602565,5.6849327,398.88843,375000
0.31000403,16,0.09294586,17.62052869796753,-7.85435992922954,4000,1028.6326,58395,18.83,-0.10597050189971924,-0.65407753,5.685753,629.7795,400000
0.222164,17,0.082431614,18.474485158920288,-5.509226335818385,4250,427.06445,58160,17.89,-0.185921311378479,-0.6273161,5.6864653,581.2904,425000
0.297864,18,0.087608784,19.323578357696533,-6.956347278282774,4500,377.26324,56530,19.94,-0.05072307586669922,-0.61161804,5.6870933,639.9281,450000
0.382232,19,0.10111114,20.199016094207764,-3.713844781409057,4750,115848.79,58034,18.07,-0.052379608154296875,-0.56860715,5.6876893,411.81097,475000
0.40793198,20,0.11245097,21.045836687088013,-4.736053719583597,5000,2179.6108,60090,19.44,-0.17215287685394287,-0.5463208,5.6882925,338.5681,500000
0.373276,21,0.09114942,21.89371967315674,-3.514858713043393,5250,699.05054,57146,18.37,-0.06243562698364258,-0.5714436,5.688984,390.33197,525000
0.329328,22,0.08369481,22.769838571548462,-3.60222176960051,5500,322.4367,51454,16.76,0.13506841659545898,-0.5729899,5.6899076,407.50806,550000
0.52996004,23,0.11111385,23.687617778778076,-7.587517373579176,5750,17236.084,57229,20.96,0.18514800071716309,-0.5281978,5.6907606,339.50937,575000
0.740584,24,0.14452079,24.56704330444336,-7.0794641804830825,6000,518815.4,59055,21.76,-0.08837771415710449,-0.4309034,5.6918335,164.3147,600000
0.38702402,25,0.08241156,25.41321611404419,-4.316838033298409,6250,18723.46,58621,17.65,-0.41264772415161133,-0.49963567,5.6931715,357.099,625000
0.327936,26,0.0763322,26.27760410308838,-2.4214679502661602,6500,269814.6,60200,17.31,-0.6833208799362183,-0.49855766,5.6940904,375.68356,650000
0.475496,27,0.09841518,27.115932941436768,-3.5962139498826584,6750,49789.47,59692,18.43,-0.262553334236145,-0.4736987,5.69514,301.11563,675000
0.494592,28,0.08793319,27.965704441070557,-3.7525677787651146,7000,132580.66,57751,18.78,-0.1760021448135376,-0.48614192,5.697019,240.54916,700000
0.273544,29,0.06653688,28.83652424812317,-2.977744565467219,7250,18779.324,57484,18.74,-0.30719244480133057,-0.5416443,5.698718,325.7155,725000
0.389424,30,0.095191546,29.706732511520386,-3.517450249474614,7500,14397.68,60683,17.5,-0.3121821880340576,-0.503414,5.700001,245.86296,750000
0.39393598,31,0.084652424,30.554601192474365,-1.9817694551162277,7750,203839.31,59531,17.11,-0.5520420074462891,-0.50201946,5.7009497,285.22736,775000
0.44793606,32,0.07901476,31.404334783554077,-4.119198593194742,8000,541742.3,59377,17.48,0.30913734436035156,-0.5156622,5.7022,250.8813,800000
0.48360005,33,0.08473006,32.26488947868347,-6.384306737910283,8250,15340.5625,58470,19.34,0.09634727239608765,-0.5453666,5.703517,302.7619,825000
0.38572803,34,0.08297816,33.11628746986389,-3.5422267939660377,8500,42112.24,58573,20.67,0.16977548599243164,-0.54531705,5.7046022,280.5399,850000
0.41533604,35,0.08053578,33.97252702713013,-5.409276422205749,8750,152835.11,58852,19.19,0.17638355493545532,-0.51817065,5.7054744,265.0245,875000
0.739272,36,0.12654033,34.83286952972412,-4.410320176724199,9000,6752549.0,57816,16.72,0.3576805591583252,-0.5164502,5.7064886,237.4572,900000
0.48959598,37,0.13368925,35.69733238220215,-5.851114854563202,9250,279321.3,57417,19.91,-0.46522557735443115,-0.86938,5.7076273,790.27386,925000
0.367644,38,0.1316713,36.57248592376709,-3.459994123823417,9500,46607.152,58586,18.37,-0.7725142240524292,-0.92684346,5.7083764,834.62695,950000
0.244096,39,0.10724132,37.432921171188354,-3.2069678819902765,9750,3586.3442,58274,18.29,-0.487246036529541,-0.9044147,5.7091055,729.01025,975000
0.29050404,40,0.11412225,38.29431104660034,-2.6779836491135485,10000,5025.264,59028,16.51,-0.42695724964141846,-0.9036503,5.7096877,668.911,1000000
0.282212,41,0.12346043,39.14134669303894,-3.7201235718495718,10250,39139.605,58189,16.23,-0.5767556428909302,-0.9509144,5.7102194,661.21313,1025000
0.605368,42,0.17580622,39.99984693527222,-4.766013146853438,10500,1345361.6,59085,18.48,-0.5815566778182983,-0.93749624,5.710647,631.3014,1050000
0.351396,43,0.13937041,40.85456371307373,-8.180036335681653,10750,9316.253,58071,18.82,-0.4461371898651123,-1.0633166,5.711817,586.0057,1075000
0.34002396,44,0.15409274,41.71514320373535,-4.123358632008822,11000,24436.025,59686,17.21,-0.3786430358886719,-1.0154003,5.712995,478.07404,1100000
0.34659597,45,0.1396999,42.55857515335083,-5.511305668989226,11250,25476.379,58874,17.19,-0.09953272342681885,-0.986145,5.714141,383.79532,1125000
0.33095598,46,0.13192324,43.42743992805481,-5.190931983552619,11500,12720.903,58810,17.8,-0.046863436698913574,-0.9694426,5.71527,352.9366,1150000
0.38603202,47,0.14683934,44.283793210983276,-8.666706487579503,11750,33800.875,59471,18.94,0.05875694751739502,-0.99439657,5.716627,342.90912,1175000
0.22256,48,0.10406659,45.14191007614136,-9.644395210862385,12000,213.0145,59134,20.46,0.08887749910354614,-0.9911059,5.7180657,339.37225,1200000
0.270484,49,0.109574094,45.990833044052124,-4.146842089459605,12250,3955.6519,59274,17.93,0.10076785087585449,-0.9677504,5.719103,307.01425,1225000
0.554956,50,0.17512862,46.842644929885864,-7.2345699330033995,12500,3891690.5,58935,19.49,0.16112005710601807,-0.9837671,5.7202973,284.2548,1250000
0.404008,51,0.15827383,47.700212717056274,-4.86997791647093,12750,306694.56,58654,15.67,0.08988785743713379,-1.1366992,5.7218122,308.78595,1275000
0.373844,52,0.14127856,48.56006193161011,-6.508159902908846,13000,163124.33,60397,14.8,0.07309305667877197,-1.1497782,5.7235556,291.4538,1300000
0.373676,53,0.15531412,49.40862703323364,-1.9157765743510753,13250,13947.972,58067,11.98,0.03989124298095703,-1.1596894,5.7255583,305.59607,1325000
0.27640802,54,0.11619653,50.2855908870697,-3.204661677873519,13500,1113.5618,60572,12.91,0.09676593542098999,-1.1960299,5.7274666,291.1801,1350000
0.394412,55,0.12952863,51.135798931121826,-4.987434388890452,13750,18914.88,57551,15.48,0.13519203662872314,-1.0662783,5.728878,240.02388,1375000
0.322172,56,0.103062674,51.99318337440491,-6.279835437344081,14000,1578.3131,58762,16.65,0.14725857973098755,-1.0218412,5.730909,242.50027,1400000
0.27641997,57,0.09968669,52.841702699661255,-4.476234459039115,14250,2004.3643,58139,15.62,0.14312511682510376,-0.98564553,5.732599,222.39883,1425000
0.501744,58,0.17770351,53.694504499435425,-7.0325729244064314,14500,1453969.0,58148,16.51,0.18450504541397095,-1.0328763,5.7339525,220.54922,1450000
0.500616,59,0.1788381,54.55280137062073,-4.606088200256563,14750,21781980.0,57220,18.15,0.19984513521194458,-0.9360163,5.7359257,214.50302,1475000
0.340316,60,0.13633947,55.40365028381348,-2.6618562361232763,15000,346850.3,57455,13.3,0.11249226331710815,-1.0627545,5.73802,224.27383,1500000
0.43404397,61,0.14752495,56.26519560813904,-5.0266782970769786,15250,67831.08,52677,14.79,0.1510334610939026,-1.0765669,5.739524,225.12589,1525000
0.25946,62,0.0997996,57.1593017578125,-2.4098010320433967,15500,999.8434,58785,13.59,0.11968994140625,-1.0504092,5.7405505,222.95877,1550000
