clipfrac,policy_loss,explained_variance,ep_reward_mean,true_reward,n_updates,fps,time_elapsed,policy_entropy,value_loss,serial_timesteps,ep_len_mean,total_timesteps,approxkl
0.05654,-0.000610754,0.8754731118679047,17.032747713840536,0.06791678,64,54800,60.97794723510742,1.5633092,2.2017913,16000,243.61,1600000,0.0049867285
0.041628,-0.0012760919,0.8445590436458588,16.32858414778367,0.06498656,65,50961,61.805869340896606,1.5594628,2.006517,16250,247.61,1625000,0.0040129866
0.061568,-0.0010702097,0.8626803308725357,18.027415031976297,0.07097897,66,54745,62.66110897064209,1.5573246,2.201243,16500,240.96,1650000,0.0052646846
0.066268,-0.0015337853,0.8424771875143051,14.908154567517794,0.058836758,67,54410,63.47796177864075,1.5553579,1.9585825,16750,243.5,1675000,0.0055800667
0.037539996,-0.0014953733,0.8659838736057281,16.021859744400295,0.06250593,68,41910,64.30073285102844,1.5555829,1.9598224,17000,246.29,1700000,0.0038303714
0.051652003,-0.0016239738,0.8624005019664764,15.980417292184065,0.066029996,69,53876,65.25711727142334,1.5525345,1.7073622,17250,247.55,1725000,0.0046793655
0.051096,-0.0012108058,0.8815525323152542,14.355446870445258,0.057250015,70,54230,66.07502722740173,1.5465924,1.4600208,17500,245.06,1750000,0.004579613
0.046336003,-0.0010547027,0.8750547170639038,17.023260389011522,0.0674928,71,54543,66.9142324924469,1.542872,1.7895324,17750,247.95,1775000,0.004254305
0.035524003,-0.0024845726,0.8746510893106461,15.107778751729615,0.05970593,72,52933,67.75034427642822,1.5389456,1.6145881,18000,243.47,1800000,0.0037100438
0.047292,-0.00078742875,0.8466451168060303,15.731480516324446,0.062224183,73,48420,68.57902383804321,1.5335035,1.8760513,18250,245.37,1825000,0.004307686
0.053336002,-0.000987544,0.8867201879620552,14.491880119847583,0.056729022,74,48921,69.45550107955933,1.5289171,1.5144495,18500,245.42,1850000,0.0045984685
0.076484,-0.00082694384,0.8625651448965073,15.99852755984889,0.063247405,75,54573,70.33257222175598,1.5245491,1.7445233,18750,245.93,1875000,0.006051341
0.08618,0.00031667837,0.873143270611763,13.464323825576244,0.052521847,76,54858,71.16697525978088,1.5202159,1.4709041,19000,243.07,1900000,0.0065547363
0.049483996,-0.0010591906,0.8535935580730438,15.67372576064541,0.062725715,77,52403,71.9815902709961,1.5162188,1.9713211,19250,241.56,1925000,0.0046464065
0.034996,-0.0014497351,0.8765580132603645,13.729494258434116,0.05418828,78,53062,72.82289624214172,1.5117368,1.4347541,19500,244.0,1950000,0.0036584076
0.054455996,-0.0017649664,0.8713010549545288,14.051424482246775,0.058648404,79,55445,73.6610107421875,1.5113691,1.8009237,19750,240.79,1975000,0.0048003127
0.049148,-0.0009877456,0.8430928587913513,16.12509755064902,0.061836727,80,55321,74.47148156166077,1.5135962,2.0569787,20000,242.77,2000000,0.004407783
0.043416,-0.0014755849,0.8470861166715622,16.590937015124073,0.06505712,81,54971,75.30652856826782,1.5133233,1.9005474,20250,247.28,2025000,0.0040048654
0.036724,-0.0015615555,0.8366614133119583,15.828265065389042,0.061545387,82,47300,76.12837934494019,1.5089949,2.214173,20500,235.33,2050000,0.0037663109
0.076528,-0.0007664337,0.8677267581224442,14.275994180659046,0.058632858,83,54687,77.00905060768127,1.5048699,1.602837,20750,245.49,2075000,0.006141889
0.052708,-0.0017271312,0.8546583205461502,15.838111027904295,0.06166314,84,43128,77.82589101791382,1.5023822,1.9109892,21000,243.5,2100000,0.0045742476
0.05748,-0.00087754027,0.8627448678016663,15.48724711984287,0.061531276,85,55269,78.76783800125122,1.4998763,1.7582474,21250,243.94,2125000,0.0049771043
0.099816,0.000415291,0.8286956399679184,17.453549770795636,0.0698142,86,37264,79.57209968566895,1.4954946,1.9585406,21500,250.0,2150000,0.0074363686
0.065304,-0.001855843,0.871087521314621,15.803238362910527,0.06368586,87,56524,80.59528422355652,1.4920233,1.6841507,21750,247.51,2175000,0.005482805
0.069152005,-0.0006399621,0.8695568591356277,19.460697162145298,0.07692128,88,55483,81.39874505996704,1.4860618,2.2178664,22000,245.45,2200000,0.0056112693
0.051480003,-0.0016708005,0.8361287266016006,16.24756849741787,0.064707726,89,40068,82.21752786636353,1.4813442,1.9272934,22250,247.57,2225000,0.004688782
0.059412003,-0.0016543993,0.8929365053772926,14.340486787436166,0.05576897,90,55419,83.18996143341064,1.4805783,1.4272368,22500,243.0,2250000,0.005117506
0.038836,-0.0013290511,0.8851675540208817,16.138278315404747,0.06158706,91,53558,83.98450946807861,1.4779868,2.019918,22750,235.41,2275000,0.003886715
0.053504,-0.0012400239,0.8721889555454254,16.682176315102353,0.06603918,92,52878,84.82377076148987,1.4741855,1.8161614,23000,247.19,2300000,0.0046837605
0.039944,-0.0014516219,0.897437110543251,15.658440910310874,0.060146213,93,53023,85.65052318572998,1.4733799,1.8030531,23250,239.41,2325000,0.0039259424
0.073616,0.0002849264,0.858792707324028,17.826934315163108,0.07034178,94,52522,86.49653673171997,1.473001,2.0105805,23500,246.68,2350000,0.006180913
0.042736,-0.0016208052,0.8492571413516998,17.384307227330282,0.071912766,95,54214,87.35405588150024,1.4710555,2.2004313,23750,245.57,2375000,0.004097487
0.031175997,-0.0013645722,0.8514136373996735,16.258353402344156,0.06503342,96,54361,88.18891501426697,1.4683197,1.7879711,24000,250.0,2400000,0.0033799768
0.049535997,-0.0016266259,0.855675458908081,16.25720763062577,0.06502883,97,52777,89.00785732269287,1.4640517,1.7157437,24250,250.0,2425000,0.004537792
0.069768004,-0.0009202838,0.8547789305448532,16.507096906039187,0.06531394,98,54580,89.8451178073883,1.457223,2.0040364,24500,245.88,2450000,0.005815617
0.046383996,-0.00080613,0.8821644559502602,14.299414959486649,0.054978482,99,54838,90.66574740409851,1.4491893,1.5788406,24750,240.95,2475000,0.0042905062
0.047832,-0.0016467,0.8828024342656136,14.719813919369853,0.058202323,100,52494,91.47564911842346,1.4428203,1.5128248,25000,248.04,2500000,0.004364442
0.029036,-0.0016474565,0.8792034685611725,15.87557270535312,0.06224638,101,50251,92.31917095184326,1.43806,1.9104172,25250,237.29,2525000,0.0031270324
0.053280003,-0.0015702253,0.8796941637992859,15.75004313364594,0.05986215,102,49592,93.18266272544861,1.4327904,1.9284818,25500,240.85,2550000,0.00475709
0.050371997,-0.0016439718,0.8624093979597092,15.334646512207097,0.05959486,103,55750,94.0497350692749,1.4258716,1.7412841,25750,244.22,2575000,0.0045413696
0.026828,-0.0011490426,0.8597506135702133,16.951818286360155,0.06732953,104,52758,94.86027002334595,1.4152695,2.266571,26000,244.73,2600000,0.003130133
