policy_loss,ep_len_mean,fps,policy_entropy,n_updates,serial_timesteps,true_reward,approxkl,time_elapsed,clipfrac,ep_reward_mean,value_loss,explained_variance,total_timesteps
-0.002041312,98.32,44746,5.4338837,58,14500,-0.012466866,0.0022663737,59.32555150985718,0.016455999,2.4652027417971114,0.17048794,0.9564815200865269,1450000
-0.0017861227,114.54,54222,5.4273634,59,14750,-0.009369926,0.0019636538,60.26436161994934,0.01734,2.580176350331576,0.18380201,0.9473541788756847,1475000
-0.0024505313,110.99,42169,5.4214745,60,15000,-0.009831434,0.002846676,61.095160245895386,0.023791999,2.383693991039727,0.20798776,0.9444036781787872,1500000
-0.0014971646,91.99,53539,5.41649,61,15250,-0.0117171705,0.0022035036,62.05107831954956,0.016072001,2.1422765785192177,0.16087075,0.9576625227928162,1525000
-0.0021612062,93.65,46181,5.413621,62,15500,-0.013876021,0.0023517516,62.88451862335205,0.019148001,2.3514290554685067,0.20204017,0.9479321055114269,1550000
-0.0019046916,104.04,54137,5.408981,63,15750,-0.010608402,0.0025658202,63.78638434410095,0.023664001,2.387994609823945,0.18215564,0.9506494142115116,1575000
-0.0017339258,91.84,55107,5.4056497,64,16000,-0.012807974,0.0020196189,64.61200070381165,0.012719999,2.180036647685138,0.15890819,0.9605028741061687,1600000
-0.0024162973,124.99,54749,5.399749,65,16250,-0.008208321,0.0030769627,65.43533563613892,0.027520001,2.526101925323752,0.16153035,0.9549937844276428,1625000
-0.0024218736,80.48,49479,5.392148,66,16500,-0.015679331,0.0019838577,66.28151512145996,0.016736,1.9120510132891286,0.21144228,0.9506643936038017,1650000
-0.0019059812,110.0,53905,5.387368,67,16750,-0.0069915876,0.0028665499,67.16681838035583,0.024136,2.661470817323302,0.16330937,0.9577455222606659,1675000
-0.0017367403,110.62,53493,5.3857455,68,17000,-0.0062157833,0.0016524075,68.00794053077698,0.01152,2.5753336819368644,0.14910464,0.9604145660996437,1700000
-0.002854261,99.17,53633,5.38332,69,17250,-0.009122382,0.0032237284,68.85369157791138,0.031264,2.4327637745273285,0.18327147,0.9543488845229149,1725000
-0.0016145986,97.65,53494,5.379012,70,17500,-0.009509588,0.0022880505,69.69054174423218,0.015824,2.5500086970788014,0.17474481,0.9550115913152695,1750000
