total_timesteps,clipfrac,policy_entropy,policy_loss,n_updates,fps,true_reward,value_loss,approxkl,explained_variance,serial_timesteps,ep_reward_mean,ep_len_mean,time_elapsed
19775000,0.045684002,1.3909204,-0.0018500969,791,54680,0.04198864,0.036421675,0.0044418685,0.9497411921620369,197750,10.487000790200927,247.73,652.5645728111267
19800000,0.08889601,1.387172,-0.0014817665,792,56244,0.040254716,0.040449418,0.0067529553,0.9346155375242233,198000,10.090427451656433,247.8,653.3658580780029
19825000,0.048272,1.3844414,-0.0012241954,793,55437,0.040723212,0.045333296,0.004460524,0.9296835064888,198250,10.18067655606873,248.04,654.1486744880676
19850000,0.080184,1.3827827,-0.0014068134,794,49000,0.04164944,0.049605407,0.0064965887,0.9333301559090614,198500,10.37466419761667,245.3,654.9189786911011
19875000,0.076848,1.3819871,-0.0011913858,795,54912,0.0397424,0.036875065,0.006209176,0.9512585662305355,198750,9.924752689998531,247.62,655.7692179679871
19900000,0.031471997,1.3804796,-0.0009937232,796,53256,0.039671615,0.11685045,0.003251053,0.8800271600484848,199000,9.880464639875346,238.28,656.5520539283752
19925000,0.06174,1.380079,-0.0023194994,797,43408,0.041901596,0.08455726,0.005190983,0.9027473777532578,199250,10.455356000647079,243.55,657.3520257472992
19950000,0.099075995,1.3791759,-0.00076655165,798,56188,0.04167171,0.07547909,0.007906506,0.9130606055259705,199500,10.434206094187394,245.3,658.2505359649658
19975000,0.099640004,1.3785563,-0.00044996775,799,53995,0.041394018,0.04634376,0.0076857554,0.945476658642292,199750,10.287897211203672,242.74,659.0311713218689
20000000,0.10484,1.3794906,-0.0006111732,800,53737,0.038535062,0.13014953,0.007713987,0.8871732503175735,200000,9.618056273053552,233.72,659.8445916175842
20025000,0.074824005,1.3798016,-0.0007787326,801,55337,0.0407925,0.047271118,0.006018417,0.9433368407189846,200250,10.19437582681352,245.89,660.6589667797089
20050000,0.055796005,1.3771923,-0.00154954,802,55254,0.0390656,0.107612476,0.0048139463,0.9069627374410629,200500,9.703237186859377,233.54,661.4520695209503
20075000,0.07900799,1.376874,-0.002215793,803,55053,0.040999036,0.122797705,0.0062323855,0.8681332319974899,200750,10.227365454581477,238.58,662.2326090335846
20100000,0.040159997,1.3798125,-0.0014948884,804,54605,0.041357584,0.060721714,0.00394904,0.9350460469722748,201000,10.307092977254616,245.31,663.0310218334198
20125000,0.068596005,1.380018,-0.00086870434,805,52939,0.040311188,0.07906994,0.00556391,0.9072117134928703,201250,10.116371899519436,243.05,663.8227019309998
20150000,0.057400007,1.3805748,-0.0010623395,806,53227,0.03958353,0.061001964,0.0050264364,0.9322536811232567,201500,9.840421684232874,243.35,664.6268968582153
20175000,0.09887601,1.3805313,-0.00027631928,807,54960,0.04246235,0.02736206,0.007572581,0.968944663181901,201750,10.615587220389811,250.0,665.4341189861298
20200000,0.036016,1.3808446,-0.00077426655,808,43483,0.041431386,0.08174889,0.003622463,0.9014582261443138,202000,10.39602993481527,246.65,666.2196743488312
20225000,0.037912004,1.3802505,-0.0011970641,809,54596,0.040843267,0.07603406,0.00382609,0.9088257700204849,202250,10.252486183436195,244.04,667.1209816932678
20250000,0.049884,1.3785207,-0.0009670673,810,53536,0.042154107,0.05757297,0.004633338,0.9314859583973885,202500,10.543557480997988,245.31,667.9223384857178
20275000,0.067472,1.3758196,-0.0017415056,811,49737,0.039336782,0.049198024,0.0056764525,0.9324508160352707,202750,9.841111951857238,245.81,668.7243859767914
20300000,0.056996,1.3733621,-0.0007902562,812,54031,0.04025379,0.034797437,0.0049651675,0.9542279839515686,203000,10.039216352316616,247.55,669.5641000270844
20325000,0.059664004,1.3690962,-0.0007697379,813,53340,0.040566232,0.021621186,0.0051633148,0.9673614762723446,203250,10.14155837597693,250.0,670.3647866249084
20350000,0.07104,1.3643289,-0.00047755157,814,46772,0.041846093,0.02406349,0.005764463,0.9630761668086052,203500,10.46152346784329,250.0,671.1632587909698
20375000,0.053784,1.3605944,-0.001444136,815,49413,0.040988985,0.02740696,0.004871376,0.9645447880029678,203750,10.226136309522216,247.52,672.0308203697205
20400000,0.100308,1.3548173,-0.0003438361,816,54594,0.04202487,0.023760105,0.007534203,0.9638551212847233,204000,10.506216991124038,250.0,672.8807725906372
20425000,0.076564,1.3513608,-0.0012638237,817,53553,0.03841068,0.070420705,0.0061979564,0.9011006280779839,204250,9.6738760537664,246.26,673.6722028255463
20450000,0.076079994,1.3500234,-0.0014743097,818,53943,0.040506463,0.059793107,0.006268546,0.9301682114601135,204500,10.170868407716771,243.64,674.4673008918762
20475000,0.071896,1.3475697,-0.0014434146,819,54382,0.039831102,0.076992005,0.006008567,0.9052478447556496,204750,10.02628290999757,243.56,675.2593021392822
20500000,0.06212,1.3416951,-0.0022225513,820,54559,0.039908677,0.041624475,0.0051896083,0.9427069276571274,205000,9.953133834477084,248.03,676.0496590137482
20525000,0.08430799,1.3356545,-0.0011697732,821,54594,0.0411728,0.119082615,0.0068748943,0.8361151963472366,205250,10.32343142511305,243.88,676.833774805069
20550000,0.052748002,1.331473,-0.00080060645,822,55280,0.040880904,0.07107223,0.004635596,0.9148083701729774,205500,10.225539427798466,244.42,677.6276566982269
20575000,0.096016005,1.3293471,-0.0021225293,823,55931,0.0404713,0.057233393,0.0073727905,0.9266779348254204,205750,10.17309842309016,246.11,678.416928768158
20600000,0.088668,1.3284429,-0.001280179,824,53766,0.039513238,0.12209843,0.006918541,0.8564839214086533,206000,9.973856445553231,242.59,679.1963551044464
20625000,0.096164,1.3283437,-0.001406608,825,55114,0.0391495,0.07445916,0.0074701174,0.8987838104367256,206250,9.809356342150714,245.84,679.9944112300873
20650000,0.090948,1.3278646,-0.0006678582,826,56057,0.038609765,0.06668295,0.0069327154,0.9141377955675125,206500,9.740191089789295,244.76,680.7858312129974
20675000,0.092116,1.327218,-0.0009905857,827,53764,0.038446598,0.054113813,0.006837158,0.9356653541326523,206750,9.693090000919911,244.32,681.5657820701599
20700000,0.048256,1.3266044,-0.0013121186,828,56027,0.038369093,0.15376423,0.0043348307,0.8261389583349228,207000,9.669812819580521,240.6,682.362387418747
20725000,0.06364401,1.3245142,-0.0004767704,829,37045,0.04078333,0.038527973,0.0053064013,0.9581438340246677,207250,10.225491678511498,245.43,683.1559262275696
20750000,0.068032004,1.3206813,-0.0015296902,830,54028,0.040526275,0.060046036,0.0055396645,0.935648150742054,207500,10.235089844050963,244.19,684.1582958698273
20775000,0.07414,1.3165377,-0.0016102176,831,56174,0.03923057,0.0530775,0.0059052,0.9295163601636887,207750,9.846393121209184,246.03,684.9439554214478
20800000,0.086992,1.3122734,-0.0009661665,832,46046,0.040251184,0.06627132,0.006674564,0.9237740635871887,208000,10.151351180730925,244.45,685.718444108963
20825000,0.084727995,1.3085742,-0.0010762451,833,50084,0.04024646,0.09332753,0.0065721953,0.9004296660423279,208250,10.136302573136417,242.17,686.5820634365082
