true_reward,serial_timesteps,n_updates,ep_reward_mean,ep_len_mean,time_elapsed,approxkl,policy_loss,total_timesteps,value_loss,policy_entropy,explained_variance,clipfrac,fps
-0.025878042,18750,75,1.7269799510815187,89.38,71.78791856765747,0.002879506,-0.0011037093,1875000,15.801572,5.4266996,0.5102683305740356,0.028896,56450
-0.01904261,19000,76,4.996518823928045,102.22,72.6131374835968,0.0024716468,-0.0007484128,1900000,17.885456,5.426508,0.482882559299469,0.021924,46093
-0.04219478,19250,77,3.4048179904096285,78.38,73.5159227848053,0.0030132865,-0.0010102253,1925000,14.3476925,5.4226923,0.5213084816932678,0.02956,56256
-0.032698676,19500,78,1.724425416373822,85.19,74.3374342918396,0.0020685229,-0.00093652634,1950000,15.988243,5.418416,0.487548828125,0.018932,54528
0.0049114334,19750,79,7.982193379855416,94.1,75.16816020011902,0.0034619034,-0.0008045632,1975000,28.281073,5.415104,0.35672837495803833,0.035863996,45300
-0.03432512,20000,80,2.6898478464281608,101.06,76.07128810882568,0.0013466988,-0.0011478114,2000000,12.586329,5.4134817,0.4993399381637573,0.008404,55563
-0.02359344,20250,81,3.5242196190383357,85.77,76.88527059555054,0.0035237414,-0.0011087615,2025000,17.12351,5.414184,0.4917014241218567,0.038752,56424
-0.033081423,20500,82,5.599375919860868,83.94,77.7057991027832,0.0038337521,-0.0010467868,2050000,15.672,5.4136887,0.5006545186042786,0.040124,55080
-0.05721927,20750,83,1.4630804180555015,89.65,78.54796409606934,0.0016199801,-0.0007374097,2075000,5.8667345,5.4117374,0.7174493074417114,0.010348001,55143
-0.040998057,21000,84,2.7209250145361943,96.14,79.3811206817627,0.0027078548,-0.00083737896,2100000,12.609689,5.4121227,0.5614587068557739,0.024744,53710
-0.018754981,21250,85,5.892661449443413,91.94,80.23522305488586,0.006049254,-0.0011219225,2125000,23.056984,5.410833,0.388363778591156,0.075403996,54604
-0.020977026,21500,86,5.786410843868925,92.82,81.06542015075684,0.0033388517,-0.0009488583,2150000,21.28288,5.4077244,0.3945314884185791,0.032412,54534
-0.036503285,21750,87,4.625763595754206,84.73,81.8919005393982,0.0029364873,-0.0014468465,2175000,14.703255,5.4056253,0.5152384042739868,0.030628001,49375
-0.031821508,22000,88,2.879848242581352,100.91,82.77313041687012,0.005404995,-0.0011187552,2200000,14.057028,5.4011374,0.5114578604698181,0.06458,55001
-0.04511617,22250,89,4.78835044908038,94.23,83.5904381275177,0.0021262553,-0.0012474639,2225000,11.367933,5.396089,0.5253433287143707,0.014856,55306
-0.036685903,22500,90,2.9341033630065065,99.64,84.42268371582031,0.0038590427,-0.0015691419,2250000,10.958605,5.3952537,0.5504813194274902,0.040683996,53781
-0.035835396,22750,91,3.474235673221906,81.89,85.27020764350891,0.0033774152,-0.0007896085,2275000,18.031265,5.3884745,0.4567148685455322,0.036244,47512
-0.010365777,23000,92,2.7621761777407983,91.5,86.16558408737183,0.002463104,-0.00067064463,2300000,24.345867,5.3817353,0.38973283767700195,0.021932,45928
-0.038654756,23250,93,4.846328303617813,95.04,87.08219695091248,0.0020182945,-0.00097149296,2325000,12.949936,5.3810477,0.5161429345607758,0.013004,53746
-0.018675474,23500,94,4.735673833783535,96.88,87.94100189208984,0.0023277006,-0.0006251998,2350000,19.250326,5.383564,0.45181918144226074,0.022412,53748
-0.02913584,23750,95,3.6743656697720963,88.15,88.80033922195435,0.001955879,-0.00081431435,2375000,17.248657,5.3821692,0.4681653380393982,0.013956,54240
-0.021386096,24000,96,4.834440758373712,98.29,89.64466714859009,0.0019117855,-0.00070655486,2400000,17.498646,5.3790383,0.48608076572418213,0.013703999,56263
-0.0054591503,24250,97,4.9024655283446865,95.99,90.45673322677612,0.0013932423,-0.00083989615,2425000,21.027578,5.3786325,0.436878502368927,0.007084,46997
-0.01615568,24500,98,4.713952730706269,97.28,91.36066508293152,0.002349434,-0.001251456,2450000,17.520323,5.3800077,0.4875473380088806,0.021228,55986
-0.016889116,24750,99,6.651545443687119,81.5,92.19201922416687,0.0018886033,-0.0008504681,2475000,22.228392,5.380843,0.44670432806015015,0.0132,55292
-0.021578448,25000,100,6.044648083287066,94.87,93.01024055480957,0.0031330562,-0.0011315192,2500000,17.859293,5.379303,0.4363563060760498,0.03322,42608
-0.023117742,25250,101,6.023109327241691,96.04,93.95309138298035,0.003605765,-0.0013338148,2525000,17.416664,5.376595,0.438667356967926,0.038888,56631
0.007975419,25500,102,8.804206313610084,96.61,94.77034711837769,0.0022788816,-0.0009362701,2550000,29.43863,5.3758783,0.3428741693496704,0.020172,47001
-0.011337724,25750,103,5.950300540908124,97.15,95.73273921012878,0.0018066091,-0.0009450816,2575000,20.693926,5.3756866,0.4150819182395935,0.01224,54286
-0.012322479,26000,104,3.8258712960534105,93.74,96.57979321479797,0.0034472488,-0.0008175123,2600000,24.683916,5.375038,0.3795417547225952,0.033444,55182
-0.036826074,26250,105,3.447854721538488,88.02,97.41198229789734,0.0029887669,-0.001421211,2625000,14.591003,5.3751664,0.478576123714447,0.029103998,54705
-0.023119941,26500,106,5.805305291052073,97.32,98.23847365379333,0.0040581515,-0.0012998866,2650000,19.483784,5.3763533,0.4296591877937317,0.046356,54926
-0.044458773,26750,107,4.759458521902434,90.52,99.08099222183228,0.0035477548,-0.0014799166,2675000,9.708408,5.3759623,0.5764492154121399,0.037375998,38695
0.015026022,27000,108,7.003000640861007,98.71,100.10412263870239,0.0036643867,-0.00030471847,2700000,31.450155,5.3744354,0.36918091773986816,0.038748,49602
-0.015970046,27250,109,8.026454627418962,101.84,100.9747998714447,0.003454207,-0.001207383,2725000,18.753487,5.374114,0.45875829458236694,0.033868,55011
-0.0009144348,27500,110,5.574363117819043,101.29,101.79292726516724,0.003062393,-0.001166225,2750000,26.012775,5.371972,0.4022458791732788,0.030559998,54650
-0.015798058,27750,111,3.685006349072871,102.7,102.64118123054504,0.0023839078,-0.0009913743,2775000,18.88572,5.367199,0.4572318196296692,0.02406,56197
-0.01754849,28000,112,5.973471336155219,105.83,103.46084141731262,0.003218963,-0.0011397317,2800000,17.339064,5.3622694,0.49041813611984253,0.036456,52377
-0.0040915087,28250,113,4.921209077353909,97.82,104.31970143318176,0.0013488836,-0.0008145651,2825000,22.084324,5.3592463,0.3877637982368469,0.006564,47870
-0.012272129,28500,114,5.658986847752312,97.48,105.27638626098633,0.0016400728,-0.00060680613,2850000,20.848942,5.3571463,0.4187549948692322,0.010027999,52095
-0.036939066,28750,115,1.5308049175289307,85.27,106.17799234390259,0.0040497817,-0.0013872862,2875000,12.709157,5.353834,0.5694146156311035,0.045924,52991
-0.026867174,29000,116,1.7820401446190226,89.77,107.07407093048096,0.0023390832,-0.0007134897,2900000,17.54494,5.349508,0.4632375240325928,0.018844,49791
-0.029800493,29250,117,2.6612822035441286,90.63,108.00128054618835,0.004585305,-0.0021246308,2925000,15.064197,5.344595,0.5106193125247955,0.053676,48794
-0.021199288,29500,118,3.619042822018082,90.8,108.9070303440094,0.0021948875,-0.0009783685,2950000,17.474382,5.3388767,0.4763000011444092,0.01576,54613
0.012874781,29750,119,8.007580149681935,103.11,109.75938034057617,0.0030866363,-0.0005489924,2975000,30.669764,5.3341722,0.34266263246536255,0.03224,55816
0.015585042,30000,120,9.963506142899513,98.96,110.5860207080841,0.0019870256,-0.0010091355,3000000,32.180244,5.330939,0.3410845994949341,0.015764,43111
-0.019427203,30250,121,3.8682463682363846,97.79,111.54893660545349,0.0018801637,-0.0013308218,3025000,18.941696,5.329054,0.4701022505760193,0.016735999,52784
-0.040351722,30500,122,1.811122786124463,98.76,112.48594331741333,0.0033964384,-0.001156406,3050000,9.48052,5.327199,0.6170028448104858,0.035520002,47468
-0.012032412,30750,123,4.900319422869813,105.08,113.46615362167358,0.0057582157,-0.0008923216,3075000,20.444963,5.3253527,0.4557649493217468,0.069216,37315
-0.0142254215,31000,124,2.831555157438313,101.65,114.70223593711853,0.004079212,-0.00089434756,3100000,20.771973,5.321027,0.45557379722595215,0.042932,45552
-0.020694029,31250,125,8.99734553001364,111.37,115.7726640701294,0.0029783638,-0.0016980667,3125000,15.965118,5.316063,0.48619019985198975,0.02678,49057
