n_updates,fps,ep_reward_mean,total_timesteps,true_reward,policy_entropy,ep_len_mean,clipfrac,time_elapsed,approxkl,explained_variance,value_loss,serial_timesteps,policy_loss
47,56830,8.684113680307213,1175000,0.042458408,-2.4709435,209.44,0.133116,44.19263052940369,0.009721005,0.9767867978662252,0.016947638,11750,-0.001357904
48,56152,7.713818575752521,1200000,0.042736284,-2.4685862,185.1,0.125804,44.99322772026062,0.009296032,0.9716048780828714,0.023279581,12000,-0.0024887032
49,55461,8.21565201375426,1225000,0.042042036,-2.468636,200.0,0.18306401,45.79745626449585,0.013426271,0.9862278597429395,0.011663904,12250,0.000755462
50,56774,9.527338386026095,1250000,0.042558305,-2.467095,223.73,0.107016005,46.612855195999146,0.008161097,0.985970207490027,0.009340243,12500,-0.0017255798
51,56168,9.261055624622859,1275000,0.044213776,-2.4673865,212.64,0.175928,47.4231162071228,0.013713551,0.9815674275159836,0.01212697,12750,0.0022730965
52,55346,9.96547655571468,1300000,0.043000147,-2.4690928,229.04,0.175056,48.218449115753174,0.012725082,0.9885131111368537,0.0074206567,13000,0.0013118122
53,56867,8.734707256186685,1325000,0.041846257,-2.4696612,213.15,0.17306001,49.03334856033325,0.012419685,0.9815529584884644,0.013422388,13250,0.00025989822
54,55339,8.99016006213185,1350000,0.04214573,-2.4701533,215.91,0.1758,49.81924557685852,0.0141952485,0.9793515205383301,0.014369527,13500,-0.0011856358
55,56348,9.11818094354181,1375000,0.042980235,-2.4719057,215.08,0.20614001,50.642685413360596,0.017242372,0.9826935082674026,0.012013923,13750,0.002720551
56,55670,8.320563309337013,1400000,0.042484522,-2.4718158,199.83,0.16358,51.45737957954407,0.012555514,0.973400242626667,0.021007536,14000,0.00040454976
57,55457,9.264564189616067,1425000,0.043067783,-2.4703724,214.95,0.17214799,52.27098083496094,0.012472121,0.9865264669060707,0.010865732,14250,0.00033587715
58,55638,9.318744477293002,1450000,0.04296531,-2.4708357,217.21,0.229912,53.08373260498047,0.018048551,0.9866737136617303,0.009639261,14500,0.0041238978
59,44491,8.517957402661487,1475000,0.041845713,-2.4692757,204.14,0.162944,53.953975439071655,0.01252756,0.9854616830125451,0.011870183,14750,0.00044216317
60,53143,8.846698407921858,1500000,0.042993788,-2.4664438,206.03,0.18695602,54.916359663009644,0.014776844,0.9711490459740162,0.022964748,15000,0.0017958774
61,54767,8.040521251806204,1525000,0.042572744,-2.4663322,192.64,0.276268,55.78419828414917,0.023444865,0.9831900745630264,0.014467481,15250,0.005074612
62,54826,9.236512352345652,1550000,0.04385285,-2.4639058,213.82,0.132548,56.607792377471924,0.009843201,0.9828103128820658,0.012173759,15500,-0.0008198473
63,54298,8.578316255458931,1575000,0.042490244,-2.4611487,205.57,0.28660798,57.414055585861206,0.02363382,0.985293691046536,0.0120690605,15750,0.0064252764
64,53709,8.736544147437085,1600000,0.041441847,-2.4602017,210.29,0.27510804,58.2378785610199,0.024299128,0.9771969635039568,0.019310374,16000,0.0046104747
65,54417,8.681936948177462,1625000,0.04360032,-2.46061,200.25,0.22544801,59.06006574630737,0.01766748,0.983365461230278,0.014428951,16250,0.005905348
66,55476,9.389419943025437,1650000,0.043946706,-2.4625163,212.31,0.17882,59.88659071922302,0.013066724,0.9910606518387794,0.0075394204,16500,0.0011235425
67,54505,8.775357019080694,1675000,0.045022193,-2.4652352,195.22,0.235564,60.700154066085815,0.018459821,0.989199067465961,0.010832975,16750,0.0046868967
68,54746,9.019801737856106,1700000,0.043063242,-2.466456,213.18,0.21567202,61.5324866771698,0.017721731,0.9775944612920284,0.016842466,17000,0.0021482757
69,54293,9.242552622452209,1725000,0.04196687,-2.4690742,221.66,0.181548,62.355578899383545,0.0132136885,0.9925315571017563,0.0052201706,17250,0.0013727078
70,55867,9.292572307184873,1750000,0.042176973,-2.471347,219.14,0.10157199,63.17994832992554,0.007786209,0.9780560731887817,0.017292123,17500,-0.0037897367
71,56593,8.644637762707822,1775000,0.04257486,-2.47502,203.52,0.132156,63.9890079498291,0.009619259,0.9706294797360897,0.025921697,17750,-0.0014792593
