approxkl,n_updates,clipfrac,true_reward,value_loss,fps,serial_timesteps,ep_reward_mean,ep_len_mean,explained_variance,total_timesteps,time_elapsed,policy_loss,policy_entropy
0.003742598,58,0.042136,-0.140108,0.22190411,58482,14500,0.5666241846585581,29.63,0.816814199090004,1450000,55.39743208885193,-0.002793912,5.047065
0.0032565892,59,0.036176,-0.13326217,0.22585037,59181,14750,0.49687775304578735,29.99,0.820959210395813,1475000,56.23100686073303,-0.0018238373,5.03242
0.002801512,60,0.023548,-0.13050039,0.23455879,58549,15000,0.6291719210036536,33.79,0.8105937540531158,1500000,57.04963445663452,-0.0011719033,5.0206065
0.002971794,61,0.026176,-0.12928204,0.24349508,58789,15250,0.600902723811032,29.1,0.8152750581502914,1525000,57.89201545715332,-0.0017882545,5.011356
0.0041515264,62,0.044988,-0.13263264,0.24080312,58880,15500,0.5620397413710271,30.94,0.8179247677326202,1550000,58.724870920181274,-0.0030116432,5.000914
0.004542575,63,0.051684003,-0.12601222,0.24982528,57973,15750,0.6435886325760839,32.5,0.8123684823513031,1575000,59.575743198394775,-0.002818754,4.988993
0.0033526383,64,0.030116001,-0.12990344,0.26300988,54161,16000,0.6395567854277578,30.81,0.8056498765945435,1600000,60.40440249443054,-0.002676778,4.977574
0.0038120865,65,0.037796,-0.12591806,0.2453763,56209,16250,0.5871489191146247,31.3,0.8188724964857101,1625000,61.268909215927124,-0.0025852087,4.9638867
0.0035743243,66,0.033379998,-0.12361182,0.25493625,59167,16500,0.6533040606539157,32.86,0.8163423538208008,1650000,62.11866784095764,-0.0024356465,4.950587
0.002925791,67,0.023244,-0.12453131,0.25360972,58232,16750,0.6302476919643163,29.82,0.8169053643941879,1675000,62.93660020828247,-0.002031272,4.9366198
0.003822858,68,0.040328,-0.122609876,0.24868166,58419,17000,0.7342800058035027,31.6,0.8238072544336319,1700000,63.77355670928955,-0.0027040835,4.925219
0.0039556567,69,0.040235996,-0.12794572,0.23457062,58331,17250,0.6283326912439497,28.57,0.8310631215572357,1725000,64.59547638893127,-0.0024168994,4.9129496
0.003563426,70,0.034212,-0.12496077,0.24576867,40144,17500,0.5910238730512628,28.11,0.8235603421926498,1750000,65.41244173049927,-0.0022760008,4.8996654
0.0029128867,71,0.024699999,-0.119153984,0.25290686,57377,17750,0.7137033070557027,32.51,0.8181737810373306,1775000,66.41854095458984,-0.002005068,4.885835
0.0031579982,72,0.028692001,-0.12241235,0.23342867,59128,18000,0.5751995462546255,28.64,0.8325064480304718,1800000,67.23503422737122,-0.0020485115,4.87256
0.0027580927,73,0.024072,-0.12033494,0.24148878,58090,18250,0.7645695716122282,32.56,0.8296846300363541,1825000,68.04752683639526,-0.0018591767,4.859109
0.0022437486,74,0.016428,-0.11793791,0.23886862,58748,18500,0.6695021875725433,32.8,0.8322319388389587,1850000,68.8997118473053,-0.001595699,4.847123
0.0027659622,75,0.024684,-0.11773321,0.2351326,58758,18750,0.6701243834546949,31.08,0.8376020193099976,1875000,69.71420812606812,-0.0018607738,4.836425
0.0029364729,76,0.023839999,-0.11793289,0.24561551,56864,19000,0.6176578417682503,32.69,0.8288379460573196,1900000,70.54692459106445,-0.001645539,4.828148
0.002347135,77,0.016348,-0.121918626,0.24912445,57572,19250,0.6388768112993057,30.85,0.8280267417430878,1925000,71.44427967071533,-0.0015184106,4.819315
0.0036963597,78,0.036296,-0.116398044,0.23450422,53686,19500,0.7197611757243066,32.31,0.8380312621593475,1950000,72.2829282283783,-0.002534684,4.8080225
0.0033412375,79,0.029924,-0.115337074,0.21244928,57766,19750,0.8206620204069156,33.85,0.8521656543016434,1975000,73.15113377571106,-0.0018646119,4.7949057
0.0030976417,80,0.025131997,-0.11707895,0.22939818,58645,20000,0.6650060570079745,30.15,0.8476418554782867,2000000,73.96220517158508,-0.0015734216,4.7820864
0.0033141102,81,0.029068002,-0.11751685,0.23146692,58953,20250,0.7054246526779389,32.39,0.8423376828432083,2025000,74.80668139457703,-0.0019914024,4.768647
0.0024677378,82,0.016496,-0.11474271,0.24341288,58830,20500,0.8397445194953411,35.72,0.8392028510570526,2050000,75.64630079269409,-0.0013386074,4.755974
0.0032763458,83,0.028896,-0.11678836,0.24465553,58255,20750,0.8715914893664239,35.58,0.8349214345216751,2075000,76.46708679199219,-0.0018831551,4.7444253
0.002899857,84,0.02174,-0.109064534,0.2206014,57301,21000,0.8498766905429739,38.11,0.8511725068092346,2100000,77.30192446708679,-0.001556404,4.735219
0.0025484962,85,0.020211998,-0.1148803,0.22338589,58362,21250,0.7675932700803832,34.5,0.8500176817178726,2125000,78.16594457626343,-0.0018102909,4.726431
0.0035041268,86,0.032112002,-0.11218941,0.21221738,57880,21500,0.6571879087774976,32.39,0.8613672852516174,2150000,78.99579906463623,-0.0019135845,4.716893
0.0033894952,87,0.031467997,-0.1091792,0.23493378,59185,21750,0.8959039033359659,38.78,0.8478793054819107,2175000,79.83472466468811,-0.0019018356,4.7050524
0.003671759,88,0.033372,-0.10848318,0.21131893,58517,22000,0.7702586778555155,36.24,0.8630051612854004,2200000,80.67486667633057,-0.0020006816,4.6937785
0.0035258073,89,0.031919997,-0.109776706,0.22482118,51433,22250,0.8152906800150277,36.14,0.8554307371377945,2225000,81.49002408981323,-0.0016006709,4.6827116
0.0030501154,90,0.023715999,-0.11069873,0.22058383,58339,22500,0.7140179031608568,33.77,0.8578846454620361,2250000,82.39202380180359,-0.0012810186,4.672134
0.0027264233,91,0.020852,-0.10773966,0.20149502,54165,22750,0.7912822162386874,34.0,0.8692620098590851,2275000,83.21800684928894,-0.001664174,4.662156
0.0024593456,92,0.01922,-0.10623564,0.20750098,53985,23000,0.7104211603901104,33.02,0.8702537715435028,2300000,84.07948684692383,-0.0015214335,4.65172
0.0023820945,93,0.017504,-0.10805495,0.21881254,58363,23250,0.8279744708288672,36.03,0.8615452349185944,2325000,84.95209217071533,-0.0015572387,4.64385
0.0031221525,94,0.0287,-0.10542946,0.20879798,56654,23500,0.7910773296768024,38.01,0.8688469976186752,2350000,85.78147506713867,-0.0022546402,4.6362057
0.0026519012,95,0.023556,-0.1034704,0.21946064,57980,23750,0.7910674780592478,36.1,0.8666311204433441,2375000,86.63024282455444,-0.0019159608,4.6260757
0.0024895293,96,0.019048,-0.10588471,0.22721443,59569,24000,0.7805851838859053,35.36,0.8574260622262955,2400000,87.46368503570557,-0.002057931,4.614808
0.0038042548,97,0.039144002,-0.10324489,0.20841512,57414,24250,0.8476443448858482,35.42,0.8711886256933212,2425000,88.28904128074646,-0.0024645154,4.6037254
0.0026984126,98,0.023336,-0.1031243,0.21313682,57840,24500,0.7614822046734002,35.41,0.869795098900795,2450000,89.17868185043335,-0.0016756555,4.592938
0.0031104828,99,0.02738,-0.100750275,0.19939621,58597,24750,0.7859716788239485,37.45,0.8778629675507545,2475000,90.01530694961548,-0.0021125763,4.581162
0.0038539947,100,0.040376,-0.097869895,0.20207076,58584,25000,0.861417848314519,38.06,0.8774198591709137,2500000,90.83709669113159,-0.0023871479,4.5674233
0.0035776726,101,0.035120003,-0.10225621,0.21307914,54607,25250,0.6269968456970946,35.94,0.8727418929338455,2525000,91.66308069229126,-0.0021034982,4.5560083
0.0027064052,102,0.020456001,-0.097231865,0.20166795,56270,25500,0.7528174684503415,35.49,0.8791927173733711,2550000,92.5525131225586,-0.0018547248,4.543596
0.0041169343,103,0.044756003,-0.09611811,0.20189103,58175,25750,0.8250915601096677,35.84,0.8834368884563446,2575000,93.40412998199463,-0.0024640504,4.5317135
0.0037398539,104,0.036051996,-0.092816696,0.20695195,59477,26000,0.8679342533339104,35.99,0.8837885111570358,2600000,94.21443247795105,-0.0022384748,4.519293
0.003367567,105,0.029563999,-0.09436117,0.19966115,58631,26250,0.8309139061295241,34.96,0.8877485990524292,2625000,95.02670669555664,-0.0019811282,4.506498
0.0037479084,106,0.0343,-0.09030525,0.19864044,44525,26500,0.9719805693442686,39.88,0.8916174694895744,2650000,95.85484600067139,-0.0021112077,4.496477
0.0039281724,107,0.039156,-0.09224852,0.21256304,58904,26750,0.8525171007521203,35.73,0.8862268701195717,2675000,96.79159641265869,-0.0019721303,4.4881225
0.0042473106,108,0.047072,-0.092061825,0.21535699,59229,27000,0.7420947011967018,31.49,0.8862380012869835,2700000,97.60103917121887,-0.0016138246,4.4786334
0.0031708889,109,0.025727998,-0.087096155,0.20285621,53659,27250,0.9470192644850886,37.03,0.8906399384140968,2725000,98.41559839248657,-0.0016685479,4.465932
0.0026067137,110,0.01964,-0.08620561,0.2215079,53494,27500,0.8526708510361913,35.31,0.884911447763443,2750000,99.3039083480835,-0.0018071625,4.4519525
0.003826271,111,0.035928003,-0.087225534,0.21775615,54872,27750,0.9460298230835997,36.62,0.8866507634520531,2775000,100.19515466690063,-0.00259217,4.438535
0.0034200172,112,0.031124001,-0.08567247,0.20568557,58337,28000,0.9558094845917731,37.53,0.8927306681871414,2800000,101.05385184288025,-0.0020039775,4.426216
0.00378895,113,0.037792,-0.083020724,0.20622043,55181,28250,0.913931025149177,37.38,0.8932687193155289,2825000,101.87594151496887,-0.0026012887,4.4132767
0.0034886817,114,0.034884,-0.0768975,0.21747434,58740,28500,1.0130044101707996,41.84,0.8908148109912872,2850000,102.71306157112122,-0.0022903448,4.401459
0.0031301628,115,0.027983999,-0.07658802,0.2243654,53092,28750,1.220545412220381,42.22,0.8882377594709396,2875000,103.53850269317627,-0.0023758535,4.38831
0.003486969,116,0.033896,-0.073965326,0.20837513,56747,29000,0.9681517555523351,40.03,0.8987816050648689,2900000,104.4236249923706,-0.002380652,4.376652
0.0030264622,117,0.024724,-0.07181417,0.2113624,54824,29250,1.140695084627214,43.71,0.8992447927594185,2925000,105.294997215271,-0.0024211763,4.3655634
0.0031525071,118,0.027787998,-0.06510601,0.20512135,54298,29500,1.1939328607630524,49.45,0.9023121073842049,2950000,106.23994970321655,-0.0025383248,4.354785
0.003883614,119,0.042143997,-0.06297876,0.22123775,46419,29750,1.4535401752793586,51.73,0.8992883488535881,2975000,107.14858436584473,-0.002310471,4.342693
0.0040795216,120,0.043444,-0.061735347,0.21891883,58301,30000,1.3050069550726335,49.75,0.9035584852099419,3000000,108.1967122554779,-0.002950597,4.332655
0.0036351993,121,0.035376,-0.059267834,0.23391576,58525,30250,1.443437248155824,52.16,0.8957742005586624,3025000,109.10337853431702,-0.0025565508,4.323886
0.0028122626,122,0.023839999,-0.05767469,0.23213346,55754,30500,1.157312307630441,45.09,0.903355672955513,3050000,109.92530226707458,-0.002638815,4.3138933
0.004278726,123,0.046624,-0.051070742,0.22931543,56498,30750,1.3541363149291283,50.2,0.9052654430270195,3075000,110.81759691238403,-0.002827623,4.301983
0.0032390137,124,0.026548002,-0.050127733,0.22824177,57896,31000,1.363598122301064,55.12,0.9068246930837631,3100000,111.68673706054688,-0.0019696981,4.291645
0.0034459133,125,0.02992,-0.048012085,0.25353634,59138,31250,1.3536983843631127,50.58,0.9027238637208939,3125000,112.50552892684937,-0.0017163329,4.280922
0.003169261,126,0.030515999,-0.04842173,0.26532644,59746,31500,1.2958985076721183,46.27,0.9010437801480293,3150000,113.30289626121521,-0.0021701865,4.2717066
0.004002794,127,0.04062,-0.044504985,0.2722888,58024,31750,1.5273603807011569,51.28,0.9006117731332779,3175000,114.10021877288818,-0.0026195114,4.2630224
0.0030686078,128,0.027172,-0.042389523,0.242029,58883,32000,1.347641623654074,49.05,0.9131071865558624,3200000,114.93376922607422,-0.0020028302,4.254035
0.0035556138,129,0.03442,-0.037893984,0.24586907,58025,32250,1.5533709737217214,51.55,0.9156139940023422,3225000,115.78265643119812,-0.002960559,4.246858
0.0048843594,130,0.055248,-0.031907983,0.255513,58061,32500,1.7863636494770674,57.24,0.9137323349714279,3250000,116.63233804702759,-0.0026483047,4.239144
