ep_len_mean,fps,time_elapsed,value_loss,ep_reward_mean,clipfrac,true_reward,policy_entropy,total_timesteps,n_updates,approxkl,policy_loss,serial_timesteps,explained_variance
250.0,47483,73.85977077484131,0.00230114,17.59966307250266,0.07192399,0.07039865,2.1685472,2200000,88,0.0058536194,-0.0011199377,22000,0.9786361008882523
247.5,63795,74.84072756767273,0.010250549,17.395139848942055,0.076924,0.07032506,2.1608121,2225000,89,0.006390404,-0.00074996357,22250,0.9262887164950371
249.21,53597,75.70699095726013,0.0064401785,17.60357912061212,0.076032,0.070588924,2.156546,2250000,90,0.006084441,-0.0025291468,22500,0.9543164968490601
242.64,56723,76.62294888496399,0.02917258,17.12240583191946,0.11623199,0.07044548,2.1555617,2275000,91,0.008591929,-0.002217241,22750,0.8524076789617538
248.43,64303,77.51515674591064,0.010414565,17.765448127108538,0.07456,0.07146663,2.1588566,2300000,92,0.005975439,-0.0023536393,23000,0.9117388725280762
248.45,67427,78.3212218284607,0.010540094,17.602252404365455,0.100283995,0.070818864,2.1623082,2325000,93,0.0074451743,-0.0017920658,23250,0.916137121617794
246.46,68219,79.09326410293579,0.026592582,17.617887080989313,0.124568,0.071305975,2.164434,2350000,94,0.008872204,-0.0017052762,23500,0.8201074302196503
244.4,67736,79.86694812774658,0.029054362,17.242175282515092,0.115328,0.070245445,2.1660395,2375000,95,0.008446513,-0.0020707755,23750,0.8586645722389221
249.27,71783,80.63949608802795,0.0062200376,17.574238940542564,0.089656,0.07043846,2.167601,2400000,96,0.006985621,-0.0017975873,24000,0.9593679532408714
246.24,70515,81.37410879135132,0.016105017,17.448142124001752,0.068756,0.070803635,2.1661317,2425000,97,0.005698985,-0.0014127082,24250,0.9184616878628731
248.23,68879,82.1256194114685,0.019838449,17.49241451176058,0.101652004,0.07032228,2.1635213,2450000,98,0.008266507,-0.0012547013,24500,0.8707392513751984
246.05,68609,82.8969178199768,0.021177199,17.465500353824464,0.11907601,0.07074661,2.1618924,2475000,99,0.009652463,-0.0017366696,24750,0.8822159171104431
250.0,68798,83.64904975891113,0.0018864697,17.704452452751575,0.07864799,0.07081781,2.1589026,2500000,100,0.006249346,-0.0018394813,25000,0.9843680616468191
250.0,67716,84.39909434318542,0.0019222565,17.691679678492946,0.073888004,0.07076672,2.1563091,2525000,101,0.0059340806,-0.0023860033,25250,0.9843528214842081
242.92,71398,85.15434336662292,0.032256305,17.198791666652543,0.136844,0.07082593,2.1477652,2550000,102,0.0100135915,-0.0010231079,25500,0.8104017823934555
241.54,70167,85.89581108093262,0.05117945,17.106996316681034,0.060608,0.07048472,2.1411867,2575000,103,0.0051629464,-0.0024141537,25750,0.8021764308214188
236.76,70678,86.64491772651672,0.07209379,16.79739643075038,0.058984,0.070727244,2.1357462,2600000,104,0.005237474,-0.001582558,26000,0.7187959849834442
239.46,70543,87.38996148109436,0.051879406,17.07986692959472,0.12636802,0.07111538,2.1331725,2625000,105,0.009480613,-0.0019192921,26250,0.8000261634588242
245.95,70425,88.14187097549438,0.023821685,17.417738892873313,0.112784006,0.07067165,2.131825,2650000,106,0.008672927,-0.0025497829,26500,0.8708022981882095
246.93,69485,88.88814926147461,0.022695247,17.484417767454943,0.127884,0.0707562,2.1278625,2675000,107,0.009629203,-0.0011555254,26750,0.8623718470335007
248.73,71362,89.64886498451233,0.01255514,17.6837518389849,0.11414399,0.070990026,2.1189911,2700000,108,0.008339737,-0.0010122933,27000,0.9108082801103592
248.32,67214,90.38575053215027,0.009664215,17.632848960911215,0.080776,0.07091848,2.1109464,2725000,109,0.0065292576,-0.0020704179,27250,0.9268087521195412
249.03,66418,91.14708638191223,0.0067223506,17.62558470302058,0.057279997,0.0707402,2.1030595,2750000,110,0.005069663,-0.0020029729,27500,0.9548707343637943
249.23,69472,91.91569089889526,0.006158312,17.705362021557665,0.084328,0.070973545,2.0935743,2775000,111,0.0066771572,-0.0009636848,27750,0.9579407460987568
246.54,69704,92.66460466384888,0.017303906,17.696294946189155,0.112976,0.07165096,2.087131,2800000,112,0.008874467,-0.0005198307,28000,0.8896747976541519
246.52,69302,93.42000770568848,0.016290054,17.567260360334185,0.092964,0.07114438,2.082933,2825000,113,0.00710686,-0.0020006227,28250,0.9083598852157593
248.46,70481,94.1625611782074,0.01248745,17.851437731512124,0.058655996,0.071810804,2.0794497,2850000,114,0.0050523514,-0.0014335024,28500,0.9174653217196465
247.32,68254,94.91744422912598,0.020200226,17.787932604859815,0.09568,0.071894296,2.0749133,2875000,115,0.007254605,-0.0016043454,28750,0.8665332347154617
244.74,67443,95.68050026893616,0.025524467,17.50844836081378,0.059115995,0.07147448,2.073217,2900000,116,0.0050178706,-0.0011736957,29000,0.8616231232881546
246.18,66688,96.43305397033691,0.017532028,17.593542430879026,0.094848014,0.07140859,2.071898,2925000,117,0.0072189877,-0.0017296873,29250,0.8910557553172112
244.1,67798,97.186776638031,0.03180381,17.44405772995495,0.13725999,0.07145394,2.072574,2950000,118,0.01113188,-0.0025875648,29500,0.8160817176103592
249.12,67797,97.93229246139526,0.007537202,17.776955433101392,0.087448,0.071298845,2.0721183,2975000,119,0.006994117,-0.0010303535,29750,0.9509594663977623
246.28,68530,98.69020247459412,0.022604687,17.508247652813154,0.117088,0.07106272,2.070248,3000000,120,0.009562775,-0.00090731296,30000,0.8652818351984024
248.85,70194,99.45967197418213,0.009517716,17.815095625387038,0.111072004,0.07157889,2.0669627,3025000,121,0.008353261,-0.0017781978,30250,0.9326322600245476
242.88,70690,100.21098971366882,0.046362963,17.39104557025932,0.095544,0.07135368,2.0662453,3050000,122,0.007353557,-0.0024134566,30500,0.7659404277801514
247.98,70237,100.95354127883911,0.0144269,17.673041105883314,0.08741201,0.07124058,2.0667853,3075000,123,0.006740822,-0.001338035,30750,0.9003900736570358
247.42,66077,101.72160363197327,0.019467836,17.68773862198228,0.109832,0.071375534,2.0648305,3100000,124,0.00821859,-0.002272673,31000,0.8808164149522781
245.13,67411,102.48608231544495,0.03019599,17.476591108359862,0.151288,0.07104534,2.0618453,3125000,125,0.012099937,-0.0008814116,31250,0.8367637693881989
248.41,69005,103.24517941474915,0.012251014,17.692135015508683,0.07248,0.071140274,2.058354,3150000,126,0.0059675938,-0.0015577208,31500,0.9221954643726349
245.6,68233,103.99490737915039,0.020798255,17.29156930518162,0.149276,0.070414476,2.0558991,3175000,127,0.011426339,-0.0022976531,31750,0.8756235167384148
249.48,69183,104.75317573547363,0.006330966,17.645408709651676,0.076763995,0.07066333,2.053391,3200000,128,0.0060950415,-0.0020600404,32000,0.9562454521656036
249.05,69305,105.50242233276367,0.011815051,17.760802891501225,0.119936004,0.07126044,2.0537078,3225000,129,0.009557858,-0.0015034613,32250,0.9116958305239677
250.0,66593,106.26585364341736,0.0016415922,17.737656873982342,0.058064003,0.07095063,2.0560794,3250000,130,0.0050643976,-0.0012995878,32500,0.9892109744250774
241.04,67475,107.04464077949524,0.044974897,17.266675700081397,0.067159995,0.07160965,2.0580769,3275000,131,0.0056899358,-0.0010878111,32750,0.7478944659233093
229.23,68670,107.82644319534302,0.09865685,16.327877958724276,0.091992006,0.071073845,2.0634942,3300000,132,0.0077624596,-0.00096839265,33000,0.6326078474521637
245.4,68695,108.58072519302368,0.028966572,17.595933286885558,0.100676,0.07163604,2.0655231,3325000,133,0.0076078624,-0.0016931912,33250,0.8401999175548553
243.01,69921,109.33121657371521,0.03759314,17.38741646319191,0.109348,0.071350984,2.0627942,3350000,134,0.008086688,-0.0019500395,33500,0.8097150027751923
247.13,68182,110.13050293922424,0.0136341695,17.735752390271518,0.06922,0.07166865,2.0591578,3375000,135,0.005691955,-0.0012295323,33750,0.9224327355623245
250.0,71206,110.90154671669006,0.0024723052,17.74143425909686,0.06904,0.070965745,2.055237,3400000,136,0.0057110437,-0.0022665581,34000,0.9813027493655682
244.6,71701,111.64981603622437,0.0380191,17.434771604331765,0.13650802,0.07112832,2.0497007,3425000,137,0.010706971,-0.0012452137,34250,0.8086722195148468
248.92,70503,112.38940191268921,0.008526379,17.814957920076267,0.08527999,0.071481116,2.049917,3450000,138,0.006624167,-0.0017992265,34500,0.950853019952774
240.83,70309,113.13143706321716,0.057391983,17.247830785805707,0.15708001,0.07133621,2.0531535,3475000,139,0.011757108,-0.0010869366,34750,0.745211124420166
239.2,70381,113.87585616111755,0.052403502,17.05234536045231,0.095284,0.07110646,2.0520406,3500000,140,0.0070851976,-0.0017425414,35000,0.7724573910236359
241.8,68312,114.61482858657837,0.04909939,17.275085237081022,0.0964,0.07132635,2.0501819,3525000,141,0.0073461705,-0.0015620604,35250,0.7581897974014282
248.55,68445,115.35688519477844,0.01127699,17.819902652603343,0.058808,0.07163792,2.0485127,3550000,142,0.0051076235,-0.0021552776,35500,0.9275688230991364
248.92,70337,116.08821725845337,0.010219019,17.895896696519486,0.084408,0.0718055,2.040052,3575000,143,0.0064914166,-0.0011941997,35750,0.9314118027687073
237.96,70486,116.85026216506958,0.049117886,17.02920905907522,0.11334401,0.07147493,2.0328796,3600000,144,0.00862722,-0.0019361246,36000,0.7820968925952911
247.57,69573,117.59035730361938,0.02178766,17.776736987061014,0.062988,0.07170122,2.0305483,3625000,145,0.005259704,-0.0014170621,36250,0.8651744574308395
248.54,69238,118.33393168449402,0.013093181,17.885359502749342,0.069352,0.07189701,2.0312848,3650000,146,0.005709896,-0.0013208783,36500,0.9180088192224503
250.0,69278,119.09911108016968,0.0019209569,17.93397927070142,0.079280004,0.07173592,2.0314355,3675000,147,0.0062133884,-0.0021768052,36750,0.985686007887125
243.39,69520,119.84815311431885,0.034709476,17.58324074921664,0.100503996,0.0721499,2.0279884,3700000,148,0.0076484596,-0.0009188831,37000,0.8191269189119339
250.0,68197,120.59130883216858,0.0020983065,17.81396499281662,0.06218,0.07125586,2.0265713,3725000,149,0.0052883606,-0.00265181,37250,0.990150474011898
243.46,71771,121.34076023101807,0.03958376,17.58736182312441,0.12047199,0.07206691,2.020312,3750000,150,0.009163194,-0.0011727244,37500,0.7966500818729401
242.82,70761,122.09126353263855,0.03493037,17.43071998650703,0.109472,0.071736686,2.0149064,3775000,151,0.008262358,-0.0024892653,37750,0.8290765434503555
245.25,71817,122.82774901390076,0.019697204,17.566945974776463,0.095520005,0.071600854,2.011261,3800000,152,0.0072725764,-0.0017431574,38000,0.8997741490602493
240.28,70794,123.56414341926575,0.0448731,17.23408769085159,0.088944,0.07162959,2.0073543,3825000,153,0.0067163147,-0.0018113988,38250,0.7968079745769501
245.91,67256,124.29649376869202,0.026625779,17.680718009056292,0.11928401,0.071754396,2.0023308,3850000,154,0.00884219,-0.0015902852,38500,0.859742283821106
244.63,69575,125.05860471725464,0.040626884,17.45172165725322,0.116235994,0.07115025,1.9989421,3875000,155,0.008608861,-0.0018210595,38750,0.800484374165535
233.56,70854,125.80675315856934,0.08790766,16.780280660772696,0.12130801,0.07154256,1.9983642,3900000,156,0.009124265,-0.002345174,39000,0.6641885340213776
236.57,69669,126.55258631706238,0.06302514,17.077853012233973,0.113956,0.071849026,1.99943,3925000,157,0.008427069,-0.0016910976,39250,0.7892681956291199
