serial_timesteps,ep_reward_mean,time_elapsed,approxkl,explained_variance,clipfrac,ep_len_mean,fps,n_updates,true_reward,value_loss,policy_entropy,policy_loss,total_timesteps
14000,2.0111477367921906,49.36657905578613,0.0035495907,0.770488440990448,0.035024002,45.21,68117,56,0.06055244,0.15307017,5.3181863,-0.002475825,1400000
14250,2.056199252223305,50.239375591278076,0.0029717642,0.7592695504426956,0.029216,43.57,60681,57,0.06120178,0.14857182,5.313764,-0.0024770044,1425000
14500,1.8574264965519252,51.089133501052856,0.0036870732,0.7899148166179657,0.040136002,39.76,63952,58,0.061051283,0.13117054,5.3125405,-0.0032034188,1450000
14750,2.273976968527786,51.91226673126221,0.0034436553,0.8162664771080017,0.035464,49.52,62729,59,0.062081974,0.11702381,5.309068,-0.002526185,1475000
15000,2.4897822200434168,52.81215953826904,0.0035832156,0.8522013872861862,0.034248002,47.91,61347,60,0.06211114,0.09162126,5.3022647,-0.0026390075,1500000
15250,2.865456046295731,53.69886302947998,0.00478861,0.8180853575468063,0.055655997,57.73,68150,61,0.06218665,0.11342943,5.2952204,-0.0033072382,1525000
15500,2.928920887982422,54.52580547332764,0.0038917214,0.8538832813501358,0.038772,57.91,63860,62,0.063881986,0.10199888,5.287713,-0.003025593,1550000
15750,2.482108868962241,55.39936375617981,0.0033830777,0.8435387909412384,0.033392,52.01,65997,63,0.061185565,0.119197346,5.2782717,-0.0026180106,1575000
16000,2.7761220993405367,56.249712228775024,0.003869769,0.7659542411565781,0.040968,56.12,64566,64,0.06077066,0.16127382,5.2709126,-0.0024661876,1600000
16250,3.097045587498869,57.05863404273987,0.0043985904,0.8505575954914093,0.047792,62.54,65900,65,0.061606012,0.100005366,5.266339,-0.0030612103,1625000
16500,3.049756595394283,57.88364887237549,0.0036887575,0.831804946064949,0.037336,56.78,64216,66,0.06335101,0.124849714,5.2589936,-0.0023812754,1650000
16750,2.7279841174179453,58.75798726081848,0.0039682025,0.7678758800029755,0.041660003,55.32,68759,67,0.061585136,0.1635702,5.251618,-0.003301302,1675000
17000,2.8438547625769752,59.57096743583679,0.0039279927,0.7842374891042709,0.039520003,57.52,67778,68,0.0634307,0.14884242,5.2471695,-0.0030417542,1700000
17250,3.6059472982890295,60.404335021972656,0.0044383868,0.8357303589582443,0.050312,65.07,62258,69,0.063446246,0.11706357,5.2423525,-0.0034573232,1725000
17500,3.497053244444469,61.36335730552673,0.0035481225,0.8064432442188263,0.035772003,65.33,58649,70,0.06367622,0.13457063,5.2359715,-0.0023663566,1750000
