serial_timesteps,true_reward,explained_variance,n_updates,ep_reward_mean,total_timesteps,time_elapsed,approxkl,policy_loss,policy_entropy,value_loss,ep_len_mean,clipfrac,fps
14500,0.003469427,0.8702580779790878,58,2.7412423418840626,1450000,61.99996638298035,0.0025230567,-0.0017823724,5.22182,0.68270797,47.37,0.018756,51163
14750,0.0038708868,0.8864054903388023,59,3.2234425723912135,1475000,62.94933319091797,0.0018261774,-0.0013234953,5.2119617,0.6427945,44.63,0.012284,54558
15000,0.0048127254,0.8794876262545586,60,3.440250746942429,1500000,63.872771978378296,0.0037690948,-0.0021804061,5.2024765,0.6700591,52.42,0.036236003,50307
15250,0.00024501095,0.8940057829022408,61,3.1121452866917436,1525000,64.8031599521637,0.002232994,-0.0014846312,5.1912546,0.5862683,47.38,0.017592002,54064
15500,0.0073265326,0.8817414194345474,62,4.074685102368167,1550000,65.7209119796753,0.0023186821,-0.0015867803,5.1812015,0.69521534,54.89,0.017548,53898
15750,0.0017608717,0.8831505551934242,63,3.1456135312880362,1575000,66.62698674201965,0.002232932,-0.0017273247,5.1738663,0.67452705,51.58,0.017384,52856
16000,0.0045857527,0.8868596479296684,64,3.4114078752615207,1600000,67.55123543739319,0.0022371279,-0.0018713359,5.1663046,0.65221137,48.87,0.016784001,50574
16250,0.0073365937,0.8849187716841698,65,3.564367249812349,1625000,68.49097657203674,0.0030496109,-0.0022685595,5.1596494,0.6330841,49.79,0.026328001,52149
16500,0.007678149,0.8824550211429596,66,3.467516123658206,1650000,69.43107008934021,0.0022232535,-0.0013346279,5.1518784,0.6738986,55.23,0.015311999,52621
16750,0.0056109517,0.881064772605896,67,2.9905855927000813,1675000,70.34518790245056,0.0030706816,-0.002110188,5.144197,0.68188316,54.72,0.027544001,52356
17000,0.0077095707,0.897447295486927,68,2.9158499107733586,1700000,71.27340006828308,0.003448657,-0.00213204,5.1379294,0.57205546,50.26,0.031807996,52280
17250,0.0052962364,0.8804790824651718,69,3.184650803227996,1725000,72.20390892028809,0.0030174453,-0.0020154193,5.13368,0.66403437,53.04,0.027083999,48656
17500,0.008167502,0.8947316557168961,70,2.9461978637322317,1750000,73.14891028404236,0.0028059345,-0.0016104113,5.12743,0.5798861,46.32,0.024156,54599
17750,0.010812663,0.8841592893004417,71,3.5158697749207204,1775000,74.041574716568,0.0025537636,-0.0014591484,5.1235223,0.65643436,50.97,0.020328002,52820
18000,0.004273962,0.882097065448761,72,3.11585282473563,1800000,74.94314122200012,0.002175878,-0.0009654017,5.120475,0.6338204,50.74,0.01898,45936
18250,0.012337682,0.8776937201619148,73,3.602633559034366,1825000,75.90258455276489,0.002688217,-0.0013803673,5.1191244,0.6878525,52.25,0.022223998,54733
18500,0.0093258275,0.8790888041257858,74,3.6633817435469975,1850000,76.802494764328,0.0029203508,-0.0013317913,5.1158876,0.681848,48.92,0.026484001,53595
18750,0.0031697827,0.8734342455863953,75,3.4334582599115673,1875000,77.70915603637695,0.004216346,-0.0020720228,5.1110706,0.7706044,49.14,0.047144,45858
19000,0.008970437,0.902174822986126,76,4.022376698165536,1900000,78.68885803222656,0.0031214678,-0.0019355321,5.105246,0.5521543,56.94,0.02904,48946
19250,0.013358995,0.9013387784361839,77,3.3163663042247937,1925000,79.62555408477783,0.002858186,-0.0018517025,5.0992956,0.5416827,53.25,0.021672,47527
19500,0.0155030815,0.8916822522878647,78,3.951317681784276,1950000,80.58119654655457,0.0021243736,-0.0016873945,5.0926356,0.6151237,58.08,0.017479999,53040
19750,0.0118640475,0.8975677862763405,79,3.6375024951879094,1975000,81.48750329017639,0.0034855113,-0.0021651746,5.088438,0.58746034,53.72,0.035392,54276
20000,0.013850731,0.8885887563228607,80,3.5922281718200977,2000000,82.38010573387146,0.0022999034,-0.0014280344,5.083863,0.62071013,53.11,0.020456,53341
20250,0.009904381,0.8864898681640625,81,3.3519994488872182,2025000,83.28413534164429,0.0032683283,-0.0020401657,5.0789595,0.7133325,55.26,0.029412001,52343
20500,0.012215297,0.8742572516202927,82,2.970608756944057,2050000,84.18583130836487,0.0023718444,-0.0012070768,5.0746546,0.77892303,45.39,0.017636001,54742
20750,0.009577688,0.8896335735917091,83,3.344937433264531,2075000,85.10652661323547,0.0023671866,-0.001437831,5.070384,0.6975776,50.64,0.018944,54869
21000,0.0072774384,0.8821428269147873,84,3.2635469173548337,2100000,86.00314545631409,0.0034757727,-0.0017645701,5.0660253,0.79049224,54.42,0.032096002,54774
21250,0.0138630485,0.8932187408208847,85,3.096847418888792,2125000,86.88797354698181,0.0022496611,-0.001977191,5.060453,0.63498956,55.0,0.019432,50119
21500,0.012907265,0.8909080624580383,86,3.986501998885651,2150000,87.8091402053833,0.0039173285,-0.0020499523,5.0522485,0.68788826,55.59,0.043776,50438
21750,0.012972858,0.906293474137783,87,3.525393061014656,2175000,88.73801279067993,0.0021808834,-0.0014792595,5.0430775,0.60129446,55.63,0.016672,54858
22000,0.013594981,0.8855319321155548,88,3.9352230981143475,2200000,89.61933374404907,0.0036842623,-0.0014895992,5.0318656,0.74272406,56.94,0.037591998,52601
22250,0.013250993,0.906906433403492,89,3.1398345222156787,2225000,90.52814078330994,0.0033440455,-0.0019374043,5.0259733,0.5760294,48.26,0.031508,54179
22500,0.015871605,0.9025237858295441,90,3.758680508918242,2250000,91.42348265647888,0.0036619105,-0.0021546788,5.020933,0.61680734,56.58,0.034900002,49666
22750,0.014038943,0.9038191139698029,91,3.6473888340537814,2275000,92.36092638969421,0.0028884124,-0.001812942,5.0144134,0.5815542,58.79,0.026252002,55716
23000,0.020075163,0.9027331247925758,92,3.5905247788116683,2300000,93.24128699302673,0.0024696589,-0.002130236,5.0073442,0.62243515,53.11,0.019960001,53109
23250,0.016403774,0.8894639760255814,93,3.1904251720012327,2325000,94.14689683914185,0.0029757856,-0.0019946662,5.0050936,0.6791692,49.73,0.026056001,49908
23500,0.018882478,0.8932859823107719,94,3.800788001881592,2350000,95.09686207771301,0.003663813,-0.0017216029,5.0022507,0.64950526,57.67,0.037040003,51394
23750,0.017811693,0.8981647565960884,95,3.607911263629212,2375000,95.99083018302917,0.0025461328,-0.001770447,4.9971566,0.6608304,52.25,0.023728,49660
24000,0.016866405,0.8921367898583412,96,3.220500119913986,2400000,96.92442226409912,0.0034098234,-0.0022204635,4.9891806,0.68999887,51.19,0.035604,53209
24250,0.017803788,0.9098256826400757,97,3.3497128853853066,2425000,97.8315999507904,0.0035649952,-0.0017687974,4.9811144,0.54044473,51.05,0.036952,54187
24500,0.018398734,0.896410383284092,98,2.991093686698441,2450000,98.71463513374329,0.003283695,-0.0016727627,4.971421,0.6724311,47.2,0.033276003,47162
24750,0.025315646,0.9151281118392944,99,4.019315847359667,2475000,99.67462944984436,0.0026340666,-0.001451184,4.9637733,0.5580307,55.96,0.021384,53163
25000,0.02512522,0.8983718156814575,100,3.8671435925486732,2500000,100.57811832427979,0.003051876,-0.002016071,4.9569883,0.67349213,52.65,0.030499998,53413
25250,0.020404365,0.9072305336594582,101,3.450526019518475,2525000,101.48001146316528,0.0024636313,-0.0013687599,4.950357,0.5909792,53.0,0.021424,54190
25500,0.02534877,0.9115650579333305,102,4.350182360239778,2550000,102.36675930023193,0.0030072606,-0.001917374,4.944412,0.5519874,55.51,0.027043998,52724
25750,0.018623104,0.8965944573283195,103,3.48632760267079,2575000,103.28778123855591,0.003071795,-0.0017151132,4.938672,0.705025,53.98,0.024999999,51486
26000,0.018942393,0.90249302983284,104,3.330994570382245,2600000,104.19711518287659,0.0033374757,-0.0022336203,4.9318137,0.68898666,53.38,0.031724,54868
26250,0.011908279,0.8956303298473358,105,3.4941314547760887,2625000,105.09647107124329,0.0037054096,-0.0015391895,4.923274,0.7579557,56.54,0.035608,51933
26500,0.017980568,0.9241446405649185,106,3.2672666810150988,2650000,105.99290919303894,0.0037482232,-0.0017315015,4.9180593,0.5390352,46.52,0.035651997,52477
26750,0.02074541,0.905377022922039,107,3.5773323883001287,2675000,106.88772892951965,0.0036576223,-0.002003825,4.9142237,0.62929857,54.98,0.038428,53373
27000,0.01981968,0.9148321449756622,108,2.9874703984937514,2700000,107.77656316757202,0.0032582965,-0.001686104,4.908912,0.59413034,46.83,0.028867995,52745
27250,0.018679356,0.897817350924015,109,3.364611426312913,2725000,108.68051075935364,0.003708531,-0.0023006888,4.902928,0.74766666,50.72,0.041544,53743
27500,0.025641074,0.9316842928528786,110,4.2235030450559865,2750000,109.58349609375,0.0029488695,-0.0012180057,4.897191,0.49452966,57.28,0.024092,53555
27750,0.021734457,0.9071653038263321,111,3.538044537211026,2775000,110.48394465446472,0.0033418722,-0.0021163593,4.8935065,0.6613361,50.65,0.030768001,53098
28000,0.02027714,0.9150011166930199,112,4.012875715398113,2800000,111.37201189994812,0.0035069608,-0.0017513412,4.886983,0.5955928,58.46,0.036128,53243
28250,0.025237966,0.922700434923172,113,3.724702327872219,2825000,112.28949522972107,0.0030815236,-0.0021435227,4.8780107,0.4855278,51.88,0.02938,51889
28500,0.021809587,0.911476619541645,114,2.950260291552404,2850000,113.1920645236969,0.0034771606,-0.0021294788,4.8686066,0.61356324,46.71,0.03382,45417
28750,0.026611011,0.901715375483036,115,3.8161117913927773,2875000,114.22726321220398,0.0035488424,-0.0022630598,4.859078,0.63056016,52.6,0.033880003,38637
29000,0.023640353,0.9286789149045944,116,4.198620521902339,2900000,115.33658790588379,0.0024897752,-0.0014269659,4.8499475,0.5515215,54.97,0.01824,53687
29250,0.028609153,0.8992182090878487,117,3.45183788505572,2925000,116.21973514556885,0.0039146836,-0.0015750233,4.8405013,0.70126,48.62,0.042036,53608
29500,0.022338131,0.911635585129261,118,4.074054642739356,2950000,117.11739182472229,0.003153634,-0.0014057693,4.833165,0.6419835,54.68,0.029432002,49913
29750,0.02729393,0.9126541838049889,119,3.801801809668323,2975000,118.09769654273987,0.0029156227,-0.0016285225,4.8289695,0.597628,50.87,0.026144002,35728
30000,0.023776375,0.9119690954685211,120,3.630071919403854,3000000,119.33829283714294,0.0028900155,-0.0017416641,4.8240867,0.61498004,50.8,0.026776,40136
30250,0.020735413,0.9132653251290321,121,3.429991052574478,3025000,120.46443343162537,0.003091482,-0.0012686297,4.8179913,0.6406017,49.99,0.029631998,44786
30500,0.017630374,0.9046812355518341,122,3.309948882539611,3050000,121.5014157295227,0.0050398824,-0.00082720275,4.813218,0.72771096,49.15,0.061152,49461
30750,0.022351602,0.9121562168002129,123,3.5834535133804457,3075000,122.47297477722168,0.002237461,-0.0014895414,4.80791,0.65234673,45.3,0.013676,49489
31000,0.025668915,0.8937510177493095,124,3.631980174537166,3100000,123.43496775627136,0.0038044073,-0.0023398348,4.800086,0.7809795,55.17,0.037812002,49553
31250,0.022369597,0.910297229886055,125,3.491522962095041,3125000,124.38948369026184,0.003178921,-0.0017938375,4.790399,0.69828826,51.28,0.03082,49020
31500,0.030258887,0.9289972186088562,126,4.053117873687443,3150000,125.37743949890137,0.0027737776,-0.0011953589,4.7823286,0.52763593,57.36,0.023288,48222
31750,0.02524341,0.9130929410457611,127,4.509754365110275,3175000,126.35090279579163,0.0031498335,-0.0021125472,4.775312,0.6703366,58.12,0.026512,50346
32000,0.026618578,0.8917649388313293,128,4.105882686390251,3200000,127.29693174362183,0.0023326862,-0.0014637663,4.7651577,0.79135954,54.72,0.018164,49342
32250,0.026447222,0.9116254299879074,129,4.698753128128592,3225000,128.24803805351257,0.0017501267,-0.001032802,4.758789,0.7479428,59.02,0.011488,49395
32500,0.027213844,0.9108639061450958,130,4.0764305366845655,3250000,129.2127583026886,0.003096626,-0.002093542,4.752679,0.6517088,54.51,0.026031997,49622
32750,0.022534693,0.9276404902338982,131,4.438527967368937,3275000,130.16757607460022,0.0024660775,-0.0015685102,4.74606,0.59577024,57.52,0.019027999,50107
33000,0.031279564,0.9175605103373528,132,3.4290356015596446,3300000,131.10660862922668,0.0026414138,-0.0011252786,4.7413764,0.64021385,46.57,0.022591999,49587
33250,0.02577138,0.89714215695858,133,3.6256974614092177,3325000,132.0861315727234,0.0022472057,-0.0012426492,4.7378874,0.7360859,49.28,0.017595999,40063
33500,0.02432053,0.9099138081073761,134,3.7759791617212612,3350000,133.11193299293518,0.004071069,-0.001912071,4.7361894,0.6862883,53.51,0.043088,42793
33750,0.02663016,0.9098833873867989,135,4.453701665987283,3375000,134.20253944396973,0.0029383297,-0.00072950905,4.7339377,0.6643636,56.29,0.024568,43694
34000,0.031046106,0.9060909450054169,136,4.413010970732721,3400000,135.2569603919983,0.0033807172,-0.0017079816,4.7310863,0.69913065,54.62,0.0353,43959
34250,0.023429986,0.9182311445474625,137,3.624340038966693,3425000,136.34869480133057,0.0023259062,-0.0014050943,4.727185,0.6604284,49.95,0.018964,49253
34500,0.027401675,0.9256216287612915,138,3.7465069522266274,3450000,137.3499026298523,0.0025378321,-0.0015332537,4.724225,0.5844897,52.58,0.018952,55748
34750,0.026815789,0.9149847030639648,139,3.873100947132625,3475000,138.22117471694946,0.0023518528,-0.002047967,4.721049,0.6518731,58.41,0.019116001,54331
35000,0.015550106,0.9156484976410866,140,3.1275958580912264,3500000,139.09580993652344,0.003050028,-0.0015761055,4.715995,0.7675182,48.78,0.027192,54449
35250,0.035073668,0.9032179936766624,141,4.900629164441488,3525000,139.98375916481018,0.003526938,-0.0015166701,4.7107277,0.706202,59.56,0.035284,45403
35500,0.030254973,0.9177825525403023,142,4.576906149610295,3550000,141.0129678249359,0.0018985143,-0.0012552174,4.7075453,0.6780081,57.91,0.014664,47510
35750,0.02127058,0.9150578826665878,143,4.5231211765512125,3575000,141.99912333488464,0.0023701468,-0.0012244659,4.704633,0.75747037,55.15,0.017363999,48312
36000,0.026091827,0.9093641936779022,144,3.6733493687870213,3600000,142.97017693519592,0.0030602585,-0.0020613275,4.700945,0.7497821,48.74,0.027496,52937
36250,0.02646938,0.9321959465742111,145,3.9330935646417493,3625000,143.83608055114746,0.0026463522,-0.0017510329,4.6952825,0.57409286,50.16,0.020832,50092
36500,0.025955627,0.9327211752533913,146,3.8442725455292384,3650000,144.7532377243042,0.0025282335,-0.0017902203,4.69149,0.5851122,53.6,0.02022,55520
36750,0.0279534,0.9069842398166656,147,3.731048475619173,3675000,145.63068556785583,0.003100717,-0.0020232485,4.68674,0.7463171,51.82,0.031188,55907
37000,0.032457642,0.9106862470507622,148,4.27826472383982,3700000,146.4917278289795,0.0018593029,-0.001012606,4.6830444,0.68910724,56.8,0.012484,54948
37250,0.03078214,0.9234488904476166,149,3.7123116960027254,3725000,147.3426432609558,0.0026014538,-0.0013730067,4.6787953,0.66674787,51.71,0.021399999,45584
37500,0.026859835,0.9225325062870979,150,3.8948875498769486,3750000,148.2919180393219,0.0029795833,-0.0014990947,4.674365,0.621077,53.79,0.027468,53829
37750,0.031877227,0.9230542406439781,151,3.834808566287102,3775000,149.15659856796265,0.0031339214,-0.0014871049,4.6687264,0.6728353,51.06,0.029199999,54067
38000,0.034544174,0.928118072450161,152,4.6427044511280835,3800000,150.09105491638184,0.0031694197,-0.0021706696,4.662858,0.5991749,60.41,0.030427998,47550
38250,0.035462994,0.9164052531123161,153,4.181199820026086,3825000,151.0917661190033,0.0030233096,-0.0016669699,4.6541767,0.6562575,55.75,0.027671998,45243
38500,0.03865127,0.911070205271244,154,4.533205891544931,3850000,152.11580324172974,0.001775994,-0.0011307031,4.6484203,0.5953353,50.1,0.0111,48696
38750,0.03704348,0.9331067949533463,155,3.7451265738130313,3875000,153.09515619277954,0.0028762463,-0.0013676998,4.6455545,0.5270217,52.27,0.025468001,45539
