value_loss,policy_entropy,policy_loss,ep_reward_mean,clipfrac,serial_timesteps,ep_len_mean,approxkl,explained_variance,total_timesteps,true_reward,time_elapsed,fps,n_updates
0.06651263,3.6647353,-0.0022962668,32.08953570943977,0.08781199,15000,248.3,0.006717664,0.7137284278869629,1500000,0.12916605,50.08516836166382,76146,60
0.4114535,3.661922,-0.0023129168,30.23563092502587,0.10738399,15250,234.21,0.00802082,0.37169313430786133,1525000,0.12837242,50.77501106262207,73207,61
0.22008197,3.6596432,-0.0038650963,31.18533010927138,0.13864002,15500,242.61,0.010193117,0.5080883800983429,1550000,0.12819918,51.496100425720215,74223,62
0.31067592,3.6591668,-0.0025263217,31.18025628130941,0.142,15750,241.29,0.0103662005,0.42625153064727783,1575000,0.12852493,52.20275926589966,66425,63
0.25351065,3.660949,-0.002445782,31.235728881281975,0.137444,16000,241.96,0.010043226,0.49250251054763794,1600000,0.12856297,52.98984336853027,71199,64
0.21705694,3.6618462,-0.002913721,31.452700188665474,0.14388801,16250,244.81,0.010764366,0.5390605628490448,1625000,0.12790562,53.76170587539673,74002,65
0.24422482,3.66529,-0.0024184284,30.68160051863466,0.171684,16500,238.81,0.013185466,0.4518393874168396,1650000,0.12799375,54.47153449058533,74587,66
0.18856639,3.6698399,-0.0030071298,31.439801235059385,0.10145199,16750,245.23,0.007759533,0.5260007083415985,1675000,0.1278224,55.19089484214783,72844,67
0.12075259,3.673675,-0.0027920755,31.987002631845044,0.11013601,17000,248.8,0.008131686,0.6469531953334808,1700000,0.12814146,55.897791624069214,73489,68
0.038430642,3.6721935,-0.0017559165,31.799096717406066,0.11742,17250,247.59,0.008525891,0.849113404750824,1725000,0.12838358,56.6111056804657,75342,69
0.2411305,3.6689143,-0.0024289296,31.0925403819868,0.139388,17500,241.82,0.009932385,0.4613499641418457,1750000,0.12817948,57.317527770996094,75875,70
0.1674219,3.6698825,-0.0022613592,31.56370325312106,0.12918401,17750,243.37,0.009888373,0.5539354383945465,1775000,0.129467,58.03159523010254,74187,71
0.23294656,3.6731274,-0.002586399,31.280501410482977,0.153088,18000,241.44,0.011405696,0.5313562154769897,1800000,0.12907171,58.73919153213501,74037,72
0.13952062,3.6743245,-0.0026645127,31.49872985552207,0.10968001,18250,243.53,0.008177029,0.6264191567897797,1825000,0.12913437,59.474339962005615,40448,73
0.32059306,3.6731734,-0.0021321569,30.51546906638963,0.132768,18500,235.31,0.009652227,0.3418613076210022,1850000,0.12931424,60.57059955596924,55578,74
0.14709723,3.6689034,-0.0035625298,31.666171459524776,0.127208,18750,244.47,0.009378436,0.596763014793396,1875000,0.12925678,61.438966274261475,65693,75
0.22158416,3.6628792,-0.002432549,31.29637615953936,0.105548,19000,241.7,0.0076213973,0.49812203645706177,1900000,0.12919365,62.23600435256958,70517,76
0.28825632,3.657502,-0.0033284337,30.449607772833843,0.15084401,19250,235.33,0.012217763,0.33593863248825073,1925000,0.12928611,62.99021029472351,73312,77
0.21347749,3.6554997,-0.0022905287,31.19970632196506,0.12282801,19500,240.22,0.008789041,0.3903128504753113,1950000,0.12963253,63.84486174583435,40014,78
0.23009284,3.655183,-0.0024027068,30.783051217337924,0.10953601,19750,238.56,0.008214814,0.46715235710144043,1975000,0.12881006,64.8794538974762,74120,79
0.081145704,3.6511059,-0.0014829935,32.126152320838884,0.12773201,20000,248.06,0.009300422,0.629971832036972,2000000,0.1292939,65.58841824531555,75056,80
0.48793498,3.6444907,-0.0016938191,29.85332949808979,0.132464,20250,230.56,0.009947651,0.29011374711990356,2025000,0.12859865,66.29714703559875,75465,81
0.29801813,3.6418014,-0.0029750983,30.82890884061635,0.100396,20500,238.18,0.007513462,0.4137578010559082,2050000,0.12875853,67.0135657787323,73196,82
0.17450632,3.639463,-0.0026154548,31.074049175189735,0.13196799,20750,240.99,0.009809215,0.49233102798461914,2075000,0.12875357,67.73231244087219,65782,83
0.47392043,3.6388862,-0.0024172107,29.090525100250378,0.15197599,21000,226.31,0.011113467,0.26576656103134155,2100000,0.12801817,68.66456246376038,47387,84
0.35519293,3.6394145,-0.001784412,30.09270201112784,0.115807995,21250,233.02,0.008532454,0.3482430577278137,2125000,0.12859502,69.66183757781982,74762,85
0.07658689,3.63981,-0.0022064154,31.924297681687168,0.12215199,21500,245.96,0.009229118,0.6038017272949219,2150000,0.12975655,70.42566633224487,71247,86
0.17830472,3.6388798,-0.003235352,31.753492788032453,0.120712005,21750,246.32,0.009334571,0.5014147162437439,2175000,0.12853283,71.17594122886658,72527,87
0.09615647,3.6413474,-0.002295449,31.668405478637943,0.12089999,22000,245.78,0.008891239,0.7390379905700684,2200000,0.12862995,71.91869568824768,74041,88
0.17393106,3.6386476,-0.002276856,31.67796790970328,0.112272,22250,244.89,0.008311031,0.5544619262218475,2225000,0.12896977,72.65189456939697,72913,89
0.11807331,3.6378796,-0.0017848111,31.915384440300677,0.09802,22500,246.15,0.007375507,0.5558896064758301,2250000,0.12932202,73.37628102302551,74973,90
0.37099206,3.637355,-0.0026332217,30.26059253531326,0.182708,22750,233.39,0.014444297,0.3032796382904053,2275000,0.12911236,74.1203715801239,73771,91
0.24199364,3.6380267,-0.0020077997,31.035985000201034,0.12227999,23000,239.62,0.008984891,0.5100010633468628,2300000,0.1289934,74.8492534160614,71813,92
0.12528293,3.6379666,-0.0031876522,31.9959341938328,0.15486398,23250,247.6,0.011032053,0.6052271723747253,2325000,0.12883262,75.5750527381897,69259,93
0.21506858,3.6363378,-0.0027077072,31.656628215304373,0.16819999,23500,243.81,0.0126147885,0.47806936502456665,2350000,0.12938835,76.31078028678894,73214,94
0.13284056,3.6384587,-0.0030052033,32.041675348705105,0.115375996,23750,247.14,0.008513801,0.6359978914260864,2375000,0.12930834,77.03879976272583,75255,95
0.15013479,3.6405113,-0.0027577828,32.094556175191755,0.120456,24000,247.1,0.008793554,0.581504762172699,2400000,0.12952113,77.77594828605652,70884,96
0.18250772,3.6379993,-0.0033282447,31.726958267252776,0.13777599,24250,243.74,0.010083213,0.5293276906013489,2425000,0.1297782,78.50753283500671,70155,97
0.13079162,3.6304169,-0.0025648861,31.360323515372876,0.170016,24500,242.14,0.012716994,0.6033352017402649,2450000,0.12945765,79.28574824333191,73466,98
0.18090537,3.6243553,-0.0027452689,31.66461447561033,0.154396,24750,242.9,0.011306168,0.5560867786407471,2475000,0.13001114,80.00124168395996,72139,99
0.12548096,3.622254,-0.0021646824,31.65483635291326,0.099012,25000,244.51,0.0074628755,0.647576630115509,2500000,0.12925102,80.75316405296326,65016,100
0.3019529,3.6245315,-0.0019157839,30.244996028633615,0.14216,25250,233.99,0.010361946,0.34786897897720337,2525000,0.12917773,81.54723477363586,52875,101
0.13363315,3.6272311,-0.0023674127,31.972423707791748,0.099756,25500,246.78,0.0073614577,0.5663232207298279,2550000,0.12923534,82.64647555351257,65771,102
0.21048708,3.6238225,-0.0031681955,31.560277435439637,0.102235995,25750,242.78,0.007521077,0.4993775486946106,2575000,0.12941748,83.40329813957214,73315,103
0.14508781,3.6184812,-0.0035241037,31.8188171450769,0.136832,26000,244.6,0.010412702,0.6934642195701599,2600000,0.12964574,84.1337149143219,74366,104
0.24280563,3.615191,-0.0027387354,31.486775963733,0.11288001,26250,242.15,0.008229997,0.5549083650112152,2625000,0.12942989,84.85331225395203,74165,105
0.297401,3.6109123,-0.0025799586,30.7108660627919,0.130812,26500,236.17,0.009387339,0.4531514644622803,2650000,0.12964831,85.55861163139343,73374,106
0.17414273,3.6045537,-0.0028638183,31.740922285783018,0.10458,26750,244.05,0.007781285,0.5261723399162292,2675000,0.12972718,86.26633906364441,72700,107
0.20145111,3.5995789,-0.0022129675,31.09137365110735,0.095804,27000,240.55,0.0071506714,0.5047416687011719,2700000,0.12889317,86.97620034217834,71750,108
0.14160669,3.5975356,-0.0024281475,31.89058300493067,0.091708004,27250,246.61,0.0070801415,0.6304706931114197,2725000,0.128942,87.68383002281189,64947,109
0.20836239,3.5981877,-0.0020497206,31.08493197560194,0.15136,27500,239.6,0.011042512,0.45732104778289795,2750000,0.12964067,88.4586775302887,53433,110
0.095404714,3.6009362,-0.0026180525,32.30818967971041,0.13908,27750,248.03,0.010196931,0.6454172134399414,2775000,0.13013485,89.31649565696716,73233,111
0.10553901,3.5997665,-0.0028008218,32.0527472079586,0.12117599,28000,246.34,0.009113592,0.6362010538578033,2800000,0.12987898,90.02710962295532,63587,112
0.23377308,3.598186,-0.002417283,31.712806823495267,0.123487994,28250,243.94,0.009283422,0.4498622417449951,2825000,0.12941666,90.85824418067932,47431,113
0.13014069,3.6027126,-0.0029378922,32.42395048635604,0.161364,28500,248.28,0.011793934,0.5868793725967407,2850000,0.13019764,91.85351634025574,58994,114
0.21833506,3.604895,-0.0020500289,31.393093264286435,0.13698001,28750,241.75,0.010011564,0.46032583713531494,2875000,0.12943736,92.68979907035828,65954,115
0.23135468,3.6036606,-0.0023226733,31.880542777314187,0.158052,29000,243.37,0.011600304,0.4341217279434204,2900000,0.13054135,93.46327257156372,71741,116
0.13554507,3.6079228,-0.0027551868,31.769444434660546,0.10008401,29250,243.87,0.0075153136,0.603595495223999,2925000,0.1300537,94.20932579040527,76106,117
0.1835087,3.614431,-0.0031828259,31.7511660024483,0.11858399,29500,242.87,0.008778366,0.5485560595989227,2950000,0.1303957,94.92616152763367,74398,118
0.29935366,3.6179795,-0.0021915692,31.50827085970377,0.18161601,29750,240.71,0.013495833,0.3570672869682312,2975000,0.13039307,95.70642042160034,70912,119
0.1957605,3.6223514,-0.0029138364,31.708546536657177,0.13408402,30000,244.53,0.009643714,0.5446031987667084,3000000,0.12919225,96.457937002182,73974,120
0.04471434,3.625569,-0.0023585637,32.31709410182026,0.08512,30250,248.36,0.0066629327,0.7914035320281982,3025000,0.13005953,97.20825576782227,65480,121
0.36941475,3.6238625,-0.0026186097,30.089512624893686,0.19166799,30500,231.03,0.01550698,0.3485756516456604,3050000,0.12984054,98.07539987564087,47604,122
0.22532415,3.6242816,-0.0031085897,31.78400208264269,0.146936,30750,244.17,0.010874092,0.4624258279800415,3075000,0.12973548,98.98527693748474,70654,123
0.009397858,3.625238,-0.0020934634,32.62921498455664,0.089875996,31000,250.0,0.0069320397,0.9531585238873959,3100000,0.13051686,99.73863077163696,72765,124
0.07686765,3.6207767,-0.0025145318,32.0179500520727,0.14328799,31250,246.15,0.010423284,0.7173711061477661,3125000,0.13007551,100.4572958946228,73996,125
0.30351776,3.6183639,-0.002673479,31.550958947236794,0.16235998,31500,241.35,0.012241323,0.4024217128753662,3150000,0.1301596,101.17254614830017,76009,126
0.31573233,3.6181645,-0.0026644995,30.951982195980744,0.111836,31750,237.34,0.008029923,0.41658902168273926,3175000,0.12982623,101.86519742012024,75636,127
0.24747245,3.6182609,-0.002447234,31.43884732440871,0.12671599,32000,240.2,0.009538181,0.4770328998565674,3200000,0.13065523,102.55103802680969,75854,128
0.3362796,3.6184888,-0.0022058738,31.388251574934692,0.13329598,32250,239.31,0.009604784,0.3774093985557556,3225000,0.13065846,103.25726866722107,75551,129
0.3267104,3.6186662,-0.0024690996,31.17646996378069,0.10484,32500,238.69,0.007793104,0.38472801446914673,3250000,0.12999098,103.94797253608704,75804,130
0.400093,3.6182454,-0.0020821523,30.046335106274636,0.118544,32750,232.65,0.008798345,0.3744308352470398,3275000,0.12850368,104.64649844169617,74860,131
0.21097708,3.619873,-0.0022484497,32.05184143289414,0.10380401,33000,245.71,0.007671207,0.44495999813079834,3300000,0.12997434,105.36086130142212,75622,132
0.27764657,3.6243293,-0.003300035,31.523465426595067,0.113608,33250,242.63,0.008416216,0.4287016987800598,3325000,0.12926903,106.08314037322998,75140,133
0.29297566,3.622501,-0.0023373782,31.603867246989356,0.12423201,33500,243.53,0.008980067,0.3997868299484253,3350000,0.12909845,106.79132223129272,76362,134
0.12040081,3.6191623,-0.0027040388,32.310968895827465,0.087436005,33750,248.26,0.0069274767,0.5872573554515839,3375000,0.1298556,107.49455261230469,74886,135
0.23781636,3.6165135,-0.0028081045,31.695074306690366,0.13647601,34000,244.51,0.010296702,0.47767794132232666,3400000,0.12916628,108.19260382652283,73030,136
0.14641726,3.6170113,-0.0023640676,31.78275335242506,0.179792,34250,243.52,0.013974981,0.60333451628685,3425000,0.13031806,108.90556263923645,75345,137
0.08809801,3.616427,-0.003054184,32.514172729395796,0.102823995,34500,249.03,0.007837258,0.6879281401634216,3450000,0.13032152,109.60016059875488,76196,138
0.061118644,3.6106002,-0.0021908628,32.506121186017914,0.11400801,34750,248.63,0.008730339,0.7734644263982773,3475000,0.13052224,110.32102060317993,75818,139
0.28584486,3.603276,-0.0025315282,31.891038744999676,0.119952,35000,243.58,0.00879202,0.43353694677352905,3500000,0.13040316,111.02264380455017,74478,140
0.08831406,3.598238,-0.0028457546,32.34769611426076,0.117864,35250,246.54,0.008525239,0.7150484621524811,3525000,0.1310029,111.72905421257019,73678,141
0.09429591,3.5896573,-0.0024196513,32.26483284965914,0.108244,35500,247.44,0.008051305,0.6907067894935608,3550000,0.13018766,112.4281005859375,74054,142
0.10171987,3.5830796,-0.0017689973,32.288959045953526,0.14726801,35750,246.01,0.0112444665,0.6162430942058563,3575000,0.13109137,113.131276845932,75308,143
0.24140887,3.5804875,-0.0025535226,31.81462258691259,0.130312,36000,244.16,0.01033126,0.45439237356185913,3600000,0.12977631,113.85344123840332,74513,144
0.080199555,3.5785117,-0.0018593039,32.42881941323896,0.11526401,36250,248.98,0.008459841,0.6862571835517883,3625000,0.1300999,114.57193207740784,76102,145
0.1066402,3.5730526,-0.0022691297,32.24649239967868,0.14817199,36500,246.14,0.010388347,0.6299957036972046,3650000,0.1307626,115.27637648582458,74637,146
0.28584465,3.5681224,-0.002625578,31.218732529487497,0.123547986,36750,238.61,0.008858538,0.44828635454177856,3675000,0.1303156,115.96417284011841,74062,147
0.2816146,3.5660179,-0.0032719418,31.441069626672544,0.13546799,37000,239.85,0.00982185,0.5633675456047058,3700000,0.13023233,116.72067713737488,72827,148
0.14603443,3.564113,-0.002845259,32.11865935227193,0.098327994,37250,244.91,0.007390626,0.6446498930454254,3725000,0.13082705,117.49937629699707,72451,149
0.04359425,3.557967,-0.0030846545,32.53673361557005,0.070992,37500,247.72,0.0057594096,0.7778947204351425,3750000,0.13130477,118.21062541007996,74950,150
0.18187907,3.5492682,-0.0032280106,31.955830830040977,0.13422,37750,243.19,0.010567519,0.5776513516902924,3775000,0.13105983,118.92913556098938,67764,151
0.335145,3.543129,-0.0030176472,31.43771542071787,0.143344,38000,240.31,0.010277828,0.37491101026535034,3800000,0.13033268,119.81011819839478,63170,152
0.20643882,3.5388997,-0.0024229242,31.60699368259033,0.14599201,38250,241.38,0.010751268,0.5528249442577362,3825000,0.1306978,120.62450528144836,72913,153
0.26495287,3.5415657,-0.0031813313,31.24460233753489,0.128528,38500,238.35,0.009380458,0.4662814140319824,3850000,0.13068557,121.35554671287537,58059,154
0.12817726,3.5432434,-0.0028324216,32.40173511818415,0.12048,38750,246.67,0.008934049,0.6014220416545868,3875000,0.131093,122.20248675346375,69151,155
0.2787059,3.5389667,-0.0026295807,31.77950870987086,0.13073198,39000,241.93,0.009965782,0.38813382387161255,3900000,0.1308862,123.0406801700592,44143,156
0.35876602,3.5324128,-0.0024777178,31.291392758577715,0.08394,39250,238.48,0.006508021,0.4481828212738037,3925000,0.13039638,124.02607703208923,70334,157
0.015185523,3.5274308,-0.0018597115,32.74501534638048,0.099692,39500,250.0,0.0074275434,0.9157067462801933,3950000,0.13098007,124.7609384059906,73993,158
0.17488666,3.5222466,-0.0017322922,31.981265766457753,0.120224,39750,242.98,0.009028995,0.5346416532993317,3975000,0.1312469,125.4684681892395,74610,159
0.2350645,3.5188413,-0.0015374474,31.79907349809124,0.1231,40000,242.34,0.008985686,0.47776126861572266,4000000,0.13084866,126.18008255958557,74925,160
0.2250317,3.5156918,-0.0021565794,32.05477230162647,0.15967199,40250,244.54,0.012558456,0.4752344489097595,4025000,0.13061471,126.87728095054626,76771,161
0.18808444,3.5126941,-0.003890711,32.460907851813296,0.156064,40500,246.26,0.013518247,0.5251307785511017,4050000,0.13132137,127.57501363754272,75642,162
0.10508527,3.5088284,-0.0021076598,32.19363595877392,0.13972798,40750,245.32,0.010090434,0.6192684471607208,4075000,0.13108185,128.27791738510132,74708,163
0.3705917,3.5045426,-0.0021205624,30.592785660750305,0.156084,41000,234.52,0.011716257,0.3131493330001831,4100000,0.13000104,128.97456812858582,75332,164
0.17886369,3.5024407,-0.0034141198,32.280035720463204,0.200452,41250,246.47,0.015896093,0.49010157585144043,4125000,0.13061933,129.6682915687561,74139,165
0.110583805,3.5007167,-0.0030739675,32.47172265623136,0.095111996,41500,245.91,0.0071793906,0.6680378019809723,4150000,0.13174403,130.37612581253052,73030,166
0.13210812,3.4982095,-0.0029885727,32.43583687519451,0.1227,41750,245.92,0.00895107,0.59200319647789,4175000,0.13162284,131.11140203475952,75708,167
0.083287776,3.4943619,-0.0016305184,32.50712524968936,0.126832,42000,246.39,0.009542078,0.6433188915252686,4200000,0.13183759,131.8713505268097,71481,168
0.021907026,3.4907079,-0.0034666155,33.053393378863504,0.098656,42250,249.6,0.007374746,0.9045871198177338,4225000,0.13229619,132.63958144187927,74121,169
0.14529794,3.4825275,-0.0020678707,32.3266899819902,0.14642799,42500,243.13,0.010454277,0.48831498622894287,4250000,0.1328003,133.41871619224548,72118,170
