true_reward,total_timesteps,clipfrac,policy_entropy,serial_timesteps,explained_variance,approxkl,value_loss,fps,n_updates,ep_reward_mean,policy_loss,time_elapsed,ep_len_mean
0.005860591,22975000,0.016091999,2.9872053,229750,0.820586159825325,0.0023591842,0.22347495,56099,919,1.9790552572105042,-0.00173211,789.2779350280762,247.55
0.0038759673,23000000,0.08630401,2.9812846,230000,0.3273087739944458,0.006959688,0.8692843,56184,920,1.9482657930599,-0.002719196,790.0946977138519,247.26
0.00883733,23025000,0.020744,2.9761362,230250,0.9410195499658585,0.0026814477,0.020201765,58120,921,2.209332543631888,-0.0022926594,790.914067029953,250.0
0.0048926915,23050000,0.08568,2.9625297,230500,0.7321457266807556,0.0066241464,0.47949666,56681,922,2.1696471191937463,1.7989707e-05,791.708652973175,246.97
0.005954999,23075000,0.094044,2.9577034,230750,0.485571026802063,0.008698704,0.4449238,58392,923,1.95657134761247,-0.002439728,792.5391290187836,247.69
0.002580903,23100000,0.062475998,2.956099,231000,0.43263673782348633,0.0051938505,1.1689953,57244,924,2.1817747265505063,-0.0012231941,793.3428711891174,245.52
0.002656773,23125000,0.020456,2.955748,231250,0.8990981876850128,0.0022691307,0.2714166,57589,925,1.6905572876848118,-0.0020537567,794.1505386829376,245.28
0.0064712353,23150000,0.04598,2.9581585,231500,0.8856755495071411,0.004364149,0.15843399,57906,926,2.1129008179861355,-0.002055379,794.9675464630127,248.94
-0.0029287664,23175000,0.04262,2.9621117,231750,0.3288295269012451,0.0040095886,1.9457006,57399,927,1.5770533473938706,-0.0005872048,795.7717146873474,239.15
0.001403143,23200000,0.04676,2.9640832,232000,0.5429234802722931,0.0044336347,0.99302757,55674,928,1.8556904669901746,-0.00074345275,796.5754897594452,245.61
0.002876445,23225000,0.034672,2.9629178,232250,0.7718764096498489,0.0034294024,0.52210873,58544,929,1.7381422856577864,-0.0020878776,797.3949728012085,247.5
0.007077755,23250000,0.051051997,2.9596453,232500,0.9454871080815792,0.004572718,0.01836755,58310,930,1.7694386202864467,-0.002119203,798.1938824653625,250.0
