n_updates,time_elapsed,value_loss,policy_entropy,total_timesteps,policy_loss,approxkl,explained_variance,serial_timesteps,fps,clipfrac,ep_reward_mean,ep_len_mean,true_reward
356,304.6305978298187,0.055563323,4.3150845,8900000,-0.0025973744,0.004667666,0.9800406750291586,89000,49800,0.053068,9.324090898329231,231.72,0.03765507
357,305.4665412902832,0.06846166,4.3073454,8925000,-0.002112044,0.004074429,0.9716311395168304,89250,55086,0.044403996,9.196230853175294,227.04,0.03794061
358,306.2743492126465,0.090805106,4.300727,8950000,-0.0024405199,0.0029633513,0.9739646781235933,89500,55176,0.029312,9.029461998526436,211.16,0.037214886
359,307.0691649913788,0.105470255,4.293581,8975000,-0.0020015712,0.004006895,0.9672366417944431,89750,54861,0.044848002,8.858669697833175,202.92,0.03709813
360,307.8505792617798,0.07797678,4.2881794,9000000,-0.0019829453,0.0030171992,0.9728662613779306,90000,48290,0.029319998,9.254455762939479,214.99,0.037786245
361,308.70021653175354,0.088584945,4.286564,9025000,-0.0014416734,0.0041923826,0.9768932517617941,90250,50997,0.046488002,8.425917650204683,204.02,0.03358238
362,309.5310637950897,0.1362746,4.2831044,9050000,-0.0015685927,0.0031501118,0.9576959349215031,90500,54402,0.032027997,8.36446503680627,200.88,0.032671064
363,310.3341405391693,0.094771475,4.27818,9075000,-0.0020410654,0.0033412513,0.973469540476799,90750,53724,0.034312,9.364904980194895,216.35,0.037659142
364,311.13510060310364,0.07739732,4.272799,9100000,-0.0026912815,0.004297258,0.9719029683619738,91000,55114,0.048423998,8.667379019934225,218.34,0.034938764
365,311.92717695236206,0.101195715,4.271661,9125000,-0.0012236156,0.0034021712,0.9748640041798353,91250,54063,0.037327997,7.7742451131904,183.28,0.031310145
366,312.730220079422,0.13780576,4.271422,9150000,-0.0015553874,0.0025527077,0.970009496435523,91500,54173,0.022232,7.356896488542334,168.01,0.03117183
367,313.5360291004181,0.10088261,4.2726116,9175000,-0.0022018838,0.0034202929,0.978515138849616,91750,44166,0.03486,6.518679009645216,173.23,0.027721778
368,314.43369030952454,0.17139764,4.272788,9200000,-0.001278043,0.0030898447,0.9597294591367245,92000,43745,0.030132,7.9641537087304,191.07,0.0319083
369,315.3468990325928,0.08768886,4.272292,9225000,-0.0017405215,0.0022780043,0.9764398671686649,92250,55276,0.019664,7.883876987223193,192.97,0.033358213
370,316.14463543891907,0.0860124,4.269692,9250000,-0.0017427665,0.003025937,0.9753961078822613,92500,55077,0.029711997,8.422091315672816,205.8,0.033777595
371,316.92807841300964,0.059647013,4.2658286,9275000,-0.0022988277,0.0031920385,0.981038661673665,92750,54389,0.032272004,9.032231601159678,220.11,0.03618686
372,317.71900606155396,0.06314812,4.2628684,9300000,-0.0017616047,0.0043287748,0.9797681774944067,93000,54027,0.047203995,10.032823374438959,217.42,0.04114007
373,318.5146677494049,0.11766796,4.2616587,9325000,-0.0013166416,0.004149773,0.974198654294014,93250,55549,0.04716,6.192261238630035,159.74,0.026609043
374,319.3048219680786,0.07489701,4.2613993,9350000,-0.0016803688,0.003728648,0.9799908567219973,93500,55673,0.039268,8.165052958740652,199.05,0.033792194
375,320.09894132614136,0.059813004,4.2604117,9375000,-0.0018985327,0.0041787727,0.9782188795506954,93750,56219,0.0463,9.905517371763196,231.87,0.039615124
376,320.8849289417267,0.053635307,4.2639713,9400000,-0.0022203426,0.0032954868,0.9800504054874182,94000,32272,0.032436002,10.29813121999332,238.13,0.040993173
377,321.9983870983124,0.07070324,4.2670856,9425000,-0.0019941078,0.004145981,0.978480601683259,94250,55011,0.044843998,8.715320299246395,212.92,0.035881322
378,322.7824192047119,0.079476714,4.2713723,9450000,-0.0020719816,0.00404848,0.9770763609558344,94500,47451,0.045532,9.956845489189618,220.51,0.040667392
379,323.6478066444397,0.13374752,4.2752037,9475000,-0.001723766,0.0064665126,0.9580646902322769,94750,55462,0.081875995,9.584992510389894,221.84,0.037804283
380,324.439316034317,0.03664596,4.276286,9500000,-0.0017746009,0.0038075312,0.9878164958208799,95000,48461,0.038983997,10.204396196037951,234.13,0.0409548
381,325.3085296154022,0.09620072,4.271882,9525000,-0.0027167874,0.003863958,0.9759268704801798,95250,54135,0.040664002,9.61369808310339,214.85,0.038753472
382,326.13179636001587,0.16663224,4.2669477,9550000,-0.0023667288,0.004745192,0.954509075731039,95500,53950,0.056975998,8.84416909464636,211.9,0.035329368
383,326.94811964035034,0.12674996,4.256915,9575000,-0.001922672,0.0047959844,0.95742442086339,95750,54188,0.055980004,10.140024069492174,225.83,0.040470045
384,327.7645616531372,0.16323562,4.2434335,9600000,-0.0017018873,0.0044159344,0.9554960802197456,96000,54232,0.048384003,9.469948276775485,215.42,0.037305295
385,328.55831027030945,0.061024964,4.2356243,9625000,-0.0024612541,0.003964846,0.9841560497879982,96250,56123,0.045091998,9.389517629010188,211.39,0.038281593
386,329.3420162200928,0.04561782,4.229269,9650000,-0.0020081839,0.0030309837,0.987146426923573,96500,55613,0.027928,9.745452986837986,222.8,0.03933668
387,330.1362919807434,0.08779888,4.221706,9675000,-0.0017819094,0.0045903767,0.9692356251180172,96750,54610,0.051004,9.963249336698691,230.18,0.039500497
388,330.9362874031067,0.21635146,4.2186975,9700000,-0.0019951186,0.004105029,0.9199491739273071,97000,55245,0.048008002,9.286527308481059,220.3,0.035803895
389,331.7446870803833,0.1345992,4.219046,9725000,-0.0019489639,0.003834085,0.9652973860502243,97250,55972,0.039899997,8.518536349011265,197.06,0.034142464
390,332.53950238227844,0.16148046,4.219641,9750000,-0.0013849217,0.004591963,0.9604615792632103,97500,52283,0.053023994,8.259877169683593,190.56,0.033004705
391,333.3513762950897,0.1495828,4.2209883,9775000,-0.0012130684,0.005736222,0.9637884050607681,97750,54548,0.067112006,8.565872180193816,193.6,0.033161163
392,334.14093589782715,0.09251553,4.2217402,9800000,-0.0025392005,0.004170461,0.973307179287076,98000,49926,0.04484,8.807815632235387,201.62,0.035699923
393,334.98108744621277,0.15233092,4.2194643,9825000,-0.0019353207,0.0037934717,0.9686318710446358,98250,56025,0.038984,8.504234283731584,185.98,0.03390766
394,335.77778840065,0.09774871,4.2166457,9850000,-0.0015409148,0.0035813325,0.977723864838481,98500,54332,0.036268003,8.184014738777641,189.26,0.03277615
395,336.5779666900635,0.08339967,4.21486,9875000,-0.0018097901,0.0039394824,0.979188958182931,98750,53048,0.045128,8.394576073151221,185.6,0.034598507
396,337.3797037601471,0.088384904,4.2135744,9900000,-0.0024285861,0.003829024,0.981307839974761,99000,54954,0.040760003,7.930856357401774,178.06,0.034449108
397,338.1809949874878,0.073556796,4.208294,9925000,-0.0016452847,0.0030612831,0.9795174188911915,99250,35372,0.027848,9.700815237429214,211.46,0.039711107
398,339.23177218437195,0.08968584,4.20468,9950000,-0.0022202912,0.004662598,0.9763694815337658,99500,56584,0.055391997,9.573684549880218,212.64,0.03801707
399,340.00105690956116,0.055892743,4.206195,9975000,-0.0025755875,0.0032215298,0.9836902134120464,99750,31456,0.030968001,9.799037881180302,219.53,0.039349377
400,341.13355231285095,0.04414071,4.2048283,10000000,-0.0017404367,0.00428489,0.986041821539402,100000,48521,0.049192004,10.04243405176333,226.35,0.039666623
401,341.98816204071045,0.09590653,4.199214,10025000,-0.0019100432,0.0039058528,0.9713065791875124,100250,46652,0.040628005,10.759765144129041,236.33,0.042063575
402,342.85462379455566,0.092362374,4.1909423,10050000,-0.0017728547,0.003410045,0.9775895141065121,100500,56131,0.033496,10.048486080532603,221.33,0.03924939
403,343.6245789527893,0.09648189,4.1835647,10075000,-0.0023784987,0.004935437,0.9760197624564171,100750,55971,0.057108004,10.352551902281197,237.37,0.04107107
404,344.4000709056854,0.061547924,4.1779404,10100000,-0.0020442817,0.0039602467,0.9875200716778636,101000,57225,0.041924,10.00068248266247,207.31,0.040279623
405,345.1781165599823,0.08079727,4.170062,10125000,-0.0024927866,0.0043405504,0.981147026643157,101250,54001,0.049367998,10.17259732533901,216.7,0.041137062
