approxkl,value_loss,n_updates,clipfrac,fps,policy_loss,ep_len_mean,true_reward,explained_variance,total_timesteps,serial_timesteps,policy_entropy,ep_reward_mean,time_elapsed
0.009003659,0.82294846,369,0.122360006,53442,-0.00015247842,243.48,0.060114533,0.9033808931708336,9225000,92250,-1.8894787,15.689334353783634,312.3864209651947
0.016695086,0.9333297,370,0.204024,54122,0.005009546,237.83,0.059584994,0.8963868170976639,9250000,92500,-1.892531,15.494304297816988,313.2022850513458
0.044583827,0.61258066,371,0.366632,50956,0.02046612,243.57,0.05685813,0.9216890260577202,9275000,92750,-1.8948857,14.454910638205346,314.02574038505554
0.047214173,0.74800146,372,0.367464,53982,0.019830287,236.87,0.06125857,0.9273847192525864,9300000,93000,-1.8964134,15.626399135650573,314.85874128341675
0.107319854,0.44148692,373,0.510604,54807,0.039079428,248.64,0.06212211,0.9418552927672863,9325000,93250,-1.896836,15.684896793992412,315.66583824157715
0.017403858,0.6262201,374,0.219172,55475,0.0060136733,244.11,0.058764894,0.9276246428489685,9350000,93500,-1.8963276,15.041423756417643,316.46223545074463
0.0114628365,1.0048919,375,0.14755999,52195,0.0021618481,241.06,0.06484041,0.8779867440462112,9375000,93750,-1.897612,16.687418995038314,317.24513840675354
0.0073900945,0.77905977,376,0.094472006,54550,0.00019608768,240.89,0.053064883,0.9086573347449303,9400000,94000,-1.9009984,14.185045477102685,318.0471680164337
0.007467716,1.0986058,377,0.09419601,55342,-0.00010377611,234.61,0.056582887,0.8917252793908119,9425000,94250,-1.9059198,15.06329193731246,318.85463762283325
0.0058381674,0.7156766,378,0.069616,50892,-0.0017010842,245.55,0.059811667,0.9251270666718483,9450000,94500,-1.9129642,15.517392694592308,319.64973855018616
0.006169419,0.84340274,379,0.076116,54569,-0.000873021,239.85,0.060261108,0.9076323956251144,9475000,94750,-1.9259428,15.7058524455117,320.47424054145813
0.0061118836,0.6184961,380,0.074632004,47568,-0.00170822,241.65,0.057472125,0.9254053011536598,9500000,95000,-1.9321759,14.641869724076955,321.2779846191406
0.0070056943,0.634603,381,0.09292,56145,-0.00069062767,247.02,0.05732768,0.9073145389556885,9525000,95250,-1.9386686,14.558723580599763,322.1438663005829
0.009493782,0.6740971,382,0.13213201,53827,0.0011757179,244.7,0.06337093,0.9254948124289513,9550000,95500,-1.9443429,16.30207209405955,322.9278202056885
0.017951347,0.86321735,383,0.210336,47622,0.0048329337,244.43,0.06391587,0.8758690282702446,9575000,95750,-1.9482088,16.355469730185266,323.7387361526489
0.0070048696,0.71491754,384,0.090548,54527,-0.0014670988,239.46,0.058995396,0.9192782863974571,9600000,96000,-1.9491047,15.457701513408647,324.61027789115906
0.0062276376,1.217359,385,0.076620005,42454,-0.001620049,236.15,0.059797246,0.8822940737009048,9625000,96250,-1.947367,15.793189862270719,325.4153673648834
0.0054752016,0.80583936,386,0.066112004,56244,-0.0016595811,241.87,0.064007446,0.914347343146801,9650000,96500,-1.946716,16.300086251201574,326.34316396713257
0.0063842004,1.1042324,387,0.080788,53571,-0.002215222,235.71,0.062321685,0.8725674450397491,9675000,96750,-1.9493961,16.218600562250014,327.12230610847473
0.004303023,0.9055812,388,0.044327997,54446,-0.0017810531,238.5,0.058372002,0.9053174406290054,9700000,97000,-1.9524782,15.203191313978387,327.92398595809937
0.0069926255,0.7865609,389,0.089164004,45174,-0.0012187673,239.43,0.054599974,0.9138526096940041,9725000,97250,-1.9520731,14.080204409469989,328.7227432727814
0.014172603,0.96374977,390,0.17905198,54978,0.0028221447,233.48,0.058400694,0.901849277317524,9750000,97500,-1.9515979,15.213299626340259,329.60713267326355
0.010797858,0.690662,391,0.15092,54126,0.0008100734,240.51,0.060953315,0.9351049214601517,9775000,97750,-1.9538034,16.057049069452987,330.4072027206421
0.0052298703,1.6532055,392,0.062323995,41008,-0.0012462104,224.92,0.05237292,0.8482003062963486,9800000,98000,-1.9589449,14.185889014019631,331.2175221443176
0.006175478,1.3964719,393,0.074852,56624,-0.0009754092,231.79,0.055221595,0.8514987826347351,9825000,98250,-1.9624602,14.804556897651345,332.1573553085327
0.0052203787,0.99564284,394,0.060904007,55874,-0.001737278,243.33,0.05967274,0.8928282558917999,9850000,98500,-1.9617523,15.55473789534475,332.9450936317444
0.0064442954,1.1838267,395,0.076976,55973,-0.0011770283,229.13,0.050984405,0.8902561143040657,9875000,98750,-1.9630655,13.844937332845767,333.7282271385193
0.007887447,1.0994818,396,0.101096,55620,0.0001684357,234.77,0.05397108,0.8675382286310196,9900000,99000,-1.9635786,14.295990164995892,334.51296854019165
0.0057965084,1.4196336,397,0.071184,39688,-0.0012082411,232.87,0.058935065,0.841138020157814,9925000,99250,-1.9671059,15.650880779660438,335.29836773872375
0.007669537,1.1357255,398,0.100884005,54743,-0.0012455325,238.71,0.05601129,0.8595749884843826,9950000,99500,-1.972689,14.85407947957272,336.2676212787628
0.0057736747,0.969178,399,0.07149999,56415,-0.0011309137,239.13,0.061854195,0.8782567232847214,9975000,99750,-1.9812365,16.082939945637825,337.0475685596466
0.008844565,1.1019478,400,0.11583201,55244,-0.00027585131,234.96,0.056181733,0.8861732333898544,10000000,100000,-1.9862049,14.966205201753088,337.83957839012146
0.007999417,1.8960232,401,0.106196,52410,0.0003937915,223.41,0.04693643,0.7742816209793091,10025000,100250,-1.9881079,12.891128251800547,338.6421194076538
0.009385459,0.79662424,402,0.11832801,42865,-9.1285256e-05,241.11,0.063112564,0.9265483170747757,10050000,100500,-1.9871563,16.07020446787727,339.47386503219604
0.008801302,0.54062444,403,0.11638401,46098,-0.00036966018,248.85,0.061234307,0.9217725023627281,10075000,100750,-1.9877727,15.501356125254807,340.3799397945404
0.029708583,0.9830362,404,0.31232795,51005,0.010832474,235.93,0.057131503,0.9144205003976822,10100000,101000,-1.9904974,15.243990090710868,341.2562794685364
0.02338758,0.6794763,405,0.26410002,54025,0.008515445,245.9,0.06365608,0.9236167296767235,10125000,101250,-1.9927638,16.058876422376542,342.0805912017822
0.019400578,0.62794036,406,0.22647598,53054,0.007189398,244.76,0.060022008,0.9263272136449814,10150000,101500,-1.9927648,15.449007884992607,342.8773455619812
0.01909094,0.8769523,407,0.216804,52968,0.006063112,244.79,0.060907587,0.8725342303514481,10175000,101750,-1.9921312,15.560020700788863,343.7026617527008
0.011815598,0.51156974,408,0.164204,48396,0.002949513,250.0,0.069701515,0.9349306970834732,10200000,102000,-1.9919589,17.425378948095023,344.528605222702
0.006628121,0.6351249,409,0.084988005,53302,-0.0016195377,245.49,0.065336965,0.9167793840169907,10225000,102250,-1.9945982,16.374253368311873,345.3796100616455
0.0070517585,0.7466021,410,0.092631996,53978,-0.0008397329,243.06,0.06608551,0.9064932838082314,10250000,102500,-1.9965379,16.623959977823834,346.17956495285034
0.0056254906,0.8886943,411,0.066772,55045,-0.0018625533,243.83,0.0667382,0.8903282061219215,10275000,102750,-1.9982662,17.062124539346115,346.97865891456604
