total_timesteps,ep_len_mean,value_loss,policy_loss,explained_variance,policy_entropy,serial_timesteps,time_elapsed,n_updates,approxkl,true_reward,fps,ep_reward_mean,clipfrac
8900000,237.02,0.598952,-0.0018590351,0.8621549308300018,-0.052387726,89000,316.50529313087463,356,0.0045534098,0.043555528,57817,11.042739356480974,0.049588
8925000,232.15,0.9276204,-0.0009328031,0.7577403485774994,-0.051403653,89250,317.3030219078064,357,0.0047879866,0.035737682,49038,9.662781355253474,0.054743998
8950000,235.35,0.81183565,-0.0013427018,0.7720406800508499,-0.050471883,89500,318.22403955459595,358,0.0041984566,0.033926338,53276,9.349252692910559,0.046188
8975000,233.72,0.61060876,-0.00046472382,0.828744426369667,-0.04975979,89750,319.1190707683563,359,0.0046407655,0.035441518,52859,9.263519417024126,0.0537
9000000,239.54,0.6750112,-0.0010532914,0.812317967414856,-0.04955964,90000,320.02918219566345,360,0.005508181,0.043675415,49742,11.182421042188725,0.065608
9025000,234.08,0.9167921,-0.0015032747,0.7907848656177521,-0.051448286,90250,320.9582531452179,361,0.0039054728,0.041565854,51994,11.266563844460798,0.0414
9050000,239.51,0.4629817,-0.002392965,0.8662102669477463,-0.05519682,90500,321.8243911266327,362,0.004512827,0.040316105,47389,10.336700096130262,0.049847998
9075000,228.26,0.8431657,-0.002047047,0.8165683299303055,-0.056842,90750,322.7224361896515,363,0.0038040266,0.039477125,50294,10.284023608846802,0.037708
9100000,231.0,0.62159836,-0.001173497,0.8611378818750381,-0.056144696,91000,323.6195185184479,364,0.0048381817,0.035972033,44877,9.472058570168665,0.056364
9125000,233.09,0.7662827,-0.0015451855,0.7794703394174576,-0.058208335,91250,324.5984649658203,365,0.005269207,0.038390364,54113,9.886842625434547,0.060740005
9150000,233.32,0.67338836,-0.0018714763,0.8082792460918427,-0.05833473,91500,325.41944098472595,366,0.0056909793,0.036441173,40869,9.450740133558503,0.068164006
9175000,235.08,0.55225766,-0.00070990855,0.849370688199997,-0.055496246,91750,326.37736797332764,367,0.004934038,0.03841681,56751,9.88156828163992,0.05724
9200000,236.49,0.8402343,-0.0016865192,0.831607922911644,-0.05651297,92000,327.18205857276917,368,0.0063518984,0.045811895,55928,12.016758833747298,0.080624
9225000,227.45,0.70495576,-0.00095031847,0.849425345659256,-0.059296906,92250,327.9787526130676,369,0.0042605484,0.03808911,54358,9.80248060766051,0.046364
9250000,233.92,0.7535981,-0.0020069808,0.8467188030481339,-0.05822702,92500,328.8044054508209,370,0.006699465,0.044193726,45196,11.485783155147558,0.086119995
9275000,250.0,0.45425406,-0.0006920782,0.8380775153636932,-0.058360837,92750,329.73357939720154,371,0.0059895646,0.049587198,55546,12.396799776078428,0.074388005
9300000,234.06,0.57496035,0.0003620611,0.8431717306375504,-0.060782414,93000,330.5591559410095,372,0.0071169077,0.0341071,45858,8.984229106846428,0.09458
9325000,237.19,0.69560295,-0.0012148272,0.8428011983633041,-0.06252744,93250,331.52719259262085,373,0.0062698075,0.042432714,47226,10.975136487229392,0.07938401
9350000,242.99,0.45996556,-0.0021117197,0.8354290872812271,-0.064935066,93500,332.4558572769165,374,0.0052020894,0.041008905,55056,10.276889693022422,0.059759997
9375000,236.19,0.6495784,-0.0018117607,0.8356464356184006,-0.07035661,93750,333.2894024848938,375,0.0061925547,0.040143184,53623,10.38585213225142,0.072412
9400000,240.66,0.551398,-0.0011510634,0.870335265994072,-0.07079913,94000,334.12978649139404,376,0.005782769,0.043366686,50082,11.008475184105405,0.070416
9425000,245.69,0.3730886,-0.0020037293,0.8906226977705956,-0.0713431,94250,335.0539586544037,377,0.0035918006,0.043783516,51033,11.015352214818485,0.035904
9450000,233.22,0.7697983,-0.00069785543,0.8078427463769913,-0.07154621,94500,335.9366719722748,378,0.006455522,0.03898521,57295,10.532513420959312,0.077808
9475000,238.18,0.55496985,-0.0013921189,0.8366167545318604,-0.071059726,94750,336.72959542274475,379,0.0066811903,0.040658165,55243,10.413992752743997,0.085084
