ep_len_mean,policy_loss,fps,n_updates,true_reward,serial_timesteps,total_timesteps,policy_entropy,clipfrac,explained_variance,approxkl,time_elapsed,ep_reward_mean,value_loss
84.58,-0.0011451647,55589,59,-0.013276553,14750,1475000,5.574944,0.019156,0.9052498564124107,0.0023597782,59.82179236412048,1.745333737070905,0.32186177
79.45,-0.0008300507,55436,60,-0.012008086,15000,1500000,5.5728045,0.020604,0.9160999432206154,0.002189753,60.636170625686646,1.7296647793581952,0.33845592
79.97,-0.0010431784,54692,61,-0.013577516,15250,1525000,5.569789,0.016328,0.8998080492019653,0.0025379162,61.46093511581421,1.7284428407499945,0.38240987
73.07,-0.0014766055,55594,62,-0.014297007,15500,1550000,5.5710893,0.023096,0.8644583225250244,0.0023445352,62.28518271446228,1.5877662086913369,0.50841606
88.64,-0.0010043916,54706,63,-0.0086288145,15750,1575000,5.5738153,0.015687998,0.9256988316774368,0.002207776,63.09800887107849,2.0001978759667534,0.29804283
63.2,-0.0019558924,55026,64,-0.01436168,16000,1600000,5.5800905,0.030536,0.9284486323595047,0.0031477152,63.9239137172699,1.318437948359897,0.2795344
60.03,-0.00072567846,55261,65,-0.01556428,16250,1625000,5.5866766,0.020032,0.9337475299835205,0.0022101752,64.74820756912231,1.2703397422423586,0.27393225
60.71,-0.00087367557,49476,66,-0.015739435,16500,1650000,5.5894327,0.020468,0.9505405910313129,0.0026590014,65.58044743537903,1.2851687548301287,0.21641524
62.34,-0.0008021145,38804,67,-0.018075677,16750,1675000,5.588622,0.011324001,0.9463981613516808,0.0017914043,66.4708240032196,1.2204580081165477,0.24717784
58.42,-0.0012890919,55060,68,-0.017645633,17000,1700000,5.5876923,0.024224002,0.9567920826375484,0.0027785972,67.47859215736389,1.3077224299218506,0.19597508
89.21,-0.0018377114,54812,69,-0.008604663,17250,1725000,5.583282,0.023591999,0.9682019203901291,0.00268888,68.32346749305725,1.711597766750474,0.13990054
78.5,-0.001877046,33335,70,-0.01048284,17500,1750000,5.5776873,0.029768,0.9554630592465401,0.0030228302,69.15888381004333,1.761094151148559,0.20854342
59.84,-0.0020853307,45618,71,-0.01704874,17750,1775000,5.572395,0.039688,0.9658754430711269,0.0035423632,70.26837730407715,1.2511420907194952,0.16301444
62.18,-0.0014709153,47172,72,-0.015700424,18000,1800000,5.570181,0.033556,0.9722788371145725,0.0035914932,71.19234299659729,1.1940891461856882,0.12989634
74.61,-0.0018787232,54129,73,-0.012857007,18250,1825000,5.5646424,0.041936,0.9619334191083908,0.0038292673,72.0877103805542,1.4665421275255357,0.17013991
82.57,-0.0014235403,48185,74,-0.00872959,18500,1850000,5.5596833,0.021844,0.9583018980920315,0.0027291172,72.90519905090332,1.7973230083961242,0.17197235
81.38,-0.0017411364,46328,75,-0.010962231,18750,1875000,5.55968,0.040656,0.9750864878296852,0.0038736307,73.8007423877716,1.5254454544251348,0.1034442
75.81,-0.0019019764,52775,76,-0.0102720475,19000,1900000,5.5583344,0.025856,0.9760928675532341,0.0028399143,74.74043560028076,1.695713218064484,0.100756004
89.54,-0.0012712844,48609,77,-0.009347608,19250,1925000,5.554598,0.0113079995,0.9865902652963996,0.0018725157,75.61295461654663,2.0579233225240783,0.059645098
87.37,-0.0011639008,50232,78,-0.008039506,19500,1950000,5.5501933,0.023464,0.9782102350145578,0.0026806188,76.61054682731628,1.9760246607460068,0.08954378
88.16,-0.0022498427,51414,79,-0.007693352,19750,1975000,5.552335,0.038143996,0.9787981621921062,0.0035611305,77.60265374183655,1.8565959979147828,0.09060104
100.06,-0.0014844139,37356,80,-0.0052001807,20000,2000000,5.55058,0.0142439995,0.9704794157296419,0.0018119446,78.71779322624207,2.0598855702751733,0.115291044
121.61,-0.0015783384,44995,81,-0.0023770176,20250,2025000,5.5447855,0.033080004,0.9751124009490013,0.0034913637,79.80672788619995,2.446622031776892,0.09631151
127.94,-0.0014238574,52253,82,-0.00063196855,20500,2050000,5.5414553,0.00842,0.9818967785686255,0.0015846572,80.7966845035553,2.9130680510983096,0.06973489
128.65,-0.0012678136,42799,83,-0.00087640417,20750,2075000,5.5383863,0.016128,0.970458397641778,0.0021789283,81.74827575683594,2.720402198303575,0.11266692
140.51,-0.0017692536,47513,84,0.0026137147,21000,2100000,5.537074,0.027856002,0.9647828564047813,0.0027905148,82.80200600624084,3.0788171017025134,0.12624535
157.39,-0.0013275081,42636,85,0.004479011,21250,2125000,5.538268,0.018040001,0.9557349272072315,0.0023911705,83.79447150230408,3.111441092515788,0.12998345
168.41,-0.0020524908,51091,86,0.0035017056,21500,2150000,5.5324755,0.040212,0.9471932984888554,0.0038393766,84.84631419181824,3.3168039675006913,0.16226529
175.31,-0.0016436193,52321,87,0.0017448642,21750,2175000,5.521924,0.045472004,0.9263622164726257,0.004176788,85.70882844924927,3.160495253740446,0.22666895
157.02,-0.0016715365,52271,88,-0.00037681506,22000,2200000,5.511094,0.024271999,0.9485231153666973,0.0028077904,86.56385231018066,2.794702641800693,0.14904602
134.67,-0.0012470098,40612,89,-0.0038191064,22250,2225000,5.5072827,0.021596,0.9513448178768158,0.0024998006,87.49396538734436,2.522836546884146,0.15611586
146.22,-0.0017040288,43576,90,-8.152313e-05,22500,2250000,5.5053077,0.028536001,0.9537543691694736,0.002982068,88.65037488937378,2.8739626537049663,0.13629846
136.04,-0.0012118273,39266,91,-0.0018768845,22750,2275000,5.5003724,0.022343999,0.9450081363320351,0.0025578307,89.7316381931305,2.59336442240829,0.16036484
145.05,-0.0017743844,48001,92,0.00119623,23000,2300000,5.4980707,0.034323998,0.9438150227069855,0.0033772427,90.86987352371216,2.8332436413684765,0.1612491
135.14,-0.0012004315,51617,93,0.00050345995,23250,2325000,5.4999957,0.021176001,0.9489376433193684,0.0027343645,91.84707045555115,2.891348857409612,0.15400024
137.22,-0.0010523484,51598,94,0.0018311403,23500,2350000,5.4971824,0.0111,0.9353663623332977,0.0020227518,92.76652383804321,3.091699736851242,0.19094196
147.74,-0.0011401174,51707,95,0.0034005544,23750,2375000,5.492669,0.0050279996,0.9547751620411873,0.0011827925,93.71068739891052,2.998969412596953,0.12639584
133.51,-0.0012338549,52366,96,0.0025517351,24000,2400000,5.491945,0.014688,0.9424529559910297,0.002048431,94.63816523551941,2.939738156272097,0.18315923
135.79,-0.0022754166,50771,97,-0.00088299543,24250,2425000,5.492301,0.029668003,0.9358555972576141,0.0031551432,95.55472493171692,2.8748323305837946,0.22530885
160.49,-0.0023319612,52429,98,0.005476677,24500,2450000,5.4889326,0.053763997,0.8976722285151482,0.0045805215,96.48050498962402,3.6075136360106375,0.25373775
157.18,-0.002321344,48430,99,0.005179153,24750,2475000,5.4883504,0.045212,0.9500534571707249,0.004050951,97.4127287864685,3.3541432354526752,0.13057256
184.79,-0.0016776059,46266,100,0.0106004225,25000,2500000,5.488295,0.030715998,0.9334927648305893,0.0033300847,98.37681913375854,4.147752979761872,0.16282041
181.97,-0.0014330697,53845,101,0.009468945,25250,2525000,5.4833984,0.02466,0.9284637719392776,0.002697713,99.35001063346863,3.846408288021457,0.15390226
177.63,-0.0023012043,53505,102,0.008989662,25500,2550000,5.4776616,0.028776,0.9008473306894302,0.0030263625,100.25582456588745,3.9907752237321303,0.22777435
158.19,-0.0009402018,53181,103,0.004430689,25750,2575000,5.470147,0.015612001,0.9372065588831902,0.002298758,101.15851473808289,3.5152577455291496,0.1882812
174.16,-0.0013547783,53491,104,0.0059441957,26000,2600000,5.4639673,0.023232002,0.9535810649394989,0.0025784236,102.0573947429657,3.797881019895467,0.13943958
