true_reward,total_timesteps,n_updates,fps,ep_reward_mean,ep_len_mean,policy_entropy,approxkl,time_elapsed,explained_variance,policy_loss,clipfrac,serial_timesteps,value_loss
0.066882536,1125000,45,57714,17.22518485336481,246.48,-3.8128562,0.007836923,44.12362504005432,0.949599776417017,-0.0013581335,0.102976,11250,0.5374263
0.06546023,1150000,46,28916,16.60653741561342,247.72,-3.8174663,0.014444892,44.91897368431091,0.9357101395726204,0.0042569507,0.18768801,11500,0.599507
0.06346592,1175000,47,56049,15.866481154392623,250.0,-3.8224957,0.0060566114,46.13894867897034,0.9461143650114536,-0.0016515428,0.073772006,11750,0.44212466
0.06774853,1200000,48,58383,17.307850803797336,248.15,-3.830976,0.01424361,46.9407434463501,0.9220011755824089,0.003230478,0.18573199,12000,0.68978894
0.063045226,1225000,49,57016,16.298277252053705,247.18,-3.8375275,0.010297771,47.720590591430664,0.9301524609327316,0.0011529529,0.124632,12250,0.6827557
0.06807913,1250000,50,55747,17.353839274048298,247.85,-3.8398037,0.026580598,48.50075101852417,0.9541861526668072,0.011200329,0.256244,12500,0.46987876
0.068309546,1275000,51,57768,17.214159915476795,248.58,-3.8393645,0.023340326,49.29999804496765,0.9535722695291042,0.010571549,0.272208,12750,0.50071394
0.065371476,1300000,52,48912,16.687507006837624,248.19,-3.8384724,0.018273138,50.08788347244263,0.9525872021913528,0.005551259,0.239396,13000,0.48273844
0.06827908,1325000,53,57402,17.620477430461214,246.87,-3.8367736,0.0075607738,50.960694313049316,0.9250932335853577,-0.0008006195,0.098364,13250,0.71050435
0.06698445,1350000,54,56554,16.746112236909102,250.0,-3.83646,0.016793566,51.74931287765503,0.9610696285963058,0.0053611295,0.222452,13500,0.4174443
0.06212977,1375000,55,56889,15.887386570776235,248.17,-3.8418782,0.009316257,52.55514621734619,0.9597340188920498,0.00077796326,0.123704,13750,0.43675724
0.068347655,1400000,56,37244,17.086913671400033,250.0,-3.8537946,0.008574401,53.36023473739624,0.9574077799916267,0.00093053794,0.111384,14000,0.42019385
0.060496263,1425000,57,57433,15.303507217587903,249.15,-3.8642864,0.012153391,54.3931405544281,0.9543643034994602,0.0027285118,0.15709601,14250,0.42375857
0.05944706,1450000,58,58451,15.540860822152782,243.65,-3.8716836,0.009841566,55.18841910362244,0.935022309422493,-0.00020720821,0.12414,14500,0.67020404
0.068411715,1475000,59,57902,17.268677731420176,248.82,-3.875466,0.026101839,55.978981256484985,0.9438610710203648,0.0076671606,0.23996799,14750,0.55061567
0.061739188,1500000,60,56007,15.62616767071143,248.88,-3.876817,0.013471742,56.77708411216736,0.9469524137675762,0.0027319666,0.16893601,15000,0.45871824
0.06537124,1525000,61,42146,16.496640540134596,248.61,-3.879499,0.0361011,57.59844160079956,0.9539313204586506,0.0143718915,0.35287598,15250,0.4586591
0.070258185,1550000,62,33607,17.745114706011638,248.39,-3.8814514,0.037242822,58.529396295547485,0.9544677399098873,0.015715275,0.33489603,15500,0.49592265
0.064585306,1575000,63,57189,16.468844626617937,247.3,-3.88182,0.011547598,59.632328271865845,0.9318658635020256,0.00080841704,0.16046001,15750,0.61107635
0.06451188,1600000,64,47761,16.4593437551838,246.58,-3.8845508,0.015633736,60.42814493179321,0.9567332193255424,0.0031874832,0.19375199,16000,0.46873146
0.06674471,1625000,65,48107,16.686177357048383,250.0,-3.8824131,0.012821572,61.299076795578,0.9526780247688293,0.0028437262,0.172176,16250,0.43657547
0.06250958,1650000,66,45848,15.79240902120062,248.83,-3.8810363,0.020159338,62.16376543045044,0.9631382972002029,0.0074726017,0.23402,16500,0.39461985
0.068480544,1675000,67,57798,17.41652661093409,246.34,-3.8833365,0.01531581,63.05609631538391,0.9521415717899799,0.0047681,0.20229201,16750,0.53101504
0.06253597,1700000,68,55968,15.96609269928973,247.11,-3.8838646,0.017240101,63.84211230278015,0.9468908682465553,0.004249407,0.19679199,17000,0.5648357
0.07047366,1725000,69,55834,17.970351288401424,247.4,-3.8842213,0.010512186,64.65112614631653,0.9465533941984177,-0.0002638636,0.140796,17250,0.5716723
0.060079142,1750000,70,56979,15.69331496725963,245.0,-3.884695,0.010701177,65.4675281047821,0.9529354907572269,-0.00041651673,0.138564,17500,0.53957844
0.05796743,1775000,71,55322,15.123570059258855,244.46,-3.8870232,0.010760908,66.26423954963684,0.9503539837896824,0.000492278,0.146,17750,0.566861
0.06614647,1800000,72,41931,16.53661623488162,250.0,-3.8897438,0.015503298,67.06797504425049,0.9561762437224388,0.005297567,0.186948,18000,0.44625908
0.06806792,1825000,73,44279,17.200751498220754,248.94,-3.891428,0.009377658,68.01216197013855,0.9404943734407425,0.0004626896,0.119772,18250,0.57505345
0.06569047,1850000,74,48491,16.57632568824688,248.41,-3.893209,0.0071190796,68.93861842155457,0.9477521739900112,-0.00045175594,0.087908,18500,0.48220816
0.06363338,1875000,75,45946,15.908345438008583,250.0,-3.893681,0.008804796,69.81949400901794,0.9544590748846531,0.0007549611,0.119431995,18750,0.39899713
0.064457536,1900000,76,55703,16.820567439647856,245.98,-3.8981552,0.0102617275,70.7411937713623,0.9521086290478706,-0.0005636609,0.133276,19000,0.584386
0.068918906,1925000,77,51783,17.379366905793287,248.45,-3.9014983,0.016819838,71.57707500457764,0.9634536318480968,0.0059363088,0.220028,19250,0.41864133
0.06741698,1950000,78,42373,17.283927974155375,246.94,-3.9012437,0.01239911,72.44653248786926,0.9218999147415161,0.0017523787,0.14929602,19500,0.7264128
0.06646085,1975000,79,55465,16.827488556625976,247.7,-3.9015477,0.015439631,73.39495038986206,0.9571605771780014,0.0043884744,0.198288,19750,0.49066147
0.061637387,2000000,80,56352,15.409345939332743,250.0,-3.9043953,0.014436227,74.2190420627594,0.951395183801651,0.004578889,0.163672,20000,0.42194572
0.06653677,2025000,81,54408,16.831373715407725,249.2,-3.906351,0.027766287,75.02966690063477,0.9488362744450569,0.012631886,0.290088,20250,0.48377055
0.06781477,2050000,82,55581,17.29095380565551,247.35,-3.9066844,0.0106674675,75.85164880752563,0.9382848255336285,0.0013601284,0.14299999,20500,0.6006812
0.06791766,2075000,83,49718,17.168124970053178,249.28,-3.90504,0.023006523,76.67256569862366,0.9424268491566181,0.0087000225,0.24848,20750,0.5712616
0.06581274,2100000,84,57283,16.628488241966696,249.02,-3.9012325,0.009340438,77.54362297058105,0.9350442215800285,0.00049453584,0.12195599,21000,0.6240391
0.06791068,2125000,85,53029,17.13462586704243,248.74,-3.897749,0.0095726345,78.33737087249756,0.9597722813487053,0.00046813776,0.12572399,21250,0.43187815
0.069199234,2150000,86,56253,17.475069071557044,248.5,-3.8977458,0.017965348,79.16512250900269,0.9368408098816872,0.0042832536,0.20536001,21500,0.5967432
0.06573811,2175000,87,46257,16.434528400699673,250.0,-3.8991044,0.0335554,79.96559619903564,0.956739317625761,0.012878177,0.287012,21750,0.41433844
0.06981986,2200000,88,49946,17.796747614458738,245.74,-3.9001167,0.011440607,80.85290884971619,0.9329634308815002,0.0017031761,0.14718801,22000,0.6705853
0.06003875,2225000,89,51992,15.314855505559189,247.41,-3.9011788,0.013337718,81.71449899673462,0.9437839426100254,0.0038082232,0.160832,22250,0.58455336
0.06234495,2250000,90,56058,15.928419737504173,247.74,-3.90046,0.01447974,82.55956172943115,0.9298539683222771,0.002515582,0.192756,22500,0.6534625
0.069768526,2275000,91,57470,17.606668317195805,248.86,-3.8990579,0.014925927,83.36805820465088,0.9533268809318542,0.0042344,0.186464,22750,0.46396846
0.066251405,2300000,92,39141,16.90995547000806,248.07,-3.8996167,0.017062541,84.16513562202454,0.9531018920242786,0.0057557733,0.211844,23000,0.516432
0.06784235,2325000,93,56023,17.28176762965849,247.16,-3.9009507,0.022732152,85.16105937957764,0.9390501976013184,0.008319537,0.260664,23250,0.5848128
0.068102695,2350000,94,48568,17.414970853477133,246.28,-3.90102,0.032639958,85.95712804794312,0.9408899210393429,0.01127331,0.35612398,23500,0.64133817
0.06529463,2375000,95,57400,16.479653498795873,248.6,-3.9007354,0.031903367,86.82563424110413,0.9416749142110348,0.013033408,0.340024,23750,0.51345307
0.06150794,2400000,96,56872,15.927920719599642,245.01,-3.9022317,0.012707882,87.62750315666199,0.9448466524481773,0.0022341716,0.17114,24000,0.60018593
0.06452789,2425000,97,50839,16.500502244455312,246.6,-3.903321,0.014093752,88.42525959014893,0.9438918270170689,0.0026864198,0.185044,24250,0.5769607
