value_loss,ep_len_mean,true_reward,clipfrac,policy_entropy,n_updates,total_timesteps,policy_loss,explained_variance,serial_timesteps,time_elapsed,approxkl,fps,ep_reward_mean
0.6793193,54.5,0.094343655,0.032908,4.9970555,85,2125000,-0.0029101952,0.7927694320678711,21250,77.35553550720215,0.003442414,58506,6.503008002103306
0.69465894,49.58,0.09515525,0.073276,4.987989,86,2150000,-0.0012259128,0.7819689065217972,21500,78.2064197063446,0.006173388,58174,5.913035326283425
0.66086924,57.51,0.09643755,0.042452,4.9824934,87,2175000,-0.0028579573,0.7982228249311447,21750,79.03603053092957,0.004008283,60286,7.004946726709604
0.7132457,50.26,0.09494625,0.038952004,4.9780254,88,2200000,-0.0015607107,0.7840567976236343,22000,79.87486529350281,0.0037621155,57714,6.091819564588368
0.7023244,49.25,0.09391982,0.037752002,4.9746532,89,2225000,-0.0027243174,0.7945753186941147,22250,80.70889186859131,0.003836351,58888,6.027405729144812
0.6659154,56.2,0.09650881,0.040864002,4.971095,90,2250000,-0.0033901825,0.8018142580986023,22500,81.52279162406921,0.0039403276,60103,6.891120277419686
0.6739344,51.15,0.09777267,0.045631997,4.966644,91,2275000,-0.0027425438,0.7969336807727814,22750,82.36250472068787,0.004242123,57544,6.243183634765447
0.6795266,54.65,0.09843346,0.020784,4.9631357,92,2300000,-0.002961514,0.7937037646770477,23000,83.21012043952942,0.002625865,58444,6.625530402399599
0.7038043,60.81,0.09954744,0.033928,4.957081,93,2325000,-0.0032951303,0.7923268526792526,23250,84.02666234970093,0.0035574578,59344,7.470510252453387
0.7434511,57.31,0.09919861,0.03258,4.951021,94,2350000,-0.0021489572,0.7770791351795197,23500,84.85386252403259,0.0033460087,60282,6.929856659024954
0.7365651,54.5,0.099389374,0.015419999,4.9465785,95,2375000,-0.0015849977,0.7834111601114273,23750,85.66956877708435,0.0021045976,58329,6.674089421257377
0.7694589,57.31,0.09987548,0.043704,4.9422975,96,2400000,-0.0015104802,0.7748291194438934,24000,86.49469327926636,0.004141513,57305,6.903333380781114
0.7735931,60.63,0.10070426,0.022128,4.938301,97,2425000,-0.0024541537,0.7686863392591476,24250,87.32449340820312,0.0026160746,58794,7.506530426293612
0.7152866,63.25,0.101896554,0.027291998,4.9347425,98,2450000,-0.002189571,0.7889803349971771,24500,88.18469834327698,0.0030009008,59744,7.7674128085002305
0.71728504,58.53,0.101766974,0.0216,4.931935,99,2475000,-0.0021691634,0.7891544103622437,24750,88.99384880065918,0.0026425624,59155,7.246037498749793
0.7420696,52.92,0.100850105,0.017916001,4.930753,100,2500000,-0.0020265882,0.7902892529964447,25000,89.81084561347961,0.0024109643,59871,6.510892963483929
0.74630684,61.47,0.10179156,0.032428,4.9294114,101,2525000,-0.0026314699,0.7838033884763718,25250,90.6663658618927,0.0033814919,57469,7.597527020666749
0.69734454,65.99,0.10250436,0.040140003,4.927753,102,2550000,-0.0030730958,0.8029451072216034,25500,91.49792695045471,0.003973209,59615,8.02277026358992
0.6971347,69.65,0.103294365,0.043088,4.9247856,103,2575000,-0.0028575652,0.7997222691774368,25750,92.31531596183777,0.004126061,58843,8.679150798618794
0.68693846,75.93,0.10402076,0.064987995,4.9199567,104,2600000,-0.0017539177,0.8057270050048828,26000,93.14497065544128,0.005498061,58503,9.273119904771447
0.65940416,72.84,0.10480758,0.026908,4.9143834,105,2625000,-0.0022727405,0.808233305811882,26250,93.99303388595581,0.0030216435,59237,8.948250445052981
0.65853643,71.41,0.10396332,0.020392,4.9074807,106,2650000,-0.0023045398,0.8116175979375839,26500,94.83366775512695,0.0024504443,57814,8.73943441875279
0.68639386,76.88,0.105829425,0.045135997,4.8994775,107,2675000,-0.0024648488,0.815018355846405,26750,95.68733501434326,0.0041096737,56564,9.47569003328681
0.66924256,70.24,0.10701277,0.022956,4.8936267,108,2700000,-0.0023668138,0.8148373812437057,27000,96.5368869304657,0.002665728,59994,8.60756015188992
0.6986621,67.78,0.10486,0.040591996,4.888896,109,2725000,-0.0033917911,0.8155059367418289,27250,97.35540103912354,0.0039376095,59034,8.338228297075256
0.7213275,74.62,0.10600654,0.032352,4.8808403,110,2750000,-0.0028890667,0.8031022399663925,27500,98.18165016174316,0.0031957608,58769,9.152345938645304
0.7257033,78.7,0.10738155,0.036708,4.8721046,111,2775000,-0.0031290192,0.8004965633153915,27750,99.00102424621582,0.0036721632,58099,9.655042121596635
0.7315475,74.09,0.10740619,0.026740003,4.866022,112,2800000,-0.0016293764,0.8041775077581406,28000,99.83816957473755,0.0029615662,58018,9.055706942714751
0.67890346,81.87,0.109087795,0.045308,4.8604994,113,2825000,-0.0006911531,0.8080872446298599,28250,100.73096323013306,0.0042543975,58928,10.176484530940652
0.71038973,80.39,0.10907461,0.035528004,4.855903,114,2850000,-0.0019830302,0.8137218356132507,28500,101.5560576915741,0.003520459,59578,10.011140979453922
0.74255186,89.94,0.10866432,0.032612003,4.851193,115,2875000,-0.0020133103,0.8088258802890778,28750,102.38122510910034,0.0033633,58234,10.999316804856061
0.75645435,92.16,0.10838286,0.048364002,4.846097,116,2900000,-0.0018665148,0.8098523318767548,29000,103.22063374519348,0.004364007,57889,11.331218944266439
0.7560283,98.91,0.10984836,0.021448001,4.8429995,117,2925000,-0.0020901621,0.8004835844039917,29250,104.03503274917603,0.0026798928,58807,12.126239698380232
0.8178223,93.23,0.10892768,0.027131999,4.839847,118,2950000,-0.002467273,0.7858384400606155,29500,104.86120414733887,0.0029899692,58665,11.398849111162127
0.71589124,104.85,0.10935916,0.024047999,4.834392,119,2975000,-0.0020389627,0.8107218891382217,29750,105.68671822547913,0.002892246,59539,12.98770101401955
0.77078974,95.69,0.11090327,0.028320003,4.8279657,120,3000000,-0.0029399334,0.7962220758199692,30000,106.49373602867126,0.002993351,58589,12.078145587071777
0.7647095,101.97,0.112275675,0.023996,4.8206744,121,3025000,-0.0017380025,0.7914206236600876,30250,107.31879448890686,0.0029614796,59113,12.732607960551977
0.69449985,99.22,0.114863925,0.019196,4.8148513,122,3050000,-0.0017167323,0.8162249326705933,30500,108.1308376789093,0.002601135,58851,12.495926960296929
0.73035073,100.14,0.11142871,0.055935998,4.810477,123,3075000,-0.0014845971,0.8185746669769287,30750,108.94599723815918,0.004984398,60299,12.602561755552887
0.70735174,130.48,0.11244511,0.023831999,4.80656,124,3100000,-0.0014911697,0.8195713609457016,31000,109.75444793701172,0.0027549383,60051,16.11224978927523
0.6830681,124.72,0.11460591,0.010832,4.802861,125,3125000,-0.0015001281,0.8286150991916656,31250,110.5536756515503,0.0018082557,60369,15.538195575550198
0.7520255,102.73,0.112774864,0.023864001,4.799098,126,3150000,-0.0018958971,0.8178074359893799,31500,111.36970114707947,0.0028075124,58839,12.778141398616135
0.7746593,116.65,0.11340668,0.028207999,4.7955375,127,3175000,-0.0021373995,0.8152931481599808,31750,112.18267464637756,0.003044407,59235,14.71794415526092
0.7363441,120.82,0.11497558,0.025975998,4.7919087,128,3200000,-0.0017700344,0.8193946480751038,32000,112.99082541465759,0.002791386,60264,15.274546536281704
0.82064307,128.79,0.112626195,0.012944001,4.7882023,129,3225000,-0.0019796889,0.7986282855272293,32250,113.79638695716858,0.0018576335,59962,15.850955750197173
0.77690774,128.03,0.114112474,0.018392,4.783601,130,3250000,-0.0011413799,0.8037017732858658,32500,114.60777044296265,0.00203663,59081,15.879904998317361
0.79042965,123.58,0.11552217,0.018776,4.7796626,131,3275000,-0.002079651,0.7999858260154724,32750,115.41263055801392,0.0027321232,59866,15.575408439412714
0.7738817,121.08,0.11419445,0.023144,4.775472,132,3300000,-0.001783497,0.8120443522930145,33000,116.21900987625122,0.00279122,59836,14.973799260295927
0.81725824,138.08,0.11687247,0.033516,4.770763,133,3325000,-0.002158428,0.7940779477357864,33250,117.02175951004028,0.0033306652,58175,17.598864543922247
0.7616721,126.52,0.11615731,0.023532,4.766285,134,3350000,-0.0019236023,0.8175531327724457,33500,117.86062788963318,0.0027651722,59276,15.851554630249739
0.7102468,138.25,0.11908312,0.039344,4.7615685,135,3375000,-0.0022798453,0.8212562054395676,33750,118.67653512954712,0.0036297594,58571,17.819591107815505
0.7517567,136.47,0.11474076,0.023996,4.7579994,136,3400000,-0.0024373294,0.8243985623121262,34000,119.48588943481445,0.0027308944,58598,17.253467723876238
0.7791647,151.8,0.11697765,0.025036002,4.7545943,137,3425000,-0.0027083133,0.8119003772735596,34250,120.30599117279053,0.0026681859,59090,19.23875822994858
0.67863005,169.06,0.11941549,0.0303,4.749045,138,3450000,-0.001096681,0.8125774413347244,34500,121.11984968185425,0.003046304,57691,21.476339503005146
0.7808901,160.42,0.117941774,0.016327998,4.7450113,139,3475000,-0.0017594325,0.8070229142904282,34750,121.93994283676147,0.0022774956,58542,20.55991504006088
0.8589525,137.76,0.11807159,0.023668,4.7415447,140,3500000,-0.002674619,0.7997403144836426,35000,122.76064705848694,0.0026834384,58898,17.574284143559634
0.7975019,146.96,0.11938872,0.046908,4.738405,141,3525000,-0.0024746477,0.7987958043813705,35250,123.59183239936829,0.0042917347,58017,18.915383723080158
0.7287955,165.42,0.12175571,0.019568,4.735368,142,3550000,-0.0012779811,0.8041449189186096,35500,124.40830612182617,0.0024692689,57918,21.46510654207319
0.8312359,164.65,0.121595345,0.039044,4.7322273,143,3575000,-0.0020877603,0.7718505412340164,35750,125.25813674926758,0.0039493465,57148,21.275090152695775
0.79273283,174.2,0.12250341,0.044636,4.728175,144,3600000,-0.00119173,0.7737223654985428,36000,126.13454604148865,0.0043114177,54117,22.767557619810106
0.8835028,149.56,0.12066433,0.0331,4.724894,145,3625000,-0.0027278075,0.7825820744037628,36250,126.98924160003662,0.0034116837,58960,19.293694991841914
0.89743805,150.22,0.12101352,0.049956,4.718794,146,3650000,-0.0032051834,0.7801132053136826,36500,127.7982566356659,0.0045645707,59008,19.578527564927935
0.7457426,163.48,0.11941535,0.048639998,4.71113,147,3675000,-0.0029624987,0.8231024742126465,36750,128.61331582069397,0.0042609232,59658,21.101861127912997
0.7719368,168.4,0.12185577,0.047428,4.7056975,148,3700000,-0.0022371605,0.7884919196367264,37000,129.41749238967896,0.0043738973,59858,21.76602271899581
0.8200922,174.03,0.12200179,0.027264003,4.7026625,149,3725000,-0.0019207627,0.7450141310691833,37250,130.22685384750366,0.00297797,60111,22.295298779346048
0.8044484,178.32,0.12394971,0.039543997,4.6991086,150,3750000,-0.0027883672,0.7576388567686081,37500,131.0300669670105,0.0037211995,57625,23.245194294154643
0.8091402,170.15,0.12324595,0.024748001,4.694337,151,3775000,-0.0019318268,0.778190866112709,37750,131.86103868484497,0.002864095,59883,22.06710459318012
0.6768712,179.81,0.1229165,0.034192,4.689737,152,3800000,-0.0018658789,0.8117593228816986,38000,132.6786768436432,0.003246103,59488,23.15574245609343
0.6603973,194.33,0.124893054,0.061976004,4.6862955,153,3825000,-0.00038180265,0.7872397303581238,38250,133.47721123695374,0.005244072,57692,25.248026184514163
0.63005716,188.36,0.124792315,0.024376,4.684062,154,3850000,-0.0011213863,0.8180705904960632,38500,134.2998514175415,0.0027280622,59658,24.54214434802532
0.56528634,207.43,0.12567958,0.024908002,4.6822042,155,3875000,-0.001520962,0.7875926643610001,38750,135.10632634162903,0.0028239856,57816,26.859115071967246
0.69554913,191.28,0.12571195,0.031187996,4.68067,156,3900000,-0.0011624891,0.7970102429389954,39000,135.92729306221008,0.0032632414,60129,25.085517029315234
0.65367615,189.49,0.12406545,0.016027998,4.6789503,157,3925000,-0.0015111954,0.8246297538280487,39250,136.72824430465698,0.0019260608,53247,24.64711367394775
0.76990193,189.26,0.12494946,0.026172,4.676881,158,3950000,-0.002270116,0.7590861916542053,39500,137.57921195030212,0.0027068942,58483,24.659120366200806
0.59322816,193.22,0.12607603,0.030023998,4.6748204,159,3975000,-0.0021933059,0.804777979850769,39750,138.40336513519287,0.0028894334,58242,25.203732916932786
0.5387724,202.63,0.12692435,0.026696,4.672644,160,4000000,-0.0025794688,0.8306786268949509,40000,139.21641159057617,0.0029422266,58187,26.922228956334294
0.66160667,183.55,0.12436434,0.052240003,4.669182,161,4025000,-0.0032107313,0.8261009454727173,40250,140.02259612083435,0.004643313,58559,23.943753739073873
0.62599313,199.24,0.12697232,0.055584002,4.664857,162,4050000,-0.0016198534,0.8026687353849411,40500,140.84786081314087,0.00495566,58271,26.31305955477059
0.59428394,197.45,0.12738419,0.027699998,4.6612577,163,4075000,-0.0019900624,0.8176656663417816,40750,141.67470407485962,0.0030018906,58806,26.123600343316795
0.7156113,209.37,0.12870046,0.038944,4.6566505,164,4100000,-0.0026884668,0.7500419765710831,41000,142.48485326766968,0.003697609,61020,27.90855185057968
0.6064038,215.85,0.13014214,0.046816,4.6515822,165,4125000,-0.0013181698,0.737189531326294,41250,143.3045301437378,0.0041651316,58580,28.631946645714343
0.75136507,197.67,0.12693897,0.048775997,4.6471925,166,4150000,-0.0024904285,0.7521314918994904,41500,144.11725115776062,0.0043489486,57971,26.101068077124655
0.7905415,194.12,0.13078547,0.053692,4.6437397,167,4175000,-0.0029110739,0.6832158863544464,41750,144.92792510986328,0.0047552553,58837,26.251641594022512
0.61107266,207.55,0.13057637,0.037272,4.639759,168,4200000,-0.0016202613,0.7415308356285095,42000,145.74114632606506,0.003760194,58290,28.08445800617337
0.5225624,215.68,0.1300368,0.019027999,4.6356645,169,4225000,-0.0018349709,0.8020009696483612,42250,146.55097484588623,0.0024328697,58110,28.886901839859785
0.56187344,214.04,0.13124266,0.020592,4.6328764,170,4250000,-0.0018669454,0.7712182551622391,42500,147.37758541107178,0.0023835483,59626,28.853061597570775
0.47494835,228.79,0.1319207,0.017879998,4.630213,171,4275000,-0.0017889051,0.7748852372169495,42750,148.1853895187378,0.0021861265,57991,30.748577003479003
0.58335334,215.54,0.12982677,0.028168002,4.628072,172,4300000,-0.0022564228,0.7985320538282394,43000,148.99194717407227,0.0031336923,58082,28.904460719302296
0.5356753,219.26,0.131645,0.02332,4.625949,173,4325000,-0.0017201271,0.7499743402004242,43250,149.8135805130005,0.002642423,59473,29.550042264088987
0.65141594,203.24,0.13035919,0.072104,4.6212044,174,4350000,-0.0037823617,0.7951865494251251,43500,150.62329530715942,0.005897304,58834,27.37682550087571
0.3937373,234.08,0.13220765,0.042403996,4.614958,175,4375000,-0.0010575572,0.7451765835285187,43750,151.42713737487793,0.004004075,57698,31.25580325882882
