serial_timesteps,policy_entropy,ep_reward_mean,fps,policy_loss,value_loss,explained_variance,clipfrac,approxkl,true_reward,n_updates,total_timesteps,time_elapsed,ep_len_mean
89000,5.109212,3.9208012794988916,57771,-0.0010282738,0.5343453,0.9673932157456875,0.013583,0.0020922674,-0.05976059,89,8900000,327.1643466949463,116.78
90000,5.102417,2.6580567092234766,50391,-0.0010819088,0.6262862,0.9626340083777905,0.018077001,0.0025095744,-0.060125172,90,9000000,330.62837648391724,100.46
91000,5.091808,2.9935091961025138,55874,-0.00087882223,0.6461411,0.9613961763679981,0.013389001,0.0021569508,-0.060958907,91,9100000,334.3416931629181,106.69
92000,5.08653,2.4944136022941983,56761,-0.0010983236,0.6280882,0.9629900604486465,0.01858,0.0026602712,-0.06275398,92,9200000,337.8913109302521,86.81
93000,5.0800657,3.9878498725676854,57756,-0.0008035327,0.65837276,0.9611367732286453,0.013416,0.0021132114,-0.059220698,93,9300000,341.3852572441101,106.6
94000,5.0682425,2.8554319813704567,57351,-0.0008755125,0.55944204,0.9672974422574043,0.013978,0.002107218,-0.06275071,94,9400000,344.8519299030304,98.08
95000,5.060667,3.4927536963497734,56630,-0.0011111512,0.63177574,0.9622032269835472,0.017529,0.002181957,-0.060638696,95,9500000,348.3752179145813,114.89
96000,5.055674,3.6949516796649915,56960,-0.0010284588,0.6369193,0.961730133742094,0.020223001,0.0025815142,-0.057285577,96,9600000,351.8950436115265,116.8
97000,5.050561,3.002893045652131,57062,-0.0009007432,0.62602764,0.9629902169108391,0.014997999,0.0020814782,-0.05775749,97,9700000,355.3943078517914,112.36
98000,5.0493517,3.2670007257816995,57626,-0.0010467876,0.6018612,0.9642947502434254,0.023121,0.0026948955,-0.058305793,98,9800000,358.9059703350067,107.27
99000,5.0475287,2.913768240823929,53204,-0.00087449234,0.49557573,0.9702320583164692,0.018117,0.0025193724,-0.06140494,99,9900000,362.39878487586975,106.92
100000,5.043025,3.4764553557387465,56350,-0.0010396849,0.6576865,0.9611608609557152,0.023306001,0.0026525971,-0.05748844,100,10000000,366.0633249282837,94.92
101000,5.038738,2.6472356112730266,58373,-0.0010844844,0.602293,0.9635075367987156,0.017257,0.0025829151,-0.06022719,101,10100000,369.6046278476715,93.33
102000,5.0333076,2.979851554604993,57479,-0.0009890532,0.6055561,0.9641079306602478,0.018732999,0.0026550293,-0.05950277,102,10200000,373.0625796318054,98.91
103000,5.028142,3.4148456065410118,58177,-0.00080724375,0.56386685,0.9665638990700245,0.012287,0.0020350707,-0.058724146,103,10300000,376.5237166881561,110.94
104000,5.0262413,3.6349029846034773,56640,-0.0014641016,0.54394543,0.9685445763170719,0.024948,0.0029367376,-0.059677973,104,10400000,380.0555491447449,110.9
105000,5.0215125,3.9784046337674432,52606,-0.000984294,0.5990563,0.9647170901298523,0.018658001,0.0024948725,-0.05576845,105,10500000,383.55457973480225,115.06
106000,5.018737,3.1915923903970294,56522,-0.0008052246,0.517581,0.9692165981978178,0.009815001,0.0017994915,-0.05967043,106,10600000,387.18973875045776,105.44
107000,5.0111995,2.7686411040783425,56827,-0.0007258014,0.56749666,0.9673185981810093,0.010572,0.0017163355,-0.057220377,107,10700000,390.6819121837616,93.86
108000,5.003001,3.4928421620473333,57204,-0.0010911386,0.58781433,0.9652262516319752,0.018830998,0.0025979746,-0.056333076,108,10800000,394.2086775302887,116.0
109000,4.9919906,3.2068258930635967,55229,-0.00090196414,0.5573304,0.9667149074375629,0.016074,0.0024861991,-0.057295654,109,10900000,397.6973521709442,112.28
110000,4.978861,3.149348652580428,57904,-0.0008789861,0.62255096,0.9642377160489559,0.013607,0.0020777131,-0.056458827,110,11000000,401.24041295051575,104.55
111000,4.9687405,3.149857508272735,53985,-0.00090377533,0.5414474,0.9696600902825594,0.011051,0.0019043178,-0.059296206,111,11100000,404.7146496772766,97.11
112000,4.960982,3.1910148987613955,43559,-0.0010245835,0.518277,0.9697273783385754,0.017453002,0.0024709585,-0.05851899,112,11200000,408.30922198295593,112.05
113000,4.9549065,3.287547147777514,53990,-0.00091986975,0.57238436,0.9676312245428562,0.017005999,0.0021863831,-0.06061162,113,11300000,412.34642243385315,94.78
114000,4.9458838,3.737331493678815,49530,-0.00084506674,0.5528386,0.9683587700128555,0.0101769995,0.0018334927,-0.056519713,114,11400000,415.9357011318207,117.04
115000,4.9328127,3.8497078411115173,55595,-0.0011653196,0.48624897,0.9722082130610943,0.020001,0.0024545349,-0.058498994,115,11500000,419.7471115589142,114.93
116000,4.9225,3.2026784280883294,53910,-0.00094181317,0.527906,0.970000883564353,0.014071,0.0023047873,-0.05708626,116,11600000,423.2774610519409,101.48
117000,4.9139385,3.2173371246012152,55870,-0.0011530851,0.6280211,0.9638833962380886,0.017414998,0.002442836,-0.055224396,117,11700000,426.88474583625793,110.74
118000,4.9094515,2.4804710232870004,52980,-0.0007948854,0.5896586,0.9659368731081486,0.013289,0.0021508439,-0.056750514,118,11800000,430.4190607070923,100.46
119000,4.9058766,2.9606499509549122,57209,-0.0010862397,0.604036,0.9658610932528973,0.021417001,0.0027467508,-0.05734308,119,11900000,434.06228518486023,97.96
120000,4.900058,3.1537328005363268,47316,-0.0010232333,0.5666663,0.9675947353243828,0.018921,0.00239872,-0.055687662,120,12000000,437.55460596084595,106.43
121000,4.890481,3.621236247223359,53031,-0.0010865405,0.55558336,0.9687674716114998,0.016057001,0.002202802,-0.054245073,121,12100000,441.41220211982727,99.53
122000,4.8846107,2.7610355174026338,54315,-0.0009296882,0.5290695,0.9705309420824051,0.0109089995,0.001687162,-0.05761312,122,12200000,445.0258204936981,102.77
123000,4.8804893,2.8899922010512453,55833,-0.0007975029,0.7288571,0.959248635917902,0.022535,0.002717954,-0.05856971,123,12300000,448.60653710365295,108.67
124000,4.873526,4.004999641738031,55084,-0.0012947414,0.7015254,0.9612643420696259,0.022758001,0.00294668,-0.05644154,124,12400000,452.1920156478882,116.86
125000,4.8655615,2.6716888801298317,47117,-0.0010215684,0.5410522,0.9701147098094225,0.011999,0.001979048,-0.055991642,125,12500000,455.7592487335205,101.92
126000,4.860036,3.3133024073209345,49281,-0.00092787173,0.5069669,0.9717890936881304,0.011292,0.0019256079,-0.055300612,126,12600000,459.6369013786316,110.54
