total_timesteps,ep_len_mean,clipfrac,value_loss,approxkl,serial_timesteps,policy_entropy,explained_variance,policy_loss,fps,time_elapsed,true_reward,n_updates,ep_reward_mean
1625000,51.08,0.043923996,0.8398558,0.0042641596,16250,5.6759534,0.8993407115340233,0.00032299355,51739,60.98881697654724,0.18203357,65,9.465412064045667
1650000,44.56,0.181824,1.140105,0.02396996,16500,5.675631,0.8890179544687271,0.014686222,51822,61.8726019859314,0.1817534,66,8.271603484898806
1675000,52.73,0.08273201,0.9094111,0.00810921,16750,5.675144,0.9197759479284286,0.0037219003,47780,62.7540066242218,0.18169373,67,9.712213254272937
1700000,50.86,0.11845199,0.9978507,0.0128399525,17000,5.673539,0.9048262387514114,0.007733521,50686,63.673967599868774,0.18178575,68,9.404487519413232
1725000,54.61,0.085636,1.1263783,0.008556448,17250,5.6719346,0.8904709294438362,0.0053171082,50444,64.54986119270325,0.18176588,69,10.063495330512524
1750000,51.41,0.145752,1.2328093,0.01657651,17500,5.6706624,0.8949528858065605,0.0074641975,50946,65.44488954544067,0.18177824,70,9.49384261995554
1775000,49.57,0.067596,1.1753553,0.0070480467,17750,5.669509,0.8893463462591171,0.0038115042,52048,66.33218240737915,0.1818773,71,9.183935615867377
1800000,52.99,0.093587995,1.2458936,0.009501701,18000,5.667659,0.89093367010355,0.0046369457,51177,67.20829963684082,0.18184902,72,9.787039985358716
1825000,51.43,0.020599999,1.3702078,0.002496105,18250,5.666464,0.8853034004569054,-0.00039820914,52624,68.08928990364075,0.18184334,73,9.501287279427052
1850000,46.63,0.150488,1.2822711,0.018717427,18500,5.6661158,0.8814670443534851,0.015403597,51076,68.97741413116455,0.18191922,74,8.6664461325109
1875000,48.04,0.186304,1.1725495,0.025056709,18750,5.665641,0.8786655217409134,0.014432289,52490,69.88167405128479,0.18193862,75,8.904220109283925
1900000,49.25,0.06764,1.1070507,0.006378577,19000,5.6651917,0.8822939693927765,0.002557953,52277,70.7588963508606,0.18202895,76,9.13940138399601
1925000,53.67,0.13188401,0.7357765,0.013417286,19250,5.6640973,0.9246858805418015,0.0075420165,51802,71.64320111274719,0.18205711,77,9.902588574886321
1950000,46.62,0.082283996,1.0503387,0.007484908,19500,5.663356,0.880208283662796,0.0034180365,50340,72.54484486579895,0.18215294,78,8.667978121638297
1975000,49.64,0.09215201,0.9810066,0.008322315,19750,5.6627874,0.8828912153840065,0.0036392347,49810,73.44073724746704,0.18233073,79,9.22687165081501
2000000,47.45,0.20852801,0.73582816,0.02466796,20000,5.661432,0.8930832967162132,0.012764876,53108,74.34434795379639,0.18235163,80,8.83484384059906
2025000,46.76,0.2669,0.9703852,0.04531413,20250,5.659972,0.8920087590813637,0.02218098,41897,75.30721831321716,0.18204726,81,8.686642196327448
2050000,54.34,0.20001999,0.73171777,0.03334559,20500,5.658675,0.9255698472261429,0.01616567,43593,76.44700622558594,0.18192543,82,10.03237175911665
