value_loss,time_elapsed,explained_variance,clipfrac,fps,ep_len_mean,true_reward,ep_reward_mean,total_timesteps,approxkl,serial_timesteps,policy_entropy,n_updates,policy_loss
0.40749922,10.324568033218384,0.11736315488815308,0.1504,2463,9.45,0.009557176,-0.0910187853872776,14000,0.010895762,14000,5.308505,56,-0.015846465
0.3140319,10.45067310333252,0.32146984338760376,0.21160002,2484,10.69,0.017387688,0.16785725012421607,14250,0.016835393,14250,5.3033295,57,-0.021200147
0.3548233,10.57497501373291,0.2794220447540283,0.24120001,2453,10.51,-0.006652194,0.1332484209537506,14500,0.01771865,14500,5.2968197,58,-0.025472218
0.36252123,10.702118158340454,0.21227413415908813,0.17480001,2466,10.23,0.0015186958,0.0792464928328991,14750,0.01417909,14750,5.2907934,59,-0.016283099
0.3542284,10.828022241592407,0.2535661458969116,0.25,2444,10.13,0.009422537,0.059555429816246036,15000,0.019634854,15000,5.2837267,60,-0.016261125
0.30206344,10.954434394836426,0.35837364196777344,0.2016,2458,10.87,0.049203843,0.20193630456924438,15250,0.0141549185,15250,5.2791405,61,-0.016486157
0.34141526,11.08003044128418,0.29630714654922485,0.228,2370,10.67,0.0014053497,0.1636469531059265,15500,0.018690486,15500,5.275468,62,-0.014323781
0.32145792,11.210078716278076,0.2910078167915344,0.2648,2396,11.14,0.025420344,0.2541911143064499,15750,0.024973935,15750,5.26933,63,-0.018531553
0.36910367,11.338683128356934,0.24733370542526245,0.2076,2294,10.97,-0.0064124814,0.2216653384268284,16000,0.015141028,16000,5.2639427,64,-0.02125733
0.3264496,11.472134113311768,0.2921173572540283,0.2308,2447,10.05,-0.0065816413,0.04434427797794342,16250,0.016534973,16250,5.258139,65,-0.023911329
0.3220921,11.598771095275879,0.32393479347229004,0.1624,2424,9.79,-0.022522485,-0.026098321080207824,16500,0.013114375,16500,5.250985,66,-0.023098147
0.27588034,11.72628664970398,0.40519750118255615,0.21559998,2432,10.19,0.057218216,0.07090799003839493,16750,0.016761465,16750,5.24262,67,-0.016397398
0.30190518,11.852590560913086,0.37533533573150635,0.198,2450,11.09,0.04125692,0.24410144805908204,17000,0.016052406,17000,5.236911,68,-0.024575584
0.2726195,11.97859811782837,0.4403854012489319,0.1836,2473,11.34,0.04124409,0.29244050025939944,17250,0.013775473,17250,5.234352,69,-0.017122826
0.3445521,12.10360836982727,0.2914887070655823,0.1572,2470,11.54,0.033358827,0.3309095506370068,17500,0.012949012,17500,5.2329416,70,-0.015649617
0.3127389,12.22886872291565,0.33491992950439453,0.2848,2375,12.16,0.017401917,0.450507182776928,17750,0.025905767,17750,5.2309685,71,-0.017904991
0.27052864,12.358468532562256,0.43973076343536377,0.34120002,2309,11.81,0.04107893,0.3826934558153152,18000,0.036145054,18000,5.229773,72,-0.025173003
0.32698172,12.490606546401978,0.36191248893737793,0.20320001,2314,11.65,0.025230551,0.3516551986336708,18250,0.016476173,18250,5.2291975,73,-0.020604825
0.27847648,12.627147436141968,0.41479355096817017,0.24679999,2235,11.96,0.057210457,0.4112703616917133,18500,0.018943522,18500,5.226615,74,-0.020339083
