total_timesteps,ep_reward_mean,policy_entropy,true_reward,approxkl,clipfrac,ep_len_mean,policy_loss,value_loss,explained_variance,serial_timesteps,fps,time_elapsed,n_updates
21750,6.0547070480883125,5.6197467,0.15649097,0.949119,0.5308,39.35,0.023027763,314.50375,-1.019167184829712,21750,2288,14.985101699829102,87
22000,6.182673222869635,5.6196885,0.17256363,1.0028188,0.52919996,40.0,0.022244256,212.55913,-0.5249550342559814,22000,2135,15.118114471435547,88
22250,6.183038446754217,5.61967,0.14870577,0.30636954,0.4092,40.0,0.0031739685,12.741682,0.2685578465461731,22250,2223,15.260269165039062,89
22500,6.182580903619527,5.6198,0.16467297,15.982096,0.69479996,40.0,-0.010487588,53.058186,0.5300368964672089,22500,2262,15.396716594696045,90
22750,6.105426012277603,5.6198936,0.15645386,859.9088,0.73,39.61,0.1266858,19.583279,0.18296682834625244,22750,2227,15.530931234359741,91
23000,6.369174829423428,5.6199093,0.156651,82.628815,0.8196,40.85,0.08159828,73.78841,0.5289316475391388,23000,2222,15.666250705718994,92
23250,6.499348666220904,5.620002,0.16459933,110.20924,0.6836,41.51,0.087857105,28.367794,0.3106839060783386,23250,2218,15.802452802658081,93
23500,6.694023477435112,5.620192,0.17267264,43.964405,0.6948,42.5,0.14272228,49.591183,0.016560614109039307,23500,2274,15.939008474349976,94
23750,6.9358368708193305,5.6203313,0.17254877,38.09783,0.76080006,43.63,0.07138682,353.89224,-0.778285026550293,23750,2226,16.07271122932434,95
24000,7.006507978290319,5.6203837,0.17244422,2.337748,0.5932,43.99,0.0020630537,203.26364,0.01855224370956421,24000,2228,16.208346605300903,96
24250,6.484790226817131,5.6203585,0.116325065,20.398129,0.5948,41.44,0.058853924,331.75162,-0.33902478218078613,24250,2170,16.34371256828308,97
24500,6.099491024911404,5.620326,0.11668052,2.9746099,0.61,39.58,0.07864582,22.437262,0.27990126609802246,24500,2201,16.482913494110107,98
24750,6.285277670919895,5.6202216,0.17267586,6299.7188,0.86359996,40.42,0.22850053,84.34261,0.3171560764312744,24750,2192,16.62079930305481,99
25000,6.23624277099967,5.6201835,0.13253596,4.7059402,0.68119997,40.17,0.14291593,33.007763,0.3315476179122925,25000,2141,16.758225202560425,100
25250,6.407455113232135,5.6202264,0.14863732,392.9481,0.6108,41.04,0.08517809,32.005848,0.26623064279556274,25250,2238,16.898934841156006,101
25500,6.2898570841550825,5.6203027,0.15672159,306.11646,0.7608,40.44,0.22585623,3.1169872,0.7671300023794174,25500,2218,17.034383058547974,102
25750,6.260560340285301,5.620569,0.17261969,133.11197,0.7536,40.29,0.07086913,14.245781,0.3150787949562073,25750,2250,17.17118191719055,103
26000,6.546447467058897,5.6209626,0.17278826,0.83460397,0.602,41.74,0.065580584,3.3440342,0.30595165491104126,26000,2256,17.305749654769897,104
26250,6.605788613408804,5.621266,0.16475183,2930.7349,0.85319996,42.04,0.1527907,8.391867,0.6379973590373993,26250,2169,17.439697980880737,105
26500,6.737006191462278,5.621398,0.17241469,839.87646,0.78319997,42.61,0.14517617,110.18927,-0.5006065368652344,26500,1420,17.57869529724121,106
26750,6.538062749803066,5.6214285,0.14054787,1.5625112,0.6216,41.7,0.10223087,5.098501,0.6147810518741608,26750,2201,17.77853226661682,107
27000,6.426483099907637,5.6215105,0.15676798,0.332841,0.48639998,41.13,0.07488358,3.663976,0.5217536985874176,27000,2236,17.915778636932373,108
27250,6.446211858391762,5.6217117,0.14854673,11.831602,0.72599995,41.23,0.09838651,3.189649,0.6240765452384949,27250,2209,18.050796508789062,109
27500,6.288088308125734,5.6217446,0.16442059,55.011425,0.7684,40.43,0.065464124,34.36567,0.08203023672103882,27500,2304,18.18791627883911,110
27750,6.183923833966255,5.621702,0.16469134,3.3851027,0.6592001,40.0,0.07993893,8.625858,-0.09968745708465576,27750,2219,18.320308923721313,111
28000,6.029122334122658,5.621661,0.16456476,81.775246,0.7596,39.21,0.046621464,7.4720855,0.2183944582939148,28000,2272,18.456687450408936,112
28250,6.184820614010095,5.6215744,0.12456324,2807.6448,0.8276,40.0,0.21193981,13.775065,0.31968456506729126,28250,2220,18.59034752845764,113
28500,6.217752632647753,5.621461,0.13237701,20.182812,0.6364,40.07,0.110776104,2.3561254,-0.10309398174285889,28500,2225,18.726861238479614,114
28750,6.432394181787967,5.6212873,0.17280671,52.859627,0.7172,41.16,0.12078085,2.5052898,0.28762662410736084,28750,2191,18.862568855285645,115
29000,6.296269431710243,5.621324,0.16441263,2383.0684,0.8564,40.47,0.14364937,5.9314938,0.14605742692947388,29000,2136,19.000118732452393,116
29250,6.69430598244071,5.6213455,0.15609014,80.51878,0.7364,42.5,0.094232574,5.8227186,0.8329382091760635,29250,2134,19.140918016433716,117
29500,6.961981672495604,5.621418,0.16453588,3.0444531,0.6551999,43.76,0.057305027,52.702904,-0.10080373287200928,29500,2192,19.282060384750366,118
29750,6.552026691138744,5.621459,0.13254891,42.189976,0.6768001,41.78,0.045209438,15.6675625,-0.1156160831451416,29750,2237,19.41926336288452,119
30000,6.569433660805226,5.6214914,0.17255194,5.8737135,0.67719996,41.87,0.027252153,11.5478525,-0.16979146003723145,30000,2353,19.55409073829651,120
30250,6.59269529774785,5.621584,0.16458368,5.9192057,0.71680003,41.99,0.02362869,58.972645,-0.09747099876403809,30250,2197,19.68401336669922,121
30500,6.535664977133274,5.6215806,0.17267862,8.974114,0.69719994,41.7,0.046864383,5.7634683,0.20492863655090332,30500,2186,19.821460962295532,122
30750,6.562947263419628,5.621342,0.17243505,57.07732,0.6984,41.84,0.06523313,55.132526,0.012051701545715332,30750,1885,19.959681749343872,123
31000,6.870083431750536,5.6212983,0.17255856,7.778884,0.7164,43.3,0.019450936,52.985004,-0.4586271047592163,31000,2020,20.11624836921692,124
31250,7.070422700643539,5.621354,0.16454639,6.651519,0.73319995,44.32,0.027488466,94.771576,0.14685875177383423,31250,1809,20.29331374168396,125
31500,6.869315591454506,5.6214337,0.13247162,965.2711,0.75960004,43.3,0.078244045,38.720295,-0.5580147504806519,31500,2220,20.454836130142212,126
31750,5.749667361229658,5.621454,0.084425494,3786.6,0.72560006,37.81,0.1205106,14.059774,0.16431283950805664,31750,2171,20.5903902053833,127
32000,5.783309791088104,5.6213884,0.11656842,2890.42,0.81360006,37.98,0.1482645,8.272718,0.42989158630371094,32000,2190,20.729856967926025,128
32250,6.080581742823124,5.621383,0.16458945,293.54773,0.7984,39.49,0.08508139,22.300417,0.3528391718864441,32250,2277,20.867751359939575,129
32500,6.056681621670723,5.6213837,0.15648088,0.50996387,0.496,39.37,0.026324574,96.1864,0.43088918924331665,32500,2186,21.00123405456543,130
32750,6.032459592074156,5.6213794,0.17251144,19465.406,0.80639994,39.25,0.25144905,67.175835,-1.408907413482666,32750,2165,21.13948130607605,131
33000,5.669073955565691,5.621357,0.12414327,466.44305,0.7332,37.5,0.06809046,12.157826,-0.38813602924346924,33000,2186,21.279024124145508,132
33250,5.447277728617191,5.6209764,0.13258722,7825.3047,0.8304,36.37,0.12160023,5.993436,0.5451468825340271,33250,2213,21.416616201400757,133
33500,5.399805815964937,5.620546,0.14852154,331.7273,0.8024,36.13,0.06396569,7.0153666,0.6175517737865448,33500,2153,21.55317521095276,134
33750,5.403860310912132,5.6200976,0.16464813,9.292238,0.71400005,36.15,0.019505925,125.8631,-0.7045131921768188,33750,2247,21.6933913230896,135
34000,5.279733788669109,5.6198745,0.16449931,10.169836,0.686,35.52,0.04061572,115.048935,-0.3786582946777344,34000,2211,21.827641248703003,136
34250,5.256347123235464,5.6198378,0.17263757,1118.5668,0.70719993,35.4,0.17750621,17.321966,0.6439286768436432,34250,2184,21.964612245559692,137
34500,5.30818400323391,5.619914,0.17266306,66.03138,0.794,35.66,0.12929893,35.286243,0.3312724828720093,34500,2180,22.10286259651184,138
34750,5.362770938426256,5.6201005,0.1724917,50.404907,0.8132,35.94,0.068244025,57.16053,-0.382718563079834,34750,2230,22.241087675094604,139
35000,5.533906038999557,5.6201534,0.17259435,143.88498,0.8044001,36.81,0.1321423,12.181063,0.21168190240859985,35000,2200,22.376803398132324,140
35250,5.752908422797918,5.620162,0.17273308,245.88347,0.8068,37.82,0.19458489,7.5511284,0.11004137992858887,35250,2282,22.513956785202026,141
35500,5.846717112064361,5.620448,0.10824916,9.933424,0.6696,38.3,0.15264979,3.3231502,0.7082342207431793,35500,2215,22.646942853927612,142
