value_loss,ep_len_mean,true_reward,ep_reward_mean,policy_loss,policy_entropy,total_timesteps,clipfrac,approxkl,n_updates,fps,explained_variance,time_elapsed,serial_timesteps
0.36413807,55.59,-0.058958363,0.9249004264840051,-0.0018202018,5.4009027,1025000,0.01678,0.002199355,41,60363,0.8762747421860695,38.462427377700806,10250
0.28931445,57.23,-0.05570443,1.1361363577931463,-0.0018224188,5.386342,1050000,0.015744,0.002234752,42,60878,0.8998659700155258,39.27718234062195,10500
0.3684743,56.55,-0.055362847,1.0967365810281955,-0.0021888025,5.3729105,1075000,0.021240002,0.0026037805,43,59561,0.8722623437643051,40.0952684879303,10750
0.36256585,60.67,-0.05438657,1.125432807441939,-0.002508274,5.3626986,1100000,0.027603999,0.0030360161,44,58321,0.8748082518577576,40.889851093292236,11000
0.3422994,60.82,-0.053207643,1.0201046692722138,-0.0021508634,5.351019,1125000,0.023503998,0.0028177423,45,57527,0.8809520378708839,41.701331615448,11250
0.38595372,55.71,-0.05312664,0.8697572306182884,-0.0018462572,5.336902,1150000,0.025351997,0.002850794,46,57107,0.8624378442764282,42.51571249961853,11500
0.31464702,64.14,-0.052280664,1.149302497167273,-0.002235642,5.3227644,1175000,0.025519997,0.0028993436,47,60967,0.8950482830405235,43.40543341636658,11750
0.3623847,64.89,-0.04572195,1.3725212360412968,-0.0021284707,5.3090234,1200000,0.026547998,0.0028249943,48,60684,0.8807257190346718,44.202104568481445,12000
0.37978935,64.57,-0.045282423,1.3356656360001171,-0.0024787888,5.2980556,1225000,0.018764,0.0024385597,49,58949,0.8747110068798065,44.991047859191895,12250
0.342376,63.89,-0.046862777,1.3115730253691935,-0.0018047036,5.2874713,1250000,0.024008002,0.0028592506,50,51820,0.8808830007910728,45.792956590652466,12500
0.3780877,66.36,-0.045645345,1.4332723031901151,-0.0026151645,5.27981,1275000,0.029659998,0.0031895996,51,60748,0.8785437047481537,46.64877438545227,12750
0.35704547,64.29,-0.043390278,1.2790742576979983,-0.0017849959,5.270501,1300000,0.02516,0.0028168226,52,57817,0.8844452500343323,47.437291860580444,13000
0.34072813,74.47,-0.040110752,1.6085759509866784,-0.001567829,5.2570806,1325000,0.0066799996,0.0014320435,53,59409,0.8836703151464462,48.237823724746704,13250
0.36468363,69.51,-0.040531944,1.438433739390009,-0.0019723899,5.2389765,1350000,0.022696,0.0028353618,54,60852,0.8810787349939346,49.02893137931824,13500
0.4166577,67.56,-0.04025708,1.1787845275038125,-0.001575676,5.2230783,1375000,0.017732,0.0022777722,55,57927,0.8637520521879196,49.813798904418945,13750
0.39414772,71.78,-0.03458413,1.500511079477119,-0.0014744473,5.2118735,1400000,0.017636,0.0024395287,56,58434,0.8667197078466415,50.62241053581238,14000
0.35453993,76.46,-0.03510432,1.7906651816931116,-0.0019696013,5.2007184,1425000,0.020704,0.0026672757,57,59535,0.8857843205332756,51.42327928543091,14250
