serial_timesteps,approxkl,ep_reward_mean,explained_variance,value_loss,n_updates,total_timesteps,ep_len_mean,fps,time_elapsed,true_reward,policy_loss,clipfrac,policy_entropy
13500,0.0018378437,6.903774752055297,0.7139652073383331,18.969318,54,1350000,73.72,61635,100.16348147392273,-0.17164657,-0.0017743409,0.011724001,5.636689
13750,0.0023245176,3.8457071674578036,0.7153981924057007,19.52859,55,1375000,69.14,60565,101.94431209564209,-0.1592054,-0.0017713711,0.018860001,5.634304
14000,0.002339301,9.310968429865573,0.7284117043018341,18.193583,56,1400000,72.9,60833,103.6952440738678,-0.1235823,-0.0018595312,0.019512001,5.6316404
14250,0.003308102,9.367438128576287,0.7144292593002319,19.840946,57,1425000,71.51,62432,105.46246671676636,-0.14472488,-0.0022816337,0.0322,5.6285667
14500,0.0033903334,10.516059600804619,0.7565677464008331,17.671064,58,1450000,81.2,60205,107.26127076148987,-0.09328538,-0.0024118046,0.033999998,5.6265483
14750,0.0025495493,11.229499671426966,0.7108791768550873,20.28059,59,1475000,71.85,61552,109.02139449119568,-0.10130729,-0.0016713556,0.025099998,5.625437
15000,0.0019341905,14.218709128142546,0.7554113566875458,18.536705,60,1500000,90.86,52133,110.81215929985046,-0.066234544,-0.0014437716,0.012572,5.6246357
15250,0.0021411227,15.388371018883682,0.717905193567276,20.8153,61,1525000,87.9,57303,112.7086980342865,-0.06271538,-0.001446987,0.017128,5.623868
15500,0.0027049165,16.32929890268113,0.7076676785945892,21.275553,62,1550000,99.77,61023,114.46491694450378,-0.059391797,-0.0022855168,0.022392001,5.622472
15750,0.0027040297,19.04369236072991,0.7007149457931519,22.791107,63,1575000,88.03,61464,116.23588943481445,-0.03640385,-0.0020593447,0.024296,5.620706
16000,0.0019302167,18.709716883193188,0.6883981823921204,21.865376,64,1600000,85.72,57939,117.96703553199768,-0.021779241,-0.0013249499,0.012508,5.619052
16250,0.0029278588,18.827950949784846,0.6878893673419952,22.61587,65,1625000,90.63,61513,119.76374435424805,-0.009201349,-0.0019058824,0.026884,5.617482
16500,0.0017986525,17.672843872280392,0.661754697561264,23.758121,66,1650000,82.75,54517,121.64982461929321,-0.021862129,-0.0016080415,0.011428,5.6160746
16750,0.0020753245,17.91813851564978,0.6651760637760162,22.185352,67,1675000,102.28,62323,123.42563962936401,0.009031234,-0.0014733827,0.014192,5.614577
17000,0.0022913106,20.61710324226894,0.6714408099651337,22.597353,68,1700000,102.24,57856,125.16445994377136,0.021551099,-0.0014531187,0.02154,5.613358
17250,0.0023495266,28.378974400736173,0.6038497388362885,25.126093,69,1725000,131.55,60514,126.93645358085632,0.05927537,-0.0011895923,0.016872,5.612287
17500,0.002640558,35.85629726672076,0.6031216084957123,25.414845,70,1750000,132.51,60066,128.72802901268005,0.10460168,-0.0017097363,0.022016,5.610111
17750,0.0026002815,26.46159650617965,0.5579965710639954,29.59906,71,1775000,119.11,56873,130.4901909828186,0.05234412,-0.0011838021,0.02008,5.6072593
18000,0.0040040473,35.35514355742816,0.6383201777935028,23.622036,72,1800000,145.13,60573,132.32624864578247,0.08856356,-0.0016827177,0.045888,5.6052265
18250,0.0017997468,30.500352704368307,0.5560560524463654,25.631561,73,1825000,137.64,61579,134.10761976242065,0.083786845,-0.0011542797,0.010764,5.6036553
18500,0.0026091128,32.71839767828089,0.49215948581695557,25.497467,74,1850000,163.55,61740,135.83735871315002,0.08309208,-0.0019485044,0.023063999,5.602093
18750,0.0029227426,38.47539569512453,0.569769412279129,21.94218,75,1875000,184.44,61814,137.564786195755,0.12888439,-0.0014190202,0.024312,5.6002607
19000,0.0021930719,51.39696211040169,0.5630189776420593,25.507004,76,1900000,185.75,55850,139.4009051322937,0.17938747,-0.0012737854,0.018156001,5.598233
19250,0.0017205656,40.744176118286596,0.4511234760284424,31.202932,77,1925000,141.92,56960,141.33691477775574,0.13811377,-0.0009433124,0.008571999,5.596569
19500,0.0021729067,44.91618973382532,0.4205501675605774,29.259716,78,1950000,167.29,59467,143.11527466773987,0.15041898,-0.0012005983,0.017655998,5.595179
19750,0.0020309952,49.27209103448438,0.535059243440628,25.300991,79,1975000,189.06,56968,144.9342610836029,0.1863991,-0.0013914726,0.013356,5.594006
20000,0.001483252,51.874181790584615,0.5441460013389587,22.164951,80,2000000,194.37,51734,146.8661229610443,0.19131151,-0.0012395814,0.007572,5.592274
20250,0.0031060607,53.657509890429374,0.4183272123336792,21.74137,81,2025000,212.02,61053,148.70092678070068,0.20696431,-0.0022335919,0.030927997,5.5902796
20500,0.0031717438,50.005197992620715,0.3696049451828003,25.25234,82,2050000,190.43,56796,150.46879744529724,0.17120323,-0.00075943134,0.029223999,5.586918
20750,0.0023180635,57.0556412775127,0.3455062508583069,23.561642,83,2075000,208.84,61423,152.2255117893219,0.20811833,-0.001653748,0.017196,5.584488
21000,0.002443003,59.63876297954259,0.4029865860939026,23.97713,84,2100000,205.13,62162,153.95771074295044,0.2206163,-0.0016076261,0.020912,5.5826616
21250,0.0027326073,57.26877254254492,0.6082952916622162,15.734816,85,2125000,233.45,48028,155.70876812934875,0.22365646,-0.0024928295,0.024564,5.580743
21500,0.0037142537,57.0369275984508,0.37717700004577637,21.803762,86,2150000,211.98,57493,157.71438646316528,0.22482999,-0.00074156094,0.039523996,5.5779595
21750,0.0035646532,70.00465777337756,0.3658146858215332,20.961212,87,2175000,233.58,57182,159.54516053199768,0.2783838,-0.002569387,0.03672,5.574777
22000,0.004042296,70.5535905034532,0.3056199550628662,24.508017,88,2200000,225.08,36689,161.59134697914124,0.26945326,-0.00084436993,0.043656,5.5711713
22250,0.0038507679,61.97959572357406,0.3425999879837036,27.224361,89,2225000,202.57,46475,164.08934593200684,0.23100887,-0.00070536864,0.03786,5.567667
22500,0.0022041954,69.11849336879423,0.37885385751724243,21.949137,90,2250000,222.16,56965,166.09401273727417,0.2685798,-0.0020267381,0.016532,5.564945
22750,0.0033122436,71.22966878703728,0.35116297006607056,23.685247,91,2275000,219.94,60596,167.9613995552063,0.27410245,-0.001827738,0.03664,5.5629606
23000,0.00304452,73.01359309431984,0.34282130002975464,22.362082,92,2300000,223.19,60993,169.72752165794373,0.29198492,-0.0021019676,0.0305,5.5608225
23250,0.0036743414,70.14145650371205,0.2130473256111145,26.001362,93,2325000,212.52,59072,171.48586106300354,0.27510157,-0.0015169636,0.037308,5.558532
23500,0.0044748904,78.19465890466114,0.509890228509903,17.936337,94,2350000,242.25,58438,173.32614493370056,0.31082463,-0.0010825213,0.0527,5.5548706
23750,0.0037652892,74.7488728072224,0.33873552083969116,21.307278,95,2375000,227.09,61707,175.23242259025574,0.29792097,-0.0014637158,0.03878,5.5492296
24000,0.0060500894,74.45873605602279,0.2745112180709839,21.086304,96,2400000,225.99,51813,177.0263159275055,0.2969047,-0.0011327887,0.07684,5.5448413
24250,0.0058759213,75.7747082668886,0.3438151478767395,24.084053,97,2425000,218.56,58436,178.96906733512878,0.30566335,-0.001013472,0.07186,5.5416155
24500,0.009373664,79.808630767305,0.44441837072372437,19.158932,98,2450000,234.94,47591,180.9170277118683,0.31902286,0.0027377508,0.12132801,5.537788
24750,0.0039546257,73.78572232926926,0.26215606927871704,20.469343,99,2475000,228.02,53291,182.80549478530884,0.2953374,-0.0020811683,0.040551998,5.534273
25000,0.004650359,79.07141704076221,0.142655611038208,26.242315,100,2500000,222.83,59151,184.65482473373413,0.31865102,-0.0008588756,0.05274,5.530612
25250,0.0073825503,86.65148751996979,0.23725712299346924,27.535023,101,2525000,225.44,47592,186.54705023765564,0.3500316,0.00052725745,0.09604399,5.5286145
25500,0.011657891,86.5196793497903,0.33115822076797485,22.94895,102,2550000,234.52,60734,188.63445806503296,0.3466332,0.0049715564,0.15234001,5.5276995
25750,0.005522246,70.32995195811152,0.21944952011108398,33.729816,103,2575000,208.73,55476,190.4423530101776,0.26976764,-0.0008560127,0.064176,5.527005
