ep_len_mean,policy_entropy,ep_reward_mean,serial_timesteps,explained_variance,n_updates,time_elapsed,policy_loss,value_loss,true_reward,clipfrac,approxkl,fps,total_timesteps
48.94,5.1299486,3.304019805624412,21250,0.8416773676872253,85,80.38890385627747,-0.0012520317,0.9044449,0.020057335,0.0129,0.0021339944,57157,2125000
46.93,5.125415,3.377565413362063,21500,0.8414389342069626,86,81.21290826797485,-0.0015757538,1.0274588,0.012021568,0.02438,0.0028322954,54601,2150000
50.7,5.1210537,4.263247906707729,21750,0.8556518107652664,87,82.04250311851501,-0.0015416226,0.90652263,0.022830706,0.031195998,0.00313778,56520,2175000
50.54,5.11699,3.8098177390539787,22000,0.8509402722120285,88,82.86719727516174,-0.00064529467,0.8972705,0.017871654,0.008664,0.0017590491,43501,2200000
56.46,5.115646,4.019683229304719,22250,0.8669357895851135,89,83.81205797195435,-0.0016741036,0.7757134,0.019563997,0.029752001,0.0031583938,50915,2225000
52.05,5.112336,3.76877962667495,22500,0.8681705594062805,90,84.71432709693909,-0.0018070273,0.8921093,0.016373225,0.019664,0.0024442915,43651,2250000
47.27,5.1068344,3.6481438021720534,22750,0.8663887232542038,91,85.65918779373169,-0.0011702812,0.78601164,0.025043596,0.013252,0.001914417,50686,2275000
54.41,5.10454,3.989999269286782,23000,0.8618057370185852,92,86.55431818962097,-0.0021787714,0.90218514,0.02262186,0.028511997,0.0030019977,55232,2300000
53.41,5.1026387,4.371878243091196,23250,0.8712830394506454,93,87.39072942733765,-0.0018779582,0.8807417,0.018729867,0.019652,0.0023674858,54809,2325000
44.99,5.0971065,3.2025109813973542,23500,0.8661042898893356,94,88.23157095909119,-0.0015435418,0.84387004,0.013798553,0.026455998,0.0028306977,47183,2350000
48.97,5.093322,3.395470192742796,23750,0.8594947755336761,95,89.11543250083923,-0.0011444775,0.8703879,0.020045185,0.016940001,0.0023881881,50001,2375000
53.02,5.08891,4.348399907021958,24000,0.8749762326478958,96,90.00050354003906,-0.0026241285,0.81092036,0.022027183,0.035816,0.0036058067,55153,2400000
52.85,5.084241,4.3240769031292805,24250,0.8841550275683403,97,90.82763719558716,-0.0010126896,0.7462985,0.030593824,0.027811999,0.0030530184,55513,2425000
47.39,5.079324,4.093795153633692,24500,0.8541562259197235,98,91.66436266899109,-0.0022054825,0.9436022,0.019484965,0.051055998,0.004520286,53829,2450000
53.16,5.0736613,3.868159798452816,24750,0.881638765335083,99,92.51659107208252,-0.0009466688,0.7551004,0.017897988,0.014280001,0.002188293,54619,2475000
51.45,5.0710754,4.128941985571946,25000,0.8861731439828873,100,93.36167573928833,-0.0018758181,0.74410486,0.023295352,0.021888,0.0026729368,54259,2500000
47.58,5.0681753,3.402323355708413,25250,0.8901738747954369,101,94.1942253112793,-0.0013777176,0.72362053,0.019048447,0.015828,0.0022925113,55218,2525000
53.42,5.0662756,4.187606703939964,25500,0.8884192481637001,102,95.01936841011047,-0.002056816,0.7774273,0.023714101,0.023155998,0.0027392965,55837,2550000
52.34,5.062572,4.164604598725018,25750,0.8676262050867081,103,95.83616089820862,-0.0011830551,0.83612853,0.02622924,0.02264,0.0026093624,54773,2575000
55.47,5.0574827,4.439262103520159,26000,0.8851752057671547,104,96.68227744102478,-0.0022256665,0.7410565,0.021020489,0.039764,0.0038346169,51843,2600000
48.55,5.051937,3.603230892211577,26250,0.8878648653626442,105,97.58019828796387,-0.0019771338,0.7335083,0.022416657,0.022111999,0.0026593884,55990,2625000
49.04,5.0492263,3.7766231503125165,26500,0.8816721811890602,106,98.45456218719482,-0.0016843695,0.7559253,0.020970091,0.026891997,0.0029042284,51782,2650000
52.99,5.046824,4.290136268172064,26750,0.8571182489395142,107,99.46974563598633,-0.0015050533,0.8879608,0.029455876,0.031192,0.0030940282,51198,2675000
49.4,5.0419016,4.215547379117634,27000,0.8722644001245499,108,100.3288938999176,-0.0024862322,0.8321562,0.021753352,0.038160004,0.003673517,56985,2700000
50.91,5.0342607,4.425955570810183,27250,0.8832271099090576,109,101.14900708198547,-0.0014858294,0.7900913,0.027271857,0.023236,0.002598926,41141,2725000
46.76,5.0267344,3.5360104001167927,27500,0.882983960211277,110,102.13198375701904,-0.0012665434,0.8365507,0.022602124,0.0149880005,0.0021655343,47315,2750000
53.39,5.02039,3.653430337291702,27750,0.8761730417609215,111,103.0225477218628,-0.001285545,0.8391163,0.027698377,0.021644,0.0024441078,55605,2775000
54.39,5.015324,3.8082616473014785,28000,0.8733758926391602,112,103.85824704170227,-0.0013382335,0.8326707,0.02596664,0.020739999,0.0028141425,54759,2800000
54.77,5.010011,4.522663011119002,28250,0.8866613507270813,113,104.68097519874573,-0.0011219484,0.8036885,0.030182961,0.028148001,0.0030749592,54972,2825000
52.64,5.005049,3.6983841257714083,28500,0.8903298527002335,114,105.51218032836914,-0.001189846,0.7713234,0.025137985,0.036307998,0.0035040434,55791,2850000
52.7,4.997678,4.105899923671895,28750,0.878326378762722,115,106.33253574371338,-0.0009220393,0.87051094,0.03389327,0.017216,0.002334545,54878,2875000
53.88,4.990985,4.205639183390522,29000,0.896995447576046,116,107.15385794639587,-0.0014785235,0.7358212,0.024852693,0.013555999,0.0020643447,46160,2900000
51.3,4.982379,4.025046096177502,29250,0.8785764798521996,117,108.06704640388489,-0.0020594946,0.8194701,0.025967496,0.017452,0.0023264808,56516,2925000
51.13,4.9756346,4.084698552744812,29500,0.8883132040500641,118,108.88271903991699,-0.0022575916,0.7473567,0.02811285,0.030748,0.0033627916,55930,2950000
51.0,4.970678,4.180920148095465,29750,0.8813450112938881,119,109.69310450553894,-0.002062537,0.7855891,0.028394448,0.039551996,0.003839488,54304,2975000
59.48,4.9646196,4.247821971966696,30000,0.886025533080101,120,110.52881002426147,-0.0010679855,0.7742313,0.032194298,0.009344,0.0018517099,54731,3000000
53.3,4.958862,3.7824326684454355,30250,0.8762876242399216,121,111.35712337493896,-0.001472676,0.83385086,0.033781484,0.021232,0.002575929,55866,3025000
49.72,4.954772,3.220657276543716,30500,0.8892081528902054,122,112.16793847084045,-0.0014877261,0.7390022,0.026492182,0.010296,0.0018582798,56590,3050000
51.33,4.9492445,3.7235660284031473,30750,0.8872697725892067,123,112.97113561630249,-0.0020736814,0.78971565,0.02983912,0.026708001,0.0029315325,55419,3075000
51.3,4.9403086,3.808513906079243,31000,0.885225772857666,124,113.78809309005737,-0.0020429138,0.8531086,0.02363823,0.023535999,0.0027809017,56202,3100000
53.82,4.9329515,3.6710766931909893,31250,0.8857191503047943,125,114.59350156784058,-0.0022311201,0.84927255,0.027745875,0.027656004,0.002984854,56021,3125000
56.24,4.9271517,4.520412803437794,31500,0.8905968889594078,126,115.40568208694458,-0.0019560717,0.76439774,0.032606598,0.017296,0.002538214,54270,3150000
