value_loss,clipfrac,serial_timesteps,fps,total_timesteps,approxkl,true_reward,ep_len_mean,policy_entropy,policy_loss,time_elapsed,ep_reward_mean,n_updates,explained_variance
1.0148895,0.077896,27250,56280,2725000,0.006201073,0.01741241,245.8,0.25958365,-0.0013337688,96.88795518875122,5.25810608450844,109,0.4178161025047302
1.3425574,0.09323199,27500,55602,2750000,0.007195805,0.014540281,243.83,0.26199383,-0.0015352502,97.67279243469238,5.105949287914191,110,0.4325493574142456
1.6283667,0.12422399,27750,55617,2775000,0.010024796,0.011961607,243.89,0.26461717,-0.0025234248,98.45996737480164,4.935174523073677,111,0.47708749771118164
1.3288982,0.09221201,28000,55767,2800000,0.00754022,0.015344719,245.35,0.26519042,-0.0027691661,99.24297308921814,5.301152656233435,112,0.4297698140144348
1.0104854,0.102672,28250,49532,2825000,0.008090904,0.016077524,244.27,0.26217252,-0.0021018996,100.04391980171204,5.443529827648996,113,0.623030424118042
1.3856066,0.133536,28500,54419,2850000,0.010506405,0.01514354,244.24,0.2641799,-0.0022836446,100.89489674568176,5.12856259143862,114,0.43363142013549805
0.9646279,0.100039996,28750,55275,2875000,0.0074097225,0.015630431,247.27,0.26649186,-0.0012291989,101.70263910293579,4.881788385245935,115,0.5011112689971924
1.2260946,0.102648,29000,55224,2900000,0.0076759188,0.014386382,243.68,0.2685099,-0.0021742575,102.49462413787842,4.977796439061086,116,0.5374499559402466
0.02392857,0.062075995,29250,35429,2925000,0.005199983,0.02193386,250.0,0.26786822,-0.002414794,103.29367256164551,5.483464949329939,117,0.9717044550925493
1.0651609,0.070596,29500,55348,2950000,0.005944001,0.014675613,244.28,0.2617307,-0.0016616725,104.32872653007507,5.00981616801597,118,0.6305690705776215
0.5163478,0.09369599,29750,56976,2975000,0.0073762634,0.01889158,247.5,0.2593916,-0.001141635,105.12184262275696,5.186561489363447,119,0.6194359660148621
0.75309545,0.089375995,30000,50487,3000000,0.00708957,0.016670179,245.53,0.2562822,-0.0017669819,105.8981602191925,5.154417293100393,120,0.6387622356414795
1.8148845,0.091724,30250,54387,3025000,0.0075442814,0.010209812,242.6,0.25465032,-0.0019658692,106.7196295261383,4.404883770737583,121,0.3765597939491272
0.02279398,0.073152,30500,55777,3050000,0.005930306,0.022288533,250.0,0.25408453,-0.0014821937,107.52064514160156,5.572133429196587,122,0.9674712978303432
0.8584441,0.09918801,30750,49842,3075000,0.0075791627,0.01657116,248.54,0.24992712,-0.0012022571,108.3068642616272,5.1582042767584655,123,0.560651570558548
1.2368388,0.115623996,31000,54110,3100000,0.009553028,0.014315043,243.77,0.24281318,-0.0015341716,109.14816188812256,4.983055483892557,124,0.5177431702613831
1.7996677,0.071816,31250,54764,3125000,0.005798633,0.012992826,242.61,0.24034889,-0.0018226427,109.95371866226196,5.176290611170531,125,0.4120914936065674
0.42182058,0.065340005,31500,54817,3150000,0.0054616057,0.020605166,247.72,0.24101357,-0.0003548197,110.74322199821472,5.609842901100327,126,0.6730116307735443
0.017663613,0.05633999,31750,52940,3175000,0.005031739,0.021015506,250.0,0.243669,-0.00225778,111.54519367218018,5.253877138816449,127,0.9746876060962677
0.45019007,0.137416,32000,56639,3200000,0.011098222,0.01679804,246.39,0.24075127,-2.9500556e-05,112.35870838165283,5.114034334388564,128,0.8349618017673492
0.52637786,0.09238799,32250,48282,3225000,0.007771523,0.0203584,247.89,0.23969653,-0.0007601987,113.14054489135742,5.554789556077868,129,0.5752575099468231
0.6114285,0.043836,32500,55095,3250000,0.0041790027,0.018937143,247.08,0.23820415,-0.0014271348,114.01028895378113,5.663881562753828,130,0.7621050477027893
1.5301332,0.052272003,32750,53962,3275000,0.0046332018,0.013937092,240.87,0.23743331,-0.0019199422,114.81285810470581,5.204748930289315,131,0.5026642382144928
0.8505254,0.072948,33000,53800,3300000,0.006113161,0.018994322,247.12,0.23860681,-0.0023324103,115.62423944473267,5.720345046701866,132,0.5398823320865631
1.0789173,0.09887601,33250,56156,3325000,0.0077996003,0.015185332,246.61,0.24094982,-0.0011842649,116.41975808143616,5.2215293117599275,133,0.6084421277046204
0.32303557,0.065624,33500,55938,3350000,0.0058666314,0.019134093,249.49,0.24209523,-0.0030214284,117.21274328231812,5.287096969872562,134,0.7690889239311218
0.21173179,0.046008,33750,55010,3375000,0.00426504,0.018641539,248.19,0.24221715,-0.0017329175,117.99612092971802,5.100465140190153,135,0.8750592768192291
1.444714,0.11853999,34000,55981,3400000,0.00903525,0.014558154,244.39,0.24012446,-0.001694347,118.78415036201477,4.985234466714258,136,0.3485966920852661
0.016820634,0.061316002,34250,54513,3425000,0.005237437,0.021219058,250.0,0.23981807,-0.0014009781,119.56844806671143,5.3047647828044004,137,0.9797853231430054
1.175361,0.12484799,34500,45896,3450000,0.009656976,0.014089536,244.43,0.23842697,-0.0013271441,120.36836910247803,4.902329672847973,138,0.5740140378475189
1.0072905,0.061539996,34750,56279,3475000,0.005169172,0.016692316,245.68,0.2409904,-0.0019295055,121.24092817306519,5.629486490316001,139,0.6517813801765442
0.016758475,0.067148,35000,54868,3500000,0.005531567,0.020322137,250.0,0.24222258,-0.0011445644,122.0140929222107,5.080534225746232,140,0.980310196056962
0.49889985,0.14096001,35250,55810,3525000,0.011651115,0.018049693,247.91,0.23675244,-0.0013238868,122.79995155334473,4.982960921066526,141,0.6025587916374207
0.019201342,0.082376,35500,55948,3550000,0.006390718,0.020386487,250.0,0.23448269,-0.00034692214,123.5853431224823,5.096621699921754,142,0.9762969240546227
0.5191987,0.110704005,35750,56158,3575000,0.009835805,0.019276308,248.13,0.23121428,-0.0017311852,124.37453293800354,5.257660892568819,143,0.5698440968990326
1.2757978,0.120308,36000,54861,3600000,0.009223879,0.014440038,244.13,0.22997952,-0.00170753,125.17594933509827,4.976655029138424,144,0.4578889012336731
0.413531,0.108896,36250,55380,3625000,0.008852615,0.018171888,248.04,0.23061948,-0.0013245696,125.97762537002563,5.0069519220848395,145,0.6904594898223877
0.01619992,0.10416399,36500,54623,3650000,0.008251088,0.021676257,250.0,0.23149784,0.0014908605,126.76852679252625,5.419064473250916,146,0.9769862666726112
0.014318543,0.08602,36750,52619,3675000,0.006815642,0.021222949,250.0,0.22943509,-0.00043212288,127.56322908401489,5.305736750110327,147,0.9799585454165936
0.50094324,0.058376003,37000,46987,3700000,0.004970196,0.020444233,249.17,0.22597018,-0.0009727941,128.36893486976624,5.608009867945218,148,0.5810419619083405
0.51723194,0.09335999,37250,55330,3725000,0.007709562,0.017710129,249.02,0.22263733,-0.000756171,129.22352647781372,4.920735404913939,149,0.5762082636356354
1.25825,0.09531601,37500,55596,3750000,0.007235634,0.012782474,245.3,0.22384901,-0.0014812029,130.01999044418335,4.67720237656996,150,0.49372583627700806
1.1329768,0.07450001,37750,55733,3775000,0.0059979884,0.013502036,244.5,0.22354618,-0.0026872898,130.8144268989563,4.8406697742272105,151,0.557345986366272
0.52636516,0.10978,38000,55021,3800000,0.008824229,0.020216389,247.52,0.22330579,-0.002675657,131.59830141067505,5.467542591380509,152,0.5550892353057861
0.9215857,0.149056,38250,56438,3825000,0.011977995,0.016986944,246.14,0.2253203,-0.0013263293,132.4082396030426,5.171695824968906,153,0.47454649209976196
0.40460294,0.084144,38500,55980,3850000,0.0069804057,0.020818695,248.08,0.22969429,-0.00297738,133.19432520866394,5.669142348725126,154,0.7103579640388489
0.49332833,0.113088,38750,48521,3875000,0.009044705,0.020126825,248.02,0.23289272,-0.00064809754,133.9706404209137,5.504450632061066,155,0.5843532085418701
0.5027805,0.10516399,39000,56630,3900000,0.007961184,0.018580355,249.1,0.23593175,-0.0011142766,134.81738328933716,5.131905812677752,156,0.5619514882564545
0.48217234,0.06745599,39250,40586,3925000,0.005542165,0.018901896,249.05,0.23716572,-0.0012057184,135.60074019432068,5.2186187322555995,157,0.6103851199150085
0.017744796,0.045827996,39500,58298,3950000,0.0042188177,0.020699756,250.0,0.23624544,-0.0016998512,136.55191898345947,5.174939094605895,158,0.9783472511917353
0.4657814,0.08484401,39750,56015,3975000,0.0069400677,0.018333087,247.85,0.23235035,-0.0020808512,137.3134560585022,5.056731128484912,159,0.6722572445869446
0.7183578,0.080355994,40000,47224,4000000,0.0063440027,0.015784075,246.1,0.230445,-0.000780191,138.1028802394867,4.8186555752501175,160,0.6651936173439026
1.6990944,0.09240799,40250,40191,4025000,0.00744034,0.013002326,243.65,0.22880521,-0.0021317503,138.97465014457703,5.142681780406906,161,0.4170824885368347
0.86546135,0.075928,40500,46139,4050000,0.006568791,0.016057575,247.49,0.22846977,-0.002544866,139.9215064048767,5.0167850684174455,162,0.5475918054580688
1.2565863,0.078712,40750,56936,4075000,0.006289965,0.013885731,244.39,0.2324857,-0.0020056826,140.79880571365356,4.85241561519888,163,0.501027524471283
0.5030128,0.055492003,41000,56181,4100000,0.004822411,0.019917456,249.09,0.23713931,-0.0013444659,141.5613148212433,5.4753653890931915,164,0.5837023854255676
0.9728409,0.104812,41250,56198,4125000,0.008146274,0.015589011,246.84,0.24043739,-0.0013581088,142.34088516235352,4.8580853637133705,165,0.5150381028652191
1.8053423,0.076280005,41500,55670,4150000,0.006100002,0.01319257,243.12,0.24359497,-0.0013349641,143.13163566589355,5.145053554429557,166,0.36167871952056885
0.53240585,0.070052005,41750,54976,4175000,0.005775042,0.019151915,247.54,0.24772573,-0.0008793621,143.9134497642517,5.217378220225287,167,0.534915566444397
0.025952542,0.098944,42000,56204,4200000,0.0075239665,0.020151654,250.0,0.24876967,0.00027558967,144.704580783844,5.037913679757139,168,0.9765028022229671
0.9182046,0.065072,42250,52428,4225000,0.005528008,0.016346414,246.52,0.24649589,-0.0021331962,145.49574065208435,5.022152923148293,169,0.5191831290721893
1.4274672,0.120524004,42500,57075,4250000,0.009054938,0.014326989,247.34,0.24514857,-0.00055390055,146.3063108921051,5.064664874260659,170,0.3650185465812683
0.8899539,0.067604,42750,55588,4275000,0.005584167,0.017156674,248.48,0.24360338,-0.0011491578,147.07825803756714,5.29061231973738,171,0.49399858713150024
0.026060393,0.035956,43000,54625,4300000,0.0036744731,0.021257043,250.0,0.24328251,-0.0018387854,147.86639523506165,5.31426118244959,172,0.9708830043673515
1.680473,0.067219995,43250,54967,4325000,0.005630341,0.012270699,241.98,0.24349263,-0.0019124005,148.66378545761108,4.8718153326410425,173,0.4479607343673706
1.4014858,0.090624005,43500,54255,4350000,0.0070543275,0.015372755,245.62,0.24557951,-0.0020034707,149.46729111671448,5.329254308006734,174,0.3727567195892334
0.021396112,0.044804,43750,34446,4375000,0.004138084,0.02271482,250.0,0.24733011,-0.002303016,150.26675820350647,5.678704634152121,175,0.9673095718026161
0.67249876,0.102763996,44000,56606,4400000,0.0082303835,0.017734319,245.64,0.24554184,-0.0017109612,151.3187575340271,5.384149552415706,176,0.6691841185092926
0.9072963,0.0748,44250,55853,4425000,0.0060130786,0.016925534,246.8,0.24509497,-0.0012519119,152.09179735183716,5.162378153989289,177,0.479248046875
2.1621332,0.111127995,44500,56346,4450000,0.008671028,0.0121355215,240.8,0.24418847,-0.0030866652,152.88015460968018,5.380341394909369,178,0.35645610094070435
1.0288887,0.135604,44750,53629,4475000,0.010364518,0.018590875,245.07,0.24565776,-0.0003337182,153.71722650527954,5.502116757496259,179,0.3741084933280945
0.97002,0.11761601,45000,53627,4500000,0.008754099,0.015885748,245.95,0.24675019,-0.0016884027,154.56414818763733,5.409503794152544,180,0.6798876523971558
1.4124886,0.070072,45250,55680,4525000,0.005713894,0.015761916,246.19,0.24689996,-0.0013245574,155.4155490398407,5.402432966958583,181,0.36520129442214966
0.80731785,0.091388,45500,53331,4550000,0.0072906427,0.016508164,245.97,0.2473044,-0.0014942003,156.21977472305298,5.032630079254864,182,0.6320812702178955
1.9237163,0.1152,45750,53276,4575000,0.008429787,0.013648181,244.04,0.24539915,-0.0015542088,157.04967880249023,5.299328292691059,183,0.3066679835319519
0.023498442,0.06593601,46000,54329,4600000,0.0055357735,0.021753313,250.0,0.24132867,-0.0026689162,157.88701033592224,5.438328349486929,184,0.9658860452473164
0.91688955,0.101896,46250,54897,4625000,0.0076164505,0.015804235,245.94,0.23454392,-0.0013717714,158.701993227005,4.9002520387984205,185,0.5094496011734009
0.9582964,0.12364801,46500,54881,4650000,0.011724995,0.017107906,245.35,0.23217516,-0.0016605103,159.51661920547485,5.136646500865127,186,0.45592570304870605
1.416877,0.15472798,46750,43724,4675000,0.011379251,0.015274948,244.85,0.2325675,-0.0014992082,160.34276604652405,5.214717290020758,187,0.36714547872543335
0.033692166,0.047167998,47000,55573,4700000,0.004472932,0.021704331,250.0,0.23233125,-0.0017637678,161.2752935886383,5.426083128874581,188,0.9566021971404552
0.48421082,0.067296,47250,55678,4725000,0.0057003764,0.019986976,247.61,0.22675201,-0.0019041464,162.0715799331665,5.436695488433807,189,0.5921157598495483
0.9916531,0.07121201,47500,56739,4750000,0.0061510117,0.01586319,247.83,0.21668398,-0.00090642937,162.86575174331665,4.931116731646953,190,0.44459420442581177
0.9576133,0.072891995,47750,56514,4775000,0.006242057,0.016612997,246.75,0.20991635,-0.0019619947,163.64991235733032,5.103073137257205,191,0.4723972678184509
1.8969902,0.05776,48000,56829,4800000,0.004945049,0.012904582,242.21,0.20579305,-0.0015678005,164.43871903419495,5.128627834013651,192,0.34948790073394775
0.49305123,0.117452,48250,55451,4825000,0.009930561,0.01773324,249.32,0.20595792,-0.0020432915,165.22292041778564,4.9252168477839,193,0.6302546858787537
0.49208623,0.09689201,48500,54631,4850000,0.007662499,0.017007502,249.17,0.20789929,-0.0022503887,166.01963257789612,4.7520389319630905,194,0.6197653114795685
1.7417676,0.11902801,48750,56580,4875000,0.008953316,0.0133499,246.42,0.21267827,-0.0021126836,166.82275295257568,5.3209149625362215,195,0.4163365364074707
0.3772751,0.08724399,49000,55538,4900000,0.006904853,0.018385747,248.3,0.21561024,-0.00039696,167.6103081703186,5.0680436912646805,196,0.7250319719314575
2.6430516,0.14867201,49250,56801,4925000,0.010990673,0.008801681,239.63,0.21447742,-0.0013357813,168.40761709213257,5.066348590265568,197,0.34902554750442505
