serial_timesteps,fps,time_elapsed,ep_reward_mean,explained_variance,total_timesteps,ep_len_mean,true_reward,clipfrac,approxkl,policy_entropy,n_updates,policy_loss,value_loss
4000,55809,20.662545442581177,4.214101447429567,0.19296449422836304,400000,25.27,0.1281555,0.0027,0.0008138867,5.566575,16,-0.0011267478,11.8710985
4250,54761,21.542620420455933,6.26433571157053,0.22525078058242798,425000,26.21,0.13227938,0.0094,0.0016966658,5.5639434,17,-0.001275654,11.43201
4500,56957,22.42695116996765,6.635514937472472,0.22831428050994873,450000,24.22,0.12972131,0.009476,0.0014962733,5.5596004,18,-0.0015491334,11.520678
4750,57553,23.31955599784851,5.793822645148684,0.23933202028274536,475000,25.5,0.15284222,0.003616,0.0012931812,5.5564947,19,-0.00043276272,13.826437
5000,56843,24.182687282562256,5.609069139385902,0.24810707569122314,500000,26.74,0.13897203,0.0068159997,0.0012682093,5.5536423,20,-0.0013116745,11.749876
5250,54383,25.080339431762695,7.035950525161825,0.2854912281036377,525000,24.59,0.15418302,0.0024320001,0.0009297306,5.5504136,21,-0.0005454124,13.153185
5500,55555,25.978240251541138,6.176390488205943,0.2856983542442322,550000,25.14,0.14606763,0.006844,0.0012720263,5.5481896,22,-0.0010266978,13.119158
5750,57033,26.850733041763306,6.221017799051188,0.31896090507507324,575000,23.71,0.14579894,0.00061600003,0.0004097266,5.544957,23,-0.00064603647,11.866784
6000,55346,27.721404552459717,6.5575363961096444,0.3393402695655823,600000,26.82,0.15541054,0.0014480001,0.00093005144,5.542881,24,-0.00046546027,11.816736
6250,57691,28.608651399612427,6.592748417728726,0.3532394766807556,625000,24.94,0.13350336,0.005292,0.0012595092,5.5411363,25,-0.00085619726,10.560876
6500,54655,29.46762704849243,5.055142352883122,0.3604310154914856,650000,25.71,0.15324624,0.007952,0.0013206205,5.5391746,26,-0.00088811654,11.2070875
6750,53871,30.35766363143921,6.328552928651443,0.3881379961967468,675000,24.53,0.17204325,0.018264,0.0019722728,5.5363555,27,-0.001208422,11.614578
7000,54239,31.248849630355835,5.519911097965087,0.4060039520263672,700000,23.69,0.16325128,0.00288,0.0007845805,5.533456,28,-0.0006081595,13.324679
7250,56601,32.154425382614136,5.8906860607178535,0.44725143909454346,725000,24.93,0.15044099,0.00174,0.0007232783,5.5311127,29,-0.0007559507,11.893122
7500,55160,33.037936210632324,6.878488509431481,0.461833119392395,750000,28.29,0.16939774,0.00052,0.000544752,5.528633,30,-0.00054053904,11.639654
7750,54681,33.920732498168945,6.80565377906285,0.4414830803871155,775000,28.26,0.1750641,0.006584,0.0013172068,5.52657,31,-0.0009350105,13.300295
8000,56502,34.824289083480835,5.775953196453047,0.4631466865539551,800000,23.75,0.18298055,0.0006,0.00050465553,5.5245447,32,-0.000676351,12.979182
8250,56765,35.7077419757843,6.002640278852778,0.47488933801651,825000,32.16,0.19545665,0.002616,0.0007567108,5.5217366,33,-0.00071033987,13.041494
8500,54276,36.585317850112915,5.677544028759585,0.47968560457229614,850000,26.34,0.16733608,0.010504,0.0013891679,5.5192895,34,-0.0011394912,12.873484
8750,52764,37.50870156288147,6.5271662026993,0.4845309257507324,875000,24.72,0.20709096,0.01916,0.002115075,5.517886,35,-0.0011324715,14.3032255
9000,53280,38.44970369338989,7.987707503863057,0.5079976916313171,900000,25.89,0.18200082,0.005292,0.0011118731,5.516966,36,-0.00065808545,13.676613
9250,52692,39.37880539894104,5.9916425672761395,0.5041308403015137,925000,26.79,0.19095978,0.003416,0.0009472928,5.51575,37,-0.00070485036,13.631342
9500,55511,40.286664724349976,7.746869277346995,0.5277313590049744,950000,28.71,0.19449893,0.012304001,0.0017361797,5.514702,38,-0.00091888185,13.312155
9750,53064,41.180697202682495,5.600977923472238,0.520370602607727,975000,23.66,0.1877664,0.020771999,0.0024298518,5.513265,39,-0.0014909381,11.880453
10000,53421,42.106279611587524,7.685095648509632,0.5483964681625366,1000000,30.12,0.19574492,0.002416,0.00091400184,5.5116644,40,-0.00048299562,11.851102
10250,53681,43.01495170593262,6.070665966111119,0.5693691670894623,1025000,24.13,0.19107625,0.009788,0.0018782401,5.5103073,41,-0.0009485632,12.233386
10500,55532,43.92089009284973,7.414982345610879,0.5599784851074219,1050000,27.65,0.22133008,0.022044,0.0026604335,5.509216,42,-0.0010649192,12.876358
10750,56466,44.817872047424316,7.69087094884424,0.5581464767456055,1075000,24.6,0.252922,0.005452,0.0010586439,5.5084925,43,-0.00062130636,15.717982
11000,56190,45.699971199035645,8.096851185212872,0.5817569196224213,1100000,29.05,0.21824609,0.005956,0.0012693395,5.5074453,44,-0.0005458572,14.705076
11250,56913,46.56368041038513,7.013115629912645,0.584354043006897,1125000,27.06,0.22798273,0.013795999,0.0018094288,5.506032,45,-0.0010431176,13.679624
11500,57169,47.44444966316223,6.613700657356094,0.5758346617221832,1150000,28.44,0.21218832,0.01054,0.0017766447,5.5040507,46,-0.00076737284,14.116343
11750,54224,48.33387494087219,6.563534750008548,0.5819450318813324,1175000,26.94,0.2148938,7.2e-05,0.0002643653,5.5021696,47,-0.00029472372,14.50857
12000,56774,49.24665880203247,7.53550216119118,0.6058010160923004,1200000,29.97,0.22382408,0.002872,0.00071389164,5.50144,48,-0.00064093946,13.694623
12250,55912,50.126256227493286,7.043413841194415,0.6164179742336273,1225000,26.9,0.22971198,0.000452,0.00066758425,5.501281,49,-0.00037872806,14.271129
12500,57677,51.01539397239685,8.065142359676102,0.6103617548942566,1250000,28.58,0.24846469,0.009132,0.0015493848,5.5000515,50,-0.000546211,14.938527
12750,55186,51.893778800964355,7.5046392601600385,0.6128111183643341,1275000,25.98,0.22167188,0.008568,0.0012964124,5.498551,51,-0.0008269691,13.570091
13000,57332,52.79482579231262,6.753757456880121,0.6354716420173645,1300000,25.76,0.2345634,0.020648,0.0025391183,5.4975386,52,-0.001176225,13.330332
13250,55382,53.682499170303345,6.022758924601512,0.6228512823581696,1325000,25.6,0.22546852,0.013528,0.002064332,5.496198,53,-0.0005571465,13.755392
13500,55779,54.56150555610657,7.9033779429535755,0.6393675208091736,1350000,29.7,0.22233957,0.010144,0.001618254,5.4947267,54,-0.00090912415,14.574713
13750,56206,55.447612047195435,8.06692817140618,0.6043991148471832,1375000,28.14,0.248245,0.009064,0.0012055303,5.493029,55,-0.0009974011,15.017558
14000,54042,56.32172083854675,5.843200220259023,0.6499618291854858,1400000,22.68,0.2487355,0.000488,0.0002856978,5.491677,56,-0.00041176332,13.656992
14250,56458,57.23677349090576,8.373516093418875,0.6357304453849792,1425000,27.71,0.26814726,0.0026079998,0.0009403766,5.49079,57,-0.00045325438,14.883011
14500,54277,58.11184573173523,8.570133243535416,0.6467998623847961,1450000,32.08,0.23225626,0.014508,0.0019994485,5.4902916,58,-0.0010062495,14.076161
14750,57052,59.01500368118286,7.232137083996349,0.6402814388275146,1475000,26.71,0.28428307,0.0078920005,0.0012974004,5.4889917,59,-0.00055696827,15.1679735
15000,57965,59.87402606010437,8.72018389803503,0.6318837106227875,1500000,28.81,0.26397878,0.02662,0.0028081457,5.4874067,60,-0.001386504,14.438341
15250,57831,60.73525023460388,9.418648931666393,0.6643575131893158,1525000,29.12,0.28374165,0.006244,0.0011767719,5.4860163,61,-0.00046453875,14.130376
15500,56335,61.60512733459473,6.853103145799541,0.6562404334545135,1550000,26.46,0.24921039,0.016156,0.0020978632,5.4851885,62,-0.0009996512,14.639346
15750,57143,62.487470865249634,9.060999133778386,0.6737509667873383,1575000,27.53,0.24600941,0.023292001,0.0028094244,5.484525,63,-0.0010353534,13.080368
16000,57317,63.377801179885864,6.501939461413421,0.6863995492458344,1600000,25.24,0.27417746,0.008568,0.0016483173,5.4831867,64,-0.00061391166,13.894234
16250,56744,64.25523233413696,6.356272113752748,0.6793482303619385,1625000,25.72,0.27937594,0.009672,0.001719124,5.482077,65,-0.00037833242,14.109174
16500,56654,65.12719178199768,5.777763677317125,0.6873890161514282,1650000,24.43,0.27446732,0.014979999,0.001941318,5.4810514,66,-0.00076550525,14.359116
16750,56557,66.01249718666077,6.882717575380812,0.6752181053161621,1675000,27.71,0.2705926,0.01588,0.0023845362,5.4798884,67,-0.00022751447,15.285182
17000,57005,66.88110303878784,8.772076405370608,0.6807604730129242,1700000,26.07,0.27277562,0.018064002,0.0022805943,5.4777102,68,-0.00048179156,14.267984
17250,55398,67.75464677810669,7.126136564450571,0.6924944221973419,1725000,22.67,0.28357127,0.004108,0.00117426,5.4752226,69,7.7718985e-05,14.595354
17500,56017,68.63893842697144,8.033570398395096,0.6657949388027191,1750000,29.26,0.28127262,0.017328,0.002354584,5.473674,70,-0.0004434594,15.597913
17750,54510,69.52842783927917,7.969671899848945,0.678738921880722,1775000,26.18,0.26090685,0.0003,0.0005135697,5.472262,71,-0.0002581114,13.984342
18000,54673,70.43543529510498,10.229497340792731,0.712480366230011,1800000,29.13,0.29358864,0.000388,0.0004675691,5.470928,72,-0.00032923208,14.620459
18250,54794,71.31772923469543,7.901914107793564,0.6953184008598328,1825000,30.89,0.26094154,0.0064160004,0.0010534683,5.4692755,73,-0.0009154494,15.478439
18500,52926,72.20624375343323,7.440069601511495,0.7036682367324829,1850000,28.01,0.30927584,0.00055999996,0.00040554744,5.4673443,74,-0.0005574239,14.824821
18750,53816,73.1082067489624,7.809475409667339,0.7071365416049957,1875000,27.24,0.29567885,0.011228001,0.0015902391,5.46638,75,-0.0009828907,13.677198
19000,53963,74.01301264762878,6.312053112020949,0.7178665697574615,1900000,25.76,0.2993951,0.002796,0.00089279003,5.4653373,76,-0.00076397334,14.461935
19250,54854,74.91136384010315,7.518190921859568,0.6847511827945709,1925000,25.16,0.2991496,0.004308,0.0009798054,5.464553,77,-0.0007963648,13.390503
19500,56706,75.79880428314209,7.557203035567654,0.6920801997184753,1950000,25.09,0.3027024,0.002904,0.0009101508,5.463335,78,-0.0006956157,14.617149
19750,55734,76.66911244392395,8.662892506684438,0.7122661769390106,1975000,27.8,0.29388225,0.002516,0.000893744,5.4628096,79,-0.00045402194,14.09004
20000,56158,77.54504203796387,7.020404580972682,0.7065451145172119,2000000,26.2,0.27760753,0.012508,0.0017421851,5.4614496,80,-0.0011968731,14.988611
20250,51050,78.41583108901978,9.556211587224679,0.6934810280799866,2025000,28.16,0.3056433,0.010332,0.0016633815,5.459278,81,-0.00058534363,14.790781
20500,53858,79.35496354103088,9.928046233505883,0.721950501203537,2050000,27.21,0.30553102,0.012288,0.0019036382,5.457652,82,-0.00039242985,14.358759
20750,53821,80.25590944290161,7.981005144173541,0.7098536789417267,2075000,28.2,0.30218193,0.00045999995,0.0003342711,5.456414,83,-0.00041868546,13.9933605
21000,53418,81.17334342002869,6.62806370687802,0.6865313053131104,2100000,25.41,0.28245515,0.013348,0.0017759812,5.4550786,84,-0.0012353952,13.973045
21250,54527,82.0716290473938,8.451000638844125,0.6982702314853668,2125000,28.22,0.31608802,0.005284,0.001088879,5.454032,85,-0.00069927535,14.916494
21500,56989,82.9748067855835,7.767962097606505,0.7109022736549377,2150000,25.94,0.29218027,0.0012840001,0.00047458353,5.4533706,86,-0.0005877957,14.010284
21750,56294,83.85530042648315,7.902876802790561,0.7202895879745483,2175000,27.15,0.3015934,0.00166,0.00065949914,5.4528985,87,-0.00055457826,13.580589
22000,55916,84.74533033370972,5.264487315772567,0.7164783179759979,2200000,23.18,0.30410144,0.002484,0.0007797474,5.45177,88,-0.00086191593,12.878079
22250,56781,85.63207387924194,8.047216560018205,0.7258528172969818,2225000,25.92,0.32774103,0.008916,0.0014613083,5.4507875,89,-0.0009325524,14.348089
22500,56426,86.51077795028687,6.1780633617303105,0.7183404564857483,2250000,23.59,0.30670026,0.0066080005,0.0011183483,5.4503207,90,-0.0008613554,14.808345
22750,56587,87.39791750907898,9.006443739966635,0.728508859872818,2275000,28.8,0.3208084,0.0045600003,0.0014305327,5.4491267,91,-0.00037383562,14.099501
23000,56896,88.2995457649231,6.7720912923339345,0.7188947200775146,2300000,27.45,0.31666067,0.0075680004,0.0013808981,5.447467,92,-0.00077124557,14.865275
23250,55034,89.17618894577026,8.7322010430519,0.7257781326770782,2325000,26.67,0.28522658,0.010588,0.0017187847,5.44576,93,-0.00079148513,13.979134
23500,55208,90.06992983818054,8.9761830466229,0.7214431166648865,2350000,27.14,0.3196,0.004348,0.0012776155,5.444554,94,-0.0005703556,13.651141
23750,54447,90.96790289878845,9.69623134923284,0.7157762944698334,2375000,29.3,0.3205715,0.009200001,0.0015844051,5.443731,95,-0.00079345127,14.915477
24000,55568,91.87578272819519,7.688370334814172,0.7229795157909393,2400000,25.78,0.30767754,0.003592,0.0010276788,5.4429793,96,-0.00047577982,14.596814
24250,49655,92.80220746994019,8.402108859058934,0.7370531260967255,2425000,27.61,0.32667947,0.0047,0.0011003792,5.442621,97,-0.00030272017,14.750727
24500,54169,93.7518789768219,8.752052503850718,0.726097047328949,2450000,26.16,0.34529468,0.014459999,0.0021856236,5.4425287,98,-0.0011698412,16.270151
24750,56649,94.63394165039062,7.612849413266522,0.7476084232330322,2475000,24.65,0.3272427,0.0064520002,0.0013394889,5.441374,99,-0.0003313218,14.059323
25000,54551,95.50123047828674,7.470461298354044,0.7502809315919876,2500000,25.83,0.31171072,0.018628,0.0021135046,5.439823,100,-0.0007917355,13.380194
25250,53659,96.40069818496704,8.6544076019965,0.7441907525062561,2525000,28.03,0.34206197,0.004656,0.0011424685,5.438587,101,-0.000558888,14.104864
25500,53591,97.30287146568298,6.6682834636286135,0.7580514997243881,2550000,23.45,0.30471802,0.0037719999,0.0011570423,5.4373107,102,-0.0005679076,13.830561
25750,57178,98.2047963142395,8.536004445034923,0.7461218535900116,2575000,27.04,0.31784147,0.0032239999,0.0010578779,5.4360805,103,-0.00037097806,14.858057
26000,57539,99.07773661613464,10.8027153953386,0.762494370341301,2600000,27.88,0.3377395,0.003356,0.0011835408,5.4343576,104,-0.0004070884,14.590184
26250,55754,99.94929027557373,7.780867492303077,0.7374691367149353,2625000,27.17,0.33014023,0.014888001,0.0020117683,5.4329042,105,-0.0009532963,14.127985
26500,53388,100.86381602287292,8.36934150389221,0.7603621929883957,2650000,26.53,0.32445726,0.00644,0.0015310526,5.4316306,106,-0.0002502271,14.627933
26750,54517,101.79674124717712,8.52270462878514,0.7601195424795151,2675000,28.31,0.3331562,0.0068519996,0.0011958381,5.430235,107,-0.00037182315,14.443991
27000,55877,102.73086500167847,10.630266107564093,0.7570861130952835,2700000,28.76,0.33730704,0.0078000003,0.0014628101,5.429524,108,-0.00069357536,15.073641
27250,55668,103.60999155044556,8.147989138754202,0.755731001496315,2725000,24.65,0.34336716,0.0083840005,0.0016557686,5.429489,109,-0.0005103252,13.58608
27500,56998,104.49857687950134,8.008088803674363,0.7580895870923996,2750000,24.25,0.33743098,0.004204,0.0010683741,5.429303,110,-0.00036806916,14.576067
27750,55559,105.37199831008911,9.183727303233754,0.775457426905632,2775000,28.13,0.3489166,0.0099760005,0.0017248284,5.4286304,111,-0.0010992233,14.21302
28000,57293,106.25871324539185,9.095250542842695,0.7586644142866135,2800000,26.55,0.3387732,0.006076,0.0012852034,5.427643,112,-0.0011977858,13.449664
28250,57223,107.12849950790405,8.825572418243974,0.7733089625835419,2825000,23.45,0.3630537,0.0076239994,0.0015565874,5.426993,113,-0.0005160488,13.947922
28500,57953,108.0006492137909,7.906162423226706,0.7412801384925842,2850000,26.03,0.36614844,0.006392,0.001185197,5.42605,114,-0.0006680004,15.09864
28750,57026,108.85377955436707,8.94043797151855,0.7546510547399521,2875000,24.11,0.3403305,0.011175999,0.0016499022,5.4241433,115,-0.0010715848,14.619059
29000,55710,109.7236750125885,9.47261118078517,0.7780870646238327,2900000,27.84,0.37090406,0.017704,0.0020967263,5.421912,116,-0.00074081484,13.70518
29250,55915,110.6192934513092,8.292321136514802,0.7498206794261932,2925000,25.79,0.348358,0.00876,0.0013307014,5.4201527,117,-0.00081620197,13.285937
29500,56206,111.49083971977234,8.187591711214337,0.7676647752523422,2950000,25.27,0.33503476,0.010492,0.0015247867,5.4190297,118,-0.0008617359,13.840242
29750,54256,112.36482286453247,11.867688991526084,0.7837521731853485,2975000,30.01,0.3589591,0.010108,0.0018322257,5.4174714,119,-0.00082215236,13.947133
30000,54088,113.2597987651825,7.529359269195993,0.7635340392589569,3000000,25.38,0.35750833,0.00084800005,0.0004608559,5.4154224,120,-0.0003524322,15.15966
30250,55587,114.14737629890442,9.17095402669045,0.7825552970170975,3025000,27.64,0.38261113,0.0022240002,0.00081371085,5.41315,121,-0.00025800514,13.884211
30500,55966,115.02019214630127,8.665061406804599,0.7590014040470123,3050000,24.69,0.35578805,0.0048080003,0.0012580773,5.411284,122,-0.0005596514,14.484659
30750,57261,115.90372824668884,9.081843759497861,0.7831391394138336,3075000,25.51,0.3554831,0.003808,0.0009508912,5.409904,123,-0.0006112986,13.41875
31000,57746,116.77184319496155,10.515498304182401,0.7858354151248932,3100000,28.49,0.36288264,0.0068960004,0.0014516801,5.40891,124,-0.00063894887,14.753238
31250,55307,117.64756417274475,8.955678104386024,0.7686454802751541,3125000,25.3,0.35708758,0.00368,0.00091566204,5.40801,125,-0.0007541916,15.081235
31500,56567,118.53023719787598,10.960845089789219,0.7970630824565887,3150000,28.67,0.3608571,0.000748,0.0005011248,5.4073677,126,-0.00023402565,14.325964
31750,57031,119.40948152542114,8.994017194930347,0.7691815197467804,3175000,27.08,0.36848038,0.0037119999,0.00092114444,5.4057145,127,-0.000739732,14.803993
32000,55415,120.26815295219421,10.512459349831916,0.7852248847484589,3200000,27.55,0.38399914,0.009972,0.0013808975,5.404179,128,-0.0011072058,13.664737
32250,55977,121.1597330570221,11.171603878386959,0.7834660559892654,3225000,30.3,0.3831905,0.0035080002,0.0008971399,5.4032145,129,-0.0005168094,15.932226
32500,57027,122.0245931148529,8.293566789362812,0.7673400640487671,3250000,28.18,0.38351446,0.014715999,0.0020214773,5.4026885,130,-0.0009643642,15.577858
32750,56713,122.89093947410583,8.109449684947904,0.796247661113739,3275000,25.88,0.3716092,0.000504,0.0007651475,5.4018526,131,-0.00018766348,15.178513
33000,56415,123.74377703666687,12.155731102499395,0.7770500779151917,3300000,30.57,0.3667768,0.014672001,0.0020157928,5.4005094,132,-0.0010461176,13.893717
33250,56055,124.60410189628601,10.8134040924476,0.774640679359436,3325000,29.45,0.3811507,0.008544,0.0014552971,5.3988924,133,-0.0008079376,15.242517
33500,57127,125.49719166755676,7.564753839226505,0.778060793876648,3350000,29.52,0.3729232,0.0037759996,0.0010659664,5.397373,134,-0.0006395068,14.573671
33750,56855,126.38110518455505,8.754033359852183,0.7890820652246475,3375000,26.27,0.39419648,0.0013360002,0.0008055334,5.396695,135,0.0001333659,13.8758335
34000,57370,127.25455927848816,10.713340426093275,0.7934205234050751,3400000,28.24,0.3645363,0.010520001,0.0016585063,5.3960934,136,-0.0010697262,13.816997
34250,54403,128.10587787628174,9.68949536193395,0.7606873363256454,3425000,30.59,0.35711616,0.008656,0.0016036438,5.395173,137,-0.0007071168,15.268723
34500,54512,128.986980676651,11.866812724367428,0.7774332165718079,3450000,29.55,0.36695987,0.002412,0.0007096954,5.3943987,138,-0.0003044554,13.702925
34750,56723,129.86693596839905,8.797140029721778,0.7959036529064178,3475000,27.65,0.4023693,0.011236,0.0014864563,5.394006,139,-0.0009479655,13.903119
35000,53936,130.74790620803833,9.255385965747555,0.7781538963317871,3500000,29.47,0.36934665,0.015808,0.0020026641,5.392687,140,-0.0015191103,14.671942
35250,56443,131.64852595329285,8.54357504910251,0.7810908257961273,3525000,25.43,0.37927046,0.009652,0.0018680543,5.3910284,141,-0.0009290547,15.235418
35500,57245,132.51618480682373,7.766402971338103,0.787748709321022,3550000,26.03,0.36661202,0.0049439995,0.001149723,5.389577,142,-0.0005992359,14.082865
35750,52381,133.39406156539917,7.4855788539143395,0.7963101118803024,3575000,25.45,0.3864541,0.0013039999,0.00071979576,5.388616,143,-0.00035194313,14.386767
36000,56355,134.30736231803894,7.949539564788683,0.7833350151777267,3600000,26.58,0.39834815,0.010836,0.001953661,5.3873096,144,-0.0010144716,14.6017275
36250,57288,135.17208003997803,8.969627458388604,0.7881468385457993,3625000,27.17,0.40380046,0.001616,0.0007362791,5.386136,145,-0.0002076227,13.1623335
36500,56790,136.0438334941864,8.792579221445775,0.78592449426651,3650000,27.02,0.40581086,0.014604,0.0021849205,5.385059,146,-0.0005540711,13.908751
36750,55930,136.91056656837463,7.284307358412771,0.7982197105884552,3675000,25.12,0.40096804,0.019964,0.0024870844,5.3840938,147,-0.00067649194,13.94133
37000,55217,137.7814929485321,7.541968783541161,0.7933639734983444,3700000,24.38,0.41248035,0.00428,0.0012485733,5.3827763,148,-0.00043086233,13.982755
