fps,ep_len_mean,total_timesteps,policy_entropy,true_reward,serial_timesteps,approxkl,clipfrac,explained_variance,value_loss,policy_loss,time_elapsed,n_updates,ep_reward_mean
62074,250.0,5950000,1.1157603,0.18321596,59500,0.011157901,0.14770001,0.8762627393007278,0.009734338,-6.640288e-05,191.31199955940247,238,45.80398942664266
60545,249.35,5975000,1.1142205,0.18359074,59750,0.015234878,0.19612,0.41221463680267334,0.07946426,-0.0012410365,192.09668898582458,239,45.80504433393478
61964,250.0,6000000,1.1144155,0.18343672,60000,0.010169463,0.132188,0.8404001891613007,0.009722721,-0.0003838547,192.90808820724487,240,45.85918184384704
61230,250.0,6025000,1.1130126,0.18359402,60250,0.006828437,0.088768,0.8791481629014015,0.012474167,-0.0022914382,193.7088770866394,241,45.89850648649037
60894,250.0,6050000,1.1095502,0.18389508,60500,0.01115261,0.15147601,0.8542457669973373,0.01681549,0.0006861389,194.49336004257202,242,45.973767941594126
61844,250.0,6075000,1.1084691,0.18372096,60750,0.017110728,0.20759201,0.8796158134937286,0.011119128,0.0060912305,195.2732343673706,243,45.93024237811565
60747,250.0,6100000,1.1056808,0.18383935,61000,0.033119816,0.299884,0.8418092131614685,0.009640969,0.014087084,196.0644233226776,244,45.959840411394836
62276,250.0,6125000,1.0998598,0.1839546,61250,0.016464079,0.21031599,0.8784762248396873,0.010305544,0.0032417357,196.85384511947632,245,45.98865074135363
62427,249.16,6150000,1.091548,0.18395989,61500,0.005741254,0.069327995,0.929265983402729,0.022508834,-0.0028634148,197.62936806678772,246,45.91343083575368
61422,250.0,6175000,1.0856836,0.18377057,61750,0.0061360984,0.075128,0.8299054801464081,0.010523398,-0.0018788878,198.4141035079956,247,45.94264206752181
63065,250.0,6200000,1.0821857,0.18340035,62000,0.0067588375,0.08750801,0.9020144641399384,0.013952127,-0.0035809018,199.1973533630371,248,45.85008651576936
61652,249.21,6225000,1.0795544,0.18360725,62250,0.008154439,0.109188005,0.39701175689697266,0.0838755,-0.0015376215,199.9673047065735,249,45.787549244314434
61236,250.0,6250000,1.0762465,0.18420684,62500,0.0076440223,0.098023996,0.8724302351474762,0.011423688,-0.002017909,200.75366139411926,250,46.051707675755026
62393,250.0,6275000,1.0746322,0.18400723,62750,0.009132639,0.12148,0.8724983781576157,0.010585823,-0.0013431907,201.54141092300415,251,46.00180681750178
62007,250.0,6300000,1.072052,0.18414824,63000,0.011342554,0.155116,0.8623836934566498,0.01109112,0.0010924821,202.31526494026184,252,46.037060044407845
60371,250.0,6325000,1.0687175,0.1842765,63250,0.0058583403,0.069832005,0.8447856456041336,0.014902091,-0.0022353597,203.09615850448608,253,46.06912352129817
60714,249.42,6350000,1.0642656,0.18397889,63500,0.009687659,0.130696,0.9034217447042465,0.03395786,-0.0026527457,203.90043568611145,254,45.94425741687417
59481,250.0,6375000,1.06014,0.18392539,63750,0.006072185,0.0745,0.8685237765312195,0.014727831,-0.0031594844,204.69386744499207,255,45.981345291435716
62896,250.0,6400000,1.054813,0.18378253,64000,0.007585644,0.097676,0.8408982157707214,0.01305831,-0.00093182083,205.49084544181824,256,45.945636393129824
