value_loss,policy_loss,n_updates,total_timesteps,serial_timesteps,ep_reward_mean,time_elapsed,true_reward,clipfrac,explained_variance,ep_len_mean,fps,policy_entropy,approxkl
0.17691578,-0.0030348501,68,1700000,17000,2.9110662644977765,56.879257917404175,0.067353465,0.043508,0.7880380898714066,50.2,71628,5.1750593,0.004037417
0.1511735,-0.0027418064,69,1725000,17250,3.0101049654480447,57.63074064254761,0.06567797,0.043256,0.8176349103450775,59.29,70734,5.168746,0.0040594987
0.14089847,-0.002099425,70,1750000,17500,3.8492219477702747,58.38658356666565,0.067582235,0.052759998,0.8438868522644043,66.37,72032,5.163515,0.004718347
0.19374281,-0.0026549944,71,1775000,17750,3.7996226476047013,59.13947653770447,0.064433195,0.04408,0.7828266024589539,70.21,72405,5.155965,0.004150185
0.217297,-0.0025312484,72,1800000,18000,3.54165279922689,59.89848756790161,0.06559231,0.035008002,0.7683235853910446,63.76,71542,5.1464624,0.0035931238
0.18842916,-0.0022463996,73,1825000,18250,4.0292992974981825,60.65172982215881,0.06615722,0.038423996,0.7889443188905716,72.6,73762,5.141432,0.003717569
0.1699051,-0.0032585002,74,1850000,18500,4.0100695648341205,61.39118266105652,0.065958306,0.061664004,0.8092934638261795,70.66,73116,5.137674,0.0050152084
0.21389894,-0.0025523608,75,1875000,18750,4.969820034397608,62.14348006248474,0.06720681,0.045607995,0.7776639312505722,81.24,73503,5.1327653,0.0041541914
0.20775442,-0.0028227158,76,1900000,19000,4.8077938691052715,62.905779123306274,0.06489758,0.043439995,0.7853797674179077,84.08,73856,5.1265006,0.00410449
0.16173527,-0.0025081825,77,1925000,19250,5.219026441208116,63.64461946487427,0.06538921,0.038912002,0.8223529309034348,86.9,71912,5.121444,0.003808165
0.19577578,-0.0026684848,78,1950000,19500,4.8492416770672575,64.4177577495575,0.06333197,0.049627997,0.7672248780727386,90.45,70630,5.116555,0.0045449575
0.22950348,-0.0028044083,79,1975000,19750,4.60571048477801,65.18835711479187,0.06448211,0.044816,0.7351579368114471,82.82,74576,5.108294,0.0042304364
0.18458858,-0.0023185944,80,2000000,20000,5.9066726848896,65.91749596595764,0.06815789,0.048167996,0.7860687375068665,97.27,73471,5.102715,0.004302767
0.15970376,-0.0027580056,81,2025000,20250,7.205597658276893,66.65468883514404,0.06562849,0.041124,0.7931189090013504,121.62,72522,5.0955677,0.0037821014
0.19056675,-0.0022694543,82,2050000,20500,6.837704710453872,67.38406348228455,0.06790063,0.045751996,0.7837034910917282,111.49,72702,5.0891137,0.0042066844
0.25510794,-0.002417089,83,2075000,20750,7.160996009257069,68.11951637268066,0.06366409,0.047132004,0.6683087646961212,119.17,72384,5.0817347,0.004211594
0.20752516,-0.0021289957,84,2100000,21000,7.570861805443083,68.85815143585205,0.06603527,0.061504,0.73541259765625,127.1,72135,5.076272,0.00511602
