explained_variance,true_reward,n_updates,ep_reward_mean,clipfrac,time_elapsed,fps,value_loss,approxkl,ep_len_mean,total_timesteps,policy_loss,policy_entropy,serial_timesteps
0.8601887971162796,0.1299399,268,13.132474314882938,0.051928002,215.71117734909058,66766,1.5938965,0.0045357672,118.49,6700000,-0.0014364051,4.6305437,67000
0.9051880463957787,0.12809297,269,10.390143192817495,0.068288,216.47148203849792,70265,1.2452323,0.0055645844,108.66,6725000,-0.0033349178,4.626983,67250
0.8832155764102936,0.11979626,270,11.515501432524196,0.054672003,217.2177677154541,69648,1.4577634,0.004704514,118.49,6750000,-0.0023055286,4.6248465,67500
0.8761041238903999,0.12991036,271,9.765878245522691,0.052943997,217.95121383666992,70079,1.5106714,0.0046175956,96.67,6775000,-0.0024131855,4.6236033,67750
0.863312840461731,0.12265334,272,8.222265839304455,0.038948,218.71822094917297,67153,1.8333304,0.0037605602,94.35,6800000,-0.002079899,4.622699,68000
0.8629432916641235,0.12659454,273,10.06546805536866,0.049776,219.475727558136,68720,1.5011281,0.004414992,101.98,6825000,-0.0030161608,4.621468,68250
0.8902379795908928,0.12861872,274,8.85667351136799,0.1374,220.23646306991577,66268,1.5124906,0.010614221,94.89,6850000,0.0011424718,4.619435,68500
0.8935336470603943,0.12874468,275,8.360449168802425,0.055643998,221.01093173027039,68405,1.3559191,0.0048841583,94.28,6875000,-0.002780615,4.617406,68750
0.8832060694694519,0.13130015,276,10.156782653209975,0.060135998,221.76529812812805,69967,1.4298849,0.0050086915,93.5,6900000,-0.0026036438,4.6146064,69000
0.9247329756617546,0.1371732,277,8.653813707288641,0.062708005,222.51352763175964,68342,0.96666306,0.0053917114,91.13,6925000,-0.0016893677,4.609763,69250
0.8891671299934387,0.13104026,278,10.976424259410651,0.056284,223.26183223724365,69524,1.1797605,0.005053524,96.3,6950000,-0.0031603188,4.604551,69500
0.8659946918487549,0.13701978,279,10.034119793594563,0.090556,224.00225734710693,68572,1.5245594,0.006838517,92.03,6975000,-0.0011312217,4.599585,69750
0.899787187576294,0.13043192,280,10.206472892313666,0.07498799,224.75081658363342,67503,1.189678,0.0060438714,108.21,7000000,-0.0025682312,4.5962224,70000
0.9285821914672852,0.12979393,281,8.206630839201988,0.052600004,225.4872386455536,69808,0.8776026,0.004665898,90.09,7025000,-0.0027926299,4.5932283,70250
0.8980996236205101,0.124170505,282,10.549117373456447,0.068192005,226.22880840301514,70721,1.1747305,0.0056140297,103.94,7050000,-0.002259178,4.590032,70500
0.8976476490497589,0.12995723,283,8.86988332173264,0.06264,226.98675322532654,55096,1.1567647,0.0052633733,95.83,7075000,-0.0021335334,4.587845,70750
0.8983344212174416,0.12123134,284,9.293936907921307,0.070723996,227.84283757209778,63396,1.1670754,0.0057707485,99.49,7100000,-0.002206136,4.5837183,71000
0.9007969573140144,0.13299586,285,9.125430922484375,0.066676,228.63684034347534,68183,1.320967,0.005368722,93.66,7125000,-0.0020898795,4.579886,71250
