clipfrac,fps,ep_len_mean,policy_entropy,serial_timesteps,n_updates,true_reward,approxkl,policy_loss,explained_variance,value_loss,total_timesteps,ep_reward_mean,time_elapsed
0.05999601,52278,3.38,5.069357,12500,50,-1.4254935,0.005120745,-0.005335154,-0.16746282577514648,0.041614573,1250000,0.043876205262786246,60.04443669319153
0.037468,54775,2.96,5.048002,12750,51,-1.4092565,0.0038120511,-0.004849489,-0.08384037017822266,0.038406223,1275000,0.03709691569234565,61.05282711982727
0.038924,49097,3.22,5.0271053,13000,52,-1.3853027,0.003945173,-0.0045561427,-0.08761072158813477,0.038871013,1300000,0.035174279519487754,62.17528057098389
0.038964,53543,3.45,5.0068007,13250,53,-1.3696023,0.0039573177,-0.0044473032,0.02175074815750122,0.036211617,1325000,0.04719532250837801,63.20026659965515
0.045052,53339,3.45,4.987296,13500,54,-1.3419061,0.0042422162,-0.0044234903,0.06603199243545532,0.03557109,1350000,0.043575474524132005,64.20079708099365
0.03232,40499,3.48,4.96721,13750,55,-1.3364068,0.0034214582,-0.004289374,0.09654539823532104,0.03567477,1375000,0.03909761930224704,65.17181396484375
0.050292004,54019,3.33,4.9461484,14000,56,-1.3263942,0.0045736795,-0.0049206326,0.10564279556274414,0.03496117,1400000,0.03976968473827583,66.30032634735107
0.036884002,53052,3.5,4.9252067,14250,57,-1.3107995,0.0039046078,-0.0047721253,0.1446322202682495,0.034917813,1425000,0.048015601736115056,67.28097748756409
0.042992003,53341,3.47,4.905549,14500,58,-1.299998,0.004181813,-0.0047213817,0.16284382343292236,0.03394837,1450000,0.054821293444911136,68.27237367630005
0.053367995,45030,3.6,4.8861837,14750,59,-1.2812413,0.0047391267,-0.0044406243,0.22450387477874756,0.032155804,1475000,0.0380625542489588,69.26905369758606
0.049732,53817,4.07,4.8680716,15000,60,-1.2659196,0.0045697913,-0.004791246,0.2380521297454834,0.03381239,1500000,0.06492256988451117,70.33591198921204
0.051728003,53876,3.32,4.851282,15250,61,-1.2454253,0.0046611396,-0.0047558662,0.23919260501861572,0.03365568,1525000,0.05269262838653731,71.30333065986633
0.042752,52274,3.39,4.8344164,15500,62,-1.2319199,0.0041442597,-0.0040246616,0.2507162094116211,0.033679992,1550000,0.04442134840679501,72.27285861968994
0.04334,53074,4.08,4.816705,15750,63,-1.2204992,0.00418244,-0.0038013305,0.3245222568511963,0.03152231,1575000,0.06078680447244551,73.26564049720764
0.035776,52212,4.07,4.7980165,16000,64,-1.2106714,0.0036926842,-0.0043012574,0.3329431414604187,0.03172841,1600000,0.036666048631632295,74.24854445457458
0.035604,53636,3.67,4.7793026,16250,65,-1.2062373,0.0036559857,-0.0042959964,0.3595445156097412,0.030357096,1625000,0.05139396728773136,75.24797320365906
0.054307997,54868,4.09,4.761771,16500,66,-1.1962273,0.0048483117,-0.005036344,0.37529706954956055,0.03007256,1650000,0.060176851181859094,76.21552777290344
0.047891997,55433,3.57,4.7443686,16750,67,-1.187275,0.004486099,-0.0048780222,0.40801042318344116,0.028570354,1675000,0.04057471675725537,77.16141200065613
0.047116004,54155,4.25,4.726623,17000,68,-1.1674142,0.0043177735,-0.003787764,0.41159361600875854,0.029301098,1700000,0.06411957488919143,78.16232538223267
