n_updates,serial_timesteps,fps,ep_reward_mean,policy_loss,total_timesteps,true_reward,policy_entropy,explained_variance,time_elapsed,clipfrac,ep_len_mean,value_loss,approxkl
75,18750,56612,2.4035397114760872,-0.0020463164,1875000,0.026853943,5.448893,0.9418954327702522,68.96446824073792,0.019652002,90.62,0.046752855,0.0024792422
76,19000,56629,2.115954120326096,-0.0016401423,1900000,0.024294076,5.442964,0.9438593722879887,69.78231883049011,0.01232,83.88,0.043357678,0.001859375
77,19250,55294,2.4375320843458392,-0.0020657512,1925000,0.028236521,5.439894,0.9491192474961281,70.60136318206787,0.017908001,92.51,0.038358144,0.002304718
78,19500,57613,2.068937396721549,-0.0020059336,1950000,0.02659979,5.437652,0.9390237927436829,71.47732424736023,0.019376,85.23,0.04290863,0.002428393
79,19750,58224,2.28291065757458,-0.0012978541,1975000,0.027276887,5.4311914,0.9353180751204491,72.32152390480042,0.0063960003,89.78,0.049215775,0.0011387073
80,20000,57387,2.3901035133197,-0.002244762,2000000,0.027474089,5.4198174,0.9475568495690823,73.145024061203,0.020739999,87.43,0.0406315,0.0024391324
81,20250,57941,2.376293938129393,-0.0019172613,2025000,0.027428545,5.408102,0.9374789148569107,73.97284626960754,0.01868,87.6,0.046044268,0.0024945908
82,20500,55803,2.474160941434584,-0.0015778603,2050000,0.027330501,5.401058,0.9508687853813171,74.80664443969727,0.014772,92.22,0.03985727,0.0021655674
83,20750,56196,1.9297272108342076,-0.0021624318,2075000,0.02639391,5.396392,0.9229465276002884,75.65873980522156,0.025215998,77.67,0.052838426,0.002732368
84,21000,58536,2.282868617752265,-0.0017609817,2100000,0.02617099,5.3915477,0.9479162245988846,76.48672366142273,0.020603998,86.58,0.03798436,0.0022865902
85,21250,53588,2.1840462376759024,-0.0016570942,2125000,0.027413476,5.385937,0.943859301507473,77.3330807685852,0.02508,86.26,0.03872081,0.0026091665
86,21500,57027,2.262916019962031,-0.0020165984,2150000,0.028009934,5.378793,0.9497722946107388,78.40279603004456,0.019239997,88.34,0.03566971,0.0024392263
87,21750,56777,2.167300554369285,-0.0016353695,2175000,0.02799995,5.3703666,0.9380754642188549,79.3196587562561,0.013708,85.53,0.044609763,0.0018715082
88,22000,58406,2.4649971348148325,-0.0017367096,2200000,0.02665892,5.3624334,0.9479428790509701,80.14876580238342,0.018108001,94.35,0.038821343,0.002445965
89,22250,56591,2.5687807789851673,-0.0017313398,2225000,0.028457247,5.356204,0.9523820094764233,80.96038889884949,0.017072,93.4,0.03548179,0.0022343297
90,22500,57153,2.0472837778196116,-0.0022123866,2250000,0.029047202,5.3515825,0.9426862709224224,81.78866529464722,0.019816,80.39,0.03661969,0.0022319308
91,22750,57063,2.3332901530594428,-0.0015317219,2275000,0.028645314,5.349332,0.9473508149385452,82.602374792099,0.012984,94.04,0.035175316,0.0019971956
92,23000,57728,2.163408673320313,-0.0022488355,2300000,0.027370442,5.35304,0.9568246342241764,83.42170667648315,0.019304,87.38,0.031065967,0.002467998
93,23250,57984,2.22151474927894,-0.0015510803,2325000,0.027907686,5.3531485,0.9594167843461037,84.23734188079834,0.012932001,86.12,0.02855457,0.001955281
94,23500,50730,2.811514364691484,-0.0024429017,2350000,0.029035045,5.350155,0.949310664087534,85.0483009815216,0.026796002,97.77,0.035775293,0.0029817957
95,23750,47247,2.288835476102213,-0.0017815493,2375000,0.03023687,5.342347,0.9456389062106609,85.93367314338684,0.014423999,85.67,0.037684824,0.0020298562
96,24000,49206,2.334431242966366,-0.0019527307,2400000,0.027081111,5.3314943,0.9495864324271679,86.83897066116333,0.020132,84.49,0.037007216,0.002582903
97,24250,58251,2.3471972244219432,-0.0017591441,2425000,0.028070444,5.323338,0.9440660513937473,87.71075749397278,0.019604001,90.17,0.041234,0.0023002904
98,24500,50143,2.0922735599665248,-0.0021265345,2450000,0.026309874,5.313665,0.9560919553041458,88.5206139087677,0.01426,86.88,0.031864174,0.002224624
99,24750,51024,2.2743822021470264,-0.0019011836,2475000,0.029683847,5.303832,0.9372753649950027,89.42436385154724,0.021452,87.42,0.043393973,0.0025129912
100,25000,58490,2.0871735882840583,-0.002240472,2500000,0.02862078,5.2990713,0.9498259238898754,90.32307553291321,0.02046,83.93,0.031060532,0.0025190122
101,25250,59085,2.2034292265661226,-0.0016940972,2525000,0.028200472,5.295686,0.9347659349441528,91.15348815917969,0.016911998,85.94,0.043110725,0.0023252359
102,25500,57011,2.5253283481095057,-0.0024543854,2550000,0.027613936,5.2936964,0.9461814574897289,91.97307634353638,0.030968001,90.26,0.037232295,0.0033055567
103,25750,55963,2.0068023929926313,-0.001674114,2575000,0.029649356,5.29431,0.9619830437004566,92.80411291122437,0.014932001,77.48,0.028082078,0.002264341
104,26000,58138,2.2997778765277235,-0.0021281834,2600000,0.028722288,5.2946854,0.9519163779914379,93.64235067367554,0.020476,90.96,0.035030592,0.0025612616
105,26250,57383,2.349009046231422,-0.0021831833,2625000,0.028560571,5.2918487,0.9556107670068741,94.46196269989014,0.025948,89.97,0.03060328,0.002792541
106,26500,55741,2.0643379433089306,-0.0016927834,2650000,0.029559163,5.2842445,0.9572412371635437,95.41588020324707,0.01734,77.98,0.03175714,0.0023744348
107,26750,53748,2.1725059742691157,-0.0023949356,2675000,0.030641725,5.2764606,0.9581087715923786,96.29534816741943,0.027352,81.23,0.032008655,0.0030730232
108,27000,56406,2.5591394914176635,-0.0017745344,2700000,0.030147512,5.2682376,0.955132968723774,97.20690417289734,0.02468,95.61,0.031754546,0.0028942032
109,27250,55124,2.447676256823761,-0.00169212,2725000,0.031714562,5.259228,0.9333552792668343,98.08243536949158,0.019292,81.48,0.044409253,0.002495627
110,27500,48514,2.1064367785890954,-0.0023707324,2750000,0.030550461,5.2522955,0.9527974240481853,98.97336626052856,0.030803999,81.8,0.031286307,0.003232906
111,27750,54601,2.5903852724016176,-0.0023063044,2775000,0.030119734,5.2504153,0.9640966020524502,99.91494536399841,0.02214,93.12,0.026037548,0.0028071834
112,28000,50615,2.4756619458362548,-0.0019023817,2800000,0.03145088,5.2434697,0.9606399610638618,100.80400943756104,0.02592,86.31,0.027664643,0.0030539874
