ep_len_mean,total_timesteps,fps,policy_loss,clipfrac,time_elapsed,approxkl,serial_timesteps,n_updates,ep_reward_mean,true_reward,value_loss,explained_variance,policy_entropy
19.09,675000,61997,0.12210969,0.78196,25.18677306175232,86498850000.0,6750,27,2.751258356794715,0.06354506,48.2574,-12.737119674682617,5.6763067
18.68,700000,58314,0.12418611,0.70433605,26.032936811447144,44748720000.0,7000,28,2.7408201144635678,0.07069078,36.67202,-8.236563682556152,5.6765795
18.89,725000,61147,0.13704969,0.8232161,26.896400213241577,453593270000.0,7250,29,2.623631661469117,0.07020357,41.90652,-7.477367401123047,5.6769886
17.99,750000,60511,0.114147104,0.728524,27.741745710372925,19260190000.0,7500,30,2.495154353454709,0.069673076,30.837164,-3.258136749267578,5.677259
20.58,775000,60776,0.09722747,0.667984,28.59658932685852,45148340000.0,7750,31,2.812794637957122,0.07444561,20.200947,-3.883187770843506,5.6777744
18.42,800000,59124,0.15716062,0.788808,29.433080434799194,114191040000.0,8000,32,2.6304884590953588,0.072771475,8.324889,-2.878770351409912,5.6791162
19.86,825000,60337,0.10745633,0.502504,30.303794860839844,99.236305,8250,33,2.8950988993793727,0.07912236,1.5303978,-0.6480342149734497,5.6883554
20.69,850000,59393,0.037664734,0.277424,31.15049958229065,13.440176,8500,34,3.01098619453609,0.078881115,1.0973566,-0.18380951881408691,5.7136087
19.78,875000,61124,0.040785886,0.291232,32.00510263442993,0.5329832,8750,35,2.850205439850688,0.079074785,0.8180235,0.09843611717224121,5.730397
21.13,900000,61886,0.028202688,0.24084398,32.84483766555786,2.2531219,9000,36,3.049696400016546,0.08055216,0.7274691,0.24215441942214966,5.749022
19.61,925000,60058,0.029245969,0.24391198,33.68475341796875,262.62338,9250,37,2.8474910458922387,0.08048341,0.66153157,0.33410322666168213,5.7703733
