total_timesteps,approxkl,fps,value_loss,serial_timesteps,time_elapsed,true_reward,explained_variance,policy_loss,clipfrac,n_updates,ep_reward_mean,ep_len_mean,policy_entropy
1850000,0.006467282,52891,0.023157474,18500,69.72062230110168,0.04158188,0.970989566296339,-0.0021396112,0.0795,74,8.828986258048353,213.78,0.76795805
1875000,0.0075778766,53396,0.006208063,18750,70.57785177230835,0.041311983,0.9926407756283879,-0.00052731985,0.095327996,75,8.3799628404541,206.98,0.7693573
1900000,0.0060299025,55200,0.009039206,19000,71.4278929233551,0.041713536,0.9892887379974127,-0.0014293775,0.075364,76,9.219877817866715,220.82,0.7705497
1925000,0.0068510673,50256,0.022250028,19250,72.26377844810486,0.04223438,0.9745147246867418,-0.0030150237,0.089903995,77,9.496341236546323,222.67,0.77048934
1950000,0.0061026504,54786,0.015163833,19500,73.14823246002197,0.04176712,0.9830468595027924,-0.0025825314,0.07619599,78,9.183147122604533,217.54,0.769976
1975000,0.0070416136,52919,0.015956245,19750,73.99256563186646,0.04182231,0.98265709169209,-0.0017840018,0.089896,79,8.407377349709469,202.5,0.7696101
2000000,0.005293059,55949,0.011294738,20000,74.86635613441467,0.043207895,0.9843977121636271,-0.0027109566,0.063668005,80,9.848121880717333,228.54,0.7684963
2025000,0.0062265215,55540,0.014376673,20250,75.70692992210388,0.041113447,0.9823711793869734,-0.0023987493,0.07728,81,8.766975880545724,215.43,0.7654636
2050000,0.007702621,52399,0.034553904,20500,76.55376744270325,0.04068231,0.966160848736763,-0.0021616872,0.1021,82,8.957767412329122,217.68,0.7649347
2075000,0.007812722,56189,0.023280071,20750,77.39885139465332,0.041502368,0.9739087857306004,-0.0020598492,0.096288,83,9.31896987102572,223.33,0.7631461
2100000,0.0067593753,55263,0.027657066,21000,78.22198557853699,0.04131107,0.9703954886645079,-0.0019483505,0.08852401,84,8.432228156359816,204.96,0.7621812
2125000,0.0065743243,55358,0.028441539,21250,79.06955814361572,0.04072034,0.9709810577332973,-0.0030882275,0.085844,85,8.783801033684904,213.95,0.761366
2150000,0.0063492814,54320,0.02034611,21500,79.90106129646301,0.041635368,0.9770494122058153,-0.0030160819,0.079288006,86,9.485836545348903,225.65,0.75964445
2175000,0.0054800166,51806,0.012457632,21750,80.76429057121277,0.041751802,0.9855713834986091,-0.0028890003,0.064976,87,8.662466052366945,210.47,0.75738937
2200000,0.0068600504,54197,0.021259194,22000,81.64525604248047,0.04196294,0.9755689594894648,-0.0022689041,0.090972,88,8.704640502592083,209.08,0.755961
2225000,0.005227317,44006,0.015161271,22250,82.53905868530273,0.04066689,0.9825699981302023,-0.002372255,0.062055998,89,8.743781543469533,217.03,0.75667423
2250000,0.008796832,49707,0.022415355,22500,83.51531600952148,0.040910885,0.976567106321454,-0.0020718223,0.12158799,90,8.747612367825132,214.01,0.75743693
2275000,0.006441186,54068,0.020058887,22750,84.4313714504242,0.04076026,0.9782054387032986,-0.0020416502,0.079648,91,8.652658083180121,213.92,0.75831234
2300000,0.0069799162,47122,0.0106111765,23000,85.30148768424988,0.041451544,0.9880016632378101,-0.002876242,0.090708,92,8.819043439206853,211.87,0.7558174
2325000,0.006633889,55732,0.016081138,23250,86.22532081604004,0.04093301,0.982183150947094,-0.0027821339,0.084432006,93,8.631290268953016,212.75,0.75472367
2350000,0.0067374604,55352,0.018887214,23500,87.06845808029175,0.041404277,0.9753745552152395,-0.002112285,0.086904004,94,9.34537831566422,225.12,0.75532556
2375000,0.0051122126,55163,0.019734677,23750,87.90963554382324,0.04271212,0.978742029517889,-0.0025623771,0.058824003,95,9.094138194669581,210.29,0.7580752
2400000,0.006648165,54705,0.02395418,24000,88.7525327205658,0.041767035,0.9750317223370075,-0.0025021643,0.08301599,96,8.49495601731815,204.33,0.7598308
2425000,0.008217164,53635,0.016338447,24250,89.59335398674011,0.04205055,0.9803932514041662,-0.0010557703,0.111880004,97,9.028431718788342,217.83,0.7547849
2450000,0.0072296457,53538,0.015228664,24500,90.46461629867554,0.04154095,0.9803471062332392,-0.0011250698,0.0947,98,9.003340681952695,218.81,0.7487899
2475000,0.007355593,49274,0.022775713,24750,91.36618542671204,0.04207623,0.972687978297472,-0.00089645915,0.094348,99,8.574798439694787,203.77,0.74513525
2500000,0.0082852105,53815,0.016702753,25000,92.27028012275696,0.041583497,0.9798776023089886,-0.0012048224,0.10292001,100,8.958111077198373,214.33,0.7422355
2525000,0.0062321606,54519,0.016279217,25250,93.12386107444763,0.043741688,0.9830719921737909,-0.0016994271,0.074976,101,9.497527597730805,214.24,0.7416502
2550000,0.008960743,52549,0.013364133,25500,93.96346664428711,0.041882243,0.9828080721199512,-0.0011388715,0.122583985,102,9.410042964256135,225.05,0.73923457
2575000,0.006403704,55186,0.021039225,25750,94.82368803024292,0.041100863,0.9745425917208195,-0.0020142677,0.081724,103,9.302317671216093,224.7,0.7373516
2600000,0.006579832,54629,0.017782796,26000,95.66149568557739,0.04195949,0.9783339966088533,-0.001971569,0.082591996,104,9.28590210063913,222.62,0.7326581
2625000,0.005594742,55522,0.029224481,26250,96.50304961204529,0.040425014,0.9630375243723392,-0.002472017,0.065139994,105,8.545627114301897,211.99,0.7294954
2650000,0.005160628,54671,0.01766882,26500,97.36132526397705,0.04148794,0.979888828471303,-0.002197999,0.060767997,106,8.693029641192553,210.91,0.7205205
2675000,0.0064185536,55280,0.025706122,26750,98.22424983978271,0.040934738,0.9707363117486238,-0.0027947498,0.082012005,107,8.72622894637333,211.61,0.7095549
2700000,0.007798868,55813,0.020363104,27000,99.06366753578186,0.042151406,0.9791401140391827,-0.0016293684,0.098896004,108,8.545960204446382,205.64,0.7030896
2725000,0.00637858,53999,0.019888582,27250,99.88927578926086,0.041336026,0.9775784872472286,-0.0023144842,0.078576006,109,8.744050427318726,212.46,0.69886106
2750000,0.005416994,53021,0.01475638,27500,100.74446249008179,0.040355925,0.982653209939599,-0.0022502139,0.062936,110,8.52545322541302,213.02,0.6949169
2775000,0.007010187,52880,0.019911278,27750,101.60385870933533,0.040926374,0.9786487352102995,-0.0030637174,0.090748,111,8.43423523331694,202.02,0.69324166
2800000,0.0063282037,51662,0.027708566,28000,102.4709119796753,0.041941896,0.9688555244356394,-0.00202686,0.080184,112,8.645236838025484,206.67,0.6928478
2825000,0.0075847753,54110,0.030950654,28250,103.34808659553528,0.041279383,0.9671654142439365,-0.0024004146,0.10001199,113,8.47065038600871,203.48,0.69395936
2850000,0.006012886,55145,0.013239583,28500,104.18593502044678,0.041283153,0.9842302612960339,-0.002237135,0.074652,114,8.813231421497822,214.17,0.69259274
2875000,0.006107425,55884,0.023521489,28750,105.04139184951782,0.041407697,0.9737780205905437,-0.0028433276,0.076456,115,8.16000343967018,199.0,0.6922127
2900000,0.008044481,54397,0.025040332,29000,105.90342497825623,0.040567104,0.9723730888217688,-0.0023255837,0.10738001,116,8.238030918214355,204.64,0.6947257
2925000,0.006540189,55596,0.017483883,29250,106.74107813835144,0.04107212,0.9798138029873371,-0.0013906393,0.08236401,117,9.166699408786025,223.89,0.6951517
2950000,0.0087872995,49892,0.009700196,29500,107.57995510101318,0.04199373,0.9891718002036214,0.0009875607,0.11736798,118,8.160860418685878,198.1,0.69273627
2975000,0.008687154,55062,0.02807566,29750,108.48504066467285,0.040310226,0.9686608538031578,-0.0022455945,0.120712,119,8.357610616167294,207.33,0.68910205
3000000,0.007766974,54985,0.026744738,30000,109.31486368179321,0.04021122,0.9721728079020977,-0.0024664898,0.099511996,120,7.962446965600066,199.56,0.6869149
3025000,0.008855263,55905,0.024534553,30250,110.15828657150269,0.041081876,0.9733715876936913,-0.0013319532,0.11348001,121,8.167699346104637,200.16,0.6878406
3050000,0.005936428,54913,0.036247298,30500,110.98432183265686,0.041838128,0.9571066796779633,-0.0015912466,0.073832005,122,7.690115828829566,187.45,0.68905306
3075000,0.010464126,54961,0.03602045,30750,111.8240418434143,0.04205536,0.9630231112241745,-0.00031938916,0.13709599,123,8.562355089596954,202.38,0.6883971
3100000,0.0056623477,55350,0.019230213,31000,112.67140007019043,0.041781478,0.9784231763333082,-0.00260473,0.069428,124,8.378199144953733,201.99,0.68830025
