fps,clipfrac,ep_reward_mean,n_updates,serial_timesteps,explained_variance,true_reward,policy_loss,value_loss,policy_entropy,time_elapsed,total_timesteps,ep_len_mean,approxkl
53450,0.0257,3.1886843984594453,79,19750,0.9647398889064789,0.020040799,-0.0011895441,0.20594123,5.3872805,76.72378325462341,1975000,72.88,0.003174282
48056,0.041923996,4.051331316599531,80,20000,0.9561407938599586,0.021772118,-0.0018619889,0.25247923,5.3788767,77.61366844177246,2000000,92.62,0.0038976346
45475,0.058796007,3.7942227172830463,81,20250,0.9307801648974419,0.019713301,-0.0022963914,0.43417993,5.3715177,78.5977737903595,2025000,90.96,0.004945666
37375,0.015211999,3.7548346343195225,82,20500,0.9792779255658388,0.021627927,-0.001260904,0.12858196,5.367749,79.63268232345581,2050000,89.16,0.002224105
47036,0.022264,4.285287727359901,83,20750,0.9737318679690361,0.023644838,-0.001129365,0.14744923,5.365053,80.79034471511841,2075000,97.58,0.0027198694
53927,0.039584003,4.8596402838407995,84,21000,0.9262291789054871,0.024672518,-0.0020705466,0.39288548,5.365943,81.80361342430115,2100000,118.05,0.0036047772
54403,0.024200002,4.530148840852335,85,21250,0.959341935813427,0.024188245,-0.0017319911,0.21052876,5.363719,82.68855023384094,2125000,110.01,0.0024804752
54471,0.02402,4.239396958213388,86,21500,0.9634279385209084,0.020946678,-0.0017535106,0.20729145,5.360525,83.57275414466858,2150000,106.71,0.0026208484
53851,0.02908,4.902629571705757,87,21750,0.9641007594764233,0.025510257,-0.00188665,0.188279,5.3566637,84.4541745185852,2175000,126.1,0.0030958962
52581,0.0193,3.9197727489639873,88,22000,0.955436646938324,0.022311823,-0.0010049413,0.24922326,5.3537984,85.34609127044678,2200000,100.5,0.0025816138
46484,0.030423999,5.19763193967372,89,22250,0.9621724896132946,0.025706992,-0.0014569937,0.2070489,5.351104,86.31411910057068,2225000,134.45,0.0029569648
46830,0.051799994,4.538684576475061,90,22500,0.9691858887672424,0.020481728,-0.002289125,0.19287106,5.350296,87.33403825759888,2250000,115.63,0.004500746
48015,0.017083999,4.654035260985356,91,22750,0.9662814550101757,0.025134768,-0.0010252263,0.2041928,5.348482,88.33855438232422,2275000,119.16,0.002394914
48216,0.023972,5.272652117070638,92,23000,0.9629802331328392,0.026560066,-0.001304185,0.20268996,5.3459377,89.32523703575134,2300000,133.62,0.0028456864
48974,0.025556002,4.999199988211421,93,23250,0.9775988683104515,0.028373303,-0.00156595,0.1187221,5.3426385,90.30861687660217,2325000,123.64,0.0028778468
53950,0.033404,4.4870754812900255,94,23500,0.9686316512525082,0.02463523,-0.0015538648,0.16794185,5.339132,91.26208972930908,2350000,118.58,0.0031701073
54355,0.017824,3.7209874574114656,95,23750,0.9620925299823284,0.024363186,-0.0013653499,0.20643552,5.3381405,92.13829565048218,2375000,85.95,0.0021918968
55749,0.053220004,4.9681347873894675,96,24000,0.9471763707697392,0.028102137,-0.0018903324,0.242502,5.338294,93.01122856140137,2400000,109.98,0.0045566577
55355,0.012996,5.463600315970261,97,24250,0.9645314589142799,0.029701147,-0.0012548171,0.16041812,5.3366957,93.86862301826477,2425000,121.03,0.0016964364
55654,0.027959999,6.308195266598414,98,24500,0.9316324889659882,0.030914584,-0.0012220583,0.28372782,5.33606,94.74583339691162,2450000,132.92,0.0029489053
53819,0.017196,5.765485796703579,99,24750,0.9281294271349907,0.028333597,-0.0012670753,0.29443467,5.3316483,95.59831881523132,2475000,124.53,0.0023397745
53773,0.021296,5.201582201597776,100,25000,0.9310310631990433,0.02638618,-0.0009077998,0.2841016,5.3250737,96.50703525543213,2500000,122.28,0.0026631295
54574,0.039744,6.627048505621961,101,25250,0.9476376287639141,0.0322982,-0.0014448303,0.19995072,5.320024,97.38847970962524,2525000,145.56,0.0037072687
53638,0.033184,4.815759478287582,102,25500,0.8766471743583679,0.021265205,-0.0010991086,0.5346711,5.3168783,98.27030515670776,2550000,121.8,0.0030602582
54368,0.031912,7.262329400558956,103,25750,0.9307717978954315,0.03440964,-0.001304844,0.26241225,5.315466,99.15207505226135,2575000,152.77,0.0031802892
51926,0.032756,6.8216698362972235,104,26000,0.8764132261276245,0.028889239,-0.0013974169,0.4337656,5.3171663,100.01943063735962,2600000,145.57,0.0031938725
51400,0.030416,7.236221533079461,105,26250,0.9007078558206558,0.03146439,-0.0009561105,0.33626008,5.3161106,100.91736149787903,2625000,165.1,0.0031313275
55623,0.027304003,7.809508065615637,106,26500,0.9187043756246567,0.03449462,-0.0010980765,0.26678467,5.3123794,101.8232774734497,2650000,174.36,0.00297674
50020,0.035900004,6.9543953977159525,107,26750,0.9322378262877464,0.032116983,-0.0014108764,0.24081168,5.3102374,102.72253489494324,2675000,148.53,0.0032261654
