fps,approxkl,policy_entropy,time_elapsed,policy_loss,value_loss,ep_len_mean,true_reward,explained_variance,serial_timesteps,clipfrac,total_timesteps,n_updates,ep_reward_mean
75397,0.0036568544,5.063179,83.32372117042542,-0.0023187562,0.24841587,236.39,0.085016906,0.4460548162460327,25750,0.038456,2575000,103,20.218744336143427
72970,0.004377748,5.059663,84.07113003730774,-0.0023572878,0.28016412,233.05,0.08403901,0.41270965337753296,26000,0.049771998,2600000,104,19.83843750126045
72172,0.0041758,5.052055,84.81719589233398,-0.0017294446,0.19639596,233.93,0.08727948,0.5787280797958374,26250,0.044655997,2625000,105,20.438689179230206
77771,0.00451619,5.043232,85.58038210868835,-0.0012044956,0.14299512,234.44,0.08999177,0.7266419231891632,26500,0.053408004,2650000,106,21.124015999654002
74271,0.0042089745,5.037654,86.28996586799622,-0.0025126939,0.5239914,198.74,0.08834855,0.4110468029975891,26750,0.045648,2675000,107,17.773955316549547
75394,0.0049059205,5.0331464,87.03453326225281,-0.002305303,0.5289058,202.47,0.08992896,0.3687121868133545,27000,0.057351995,2700000,108,18.482615025945123
73867,0.0039782794,5.0287676,87.7875247001648,-0.0031498852,0.3942552,204.95,0.089629635,0.5268004536628723,27250,0.042924,2725000,109,18.498668842826955
73470,0.004503866,5.0227823,88.54606032371521,-0.0021442538,0.20324202,239.6,0.08923634,0.5192250609397888,27500,0.053600002,2750000,110,21.489477937913325
74491,0.005556366,5.0147176,89.34199643135071,-0.0031880029,0.1399038,239.13,0.08901255,0.6588849425315857,27750,0.069576,2775000,111,21.349289540204026
74144,0.005039043,5.0054646,90.07456231117249,-0.0020903891,0.34122157,226.96,0.08992657,0.4389640688896179,28000,0.058836002,2800000,112,20.572114999068507
74056,0.00572385,4.9997964,90.81059622764587,-0.002485945,0.4895113,210.68,0.091684505,0.274730384349823,28250,0.070696004,2825000,113,19.51238446170555
73780,0.0056346795,4.9966288,91.56637787818909,-0.0032668586,0.29444414,219.95,0.090906575,0.5976894795894623,28500,0.07052,2850000,114,20.20006485043421
72418,0.004207302,4.989833,92.3215982913971,-0.0021401644,0.3078795,227.4,0.09243843,0.5455232858657837,28750,0.044544,2875000,115,21.134250370876472
74366,0.0049670897,4.9839535,93.09607815742493,-0.0023037004,0.31973642,221.07,0.096122175,0.4503933787345886,29000,0.058936,2900000,116,21.39262455522723
72860,0.00620508,4.976209,93.82384204864502,-0.0035798147,0.28980356,233.83,0.09381016,0.5057220160961151,29250,0.081596,2925000,117,22.06145166293558
74964,0.004268277,4.9703755,94.56220436096191,-0.0022109675,0.2567802,231.11,0.09570048,0.5430372059345245,29500,0.047188,2950000,118,22.177182098256754
76375,0.004799487,4.964749,95.28273820877075,-0.0025599278,0.35038096,217.59,0.09641536,0.49398505687713623,29750,0.057295997,2975000,119,21.097512057144048
76194,0.004948764,4.959536,95.99765801429749,-0.002715793,0.24452288,219.19,0.09835395,0.6549748778343201,30000,0.060939997,3000000,120,21.59955274297434
74376,0.0053987084,4.953761,96.72890257835388,-0.0032574132,0.24562779,227.71,0.097364016,0.6765807867050171,30250,0.064972,3025000,121,22.24230550093836
74451,0.006251458,4.946543,97.50601649284363,-0.0023465871,0.39628917,222.3,0.097105905,0.4585081934928894,30500,0.079176,3050000,122,21.647526136879993
71123,0.006211543,4.9398813,98.26332116127014,-0.002764165,0.5685253,208.05,0.09593209,0.3092154264450073,30750,0.07721601,3075000,123,19.99584730189468
71557,0.0063892975,4.9351134,99.02378296852112,-0.0031528897,0.42469344,222.97,0.09560475,0.44938409328460693,31000,0.082864,3100000,124,21.484391865555846
73092,0.0052873376,4.931029,99.78686094284058,-0.0027072127,0.295873,230.6,0.09606157,0.5575628280639648,31250,0.06376,3125000,125,22.34258422001585
73305,0.004334042,4.928499,100.5190851688385,-0.0027016078,0.4454097,220.37,0.09599935,0.35098695755004883,31500,0.047564,3150000,126,21.3091647303832
74784,0.0058302116,4.9268527,101.2444236278534,-0.0031082758,0.4505543,220.09,0.09629733,0.4539943337440491,31750,0.075368,3175000,127,21.411455155840887
74907,0.0063427025,4.9228725,101.97103977203369,-0.0035568152,0.29705212,228.78,0.0952492,0.5421018600463867,32000,0.08227201,3200000,128,21.98375024381632
72664,0.0065477057,4.920249,102.72106266021729,-0.002589709,0.33195466,226.99,0.09579248,0.4483490586280823,32250,0.08285999,3225000,129,21.86804185057088
75025,0.007652489,4.922757,103.45920324325562,-0.003077039,0.12891969,240.66,0.0950724,0.66403529047966,32500,0.10402401,3250000,130,22.904473686074503
73110,0.0060392627,4.922328,104.2188446521759,-0.0025828679,0.30179292,229.67,0.09523423,0.5684981942176819,32750,0.07766,3275000,131,22.063700249683535
65089,0.006792979,4.920388,104.9826180934906,-0.0025864567,0.602056,194.97,0.095901966,0.34596747159957886,33000,0.088996,3300000,132,18.83059196328224
76545,0.0057262173,4.918174,105.78089594841003,-0.0027816428,0.469026,209.48,0.096504115,0.4886958599090576,33250,0.071264,3325000,133,20.401227065780912
75188,0.006781651,4.914712,106.48781561851501,-0.0026173391,0.32095855,231.11,0.099466935,0.44156432151794434,33500,0.088364005,3350000,134,23.1650545195214
69965,0.005491784,4.9131737,107.21040725708008,-0.003082963,0.31887153,215.92,0.100352734,0.6386204361915588,33750,0.068204,3375000,135,21.76225815741527
72930,0.004618044,4.9113455,107.96457552909851,-0.0025845524,0.44681025,216.26,0.09917723,0.47758275270462036,34000,0.054832,3400000,136,21.648040754612957
72102,0.0068815732,4.908156,108.70070433616638,-0.0030804311,0.47551027,210.43,0.09760949,0.4356917142868042,34250,0.087276004,3425000,137,20.777883556424314
70041,0.0057574413,4.9028654,109.47846245765686,-0.002708484,0.095212445,244.83,0.100093886,0.7407366931438446,34500,0.074352,3450000,138,24.511541500356252
