serial_timesteps,total_timesteps,n_updates,clipfrac,explained_variance,value_loss,policy_entropy,ep_reward_mean,fps,time_elapsed,true_reward,ep_len_mean,approxkl,policy_loss
11500,1150000,46,0.021048,0.9238248765468597,0.7404037,5.568753,0.12230326274889525,43042,47.4704430103302,-0.07965015,102.12,0.0024545484,-0.0020960781
11750,1175000,47,0.01814,0.9435038641095161,0.574305,5.5714936,-0.26728153065807875,51156,48.44037485122681,-0.08251254,91.91,0.002128039,-0.0017480202
12000,1200000,48,0.029528001,0.931437224149704,0.72547865,5.569311,-0.28012290150110514,54731,49.32192277908325,-0.078911,101.18,0.002957766,-0.0027361007
12250,1225000,49,0.032684,0.9451860971748829,0.5315896,5.5621357,0.01610486516920588,55075,50.15929889678955,-0.07390912,100.25,0.003178915,-0.0023268699
12500,1250000,50,0.031164002,0.9269991368055344,0.7838318,5.5510154,-0.2407458041181701,56267,50.98931121826172,-0.07758186,94.4,0.003302319,-0.0023082306
12750,1275000,51,0.027631998,0.9352517202496529,0.67066526,5.5366616,-0.029389194962002988,46078,51.82048559188843,-0.07672695,92.64,0.003025191,-0.0019920287
13000,1300000,52,0.022884,0.9311861470341682,0.74225295,5.531308,0.2231652244283646,41327,52.756948947906494,-0.07544667,92.02,0.0027570645,-0.0021401441
13250,1325000,53,0.017136,0.9370201155543327,0.64375097,5.527154,0.1170914077514658,53235,53.74622988700867,-0.07068156,102.17,0.0023996886,-0.0019426985
13500,1350000,54,0.01816,0.9366008043289185,0.7165826,5.5213046,-0.19799742605846063,57211,54.59084606170654,-0.0778488,85.84,0.0022806288,-0.0020039894
13750,1375000,55,0.022583999,0.9225890785455704,0.8082433,5.5171556,-0.1040928501715507,55782,55.403188705444336,-0.07496383,91.73,0.002470091,-0.0020810827
14000,1400000,56,0.021456,0.9298908412456512,0.7395243,5.5147896,0.35039418780409504,38809,56.230807065963745,-0.073363125,95.47,0.0024543134,-0.0018905156
14250,1425000,57,0.036068,0.9332969188690186,0.7103161,5.5151267,0.08837942059836962,57562,57.266215324401855,-0.080413006,97.72,0.0035844967,-0.0026190267
14500,1450000,58,0.017484,0.9372955337166786,0.64117545,5.5144277,-0.0061366408510070865,57104,58.07795429229736,-0.07675423,79.97,0.0024363683,-0.0014590403
14750,1475000,59,0.010996001,0.9339906722307205,0.72168714,5.5111313,-0.07638918238859788,51660,58.89246439933777,-0.07085007,96.71,0.0016559906,-0.0011732494
15000,1500000,60,0.020712,0.9384770952165127,0.610668,5.508817,-0.31577376185131556,56793,59.75660252571106,-0.076600805,92.77,0.00231743,-0.0021530879
15250,1525000,61,0.020260002,0.9449672549962997,0.55846053,5.50519,-0.05285420187510198,55431,60.57516932487488,-0.07609411,95.76,0.0023487136,-0.0017752912
15500,1550000,62,0.030468002,0.9406025186181068,0.6313986,5.50391,0.3826169662058419,55838,61.425798177719116,-0.06967135,106.48,0.0032175395,-0.0021651783
15750,1575000,63,0.016552001,0.9529692530632019,0.4716274,5.4981103,-0.1569307628036995,57056,62.259084701538086,-0.07765147,93.13,0.0022408757,-0.0018424768
16000,1600000,64,0.020912,0.9461076110601425,0.51430523,5.4905996,0.11592609046010523,57243,63.076422691345215,-0.08342991,92.24,0.002557456,-0.002188444
16250,1625000,65,0.027539998,0.9376128576695919,0.6141448,5.4878516,-0.10399130437161035,55929,63.884870529174805,-0.07818709,91.16,0.0029625655,-0.002257286
16500,1650000,66,0.030336002,0.946922168135643,0.53527516,5.481579,0.05676449770309602,55386,64.70812726020813,-0.06917715,108.41,0.0030742513,-0.0012800196
16750,1675000,67,0.023064,0.9576296918094158,0.39549932,5.473649,-0.3804104576062878,48103,65.55966901779175,-0.06727962,115.69,0.0027222931,-0.0017934407
17000,1700000,68,0.026244,0.9417873620986938,0.5686186,5.4640245,-0.3712195707668582,49456,66.45540428161621,-0.071564205,97.93,0.0029877299,-0.0017798527
17250,1725000,69,0.018392,0.9471633918583393,0.5169751,5.455289,-0.265381408523302,53126,67.34936380386353,-0.073956504,93.03,0.0022048366,-0.0023216053
17500,1750000,70,0.021316001,0.9378035515546799,0.6064469,5.4428496,-0.1001826821312045,46556,68.20809984207153,-0.07101977,102.25,0.0027183187,-0.001839652
17750,1775000,71,0.015676001,0.962718915194273,0.3759681,5.433585,-0.025355194830351806,55145,69.13424134254456,-0.07676116,87.89,0.0019414689,-0.0020164403
18000,1800000,72,0.016968,0.9478921554982662,0.5243468,5.427331,0.410408261941418,35928,69.98529124259949,-0.07064389,95.42,0.0022911953,-0.0014693086
18250,1825000,73,0.026155999,0.9473130293190479,0.50551164,5.4195557,-0.07431967719475722,43404,71.064444065094,-0.07298194,101.67,0.0027212736,-0.0015156787
18500,1850000,74,0.019307999,0.9490583091974258,0.51385343,5.4153748,0.43056015779420165,51418,72.01836514472961,-0.07271438,95.89,0.0024227952,-0.0014344975
18750,1875000,75,0.017164001,0.9567782208323479,0.44632635,5.4119616,0.2015652114962495,57881,72.87920069694519,-0.07200222,92.77,0.0020899822,-0.0018449819
19000,1900000,76,0.015752,0.9455444477498531,0.56014955,5.403452,0.5371938603290858,55080,73.7020959854126,-0.073189236,93.14,0.0020871316,-0.001537429
19250,1925000,77,0.026832003,0.9548158198595047,0.48252726,5.3946033,-0.3034449036437525,55586,74.54622220993042,-0.07855612,78.59,0.00270329,-0.0018565912
19500,1950000,78,0.020332001,0.9447195045650005,0.55861676,5.3904753,-0.09722382640921409,56258,75.37619853019714,-0.07342014,101.9,0.00253005,-0.0018775377
19750,1975000,79,0.021823999,0.9433251433074474,0.5267638,5.3860703,-0.0365485160817343,56100,76.2128369808197,-0.076261945,85.73,0.0024331238,-0.0015133496
20000,2000000,80,0.018636,0.9577669650316238,0.42032298,5.3818903,0.22087630453037677,55101,77.04881048202515,-0.07506294,89.19,0.0023689105,-0.0023167138
20250,2025000,81,0.025732,0.9519658982753754,0.48836264,5.3774066,-0.027695974992873004,43540,77.87686824798584,-0.070043944,95.14,0.002860258,-0.0018514838
20500,2050000,82,0.035628002,0.9563352204859257,0.43664736,5.3712053,-0.06974000758498193,54933,78.82750034332275,-0.076193884,86.91,0.0034180754,-0.0022478101
20750,2075000,83,0.024308002,0.9529203325510025,0.4727498,5.3607483,0.32208756702638086,48648,79.66013550758362,-0.072718665,89.1,0.0026315008,-0.0022700876
21000,2100000,84,0.015364001,0.9535130821168423,0.47064042,5.3543234,0.09366879846976758,55310,80.54995632171631,-0.072914,97.03,0.0019809164,-0.0021322845
21250,2125000,85,0.023307998,0.9491372518241405,0.5307471,5.3518023,0.0718607753687008,57178,81.38693356513977,-0.07227637,89.09,0.0026517487,-0.0013778426
21500,2150000,86,0.031132001,0.9494728855788708,0.49371648,5.3483505,-0.30450223000540916,54994,82.19720125198364,-0.07290009,92.31,0.0034019283,-0.0020717075
21750,2175000,87,0.03934,0.947212103754282,0.55502427,5.3389907,-0.06702895929894993,39312,83.04208087921143,-0.07068329,86.44,0.003950837,-0.0024006378
22000,2200000,88,0.032296002,0.9492826275527477,0.48411813,5.3332186,-0.30818005640273216,55159,84.06445097923279,-0.06720251,100.3,0.0033631145,-0.0019564414
22250,2225000,89,0.028691998,0.9489706493914127,0.4884378,5.3310657,-0.12095549418208976,41369,84.90809512138367,-0.063873656,107.33,0.0028009352,-0.001923834
22500,2250000,90,0.014575998,0.9514004364609718,0.52155095,5.334124,0.0020376548441034714,40776,85.89377570152283,-0.072256975,95.08,0.0021201796,-0.001216078
22750,2275000,91,0.036631998,0.9537929333746433,0.492,5.332282,0.2513724214235117,54777,86.88312888145447,-0.071882136,93.38,0.003672164,-0.002394238
23000,2300000,92,0.017528001,0.9429319873452187,0.59050626,5.329951,0.1323407200749236,55182,87.70774435997009,-0.06700218,96.2,0.0023177806,-0.0013179339
23250,2325000,93,0.022432001,0.9598540402948856,0.40329036,5.3276625,-0.17818850574798717,54975,88.54369449615479,-0.070304304,98.41,0.002612412,-0.001963462
23500,2350000,94,0.021504002,0.957284789532423,0.45683113,5.3254604,-0.10345047452519793,55551,89.39022850990295,-0.077059954,87.81,0.0025552325,-0.0021138242
23750,2375000,95,0.016828,0.946792509406805,0.5332176,5.3218756,-0.1263441540470666,55288,90.22488069534302,-0.06651458,101.5,0.002386141,-0.001266748
24000,2400000,96,0.02728,0.9536468610167503,0.47123727,5.3175063,0.09024510379990033,56003,91.06603527069092,-0.0727733,96.06,0.002953846,-0.0020556562
24250,2425000,97,0.018256,0.9500189945101738,0.51566917,5.3140388,-0.23346930689133616,54537,91.90763092041016,-0.07164142,87.91,0.002307376,-0.0016706346
24500,2450000,98,0.016912,0.9487562105059624,0.5338405,5.3151045,0.10928571844396628,53919,92.75390839576721,-0.06910736,89.6,0.002097379,-0.0017846801
24750,2475000,99,0.018272,0.95033173635602,0.48997808,5.3108287,-0.06285493920247973,55910,93.61708331108093,-0.06878425,100.3,0.0022672417,-0.001689042
25000,2500000,100,0.028172001,0.951334286481142,0.48192698,5.303111,0.022961002086461946,56482,94.45304918289185,-0.06168971,109.57,0.002941738,-0.0015705861
25250,2525000,101,0.026484001,0.9567735642194748,0.45090398,5.297019,-0.23742228349194192,54098,95.26657485961914,-0.07227908,91.42,0.0028798874,-0.0021395728
25500,2550000,102,0.027256,0.9525941871106625,0.48410907,5.2926264,0.11834649475681318,54580,96.1156415939331,-0.07230355,93.33,0.0028566993,-0.0022324417
25750,2575000,103,0.040444,0.9435598626732826,0.6065301,5.288656,0.07104918517682109,54692,96.95914363861084,-0.07127791,89.39,0.003824737,-0.002264045
26000,2600000,104,0.029612,0.9530290439724922,0.5045834,5.281638,0.51902880474393,55545,97.80702352523804,-0.067431055,93.75,0.0032471262,-0.001677646
26250,2625000,105,0.028812,0.9575349949300289,0.44516373,5.2775126,-0.5690120036617418,55386,98.64612483978271,-0.06646177,101.0,0.0030136034,-0.0023032906
26500,2650000,106,0.034404,0.9625672735273838,0.40189824,5.273894,-0.2075417906774679,54178,99.48946928977966,-0.07412824,91.31,0.003526938,-0.002610693
26750,2675000,107,0.024688,0.9616203457117081,0.39260787,5.2698107,-0.4020337427793777,54459,100.3479974269867,-0.07205938,95.09,0.002851884,-0.0019520487
27000,2700000,108,0.025071999,0.9521277546882629,0.49830204,5.2643533,0.3403585971427651,54446,101.20674276351929,-0.06406648,100.68,0.0028654994,-0.0015137817
27250,2725000,109,0.028092,0.9555097445845604,0.47789407,5.2602577,-0.163982641321698,54930,102.06592345237732,-0.07084044,92.59,0.0027884715,-0.002087497
27500,2750000,110,0.031308003,0.9620355926454067,0.42389193,5.2524586,0.02090423380454922,48064,102.90870761871338,-0.07637443,80.43,0.0031449534,-0.0023855672
27750,2775000,111,0.030224,0.9678679257631302,0.3519209,5.24535,0.31497217316456955,54434,103.81496000289917,-0.07509341,87.04,0.0032236776,-0.0020586865
28000,2800000,112,0.022788,0.9571435935795307,0.44740182,5.2415195,0.007882885190583692,55622,104.65748071670532,-0.07416486,88.73,0.0026984569,-0.0021601042
28250,2825000,113,0.022424001,0.9605540260672569,0.37635502,5.234745,-0.3490246357030537,44791,105.49693822860718,-0.066587046,105.09,0.002490983,-0.001530151
28500,2850000,114,0.033288002,0.9383303634822369,0.6587646,5.230536,0.011916011988952278,51420,106.44940304756165,-0.066991776,91.68,0.003223478,-0.0023017055
28750,2875000,115,0.023860002,0.9639097303152084,0.3779366,5.22923,0.03543905232180805,41359,107.31518578529358,-0.07338079,94.3,0.002651907,-0.0019717605
29000,2900000,116,0.020752,0.9629112370312214,0.3826516,5.2250857,-0.07039733361236813,55579,108.29864478111267,-0.06747491,96.47,0.0024801581,-0.0015894776
29250,2925000,117,0.029036,0.959632370620966,0.4253102,5.217698,-0.1663600649500836,56258,109.14146447181702,-0.06698285,99.59,0.0032578793,-0.0021007967
29500,2950000,118,0.018768,0.9430123344063759,0.59247446,5.211065,0.02950468511905413,49077,109.97052669525146,-0.064907126,94.82,0.0022376054,-0.0018705272
29750,2975000,119,0.024756,0.9447532743215561,0.6184007,5.2053185,0.6917393854715556,54534,110.8639485836029,-0.0716274,87.23,0.0028603259,-0.002142416
30000,3000000,120,0.030447999,0.9463199526071548,0.5631729,5.201025,0.3098586872811893,37452,111.71009731292725,-0.06552701,100.78,0.0030657868,-0.002000588
30250,3025000,121,0.032696,0.9548754617571831,0.4647053,5.198449,0.13391419333705243,56511,112.74517035484314,-0.0669544,99.65,0.0033696727,-0.0017931927
30500,3050000,122,0.022364002,0.966868419200182,0.3572839,5.1918626,0.07220541634681467,50456,113.56270718574524,-0.0707975,96.19,0.0026783862,-0.0020236408
30750,3075000,123,0.019867998,0.9650385119020939,0.37203607,5.1875944,-0.5511499437003476,29977,114.44693922996521,-0.07165308,92.13,0.0022795135,-0.002050255
31000,3100000,124,0.037252,0.959029134362936,0.4299634,5.183595,0.35630402316328286,38801,115.64089250564575,-0.06876727,88.05,0.0036888216,-0.0028157402
31250,3125000,125,0.044104002,0.9569622427225113,0.47018242,5.1787705,0.0679474821337351,56592,116.65660381317139,-0.06907905,84.85,0.004133922,-0.0024834308
31500,3150000,126,0.027704,0.9472760856151581,0.5702345,5.172443,0.6164890093583563,56372,117.47555875778198,-0.06977323,85.93,0.0031190626,-0.0016562811
31750,3175000,127,0.025116,0.9480278491973877,0.5642979,5.164563,-0.39733868548009127,57307,118.28621053695679,-0.07088915,95.16,0.002757694,-0.0017735732
32000,3200000,128,0.039352003,0.9450214020907879,0.6015007,5.1579256,0.17275011931769996,53206,119.08557224273682,-0.0653098,94.22,0.0038089468,-0.002089966
32250,3225000,129,0.015456,0.9651045799255371,0.38715035,5.149423,-0.05189174311908971,56132,119.93666863441467,-0.07419194,84.6,0.0021992107,-0.0019213114
32500,3250000,130,0.03656,0.9553832076489925,0.48871183,5.1408677,0.1650131493103322,48446,120.74915218353271,-0.06933578,93.47,0.0035506971,-0.0019661584
32750,3275000,131,0.036496002,0.9505225978791714,0.52420026,5.1363688,0.8555185932453856,54394,121.64188432693481,-0.063497655,99.76,0.0035471562,-0.0022301865
33000,3300000,132,0.026584,0.9617739468812943,0.40871367,5.1324368,0.26948826324741504,55611,122.47108578681946,-0.07170717,90.11,0.002854326,-0.002017587
33250,3325000,133,0.010712,0.9616730362176895,0.41217917,5.127277,-0.34340987489602526,48871,123.28833651542664,-0.06848168,91.3,0.0017945431,-0.0018115729
33500,3350000,134,0.029672,0.9529769010841846,0.50651276,5.1224656,0.234478433188865,55432,124.1569755077362,-0.06324834,99.23,0.0032027953,-0.0019699489
33750,3375000,135,0.02172,0.9623858295381069,0.41103148,5.1173863,0.013904961332971198,41702,124.98055577278137,-0.0655548,93.57,0.0026121356,-0.0017034169
34000,3400000,136,0.026540002,0.9571025483310223,0.4745242,5.111079,0.26121361874150184,52390,125.95544242858887,-0.071160756,81.02,0.0029519498,-0.0020320276
34250,3425000,137,0.03744,0.9499180167913437,0.5580392,5.101568,0.47646946715573224,55117,126.81801986694336,-0.06375158,88.43,0.0035392041,-0.0015466721
34500,3450000,138,0.030067999,0.9566702470183372,0.47677222,5.096772,0.14176973747558008,46969,127.63219332695007,-0.063627444,100.34,0.003204535,-0.0020110866
34750,3475000,139,0.019476,0.9526270963251591,0.51652396,5.0921607,0.3193434948764593,54884,128.52767777442932,-0.06951535,87.67,0.0024215174,-0.0020277447
35000,3500000,140,0.04348,0.9620556719601154,0.41883725,5.083387,0.136002621440025,48333,129.35720777511597,-0.0636226,112.95,0.0040784553,-0.0021822723
35250,3525000,141,0.038912,0.9560368619859219,0.4640078,5.0773664,0.17452705602926016,50837,130.2522587776184,-0.069291115,86.97,0.0038548962,-0.0025040887
35500,3550000,142,0.02516,0.9563438892364502,0.48341495,5.072651,0.43548404038317357,43704,131.1501579284668,-0.059262916,96.86,0.0028857742,-0.0015698599
35750,3575000,143,0.02944,0.9590896181762218,0.4503653,5.071101,0.36421950834420613,54561,132.095299243927,-0.061364528,101.13,0.0033037744,-0.0020410568
36000,3600000,144,0.023828002,0.9536785706877708,0.48284167,5.069503,0.10710878026010505,54233,132.94441533088684,-0.06439924,90.63,0.002839814,-0.0017157206
36250,3625000,145,0.044988,0.9511293396353722,0.5057223,5.061748,0.3373645583256451,50647,133.7863655090332,-0.06355928,98.35,0.0041604796,-0.0015788488
