policy_loss,fps,n_updates,approxkl,time_elapsed,clipfrac,total_timesteps,ep_len_mean,policy_entropy,serial_timesteps,ep_reward_mean,true_reward,explained_variance,value_loss
-0.0025923555,53047,89,0.005500004,81.80108594894409,0.063907996,2225000,227.86,0.66680956,22250,9.709664522007529,0.04257687,0.9621948786079884,0.030915853
-0.00166026,56762,90,0.008141203,82.67244505882263,0.107351996,2250000,231.91,0.6648375,22500,10.235295882446644,0.043943964,0.9636603370308876,0.024888868
-0.0025011846,56899,91,0.0045972625,83.50560784339905,0.049024,2275000,235.18,0.6670803,22750,10.15476540493115,0.043019596,0.9827003926038742,0.014570611
-0.00074704376,56642,92,0.0077013434,84.3664402961731,0.10002799,2300000,231.64,0.67153776,23000,9.947841497208938,0.043117628,0.965523574501276,0.02765352
-0.002601322,49891,93,0.005552341,85.2422878742218,0.065708,2325000,228.3,0.6725709,23250,10.081691501876703,0.044064213,0.9719272796064615,0.023508143
-0.0026332852,56799,94,0.005804481,86.16553115844727,0.071568,2350000,232.88,0.6681992,23500,9.989733167667573,0.0429794,0.9831172954291105,0.013277305
-0.0019244456,55876,95,0.005313469,87.00676155090332,0.062239997,2375000,237.12,0.66341746,23750,10.248239345614785,0.043063633,0.9870113544166088,0.011582602
-0.003072307,55981,96,0.006032616,87.84204578399658,0.072451994,2400000,232.78,0.6616014,24000,9.970893839033378,0.042889584,0.9777700249105692,0.021711156
-0.0021717665,55931,97,0.0071559832,88.69572854042053,0.091280006,2425000,226.17,0.659305,24250,9.63690650834622,0.042696193,0.9747119303792715,0.025248284
-0.0034059144,55987,98,0.006596806,89.5442566871643,0.08354,2450000,231.12,0.6590924,24500,10.194625058200764,0.044067677,0.9865043302997947,0.012045333
-0.0029987365,53984,99,0.00636688,90.38150143623352,0.077388,2475000,225.61,0.657733,24750,9.62643012415112,0.04279312,0.9720824211835861,0.02472595
-0.0022469764,56482,100,0.00886322,91.24638056755066,0.119084,2500000,221.79,0.66118157,25000,9.409196974165425,0.042336542,0.9723027274012566,0.026199307
