explained_variance,value_loss,total_timesteps,serial_timesteps,time_elapsed,fps,ep_reward_mean,n_updates,policy_entropy,approxkl,ep_len_mean,true_reward,clipfrac,policy_loss
-15.141502380371094,19.962856,500000,5000,20.26163673400879,55487,3.8322029054164886,20,5.6939416,3373582.8,19.66,0.18901972,0.79429203,0.21827796
-1.7467589378356934,7.9957976,525000,5250,21.129095315933228,55901,3.84190098002553,21,5.694562,138177.45,19.71,0.18901272,0.72836804,0.27200356
-2.940575361251831,4.6931167,550000,5500,21.99853277206421,56211,3.8806474171578884,22,5.695976,2514.7134,19.91,0.18901059,0.75193995,0.15099421
-5.889542102813721,7.296641,575000,5750,22.839576482772827,55582,3.841905812174082,23,5.6985445,2368957.8,19.71,0.1890183,0.83191603,0.19872186
-2.4849486351013184,6.5877166,600000,6000,23.71433997154236,54370,3.8516211181879045,24,5.7003083,4176.5146,19.76,0.18902303,0.77968806,0.12979427
-3.5656991004943848,7.6927958,625000,6250,24.56740975379944,55735,3.888448675572872,25,5.701879,123154.664,19.95,0.18902408,0.8207919,0.16361211
-4.620999813079834,7.5276146,650000,6500,25.413788318634033,54884,3.7158414360880854,26,5.703782,1964.9078,19.06,0.18901797,0.77426803,0.15024391
-6.818775653839111,12.630293,675000,6750,26.27960515022278,55683,3.7817556862533093,27,5.707137,558027.56,19.4,0.18901765,0.808848,0.17997524
-7.94486141204834,28.603657,700000,7000,27.136343240737915,54050,3.8302934893965723,28,5.7104015,1121374.0,19.65,0.18902165,0.799388,0.10395287
-13.308314323425293,89.14043,725000,7250,28.00571608543396,54244,3.8535591045022013,29,5.7120185,418930.5,19.77,0.1890255,0.706324,0.068290934
-15.978630065917969,154.86725,750000,7500,28.867882013320923,55062,3.79736665353179,30,5.7126985,270324800.0,19.48,0.1890297,0.75565994,0.08459356
-31.753902435302734,110.22002,775000,7750,29.739612579345703,55823,3.541296158581972,31,5.7129183,6920450.5,18.16,0.18901159,0.74622405,0.08610675
-8.718636512756348,53.91627,800000,8000,30.592259645462036,55868,3.671290445178747,32,5.713025,77174664.0,18.83,0.1890213,0.76971596,0.09567321
-3.5905661582946777,6.1521645,825000,8250,31.465345859527588,55805,3.851633458137512,33,5.7129483,103519410.0,19.76,0.18902627,0.8625561,0.1846969
-4.2511982917785645,6.863372,850000,8500,32.312684059143066,54201,3.5043692529201507,34,5.713418,176367.88,17.97,0.18901764,0.782352,0.15531123
-6.068743705749512,7.1600084,875000,8750,33.18300724029541,56023,3.3159676156938076,35,5.7141647,1449620.0,17.0,0.18900175,0.74688804,0.16111757
-4.3379621505737305,6.5049543,900000,9000,34.06129693984985,44076,3.473312318623066,36,5.7149124,40225.26,17.81,0.18900771,0.77136004,0.11211924
-5.917360782623291,7.507922,925000,9250,35.044756174087524,55665,3.4092442363500597,37,5.7158833,366210.4,17.48,0.18900193,0.80553997,0.1536913
-28.136703491210938,34.484154,950000,9500,35.926833391189575,55165,3.0498053584992886,38,5.7167597,3875879.2,15.63,0.18896517,0.816532,0.17007141
-10.574541091918945,98.379166,975000,9750,36.8219051361084,55198,2.9370894069969653,39,5.7171474,77170830.0,15.05,0.18896842,0.777588,0.20535657
-35.711700439453125,221.27914,1000000,10000,37.69783616065979,57369,2.9254263620078564,40,5.7172823,1078586.8,14.99,0.18897402,0.693772,0.13976482
-18.60580825805664,472.0814,1025000,10250,38.55081224441528,55128,2.9098659491539003,41,5.717297,50207.164,14.91,0.18897115,0.570004,0.06480458
-13.993239402770996,173.51566,1050000,10500,39.40268349647522,55927,2.9176452605426313,42,5.717323,766998.6,14.95,0.18897264,0.590748,0.19839285
-26.745710372924805,178.9241,1075000,10750,40.266812801361084,54648,2.913752565532923,43,5.7173376,13224824.0,14.93,0.18897271,0.615384,0.076288186
-37.90366744995117,141.19135,1100000,11000,41.17098379135132,54966,2.9118269327282906,44,5.717397,13658250.0,14.92,0.18897314,0.71388805,0.14719293
-42.287757873535156,207.66599,1125000,11250,42.01225805282593,54166,2.9001686124503614,45,5.717454,2663905.0,14.86,0.18897748,0.59284806,0.1277323
-26.09811019897461,204.67563,1150000,11500,42.897164821624756,56225,2.904042415171862,46,5.717456,59364148.0,14.88,0.18897305,0.687532,0.10646534
