ep_len_mean,policy_loss,total_timesteps,approxkl,clipfrac,fps,serial_timesteps,explained_variance,ep_reward_mean,value_loss,policy_entropy,time_elapsed,true_reward,n_updates
3.07,-0.020852638,19250,0.036424298,0.3032,2335,19250,0.8239569365978241,-1.508569407761097,0.0043185265,5.6167893,13.694310903549194,-0.5009569,77
2.93,-0.011777526,19500,0.064824305,0.3856,1665,19500,0.8227401375770569,-1.529028286933899,0.0053357775,5.617426,13.828279972076416,-0.524927,78
3.01,-0.01926007,19750,0.043767843,0.3592,2334,19750,0.7546284794807434,-1.5179966977238655,0.0063995137,5.617614,14.00553584098816,-0.5091492,79
2.88,-0.023357686,20000,0.031474132,0.33639997,2311,20000,0.7048506438732147,-1.5371281890571118,0.009971914,5.617186,14.140326023101807,-0.54114026,80
2.87,-0.018034123,20250,0.041497864,0.35119998,2256,20250,0.8802860528230667,-1.5385994471609592,0.003215729,5.6179347,14.275645732879639,-0.5412271,81
2.84,-0.013327423,20500,0.03569547,0.328,2335,20500,0.7926458865404129,-1.5428018076717853,0.005374642,5.6181383,14.413869380950928,-0.5411049,82
2.92,-0.003187806,20750,0.08078583,0.3936,2190,20750,0.9094615057110786,-1.5315865463018417,0.0022755493,5.615743,14.548025131225586,-0.517369,83
2.94,-0.01892581,21000,0.050706375,0.4144,2287,21000,0.9327004924416542,-1.5287755088508128,0.001870893,5.6145363,14.69027304649353,-0.51733774,84
2.99,-0.010652661,21250,0.07109056,0.4408,2298,21250,0.9287534579634666,-1.5214686326682567,0.0026771273,5.61372,14.826112031936646,-0.50939023,85
3.06,-0.018059973,21500,0.14085959,0.49880004,2354,21500,0.8799509927630424,-1.5115305404365063,0.019231832,5.614805,14.962079763412476,-0.4934865,86
3.01,-0.0029364037,21750,0.015038958,0.19280002,2329,21750,-0.5568079948425293,-1.5187185883522034,0.06340503,5.618457,15.09520936012268,-0.5014262,87
3.02,0.015115507,22000,0.06399734,0.39239997,2291,22000,0.7233222126960754,-1.5178231434524059,0.024607396,5.6216636,15.229419231414795,-0.5096183,88
2.97,-0.0132812215,22250,0.02789564,0.3084,2281,22250,0.685244619846344,-1.527164071276784,0.011028303,5.6231866,15.365844964981079,-0.518444,89
3.13,-0.007844677,22500,0.029681629,0.26880002,2249,22500,0.7632028162479401,-1.5042512305825948,0.009276031,5.624892,15.502805233001709,-0.47768015,90
