serial_timesteps,value_loss,total_timesteps,policy_loss,fps,ep_reward_mean,time_elapsed,approxkl,true_reward,explained_variance,policy_entropy,clipfrac,n_updates,ep_len_mean
14750,0.45718384,1475000,0.0047589503,63962,3.401358444541693,51.28498101234436,0.028340628,0.08693701,0.7457332015037537,5.7312503,0.12226399,59,23.62
15000,0.4690098,1500000,0.0013401068,63761,3.183274775147438,52.10662245750427,0.017522236,0.08746454,0.737822026014328,5.7281456,0.078576,60,22.23
15250,0.46114302,1525000,0.0050367643,62586,3.074392973855138,52.942474365234375,0.024550665,0.087472185,0.7567234337329865,5.720265,0.136928,61,21.27
15500,0.46916252,1550000,0.012318807,61692,2.9725794795155527,53.75749731063843,0.046816606,0.087889515,0.7539404481649399,5.714753,0.179032,62,20.65
15750,0.4647928,1575000,0.0051645134,62645,3.460204135030508,54.58241605758667,0.021918233,0.08853625,0.754035472869873,5.7100315,0.120912,63,24.52
16000,0.44631448,1600000,0.0054151714,61466,3.462046220228076,55.40160655975342,0.027595824,0.088858,0.7601560801267624,5.6999807,0.12402401,64,24.01
16250,0.4713199,1625000,0.0015634963,61234,3.061930520385504,56.257972717285156,0.01559017,0.08739875,0.7622586488723755,5.6905494,0.088368,65,21.01
16500,0.47607628,1650000,0.00092911645,62008,3.5539216040819883,57.12602162361145,0.01212094,0.08860635,0.7655227482318878,5.682252,0.08806,66,24.99
16750,0.48214236,1675000,0.0065334514,64143,3.2208185174316166,57.951403856277466,0.033105034,0.08766843,0.7535863369703293,5.676526,0.12541199,67,22.58
17000,0.47072157,1700000,0.008416319,60881,3.3444076996296643,58.77349090576172,0.030227875,0.08837312,0.7643407881259918,5.6738944,0.13900001,68,23.31
17250,0.44258246,1725000,0.014718004,61733,3.83859665453434,59.62293100357056,0.06692524,0.08906026,0.7704965174198151,5.671461,0.230444,69,26.65
17500,0.46042213,1750000,0.0053000497,55869,3.40250482827425,60.44896912574768,0.020470172,0.08947919,0.7655055224895477,5.665292,0.125476,70,23.81
17750,0.46441317,1775000,0.00619624,61874,3.3034795744717123,61.333213806152344,0.021872485,0.088751055,0.7553606033325195,5.654277,0.119228005,71,22.86
18000,0.45796007,1800000,0.020853618,63023,3.7418876972794535,62.15953040122986,0.070478916,0.089361444,0.767415314912796,5.6478086,0.22975202,72,26.07
18250,0.45118245,1825000,0.017163105,63011,3.657795445546508,62.974249839782715,0.070227325,0.089331195,0.7752747684717178,5.643879,0.241648,73,25.57
18500,0.4940557,1850000,0.014365727,63331,3.47916512362659,63.783517837524414,0.049299292,0.09002912,0.7833086401224136,5.6430187,0.23639598,74,24.0
18750,0.49234205,1875000,0.026651517,62210,3.5098686938732864,64.60248184204102,0.11637814,0.09078301,0.7830376476049423,5.646594,0.30798,75,24.59
19000,0.48793983,1900000,0.0037896459,62785,3.699982053041458,65.41627192497253,0.01489539,0.09009264,0.7733594626188278,5.649892,0.105424,76,25.87
19250,0.49867773,1925000,0.0018278935,61897,3.2935431260615586,66.23364305496216,0.017122325,0.09007122,0.7708894461393356,5.6506376,0.099308,77,22.72
19500,0.4671329,1950000,0.0057417788,61756,3.528924334347248,67.06623435020447,0.020177566,0.09057838,0.7830083072185516,5.645627,0.12656,78,24.59
19750,0.5026889,1975000,0.0025338777,65643,3.3568085419386624,67.88971400260925,0.011783295,0.089854725,0.7630298882722855,5.6319532,0.082816005,79,23.68
20000,0.46886206,2000000,0.004705626,64615,3.978437392041087,68.68386888504028,0.017370634,0.09108089,0.7863550186157227,5.619831,0.129468,80,27.64
20250,0.44793954,2025000,0.0048853243,63528,3.3990133227407933,69.4864284992218,0.019184794,0.089835204,0.7792187631130219,5.6096764,0.12060399,81,23.76
20500,0.492671,2050000,0.006569559,64156,3.162288197875023,70.30217027664185,0.025756503,0.08976093,0.7721031159162521,5.598331,0.13738401,82,21.71
20750,0.48569036,2075000,0.0060011344,62606,3.226189623400569,71.1221067905426,0.026146596,0.09008015,0.7714597880840302,5.58953,0.141484,83,22.44
21000,0.46751222,2100000,0.0056454646,63211,3.635872944071889,71.94993662834167,0.020656353,0.09072578,0.7846548557281494,5.5837407,0.11309601,84,25.41
21250,0.5274779,2125000,0.0018277919,63019,3.255698804110289,72.7906231880188,0.01067383,0.09106602,0.7688819319009781,5.577946,0.066892006,85,22.65
21500,0.52490234,2150000,0.0027056928,61816,3.4450657105445863,73.61070847511292,0.01342987,0.09116885,0.7668115645647049,5.570175,0.08282,86,23.74
21750,0.5209017,2175000,0.0038352436,63267,3.2811698081344365,74.43974900245667,0.015019901,0.09127939,0.7738209813833237,5.565608,0.111916006,87,22.91
22000,0.48316258,2200000,0.003961199,62292,3.517545662522316,75.2509217262268,0.01729604,0.09151119,0.7803722321987152,5.5615506,0.125732,88,24.44
22250,0.4544018,2225000,0.004520932,62179,3.2389681614935397,76.06706929206848,0.019581206,0.09090485,0.7830318212509155,5.557607,0.125236,89,22.59
22500,0.4630764,2250000,0.0012274064,63694,3.400935167372227,76.89002871513367,0.012375652,0.09149657,0.7832936495542526,5.5554194,0.090951994,90,23.69
22750,0.53523195,2275000,0.0025505975,61983,3.340310002416372,77.69541525840759,0.019533379,0.09189178,0.7735814899206161,5.550639,0.09218401,91,23.0
23000,0.44701004,2300000,0.00074171595,62846,3.492943573072553,78.51764488220215,0.018075997,0.09172325,0.7898497432470322,5.54593,0.074655995,92,24.21
23250,0.49256697,2325000,0.011201924,64226,3.4750584957748654,79.32439875602722,0.35008243,0.0915746,0.7780912518501282,5.538581,0.18942401,93,24.24
23500,0.507793,2350000,0.006644358,63773,3.5857203494012357,80.14243173599243,0.05180206,0.09243838,0.7855661511421204,5.5363364,0.14289601,94,24.95
23750,0.5214836,2375000,0.0043303045,64095,3.929204139187932,80.94852375984192,0.017082889,0.093166485,0.7837995141744614,5.5351443,0.12716398,95,27.36
24000,0.5350956,2400000,0.0018520635,64395,3.985326782166958,81.75870156288147,0.027774146,0.093621925,0.7803853005170822,5.5317984,0.080404,96,27.87
24250,0.52595884,2425000,0.004322682,63486,3.8564972872287036,82.55760526657104,0.02664088,0.09313211,0.7830532342195511,5.529662,0.11716001,97,26.9
