policy_entropy,ep_reward_mean,time_elapsed,true_reward,n_updates,clipfrac,policy_loss,fps,total_timesteps,explained_variance,serial_timesteps,value_loss,approxkl,ep_len_mean
-0.8007895,8.485058033708041,1191.932510137558,0.041270595,1371,0.103712,-0.00096303166,55522,34275000,0.9945956133306026,342750,0.00410551,0.0077392147,211.03
-0.8031316,8.668894308722283,1192.7539632320404,0.0425507,1372,0.135544,0.0016182332,57926,34300000,0.9936254373751581,343000,0.0045233374,0.010107103,208.48
-0.8053578,8.912375243199204,1193.5604417324066,0.04137885,1373,0.10576,-0.0015243653,54346,34325000,0.9806914087384939,343250,0.013568394,0.008189013,217.22
-0.80794317,8.78312145945216,1194.389335155487,0.042466417,1374,0.15698,0.0007399085,55776,34350000,0.9897646429017186,343500,0.008289417,0.011559676,208.5
-0.80906266,8.508390421600485,1195.1979765892029,0.042081982,1375,0.13657601,0.0010454596,55829,34375000,0.9845165563747287,343750,0.012350987,0.010967679,205.41
-0.8105135,8.885771436172599,1196.0193157196045,0.04211856,1376,0.11564399,-0.0013135062,57939,34400000,0.978582926094532,344000,0.015756387,0.008580035,212.2
-0.81213284,9.368095868389428,1196.824832201004,0.04333556,1377,0.071844004,-0.0024283817,57892,34425000,0.98737698700279,344250,0.0089350175,0.0058544828,217.22
-0.8161024,8.37932363647007,1197.6214456558228,0.04168621,1378,0.088624,-0.0028187823,56769,34450000,0.9842301830649376,344500,0.012877688,0.0067525483,201.09
-0.81825054,8.981315739054699,1198.42347240448,0.04262999,1379,0.129336,-0.0024597123,57698,34475000,0.9788252376019955,344750,0.017311063,0.009583229,209.36
-0.8175392,8.754420879490999,1199.2253606319427,0.042656645,1380,0.087923996,-0.0018296776,55529,34500000,0.9882143791764975,345000,0.009294098,0.006882623,207.71
-0.8188995,9.208638788692916,1200.0551919937134,0.042100117,1381,0.095712006,-0.0020805786,55231,34525000,0.9709647819399834,345250,0.019284653,0.007702331,217.76
-0.82151365,8.678150753435439,1200.8906257152557,0.04226617,1382,0.118388,-0.0012318015,57261,34550000,0.9832976832985878,345500,0.012835647,0.008968918,206.98
-0.8248722,8.465752749923176,1201.7134895324707,0.04131653,1383,0.194528,0.0024981971,56542,34575000,0.9856454432010651,345750,0.011049921,0.015840162,207.38
-0.8264025,8.279287155841532,1202.5376489162445,0.041762754,1384,0.20458397,0.0020660332,55542,34600000,0.9760865457355976,346000,0.020349072,0.015282912,200.17
-0.8277906,8.344143754670782,1203.3753080368042,0.0405419,1385,0.115888014,-0.0010567117,56758,34625000,0.9792376682162285,346250,0.017260136,0.00841849,205.84
-0.82558024,8.910596653365774,1204.1803538799286,0.040463693,1386,0.13940401,-0.0012160053,57061,34650000,0.9799033273011446,346500,0.015582362,0.010612239,218.05
-0.82227117,8.482250604038855,1204.9836037158966,0.04146429,1387,0.08980399,-0.0012061787,55344,34675000,0.9773877467960119,346750,0.019222949,0.007036808,204.58
-0.8211155,8.91211187377834,1205.7981312274933,0.04038821,1388,0.085648,-0.0019126635,54278,34700000,0.9862113799899817,347000,0.010178262,0.0067745075,220.69
-0.82359016,8.331533796347449,1206.627711057663,0.04042305,1389,0.11660401,-0.0020936155,54872,34725000,0.9825636297464371,347250,0.01211215,0.008827834,208.28
-0.82369965,8.599509360066095,1207.4529871940613,0.042395484,1390,0.092304,-0.0033771428,57169,34750000,0.9820525124669075,347500,0.012759564,0.007066137,203.95
-0.82529116,8.859887879730413,1208.262035369873,0.042251058,1391,0.217684,0.0038573002,58201,34775000,0.9778180122375488,347750,0.017845776,0.016391553,209.66
-0.8263462,9.182109570113461,1209.0621089935303,0.043286916,1392,0.13102,-0.0018053958,57588,34800000,0.9702918957918882,348000,0.023441093,0.00946833,208.57
-0.8263729,8.64191439516764,1209.8613502979279,0.042312637,1393,0.095068,-0.0021973816,56955,34825000,0.9871312296018004,348250,0.00899394,0.0074043125,208.16
-0.8300201,8.207543391264771,1210.6714806556702,0.042363867,1394,0.097780004,-0.0015820125,57274,34850000,0.9793356396257877,348500,0.017427335,0.0073238076,195.15
-0.83134097,8.692990799029358,1211.4757480621338,0.041077904,1395,0.08252001,-0.001724317,55362,34875000,0.9792404714971781,348750,0.017086342,0.0065088673,209.74
-0.83305013,8.760237213473228,1212.306616306305,0.041611347,1396,0.082904,-0.0011234679,55935,34900000,0.9852300975471735,349000,0.0115909465,0.006476266,213.0
-0.8363724,9.424265448580082,1213.1164865493774,0.041908424,1397,0.158744,0.0012495017,56991,34925000,0.9906681086868048,349250,0.0069477647,0.011974209,224.99
-0.8380103,8.688738370369819,1213.9087138175964,0.041838787,1398,0.191504,0.001886777,56990,34950000,0.9745153579860926,349500,0.020138543,0.013592832,209.01
-0.8396449,7.9493716277479916,1214.699597120285,0.042127535,1399,0.11954401,-0.0021340498,56575,34975000,0.9764038175344467,349750,0.021130264,0.009078861,190.02
-0.84098685,8.060528694476197,1215.4951231479645,0.041002754,1400,0.1127,-0.0020327861,48849,35000000,0.9842800311744213,350000,0.0148873385,0.0083894925,194.42
-0.8428637,8.161054951936457,1216.3894696235657,0.041678842,1401,0.0827,-0.0031118775,56695,35025000,0.9789423570036888,350250,0.018356197,0.006628994,197.28
-0.84582007,8.953511572500574,1217.2028346061707,0.043451857,1402,0.12001599,-0.0002873721,54684,35050000,0.9870713409036398,350500,0.010808971,0.008779241,206.48
-0.8464521,8.920681688839414,1218.0175263881683,0.041347064,1403,0.0846,-0.0032057639,57942,35075000,0.988100809045136,350750,0.009520652,0.006669105,216.98
-0.84267455,8.176126031822713,1218.8041515350342,0.040418666,1404,0.072280005,-0.0032277238,56197,35100000,0.9921738971024752,351000,0.0058548125,0.005954064,207.03
-0.8414071,9.324241567715,1219.626678943634,0.042143907,1405,0.08013199,-0.003350268,54574,35125000,0.9867172995582223,351250,0.009022625,0.00639158,220.42
-0.8436163,8.338043063543864,1220.5035381317139,0.04174561,1406,0.089424,-0.0026883562,57698,35150000,0.9859469998627901,351500,0.010726078,0.0069364533,203.55
