serial_timesteps,value_loss,explained_variance,n_updates,ep_reward_mean,true_reward,policy_entropy,time_elapsed,ep_len_mean,clipfrac,fps,policy_loss,approxkl,total_timesteps
18750,0.025540661,0.4998854994773865,75,0.06657189708894293,-1.1613663,4.5837183,88.10127401351929,3.88,0.049147997,55125,-0.003735521,0.004399188,1875000
19000,0.026038,0.5042275786399841,76,0.05422846239795035,-1.1422995,4.566928,89.0917797088623,4.17,0.04778,53616,-0.0037716287,0.0044022677,1900000
19250,0.025215134,0.5254409909248352,77,0.044885724926134574,-1.1400373,4.550866,90.11221098899841,3.54,0.056412,54213,-0.0039367913,0.004858664,1925000
19500,0.025624966,0.5320058166980743,78,0.06278249079781745,-1.1196331,4.5349755,91.08565306663513,3.98,0.042672,54528,-0.0041105384,0.0041977875,1950000
19750,0.025905132,0.530065506696701,79,0.04215873562279739,-1.1275617,4.518192,92.06783819198608,3.55,0.046924,55140,-0.004395,0.004400047,1975000
20000,0.025591139,0.5513530075550079,80,0.05322178172464191,-1.1046323,4.5010366,93.03119397163391,4.3,0.049327996,54013,-0.0036977106,0.0044661583,2000000
20250,0.025649626,0.5490803420543671,81,0.07075349118778831,-1.1062667,4.484258,94.0217707157135,4.57,0.045911998,53744,-0.0042129443,0.004262653,2025000
20500,0.027103355,0.5387148857116699,82,0.06170866852800828,-1.0948073,4.4672775,95.00446772575378,4.28,0.031092,54686,-0.0037909676,0.0034515075,2050000
20750,0.02719069,0.5491704642772675,83,0.06497927079064539,-1.0836288,4.450448,95.97287392616272,4.82,0.048468,54608,-0.004329746,0.004423701,2075000
21000,0.026674291,0.5683788061141968,84,0.06908367581345373,-1.0710287,4.43441,96.95343685150146,4.36,0.046072,54149,-0.004215223,0.004369285,2100000
21250,0.026926119,0.5692889392375946,85,0.06793044950434705,-1.0692415,4.41916,97.92096042633057,4.31,0.059599996,53300,-0.0027650984,0.004951977,2125000
21500,0.026865691,0.5808787643909454,86,0.0683557715169718,-1.0553306,4.4047165,98.91113638877869,4.22,0.034776002,53187,-0.0038088493,0.0036973562,2150000
21750,0.026901659,0.5770578682422638,87,0.08037906755576842,-1.062319,4.38929,99.91460847854614,4.38,0.0491,53846,-0.0036381646,0.0044408757,2175000
22000,0.028412279,0.5732872784137726,88,0.0809762694517758,-1.0442379,4.374312,100.90374279022217,4.25,0.044676,55239,-0.0037021623,0.0042154836,2200000
22250,0.028819123,0.5783691108226776,89,0.09141465399006847,-1.0400246,4.3601384,101.85274958610535,4.66,0.036583997,53796,-0.0041995645,0.0037612393,2225000
22500,0.027266506,0.5945131480693817,90,0.06212656011448416,-1.037648,4.345451,102.82210230827332,4.11,0.031064,54209,-0.0037760653,0.0033543296,2250000
22750,0.027544832,0.6026469767093658,91,0.09421237785019912,-1.0213176,4.329808,103.79522204399109,4.83,0.055216003,55108,-0.0034510468,0.0047417777,2275000
23000,0.027904827,0.6046937108039856,92,0.09274205488123698,-1.0168449,4.315322,104.74610543251038,4.84,0.07384,41150,-0.0024846874,0.005863187,2300000
23250,0.029716501,0.5941518545150757,93,0.08675046389958879,-1.0074044,4.302063,105.85714077949524,4.57,0.030068,54066,-0.00360979,0.0034165154,2325000
23500,0.029772073,0.5956621170043945,94,0.07403291938026087,-1.0005186,4.28801,106.81360673904419,4.37,0.05228,52342,-0.004177755,0.0047063143,2350000
23750,0.029232403,0.6024673283100128,95,0.07214312238300408,-1.002226,4.274928,107.8570327758789,4.46,0.051436,46130,-0.0036506034,0.0046599554,2375000
24000,0.03027392,0.6025211215019226,96,0.07990155455481726,-0.9800133,4.261826,108.91328811645508,4.67,0.039956003,39144,-0.0031177432,0.0039689806,2400000
24250,0.029321318,0.6163395941257477,97,0.08215311393290904,-0.9787486,4.24858,110.04121851921082,4.6,0.03974,54966,-0.0032755262,0.003928349,2425000
24500,0.030460838,0.6042456328868866,98,0.0931592572906311,-0.9883225,4.2347493,110.98067831993103,4.29,0.032104,53668,-0.0035793737,0.0035811146,2450000
