clipfrac,fps,policy_loss,ep_len_mean,policy_entropy,true_reward,value_loss,n_updates,explained_variance,total_timesteps,ep_reward_mean,approxkl,time_elapsed,serial_timesteps
0.84383595,58510,0.19872023,64.25,5.7221994,0.17949723,5.4169316,27,-0.5401328802108765,675000,12.629339504390956,15172.182,25.309712648391724,6750
0.8488879,56841,0.2986432,66.39,5.723238,0.17973705,4.2413726,28,0.3280268907546997,700000,13.049428180605172,103690.06,26.171987533569336,7000
0.85339195,57010,0.16354169,50.03,5.724113,0.17805879,7.1956797,29,-2.3747434616088867,725000,9.802400475293398,26589.896,27.031527996063232,7250
0.706972,56472,0.11372489,55.7,5.7251544,0.17890681,6.96027,30,-1.7226459980010986,750000,10.915653786808253,5186.5474,27.87559723854065,7500
0.81219596,56386,0.17043003,58.96,5.726401,0.17872532,7.2578163,31,-0.437644362449646,775000,11.543718572407961,53302.543,28.72848916053772,7750
0.621784,57624,0.09452685,41.75,5.7273493,0.17340124,6.2786756,32,-0.3887803554534912,800000,8.164703601300717,551.12286,29.581005334854126,8000
0.78766,56423,0.15275702,44.15,5.7271714,0.17059158,6.1497016,33,-0.03473389148712158,825000,8.630098361074925,3569.4624,30.444918394088745,8250
0.81709194,58111,0.16435462,46.04,5.7278566,0.17301197,6.520597,34,0.041024625301361084,850000,9.013635098189116,119362.36,31.289119005203247,8500
0.809768,56230,0.15945674,55.84,5.729276,0.1801597,9.528102,35,-0.9730497598648071,875000,10.942554480433465,14523.497,32.13587760925293,8750
0.72375596,56059,0.164385,64.87,5.730671,0.1794825,9.901337,36,-1.3525304794311523,900000,12.75158549591899,16021.561,33.02088522911072,9000
0.87276804,56327,0.17462806,52.2,5.7316465,0.1800994,17.074638,37,-2.39199161529541,925000,10.235947193354368,31889.553,33.89137029647827,9250
0.80579597,55710,0.19259688,38.59,5.7325377,0.1732562,5.7827935,38,-1.048980951309204,950000,7.554614927768707,20665.754,34.75555443763733,9500
0.665516,57408,0.11178303,34.82,5.734046,0.16259156,4.110037,39,-0.2418605089187622,975000,6.815391062051058,2864.374,35.62455654144287,9750
0.849212,57161,0.1430054,33.45,5.7352953,0.1667427,6.6144953,40,-0.582521915435791,1000000,6.535001467168331,256043650.0,36.49679470062256,10000
0.767568,55290,0.059815574,37.05,5.7359905,0.17011744,18.914673,41,-3.080566883087158,1025000,7.236752255260944,610682400.0,37.358338356018066,10250
0.0,57274,nan,48.34,nan,nan,nan,42,nan,1050000,9.45548418417573,nan,38.253814935684204,10500
