approxkl,true_reward,serial_timesteps,time_elapsed,explained_variance,value_loss,ep_len_mean,policy_entropy,n_updates,fps,policy_loss,clipfrac,total_timesteps,ep_reward_mean
0.01814854,0.15478751,19000,13.371811389923096,0.869490385055542,0.00933739,4.85,5.374433,76,2329,-0.0072156927,0.2136,19000,0.7526001703459769
0.008846892,0.15558802,19250,13.505285501480103,0.8039197325706482,0.013441803,4.93,5.3757644,77,2314,-0.0081612645,0.11440001,19250,0.7682484356686473
0.010117858,0.15558729,19500,13.640038251876831,0.9333977848291397,0.0045804107,4.9,5.3757677,78,2357,-0.007854906,0.14000002,19500,0.7623795000556857
0.036159668,0.15558696,19750,13.772218704223633,0.8794840276241302,0.004526633,4.93,5.3751287,79,1722,-0.016244963,0.2604,19750,0.7682454324606806
0.010766141,0.15398704,20000,13.9438157081604,0.8362256437540054,0.009223169,4.8,5.3716936,80,2347,-0.011464017,0.1424,20000,0.7428174441400915
0.016599197,0.15558735,20250,14.07613468170166,0.8556633740663528,0.007222659,4.8,5.3634367,81,2352,-0.0057950215,0.1828,20250,0.7428183804498986
0.012814881,0.15398602,20500,14.209231853485107,0.8633892387151718,0.011705156,4.8,5.3585253,82,2267,-0.009396451,0.15120001,20500,0.7428155411919579
0.007958578,0.15558755,20750,14.3458993434906,0.9540469981729984,0.0028391266,4.88,5.352751,83,2334,-0.004439998,0.108799994,20750,0.7584641423309222
0.014348388,0.15558718,21000,14.478875875473022,0.9180517420172691,0.0046089836,4.9,5.346673,84,2301,-0.0020381287,0.18079999,21000,0.762378101348877
0.022860717,0.15558688,21250,14.613994836807251,0.9056884795427322,0.0040674037,4.9,5.3378778,85,2314,-0.010237483,0.19319999,21250,0.7623760331654921
0.018365823,0.15558665,21500,14.7486412525177,0.9220443293452263,0.0030640168,4.9,5.3290315,86,2299,0.0024749737,0.20319998,21500,0.7623750196537002
0.014859632,0.15558672,21750,14.883498191833496,0.9577004313468933,0.0016154445,4.9,5.3242965,87,2372,-0.005375621,0.1712,21750,0.7623746009916067
0.016719885,0.1555868,22000,15.015050649642944,0.9549525380134583,0.0016379419,4.9,5.325278,88,2327,-0.0057746843,0.17320001,22000,0.762374927517958
0.012266736,0.15558758,22250,15.148528575897217,0.9604380019009113,0.0020328315,4.9,5.327895,89,1918,-0.0057268566,0.1612,22250,0.7623771346593275
0.024371952,0.15558694,22500,15.305859565734863,0.9257930368185043,0.003030896,4.9,5.331768,90,2298,-0.0085323285,0.22519998,22500,0.7623774325381965
0.05317868,0.15478595,22750,15.440151691436768,0.8771946057677269,0.0047879675,4.87,5.334723,91,2373,0.01260304,0.37360004,22750,0.7565064642718062
0.019197363,0.15478507,23000,15.572107315063477,0.8871295303106308,0.0042717597,4.8,5.3339405,92,2332,-0.0055337683,0.19399998,23000,0.7428097674623132
0.02544583,0.15558602,23250,15.705019474029541,0.8791686743497849,0.0043138107,4.89,5.3305244,93,2367,-0.00055725285,0.2732,23250,0.7604134069988504
0.02657863,0.15558606,23500,15.837088584899902,0.9444648064672947,0.0021256984,4.9,5.327607,94,2310,-0.007881934,0.246,23500,0.7623714986629784
0.012837103,0.15558581,23750,15.97119140625,0.9297765046358109,0.002569868,4.9,5.3252363,95,2326,-0.0055724885,0.1552,23750,0.7623709760513157
0.04204671,0.15558651,24000,16.104828119277954,0.9626658447086811,0.0013535686,4.9,5.3223176,96,1980,-0.01630266,0.27519998,24000,0.7623725373996422
0.006546993,0.15558639,24250,16.256683588027954,0.947865691035986,0.0019227166,4.9,5.3189554,97,2328,-0.0051258104,0.08719999,24250,0.7623733591241763
0.008005203,0.15558662,24500,16.390913724899292,0.9695631451904774,0.0011176902,4.92,5.3132696,98,2327,-0.0067825555,0.110800005,24500,0.7662852042121813
0.017534586,0.15558702,24750,16.523852348327637,0.9154804348945618,0.0031069447,4.9,5.306775,99,1551,-0.013777013,0.19079998,24750,0.7623751657409593
0.009555027,0.15558413,25000,16.711070775985718,0.9233493432402611,0.0028216722,4.9,5.30184,100,2359,-0.0129221035,0.12799999,25000,0.7623676675744355
0.017425235,0.15478492,25250,16.843037128448486,0.887400858104229,0.004178608,4.85,5.299103,101,2283,-0.010510944,0.2076,25250,0.7525842550909146
0.017966624,0.15398425,25500,16.978252172470093,0.8703687936067581,0.005209601,4.75,5.297067,102,2224,-0.0065291026,0.1424,25500,0.7330267046531662
0.00675186,0.15558639,25750,17.11643409729004,0.9771457724273205,0.0010306474,4.83,5.2938356,103,2317,-0.0035772447,0.0868,25750,0.7486773342965171
0.02362397,0.15398543,26000,17.250475883483887,0.8540245443582535,0.0055344664,4.8,5.2907324,104,2265,-0.009481605,0.23279998,26000,0.7428124920744449
0.06509428,0.15558623,26250,17.38763403892517,0.937311440706253,0.0024095464,4.81,5.287448,105,2309,-0.0024679075,0.36679998,26250,0.7447678700415418
0.029203612,0.15558626,26500,17.52178931236267,0.9410416148602962,0.0021594488,4.9,5.2848883,106,2320,0.005019837,0.2712,26500,0.7623726130602881
0.049968895,0.15478472,26750,17.65534281730652,0.911932036280632,0.0032773565,4.85,5.283333,107,2388,-0.0014873522,0.3572,26750,0.7525897522130981
0.02404573,0.15478592,27000,17.785483598709106,0.9278188496828079,0.0027369517,4.8,5.283149,108,2326,-0.0080414815,0.24800003,27000,0.7428097131568938
0.01295093,0.15478417,27250,17.919082164764404,0.9181221798062325,0.0030638254,4.8,5.2829475,109,2355,-0.00094968395,0.1728,27250,0.7428079109964892
0.021813676,0.1547847,27500,18.052940130233765,0.9267181530594826,0.0026895693,4.8,5.2822013,110,2356,-0.0011464624,0.2232,27500,0.7428049774421379
0.014741318,0.15558453,27750,18.18471336364746,0.9263895824551582,0.002775712,4.89,5.281779,111,2345,-0.00080981536,0.1748,27750,0.7604089487204329
0.008190265,0.15558442,28000,18.316917419433594,0.9768619891256094,0.0060219965,4.9,5.280753,112,2357,-0.0072113797,0.11439999,28000,0.7623641551099718
0.01036355,0.15478517,28250,18.448652982711792,0.8312986046075821,0.012911687,4.89,5.278732,113,1954,-0.0033745575,0.12799999,28250,0.7604098207969219
0.03456668,0.15478559,28500,18.60256862640381,0.8228667080402374,0.0126576945,4.8,5.2765994,114,2245,0.0037086313,0.30839998,28500,0.7428100100997835
0.008813808,0.15478711,28750,18.740387678146362,0.8512962460517883,0.0065825223,4.8,5.2728496,115,2309,-0.009210156,0.105600014,28750,0.742814327115193
0.01364948,0.15558738,29000,18.874610900878906,0.9393702149391174,0.0059658857,4.93,5.2709394,116,2391,-0.00641811,0.16239998,29000,0.7682453206554055
0.024272121,0.15558688,29250,19.004897117614746,0.9551513455808163,0.0017770352,4.9,5.266686,117,2308,-0.004307157,0.22680001,29250,0.7623767714435234
0.038169514,0.15558685,29500,19.139878273010254,0.9754810370504856,0.0010884913,4.9,5.2603736,118,1976,-0.005766589,0.28440002,29500,0.762375758420676
0.014247313,0.15558526,29750,19.2920138835907,0.9605951309204102,0.0014134076,4.9,5.25858,119,2316,-0.006423863,0.17999999,29750,0.7623724360903725
0.014897449,0.15478587,30000,19.426223516464233,0.9126827642321587,0.0031803013,4.85,5.2575445,120,2323,-0.012721188,0.1956,30000,0.7525915970047936
0.026554372,0.15558572,30250,19.559606075286865,0.9319013059139252,0.0025739418,4.89,5.255059,121,2295,0.0059273136,0.2644,30250,0.7604149429081007
