policy_entropy,n_updates,true_reward,approxkl,serial_timesteps,value_loss,ep_len_mean,ep_reward_mean,clipfrac,policy_loss,time_elapsed,explained_variance,total_timesteps,fps
5.1586456,54,0.1667949,0.011281898,13500,0.06640447,9.12,1.5188313645031304,0.1348,-0.017021375,10.335639476776123,0.5183116495609283,13500,2129
5.152894,55,0.16601439,0.014636187,13750,0.07148368,9.22,1.537594415638596,0.192,-0.022563891,10.478609085083008,0.48826146125793457,13750,2229
5.1485467,56,0.16758758,0.012663158,14000,0.057780366,9.17,1.5282917842455208,0.1312,-0.021139609,10.61605191230774,0.5774156451225281,14000,2272
5.1450095,57,0.16681871,0.010836951,14250,0.07130705,9.19,1.5321452157013118,0.152,-0.019532014,10.751794338226318,0.4936292767524719,14250,2251
5.1434298,58,0.1675972,0.0098811295,14500,0.07104866,9.32,1.5564699675422162,0.1436,-0.016735274,10.888044595718384,0.4989938735961914,14500,2226
5.1411986,59,0.16834117,0.012110626,14750,0.06554285,9.57,1.6032372989226134,0.14,-0.015609656,11.025054931640625,0.5607457756996155,14750,2252
5.1383505,60,0.16756332,0.008951962,15000,0.066740185,9.58,1.6050316138658673,0.1104,-0.015694827,11.161361455917358,0.5739123523235321,15000,2283
5.133148,61,0.16831109,0.00915415,15250,0.055364095,9.79,1.6441554858535528,0.1176,-0.021703135,11.295146703720093,0.6315821707248688,15250,2264
5.1279397,62,0.1691052,0.0068671806,15500,0.049849153,10.0,1.6833019968681038,0.0964,-0.011781873,11.43066120147705,0.6774269640445709,15500,2237
5.1231513,63,0.16913137,0.0077073327,15750,0.050877698,10.1,1.7040442006569356,0.103199996,-0.018017996,11.567933082580566,0.6579906046390533,15750,2234
5.117614,64,0.16833289,0.013643401,16000,0.05335536,10.16,1.7152401586901396,0.1944,-0.013893892,11.703830242156982,0.6403951048851013,16000,2308
5.113969,65,0.16913308,0.010765681,16250,0.044468082,10.26,1.7340352424792946,0.16600001,-0.009637839,11.836180925369263,0.7034088671207428,16250,2300
5.1113906,66,0.1667938,0.009285605,16500,0.07236125,10.0,1.6834777946863324,0.1244,-0.01699945,11.969278335571289,0.5279580950737,16500,2174
5.1060686,67,0.16912234,0.009233783,16750,0.037148826,10.0,1.683455281453207,0.1424,-0.009518497,12.108627080917358,0.7506081312894821,16750,2315
5.1001863,68,0.16912806,0.009277046,17000,0.044837885,10.0,1.6854432701226323,0.1244,-0.016832532,12.240684032440186,0.6968902945518494,17000,2293
