ep_len_mean,policy_entropy,time_elapsed,fps,value_loss,serial_timesteps,policy_loss,total_timesteps,approxkl,n_updates,true_reward,clipfrac,ep_reward_mean,explained_variance
0.99,5.6082234,12.881364345550537,2240,0.06070749,16750,-0.013240713,16750,0.054258846,67,-0.004772485,0.41920003,-0.004724204866215586,-456392.8125
0.99,5.608649,13.028637409210205,2139,0.24702847,17000,0.019549455,17000,0.061201118,68,-0.00477605,0.44919997,-0.004726862944662571,-822754.5
0.99,5.6090403,13.18029499053955,2245,0.01178315,17250,0.006318646,17250,0.100407936,69,-0.0047754836,0.532,-0.004724169289693237,-139613.640625
0.99,5.6092687,13.32639741897583,2245,0.015134251,17500,-0.009423741,17500,0.8437692,70,-0.004776308,0.5792,-0.0047269133338704705,-430520.46875
0.99,5.6087337,13.473505735397339,2194,0.01160002,17750,-0.013861066,17750,0.11491305,71,-0.003979962,0.52199996,-0.00473073226865381,-660.10400390625
0.99,5.610878,13.622558355331421,2146,0.006257843,18000,0.0020862583,18000,0.026292393,72,-0.0047766166,0.3136,-0.004728486654348671,-15972.6552734375
0.99,5.617494,13.777430057525635,2237,0.002485676,18250,0.00023979694,18250,0.025151353,73,-0.004778175,0.31759998,-0.004730015289969742,-22237.138671875
0.99,5.6171465,13.925709962844849,2146,0.0017322578,18500,-0.011081331,18500,0.19306774,74,-0.0039803763,0.5860001,-0.004730995697900653,-5.044844150543213
0.99,5.610438,14.078445434570312,2139,0.009392219,18750,0.0051282616,18750,0.028556347,75,-0.0047744582,0.32639998,-0.004727126443758607,-53899.08203125
0.99,5.608495,14.230641603469849,2184,0.008609587,19000,0.009429099,19000,0.043807518,76,-0.004776558,0.3876,-0.0047242300771176814,-34404.40625
0.99,5.608285,14.379566192626953,2282,0.007328166,19250,0.010794985,19250,0.033341676,77,-0.0047750846,0.356,-0.004724499732255936,-78562.2734375
0.99,5.6100693,14.52366304397583,2233,0.011906641,19500,-0.008472629,19500,0.04340645,78,-0.003976116,0.40760002,-0.004725614376366138,-177.64218139648438
0.99,5.6107883,14.67003846168518,2296,0.012155877,19750,-0.016725367,19750,0.0528134,79,-0.0047741886,0.3656,-0.004724197196774185,-400835.375
0.99,5.609006,14.813450574874878,2247,0.0062332796,20000,0.01082743,20000,0.07701902,80,-0.004775975,0.48919997,-0.0047247805586084725,-54297.1640625
0.99,5.6063986,14.959227085113525,2178,0.010065399,20250,-0.016667236,20250,0.048718505,81,-0.004774768,0.34679997,-0.004727084939368069,-312890.03125
0.99,5.603572,15.10944676399231,2222,0.0038797937,20500,-0.0062956996,20500,0.043677103,82,-0.004777441,0.35480002,-0.004726826725527644,-111775.34375
0.99,5.602085,15.257703065872192,2205,0.0009626915,20750,-0.0071404874,20750,2.5279624,83,-0.003974635,0.638,-0.004724188293330371,-4.980838298797607
0.99,5.599036,15.405577898025513,2172,0.028215822,21000,0.0020223148,21000,1.3509581,84,-0.004829795,0.5128,-0.0047813269542530176,-3313902.0
0.99,5.5965333,15.555206775665283,2237,0.014427392,21250,-0.014200727,21250,0.03471935,85,-0.00404304,0.304,-0.004792577000334859,-30.058303833007812
0.99,5.5948625,15.70235276222229,2141,0.0036307897,21500,-0.017433774,21500,0.16863215,86,-0.0040422515,0.40039998,-0.004787684129551053,-93.38277435302734
0.99,5.594745,15.85407018661499,2172,0.00096208777,21750,-0.0073519154,21750,0.062080674,87,-0.004051103,0.4752,-0.004806441785767675,-4.755740642547607
0.99,5.5951443,16.003966331481934,2159,0.004132972,22000,-0.014006482,22000,0.15001911,88,-0.0048491997,0.17319998,-0.004795630937442183,-690421.3125
0.99,5.593458,16.153905391693115,2245,0.011608993,22250,-0.0063583516,22250,0.046180338,89,-0.004843691,0.4276,-0.004793253927491605,-2278331.5
0.99,5.5914583,16.301103353500366,2168,0.0012581543,22500,-0.0115886275,22500,0.047388364,90,-0.0048387516,0.43039998,-0.0047882902808487416,-129929.2421875
0.99,5.5860567,16.450883626937866,2243,0.007240046,22750,-0.008011358,22750,0.05556325,91,-0.0048509943,0.4848,-0.004795347121544182,-851353.375
0.99,5.5765176,16.597374200820923,2183,0.011117188,23000,-0.012158141,23000,0.03807779,92,-0.004063671,0.3804,-0.004815988345071674,-6.230299472808838
0.99,5.572434,16.745787143707275,2193,0.0025973117,23250,0.0020194505,23250,0.04051038,93,-0.0048674755,0.41399997,-0.004818106819875538,-137871.71875
0.99,5.5712733,16.89477562904358,2151,0.016629068,23500,-0.010367973,23500,0.2034055,94,-0.004868051,0.48920003,-0.0048186466936022045,-1679361.125
0.99,5.5710797,17.046215772628784,2163,0.024454426,23750,-0.0074330457,23750,0.053179067,95,-0.0048572575,0.3888,-0.0048035047156736255,-1629832.0
0.99,5.570333,17.196872234344482,2211,0.006740112,24000,-0.0071769776,24000,0.052546788,96,-0.0048538363,0.40800005,-0.004804402971640229,-78150.796875
0.99,5.566771,17.346152305603027,2190,0.0070632957,24250,-0.011937333,24250,0.031250194,97,-0.0048420154,0.3556,-0.004795758947730064,-46549.765625
0.99,5.563884,17.495278120040894,2166,0.0030365163,24500,-0.011110028,24500,0.08953528,98,-0.004052254,0.528,-0.004802874107845127,-8.04419994354248
