time_elapsed,total_timesteps,ep_len_mean,true_reward,serial_timesteps,approxkl,fps,policy_entropy,value_loss,ep_reward_mean,explained_variance,n_updates,policy_loss,clipfrac
72.4984962940216,2000000,18.43,0.14541985,20000,17290140.0,54602,5.675835,18677.322,3.6117504370212554,-3.205540180206299,80,0.3323692,0.818248
73.37839317321777,2025000,17.51,0.14558187,20250,11760690.0,51425,5.675835,17726.406,3.4302759294211866,-3.3153414726257324,81,0.3490973,0.815592
74.28820276260376,2050000,17.21,0.14558062,20500,40647788.0,54169,5.675836,17933.646,3.371552735120058,-3.488304615020752,82,0.32676247,0.831112
75.15747427940369,2075000,18.87,0.14550678,20750,2493738200.0,54751,5.6758375,16603.027,3.69821686655283,-3.207746982574463,83,0.33480674,0.8484079
76.03149914741516,2100000,16.96,0.14542282,21000,73936970.0,54567,5.6758375,16631.938,3.322426929920912,-3.5667543411254883,84,0.32861227,0.842216
76.91409635543823,2125000,18.65,0.1457521,21250,8121572400.0,53575,5.6758375,17397.605,3.6551837374269964,-3.527402877807617,85,0.31809324,0.85558
77.80093598365784,2150000,18.92,0.14565945,21500,446459650.0,44837,5.6758375,16578.055,3.706761699169874,-3.3018875122070312,86,0.32108122,0.853356
78.76691460609436,2175000,20.12,0.1463145,21750,24881684.0,53948,5.6758375,17222.363,3.9418179424107076,-3.117194652557373,87,0.32290357,0.83274806
79.66432309150696,2200000,19.8,0.14558116,22000,13006070.0,54513,5.6758375,16495.975,3.8799859780073165,-3.0467281341552734,88,0.34768745,0.8238441
80.5650246143341,2225000,19.91,0.14607437,22250,12379747.0,49984,5.6758375,18100.121,3.9018945902585984,-3.5589146614074707,89,0.31027964,0.827824
81.49440240859985,2250000,19.15,0.14574607,22500,309618100.0,53247,5.6758375,17709.031,3.7531086441874506,-3.552607536315918,90,0.32287723,0.845736
82.38556456565857,2275000,17.72,0.14567041,22750,616911900.0,53512,5.675838,16845.2,3.472415370494127,-3.3977718353271484,91,0.3336961,0.84741604
83.26387286186218,2300000,17.34,0.14566334,23000,45882390.0,54727,5.675838,17260.932,3.396757509112358,-3.5736207962036133,92,0.31279752,0.840044
84.14387583732605,2325000,20.07,0.14631382,23250,5583647.0,54297,5.675838,16583.762,3.9325372318923475,-3.5558876991271973,93,0.3351641,0.818956
85.02435278892517,2350000,17.32,0.14509481,23500,24794307000.0,50228,5.6758933,16013.924,3.394537921845913,-3.4353809356689453,94,0.35021564,0.85257995
85.93790364265442,2375000,19.41,0.14606573,23750,1153512400.0,55775,5.67595,20463.1,3.8027160190045834,-3.756898880004883,95,0.32039303,0.860968
86.79851055145264,2400000,18.12,0.14672722,24000,387408220.0,53598,5.67595,22117.86,3.5487459644675257,-4.119678020477295,96,0.33385617,0.85344803
87.68168425559998,2425000,18.59,0.14615245,24250,25485798.0,55065,5.67595,22302.365,3.6419640316069124,-3.9267759323120117,97,0.3201429,0.836524
88.55254483222961,2450000,19.06,0.1464844,24500,9974070.0,42883,5.675952,21746.809,3.7344037292897703,-4.214859962463379,98,0.3309867,0.8276199
89.53866362571716,2475000,18.38,0.14582513,24750,30801676.0,51412,5.675952,21158.52,3.6004558829963207,-3.986128330230713,99,0.33692104,0.831196
90.42550349235535,2500000,19.59,0.14648458,25000,1097332000.0,55173,5.675952,21263.303,3.838854217082262,-4.388632297515869,100,0.4612546,0.8431999
