explained_variance,fps,value_loss,policy_loss,total_timesteps,ep_reward_mean,time_elapsed,approxkl,true_reward,n_updates,policy_entropy,serial_timesteps,ep_len_mean,clipfrac
-107.16851806640625,46917,0.013022684,0.014808009,1050000,0.0,85.05769419670105,0.076075144,-0.0047940873,42,5.6842813,10500,0.0,0.390004
-162.2252960205078,47446,0.0008069653,0.009122464,1075000,0.0,87.06698679924011,0.028527841,-0.0048120692,43,5.6853323,10750,0.0,0.314304
-252.0536346435547,47931,0.010681624,0.008462636,1100000,0.0,89.0540919303894,0.01715792,-0.0047933934,44,5.6870346,11000,0.0,0.190324
-594.6728515625,43542,0.025084943,0.03770639,1125000,0.0,91.03328514099121,0.05760317,-0.004767566,45,5.6866226,11250,0.0,0.38227198
-146.52151489257812,47822,0.021231666,0.0018715216,1150000,0.0,93.0283567905426,0.023246953,-0.004793287,46,5.6848946,11500,0.0,0.235408
-760.6781005859375,48147,0.0098691005,0.00053192646,1175000,0.0,95.00624680519104,0.0053058504,-0.004817263,47,5.6851935,11750,0.0,0.061039995
-62.06793212890625,47809,0.012390236,-7.927916e-05,1200000,0.0,96.97687768936157,0.010836986,-0.0047848746,48,5.68482,12000,0.0,0.127212
-60.19761657714844,46431,0.035675786,0.0024627289,1225000,0.0,99.01496028900146,0.015565611,-0.0047942256,49,5.6831355,12250,0.0,0.18878001
-50.85416030883789,46602,0.00647409,0.011359842,1250000,0.0,100.98949098587036,0.031368002,-0.0047753393,50,5.6824036,12500,0.0,0.304632
-46.30769729614258,47384,0.008168197,-0.0005274583,1275000,0.0,102.95474362373352,0.0075954734,-0.00472295,51,5.6826124,12750,0.0,0.103004016
-46.33037185668945,42941,0.008347552,0.007326008,1300000,0.0,104.89913988113403,0.023196258,-0.0047457097,52,5.6819196,13000,0.0,0.18847999
-94.11652374267578,46640,0.0054596486,0.049214013,1325000,0.0,106.95758485794067,0.100037776,-0.0047340025,53,5.6782446,13250,0.0,0.49317995
-135.29815673828125,46466,0.025838504,0.008297501,1350000,0.0,108.96141958236694,0.023917662,-0.004800843,54,5.6781197,13500,0.0,0.269296
-145.2635040283203,46875,0.004128766,0.0050107418,1375000,0.0,110.98332929611206,0.018297533,-0.0048061777,55,5.677241,13750,0.0,0.20597999
-121.11666107177734,47384,0.009657221,0.0018592741,1400000,0.0,113.00127172470093,0.010195507,-0.0047763702,56,5.6738114,14000,0.0,0.14264
-113.79618072509766,47893,0.04158771,0.0023004324,1425000,0.0,115.02097392082214,0.015421018,-0.004811964,57,5.6731753,14250,0.0,0.185028
-58.06565856933594,40163,0.111006364,0.0032527663,1450000,0.0,116.99009585380554,0.015958665,-0.004787193,58,5.673634,14500,0.0,0.206392
-239.849365234375,46834,0.051341135,0.016004607,1475000,0.0,119.05110025405884,0.025360426,-0.004704866,59,5.673341,14750,0.0,0.2803
-180.80142211914062,47912,0.03674192,0.011739798,1500000,0.0,121.06103420257568,0.019868113,-0.004763221,60,5.673031,15000,0.0,0.24070401
-242.3961639404297,46572,0.028872777,0.022260401,1525000,0.0,123.06589722633362,0.04202404,-0.004725008,61,5.6736755,15250,0.0,0.39974403
-129.5628204345703,48136,0.046696234,0.0026451673,1550000,0.0,125.06141710281372,0.0084055085,-0.0047634654,62,5.674953,15500,0.0,0.070319995
-304.11627197265625,47556,0.10013378,0.024947021,1575000,0.0,127.02914929389954,0.04160991,-0.004729113,63,5.674259,15750,0.0,0.32910797
-183.10775756835938,47692,0.06939305,0.013178052,1600000,0.0,129.01807618141174,0.022073956,-0.0047204397,64,5.674815,16000,0.0,0.21428001
-306.7408142089844,46131,0.05850432,0.013127791,1625000,0.0,131.0172290802002,0.024375048,-0.0047494182,65,5.6751223,16250,0.0,0.24918
-16.115812301635742,46192,0.003016939,0.016634956,1650000,0.0,133.02339553833008,0.101044975,-0.0046748575,66,5.6761045,16500,0.0,0.527572
-13.82056999206543,46841,0.007878038,0.02741153,1675000,0.0,135.0277123451233,0.09460348,-0.0046267263,67,5.678445,16750,0.0,0.510156
