policy_loss,clipfrac,approxkl,total_timesteps,true_reward,policy_entropy,ep_len_mean,ep_reward_mean,value_loss,fps,n_updates,time_elapsed,explained_variance,serial_timesteps
-0.0018350432,0.02816,0.0030208149,1650000,-0.122796826,4.944745,35.89,0.40197752900304523,0.24319811,39135,66,64.66888356208801,0.8053274005651474,16500
-0.002271706,0.029768001,0.00311135,1675000,-0.12340375,4.9342856,34.95,0.44743040822098484,0.26171142,59249,67,65.7567355632782,0.7917618751525879,16750
-0.0027870624,0.028276002,0.003127131,1700000,-0.1261533,4.922143,34.76,0.4466239455743562,0.29124737,58519,68,66.56001400947571,0.776822105050087,17000
-0.0022092718,0.029232001,0.0030880494,1725000,-0.1228484,4.9111204,35.77,0.43875121386965477,0.31645274,58121,69,67.47354078292847,0.7595266103744507,17250
-0.0018754925,0.021072,0.0025254234,1750000,-0.12488355,4.900345,29.04,0.41730212823777946,0.29159313,58571,70,68.32505393028259,0.7789579033851624,17500
-0.002339394,0.030908,0.0033001688,1775000,-0.11955495,4.888328,35.57,0.555749975256258,0.2721914,61383,71,69.14130067825317,0.7935531884431839,17750
-0.0021449497,0.034812,0.0033877543,1800000,-0.122063845,4.877683,31.95,0.3665362626154956,0.30078378,58888,72,69.92857813835144,0.7773502171039581,18000
-0.0021795623,0.033127997,0.0034246177,1825000,-0.119449235,4.867076,35.82,0.5796137960113993,0.30540746,60822,73,70.73237657546997,0.7744033336639404,18250
-0.0026389495,0.038436003,0.0037808202,1850000,-0.116410725,4.856445,38.76,0.5754813790015396,0.31080967,48021,74,71.59669971466064,0.7740355134010315,18500
-0.0019826256,0.030360002,0.003191519,1875000,-0.112082824,4.8466954,35.68,0.5282819950013726,0.23972496,53674,75,72.6563355922699,0.8303906619548798,18750
-0.0019562605,0.021464,0.0027773092,1900000,-0.11184768,4.836753,36.35,0.6200716044099197,0.26041484,59627,76,73.55839896202087,0.8167329579591751,19000
-0.0024087639,0.03356,0.003558617,1925000,-0.11095583,4.826126,35.75,0.5677863808450161,0.24923286,55493,77,74.5214056968689,0.8282198756933212,19250
-0.0024930965,0.043848,0.0040500844,1950000,-0.11232127,4.816141,37.12,0.5510426946186908,0.27956614,55174,78,75.39288401603699,0.8088570982217789,19500
-0.0024159162,0.026016,0.0029814173,1975000,-0.1117272,4.8067036,37.12,0.5129827027253419,0.29063562,57040,79,76.315842628479,0.8028479218482971,19750
-0.0024017799,0.037544,0.0037877397,2000000,-0.11165298,4.7969017,35.27,0.5174967015630318,0.27994007,57449,80,77.23872661590576,0.8061459958553314,20000
-0.0025276765,0.047280002,0.0044930633,2025000,-0.10797747,4.785832,33.55,0.4205558392077182,0.27075362,59612,81,78.08294200897217,0.8186706155538559,20250
-0.0023091785,0.034528,0.0036054146,2050000,-0.10643837,4.7738543,35.65,0.42480134751663173,0.24523985,60990,82,78.90634083747864,0.8389896303415298,20500
-0.0022857457,0.040411998,0.0040134336,2075000,-0.101854466,4.7617035,38.43,0.5874135819771982,0.23577628,58890,83,79.70678400993347,0.845421314239502,20750
-0.0023078662,0.036299996,0.0037363947,2100000,-0.105808675,4.748869,37.31,0.5541947694831015,0.2779117,59603,84,80.53138709068298,0.8211802840232849,21000
-0.002053327,0.033095993,0.003421471,2125000,-0.10194623,4.737957,37.69,0.5671165957970333,0.27018526,49946,85,81.50875663757324,0.8276123404502869,21250
