explained_variance,policy_entropy,approxkl,serial_timesteps,n_updates,ep_reward_mean,ep_len_mean,policy_loss,clipfrac,fps,true_reward,time_elapsed,total_timesteps,value_loss
0.13749992847442627,5.677869,18419.47,7000,28,-38.43838050982915,17.64,0.06920036,0.446812,57731,-4.0529065,28.097065210342407,700000,10859.129
0.13312578201293945,5.678064,9378.359,7250,29,-50.5221340179909,18.34,0.045945015,0.2736,57626,-4.625841,28.9575138092041,725000,13899.281
0.11244714260101318,5.678268,454872.44,7500,30,-48.43974725935608,18.35,0.08470859,0.630128,60241,-3.8335066,29.82274866104126,750000,8515.09
0.13528531789779663,5.6784616,7432.4897,7750,31,-38.04586082261987,16.65,0.062846825,0.442748,59356,-5.0225377,30.660578727722168,775000,15491.15
0.13031387329101562,5.678569,11448.938,8000,32,-36.42884498726576,17.04,0.04884909,0.34235996,55122,-5.088824,31.50120449066162,800000,14689.3545
0.13701820373535156,5.678709,106179.65,8250,33,-34.41615321326768,17.3,0.053440798,0.46142402,58683,-4.591079,32.384278297424316,825000,10994.936
0.14565318822860718,5.678876,16255198.0,8500,34,-31.332647950369864,15.43,0.16363354,0.686376,58523,-4.7077227,33.21326518058777,850000,12932.927
0.18223506212234497,5.678933,125197.48,8750,35,-25.59628286245279,14.61,0.08624422,0.643304,57839,-3.144003,34.070186614990234,875000,4600.1396
0.20197135210037231,5.6790967,16450.232,9000,36,-28.54588780907914,14.94,0.042237654,0.43369198,58148,-3.1876037,34.93330144882202,900000,3401.8364
0.24580645561218262,5.6795363,5654.2046,9250,37,-28.333717275969683,14.54,0.0140587855,0.21900001,59451,-3.2015421,35.76794409751892,925000,3589.144
0.22602719068527222,5.6799526,29.151302,9500,38,-44.19477172229439,18.35,0.016304102,0.258596,57377,-3.1210723,36.621620178222656,950000,3117.7598
0.21482545137405396,5.6803503,5606.1377,9750,39,-37.561107562792024,15.24,0.02381272,0.338728,58917,-3.1404865,37.48645210266113,975000,3907.5254
0.22671616077423096,5.680923,87732.484,10000,40,-33.63234545759857,14.7,0.04543412,0.4189,57732,-3.0893793,38.335248947143555,1000000,2786.1584
0.23837053775787354,5.682203,102497.89,10250,41,-56.199423347106205,17.84,0.035634764,0.43158403,57794,-3.1825812,39.199357748031616,1025000,4513.216
0.24128353595733643,5.6832285,1913.6461,10500,42,-37.96556624850724,17.16,0.018364519,0.20225999,58068,-3.104065,40.05452847480774,1050000,3809.809
0.22690105438232422,5.683896,295.33267,10750,43,-53.15734281559242,16.2,0.047802635,0.41748,59045,-2.9286544,40.90459728240967,1075000,2369.9304
0.24828416109085083,5.685094,82109.65,11000,44,-21.6247733807005,13.8,0.037352104,0.3561,56856,-2.8480134,41.75078892707825,1100000,2783.9153
0.2665208578109741,5.686657,5501.3774,11250,45,-43.16533866307698,16.37,0.02056982,0.298904,58631,-2.8199522,42.62891912460327,1125000,2576.1694
0.23604857921600342,5.6886163,1782.3503,11500,46,-35.779777938677,17.9,0.13513288,0.571804,59224,-2.6493125,43.485350131988525,1150000,887.9652
0.22619688510894775,5.693589,407765.97,11750,47,-37.97468827276025,15.3,0.06373345,0.633804,59546,-4.1817884,44.33926463127136,1175000,14242.237
0.19412648677825928,5.696267,2329.5303,12000,48,-49.12617532328004,16.79,0.048904587,0.381908,57094,-4.904031,45.203757762908936,1200000,15487.216
0.1897425651550293,5.697259,1.3046166,12250,49,-46.62791863297578,16.28,0.029145723,0.084652,59075,-5.1170616,46.07127594947815,1225000,16677.527
0.2053430676460266,5.6977406,69.013794,12500,50,-63.3954045023839,17.84,0.023106327,0.125688,56623,-4.759696,46.927037477493286,1250000,14526.089
0.19239574670791626,5.6980224,54916.8,12750,51,-25.051888458514004,16.31,0.046608366,0.263236,57258,-4.9398427,47.80527448654175,1275000,15163.498
0.23275721073150635,5.69822,4180.005,13000,52,-74.51265258627828,20.65,0.030475494,0.21891601,56997,-4.40619,48.67096447944641,1300000,13760.177
0.25314533710479736,5.6983852,6.4724426,13250,53,-33.525222270945086,17.8,0.019802235,0.10777199,58326,-4.3889966,49.5592474937439,1325000,14054.953
0.24969756603240967,5.6986146,9.447865,13500,54,-61.66620717899874,18.85,0.016886195,0.09894399,57247,-4.444088,50.430139780044556,1350000,14142.742
0.2603567838668823,5.698732,1746.9541,13750,55,-64.40008416732104,18.96,0.030617803,0.25090402,57110,-4.455097,51.30744934082031,1375000,14845.744
0.24439138174057007,5.6988163,119281.73,14000,56,-39.505682543991135,18.93,0.04008331,0.24626002,44734,-4.197541,52.188568353652954,1400000,13342.987
0.23671871423721313,5.6989427,95476.31,14250,57,-57.6515352591849,16.78,0.037207313,0.268184,56923,-4.5621142,53.169804096221924,1425000,14720.705
0.20960676670074463,5.6991534,4679.9453,14500,58,-29.508633475276874,16.36,0.03661161,0.18884,57750,-4.910718,54.03542470932007,1450000,15218.435
0.20080143213272095,5.6993003,165.6634,14750,59,-28.932548552029473,16.54,0.026424695,0.10267601,57765,-5.099358,54.899595737457275,1475000,16623.996
0.20939600467681885,5.6994295,432357.1,15000,60,-22.942327930115862,16.56,0.114646636,0.49051604,58293,-5.0302567,55.74581336975098,1500000,15811.625
0.23787224292755127,5.699557,37083.367,15250,61,-42.54194221169688,16.51,0.049971472,0.467516,59280,-4.247714,56.60732579231262,1525000,13595.701
0.23927491903305054,5.6997075,188.82646,15500,62,-35.807332327925835,15.74,0.01888925,0.138116,58385,-3.7218325,57.470927476882935,1550000,10957.752
0.27902841567993164,5.699712,75.62999,15750,63,-66.81920779053122,16.11,0.014290603,0.109492004,59157,-4.1840024,58.34900403022766,1575000,15527.783
0.2636227011680603,5.6997404,75.30127,16000,64,-51.0683696156973,16.69,0.015374785,0.121032,57891,-3.7310698,59.209118127822876,1600000,12012.505
0.28379058837890625,5.6998215,25.506107,16250,65,-18.96037592298293,14.77,0.009663884,0.07352,59624,-4.174992,60.07240605354309,1625000,16348.216
0.27539461851119995,5.6999393,10708.618,16500,66,-30.084649302442557,15.67,0.026706517,0.230612,58719,-3.8892193,60.927407026290894,1650000,13432.047
0.3178071975708008,5.699992,5290.35,16750,67,-53.43576120592712,17.76,0.0119262505,0.189476,58198,-3.5353024,61.79527139663696,1675000,12548.855
0.3733069896697998,5.700082,98238.8,17000,68,-32.611224373590666,16.17,0.026246328,0.43415198,57163,-3.9797788,62.670732259750366,1700000,19474.566
0.3549470901489258,5.700177,7206.5703,17250,69,-80.44699567405041,18.04,0.013158804,0.25469598,59652,-4.040268,63.53195810317993,1725000,17541.494
0.30639684200286865,5.7002125,9993.256,17500,70,-56.114121909108945,16.55,0.019349173,0.167588,56715,-4.1901703,64.3702187538147,1750000,17708.03
0.24315297603607178,5.7003508,2532.7349,17750,71,-45.801354679490906,15.75,0.03630653,0.274756,57138,-4.1648827,65.2494466304779,1775000,13541.172
