total_timesteps,time_elapsed,fps,value_loss,ep_len_mean,policy_loss,policy_entropy,approxkl,serial_timesteps,explained_variance,true_reward,n_updates,ep_reward_mean,clipfrac
2275000,74.75324273109436,61494,1.1980741,118.05,-0.0022058021,3.4876587,0.008268486,22750,0.8221057206392288,0.14949393,91,18.89090186588466,0.104771994
2300000,75.53646779060364,61229,1.086572,126.1,-0.002710966,3.4812648,0.0054716207,23000,0.8389018028974533,0.1489334,92,20.12730057530105,0.064316
2325000,76.33314490318298,60733,1.2419369,122.31,-0.0024785332,3.4778562,0.0057255905,23250,0.8165376484394073,0.15019374,93,19.484782916530968,0.069876
2350000,77.12133026123047,62747,1.2974694,98.96,0.00018399574,3.4767704,0.0069214543,23500,0.822998508810997,0.14816734,94,15.78950640939176,0.08586401
2375000,77.90896153450012,62019,1.1338502,127.91,-0.0034378238,3.4742692,0.0049667796,23750,0.8287945091724396,0.15035899,95,20.633094315752388,0.057264
2400000,78.68334555625916,59975,1.1701103,108.29,-0.0039275317,3.4693112,0.005512027,24000,0.828590452671051,0.15042576,96,17.44636770233512,0.066516
2425000,79.48909735679626,61809,1.1461511,119.86,-0.0035959322,3.463039,0.0057098577,24250,0.8346450924873352,0.1491841,97,19.05416644945741,0.068211995
2450000,80.26733827590942,61036,1.1597536,127.6,-0.00058761577,3.4531486,0.005539879,24500,0.8212771415710449,0.15057026,98,20.43948664277792,0.065088
2475000,81.05143737792969,60404,1.0561056,137.56,-0.0031230696,3.443732,0.00515533,24750,0.8391411304473877,0.15068817,99,22.067504001930356,0.059632003
2500000,81.83503913879395,61902,1.1575834,133.01,-0.0037861094,3.4319916,0.00601677,25000,0.8311536610126495,0.15091316,100,21.33497469507158,0.073164
2525000,82.62438631057739,60809,1.1412451,128.31,-0.002551924,3.4198666,0.007817298,25250,0.8383211493492126,0.15013452,101,20.53697941735387,0.09850801
2550000,83.4195818901062,59077,1.1511145,122.75,-0.0021836786,3.4111023,0.005418117,25500,0.8362610787153244,0.14947955,102,19.610335409343243,0.063368
2575000,84.2290632724762,60497,1.0835403,135.06,0.00082549575,3.4047902,0.0087594595,25750,0.8394088000059128,0.14971764,103,21.441530114486813,0.112972
2600000,85.03857493400574,59944,1.2255315,122.8,-0.0033197526,3.4002724,0.0049871863,26000,0.825583353638649,0.14918138,104,19.672013487741353,0.055259995
2625000,85.85510635375977,60358,1.014301,154.59,-0.001818282,3.3964736,0.0047267764,26250,0.8381449282169342,0.1536266,105,24.85920819438994,0.053148
2650000,86.65377736091614,61366,1.0985904,144.15,-0.0010298436,3.3893268,0.0049010115,26500,0.8425529152154922,0.15005079,106,23.037553821504115,0.057204
2675000,87.43150901794434,60575,1.146394,133.57,-0.002621233,3.382195,0.0054562604,26750,0.842513307929039,0.15028344,107,21.325300533398988,0.064108
2700000,88.21750211715698,60123,1.0776451,145.36,-0.0020933766,3.3751876,0.0046238806,27000,0.8385747522115707,0.1518488,108,23.428848436698317,0.053556003
2725000,89.01291966438293,62461,1.2833595,147.65,-0.0023595889,3.3675358,0.00634409,27250,0.8140320032835007,0.15114734,109,23.554568940103053,0.07826801
2750000,89.79670691490173,60526,1.032777,161.74,-0.0013527768,3.3618007,0.005686365,27500,0.8366782665252686,0.15203014,110,25.849578226730227,0.070723996
2775000,90.59203219413757,59725,1.0163587,164.36,-0.0019711666,3.3576488,0.003766119,27750,0.8273964375257492,0.15376283,111,26.37997730560601,0.037127998
2800000,91.39499139785767,60961,1.1092287,156.92,-0.0020948204,3.3530183,0.005867819,28000,0.8308555632829666,0.15452133,112,25.552240964993835,0.06828799
2825000,92.19056630134583,60449,1.0058632,148.18,-0.003028235,3.3469658,0.004077578,28250,0.8533362001180649,0.15352455,113,24.090136487782,0.04448
2850000,92.98325943946838,60622,1.050088,169.73,-0.003094941,3.3374996,0.0061747595,28500,0.8383212387561798,0.15322627,114,27.495572131723165,0.073844
2875000,93.77004623413086,56145,1.0491164,170.1,-0.0009471086,3.328315,0.0068327608,28750,0.8402485549449921,0.15456276,115,27.528378984183075,0.081788
