fps,value_loss,policy_entropy,total_timesteps,time_elapsed,clipfrac,ep_reward_mean,policy_loss,ep_len_mean,true_reward,serial_timesteps,approxkl,explained_variance,n_updates
57058,0.06577211,1.4595906,1400000,50.04634475708008,0.04806,18.31723274905991,-0.0017213312,245.46,0.07355652,14000,0.00441642,0.8498043715953827,56
54029,0.07321048,1.4564726,1425000,50.83711051940918,0.055468,18.1794045906089,-0.0017175619,243.92,0.072865956,14250,0.005066541,0.8980384320020676,57
57359,0.0028297708,1.451421,1450000,51.68453931808472,0.026731998,18.525385118125396,-0.0016559216,250.0,0.07410154,14500,0.0031238478,0.9856009846553206,58
59150,0.021232106,1.4431045,1475000,52.49080204963684,0.038408,18.326879221814362,-0.0028578548,248.34,0.07324061,14750,0.0038236515,0.9445026740431786,59
51930,0.032731004,1.4349432,1500000,53.270437240600586,0.172552,18.30858463445078,-9.484937e-05,248.52,0.07315275,15000,0.013209492,0.8876036033034325,60
58980,0.055000108,1.4299805,1525000,54.12173271179199,0.055588007,17.889854404802435,-0.0013720111,244.1,0.07165358,15250,0.0050029894,0.9401656426489353,61
56374,0.038506627,1.4272063,1550000,54.923555850982666,0.074103996,18.371658152478393,-0.0017534919,246.38,0.07349392,15500,0.0059456597,0.9228278547525406,62
59057,0.041428197,1.4243069,1575000,55.741294622421265,0.058472,18.180521016947605,-0.0022582072,246.25,0.072822414,15750,0.005123734,0.9237060099840164,63
57031,0.007293062,1.4208158,1600000,56.54016709327698,0.032792002,18.674822361254538,-0.002174273,250.0,0.07469929,16000,0.0035587265,0.9618023484945297,64
58825,0.0033767528,1.4144814,1625000,57.32465696334839,0.043972,18.720592265227168,-0.0018364989,250.0,0.074882366,16250,0.004364995,0.9777513239532709,65
58447,0.0018512206,1.4059339,1650000,58.11797380447388,0.049815997,18.6195973883423,-0.0019937719,250.0,0.07447839,16500,0.004568487,0.9881245736032724,66
49373,0.0020872941,1.3964407,1675000,58.92366647720337,0.055028003,18.3419425301593,-0.0012805078,250.0,0.073367774,16750,0.0049270554,0.9889939036220312,67
57859,0.001552597,1.3866736,1700000,59.77752995491028,0.054956,18.83791080803236,-0.0013615265,250.0,0.07535164,17000,0.004830773,0.9893992701545358,68
56148,0.016573627,1.3769879,1725000,60.566636085510254,0.061636,18.682681361071253,-0.0019559064,247.82,0.07482408,17250,0.0056990953,0.9460445940494537,69
49447,0.0032504103,1.3692952,1750000,61.37026524543762,0.072188,18.413886932367895,-0.00076548866,250.0,0.073655546,17500,0.006095085,0.9851772338151932,70
57827,0.0017002781,1.3605186,1775000,62.236982583999634,0.034888003,18.585182361626348,-0.0021371834,250.0,0.07434073,17750,0.0038927298,0.991208472289145,71
57490,0.0023639337,1.3498647,1800000,63.045510053634644,0.052160006,18.699191727750875,-0.0013961052,250.0,0.074796766,18000,0.0046427967,0.9869497306644917,72
47052,0.0016277935,1.3396429,1825000,63.836883783340454,0.073800005,18.605078770723775,-0.00043024588,250.0,0.07442031,18250,0.0058046556,0.9917286671698093,73
59313,0.024258627,1.3315299,1850000,64.71926927566528,0.049308,18.59666368708524,-0.0024496347,247.65,0.07456014,18500,0.004495538,0.9196374714374542,74
43991,0.014642549,1.3257515,1875000,65.51937174797058,0.048384,18.564213274315616,-0.0025445942,247.79,0.07435548,18750,0.004507494,0.9571540094912052,75
59050,0.074436426,1.3202263,1900000,66.47024059295654,0.084759995,18.267883907590367,-0.0022177335,244.06,0.07323664,19000,0.006643678,0.9178943336009979,76
58041,0.08969395,1.3161906,1925000,67.25520086288452,0.055944003,18.284248182572775,-0.0024077143,244.53,0.07310744,19250,0.005050092,0.8904240801930428,77
55983,0.039359815,1.3118608,1950000,68.05281686782837,0.07182799,18.54346415422231,-0.001909948,248.45,0.07407622,19500,0.00589013,0.9088588356971741,78
58117,0.041679733,1.3070219,1975000,68.85674953460693,0.07047601,18.42400968277405,-0.0022955255,246.23,0.07375434,19750,0.0059093214,0.918226532638073,79
52029,0.044269778,1.3046696,2000000,69.65640711784363,0.041796003,18.55757534214237,-0.0027409256,248.48,0.0741289,20000,0.0041388078,0.8974292054772377,80
58129,0.0037999838,1.302037,2025000,70.50904440879822,0.09138,18.349581704848607,0.0002685243,250.0,0.07339832,20250,0.0070155635,0.9841550141572952,81
48157,0.002121231,1.2968619,2050000,71.30451321601868,0.032576,18.511299798465117,-0.0023697363,250.0,0.0740452,20500,0.003695767,0.9886076338589191,82
58471,0.017247668,1.2873256,2075000,72.17241215705872,0.045988,18.791614464013545,-0.0018080563,248.34,0.07510605,20750,0.0045165964,0.9504230357706547,83
57867,0.02440604,1.2790352,2100000,72.96232914924622,0.06532,18.541754494426712,-0.0016024515,247.74,0.07432225,21000,0.0053957794,0.9350290149450302,84
57183,0.0026345528,1.2705638,2125000,73.75577926635742,0.036616,18.82570011737087,-0.0021055988,250.0,0.0753028,21250,0.0037329823,0.9848442208021879,85
55020,0.0018310959,1.257885,2150000,74.55589699745178,0.042003997,18.65038440950673,-0.0020841314,250.0,0.07460153,21500,0.004176625,0.9891667682677507,86
56632,0.025943179,1.2444384,2175000,75.36491513252258,0.030708,18.42796212830799,-0.0021014276,248.45,0.073629834,21750,0.0033743493,0.9179085046052933,87
58497,0.0018630618,1.2346343,2200000,76.18230652809143,0.070264,18.84050449467918,-0.00061923853,250.0,0.07536202,22000,0.006144664,0.9886940093711019,88
58423,0.0026485836,1.22585,2225000,76.99016833305359,0.046283998,18.80959681583372,-0.0026721354,250.0,0.07523839,22250,0.004365539,0.9850361626595259,89
55986,0.0017249755,1.2160828,2250000,77.78123879432678,0.076196,18.776075471097382,-0.0014331023,250.0,0.0751043,22500,0.0061201937,0.9903099173679948,90
56957,0.023690194,1.2065779,2275000,78.60593938827515,0.081712,18.762311653959625,-0.0018688396,248.48,0.074971564,22750,0.006553667,0.9257305338978767,91
52059,0.003052228,1.2002428,2300000,79.40615725517273,0.08347999,18.674273861342808,-0.0005818866,250.0,0.07469709,23000,0.006590566,0.9848573971539736,92
55175,0.0024850052,1.1935318,2325000,80.24220585823059,0.081011996,19.065457185833075,0.0010664953,250.0,0.076261826,23250,0.0064368127,0.9889970645308495,93
58051,0.06165161,1.1874444,2350000,81.05663633346558,0.15398,18.47987695678428,-0.0017182317,246.85,0.07380562,23500,0.011089461,0.8510678261518478,94
57694,0.002222138,1.1816736,2375000,81.84394884109497,0.044051997,18.884259846482202,-0.0019416234,250.0,0.07553704,23750,0.004327385,0.9876420889049768,95
58085,0.030455228,1.1733749,2400000,82.64386415481567,0.105108,18.678734779810622,-0.0007528198,248.51,0.07462482,24000,0.008016112,0.9151010513305664,96
57054,0.0019118751,1.1645781,2425000,83.43915939331055,0.029128,18.833370088542978,-0.002090313,250.0,0.07533348,24250,0.0033124567,0.9901125011965632,97
57882,0.0015391811,1.1524189,2450000,84.22808003425598,0.031199997,18.584166630368127,-0.0021897831,250.0,0.07433667,24500,0.003540496,0.9924516016617417,98
57966,0.001694045,1.1402115,2475000,85.02220129966736,0.043716,18.736805874761195,-0.00186419,250.0,0.07494722,24750,0.0043032565,0.9908626610413194,99
45265,0.0017812488,1.1280403,2500000,85.80476689338684,0.047036,18.545457586092525,-0.0022674096,250.0,0.074181825,25000,0.004643612,0.9921065410599113,100
57964,0.0025812737,1.117325,2525000,86.73367714881897,0.06816,18.718457572710758,-0.0010315654,250.0,0.07487383,25250,0.0056532053,0.9888156363740563,101
58263,0.0016737774,1.1087637,2550000,87.53029417991638,0.071844004,18.630555304451025,8.587688e-05,250.0,0.07452222,25500,0.0058066784,0.9923720173537731,102
56822,0.0013365499,1.0999874,2575000,88.30345273017883,0.059795998,18.88507170296158,-5.5439934e-05,250.0,0.07554029,25750,0.005254142,0.9930241731926799,103
58576,0.026543096,1.089601,2600000,89.12952494621277,0.058455996,18.483824493728026,-0.0014428693,247.74,0.07410044,26000,0.005094116,0.9334294721484184,104
55721,0.028734218,1.0818756,2625000,89.94252419471741,0.065504,18.711611740209918,-0.0017666796,247.69,0.075002484,26250,0.0057689855,0.9076631218194962,105
57241,0.001505242,1.0761378,2650000,90.7506468296051,0.053472,18.77277488955151,-0.0012513067,250.0,0.0750911,26500,0.0049863593,0.9927387209609151,106
56921,0.001458947,1.0682963,2675000,91.55153965950012,0.04248,19.100403399546085,-0.0012642511,250.0,0.07640161,26750,0.0041698366,0.9915361050516367,107
57300,0.0044338237,1.0590705,2700000,92.34892511367798,0.058911998,18.73112777930641,-0.0010625805,250.0,0.07492451,27000,0.0051252414,0.979917062446475,108
57693,0.0012827811,1.050829,2725000,93.14129900932312,0.056640007,18.920080924030046,-0.0007171199,250.0,0.07568032,27250,0.0049444437,0.9927169317379594,109
52771,0.0014185464,1.0427076,2750000,93.94143867492676,0.048248,18.88495489659108,-0.0009389327,250.0,0.07553982,27500,0.0046272,0.9925830690190196,110
58674,0.06042371,1.0351155,2775000,94.76631712913513,0.154616,18.48488858699242,-0.0015201329,245.52,0.07421964,27750,0.01128036,0.885625958442688,111
57514,0.0018265264,1.0298325,2800000,95.55859398841858,0.032556,19.026639438933053,-0.001957336,250.0,0.076106556,28000,0.0036331085,0.9910548711195588,112
