fps,value_loss,policy_entropy,total_timesteps,n_updates,true_reward,clipfrac,serial_timesteps,ep_reward_mean,policy_loss,ep_len_mean,time_elapsed,approxkl,explained_variance
57709,0.18822613,5.314097,2175000,87,-0.040929213,0.13742402,21750,1.1525586239996484,0.0063664494,23.87,78.87869262695312,0.023726892,0.7397642731666565
58195,0.17592618,5.3051295,2200000,88,-0.040597443,0.14296,22000,0.9051827651222993,0.005727882,19.79,79.73729252815247,0.016669232,0.7413012683391571
57959,0.16735667,5.2964115,2225000,89,-0.038070243,0.077004,22250,1.1254583234774804,-6.6665314e-05,25.71,80.60562109947205,0.010060793,0.749787837266922
59185,0.17090398,5.281493,2250000,90,-0.040122822,0.17339602,22500,1.1881491949877818,0.006987513,24.03,81.46292543411255,0.0493838,0.749291718006134
57851,0.15861332,5.2678294,2275000,91,-0.038998116,0.119284,22750,1.0051114226232312,0.0031127415,22.36,82.30564641952515,0.031108728,0.7592508643865585
59272,0.17708707,5.255681,2300000,92,-0.037387855,0.15061599,23000,1.3185181566947086,0.0044974806,27.01,83.16714453697205,0.022184033,0.751277357339859
58423,0.16690621,5.2474318,2325000,93,-0.038077656,0.17401199,23250,1.1147445243208676,0.008170182,20.82,84.03072762489319,0.030085469,0.7572903037071228
59568,0.16277906,5.2396345,2350000,94,-0.03661316,0.13874799,23500,1.107337246453044,0.0030507003,23.83,84.88592600822449,0.03427953,0.7707631140947342
59204,0.16242513,5.226416,2375000,95,-0.03865134,0.11293198,23750,1.1012749410150355,0.0015738985,20.74,85.72773385047913,0.013913706,0.7659055888652802
58360,0.1627707,5.213049,2400000,96,-0.037654575,0.17618802,24000,1.1337221554100687,0.008356063,24.0,86.56849837303162,0.028799366,0.7674590200185776
58200,0.15844694,5.202772,2425000,97,-0.037396953,0.22976398,24250,1.2610880341102166,0.0132612735,26.49,87.42913007736206,0.042625584,0.7785654366016388
59486,0.17325646,5.197821,2450000,98,-0.03713736,0.21493599,24500,1.0710080997395561,0.016019162,23.29,88.28484272956848,0.05838163,0.7692644745111465
58214,0.157165,5.192603,2475000,99,-0.038420055,0.14519998,24750,1.0364162127206509,0.0047864034,22.86,89.14398765563965,0.052310504,0.7680663019418716
58632,0.15367359,5.183503,2500000,100,-0.036587924,0.10912,25000,1.1778877822108007,0.0037180022,24.92,90.02466368675232,0.02732279,0.7756238579750061
57643,0.15293482,5.1765733,2525000,101,-0.038042955,0.101932004,25250,1.0841606906790549,0.0012906105,22.71,90.89319348335266,0.016441396,0.7681319862604141
58480,0.15793976,5.1694603,2550000,102,-0.038066417,0.229248,25500,1.0863555090178851,0.013308403,24.31,91.76300930976868,0.050525926,0.7783936113119125
58494,0.16417964,5.1642394,2575000,103,-0.03809952,0.121396005,25750,1.063357785379303,0.0032345098,23.52,92.61301183700562,0.019828051,0.7768711298704147
58651,0.16069818,5.159589,2600000,104,-0.036614522,0.131664,26000,1.2489645241757534,0.003730156,27.34,93.46664786338806,0.026284913,0.7886384576559067
58955,0.16669278,5.1570253,2625000,105,-0.03574352,0.146932,26250,1.3252439139639318,0.0068629966,28.05,94.31758832931519,0.035069965,0.7927047163248062
57347,0.16906974,5.1540084,2650000,106,-0.035564322,0.084816,26500,1.1756838660796893,-0.0003263286,23.4,95.15708756446838,0.008781303,0.786763921380043
58289,0.16931364,5.14602,2675000,107,-0.037448958,0.123492,26750,1.2806562637511525,0.0026974967,24.61,96.02104067802429,0.021917883,0.7958738654851913
57539,0.1688681,5.138438,2700000,108,-0.036258668,0.23182797,27000,1.1097307582481881,0.012127755,21.41,96.8813304901123,0.030679772,0.7911805659532547
57670,0.17176408,5.1333094,2725000,109,-0.035236392,0.20664398,27250,1.2421005523919302,0.012016066,25.98,97.74725890159607,0.056660622,0.7903754264116287
58528,0.16093168,5.129136,2750000,110,-0.035768453,0.3251,27500,1.2080778610628478,0.02827749,26.66,98.60854244232178,0.07097177,0.7982455193996429
57968,0.16109927,5.127161,2775000,111,-0.036835797,0.157724,27750,1.174839032094751,0.0037890046,24.46,99.45771098136902,0.015350255,0.7923698276281357
58767,0.16904777,5.1247416,2800000,112,-0.037505656,0.19224,28000,1.025513116475397,0.008945707,22.28,100.31760859489441,0.034622125,0.7882337272167206
58889,0.15589501,5.123626,2825000,113,-0.036857482,0.11600399,28250,1.1164920769536821,0.0023003973,23.68,101.16853213310242,0.01350691,0.7880010306835175
57719,0.14661464,5.12447,2850000,114,-0.038449932,0.209432,28500,1.259524256399182,0.009762031,26.44,102.01950812339783,0.03177659,0.7911230027675629
57817,0.14369024,5.120058,2875000,115,-0.036718883,0.243112,28750,1.293160482956373,0.012962651,26.24,102.88673663139343,0.03497539,0.795902281999588
58283,0.15502134,5.113635,2900000,116,-0.036197975,0.13646398,29000,1.2349338188397088,0.0031353277,25.63,103.73996067047119,0.018440174,0.7876123934984207
58603,0.16061464,5.105617,2925000,117,-0.0353952,0.11300399,29250,1.1702875266051525,0.0016514354,22.4,104.57993936538696,0.0124494955,0.7918299287557602
