total_timesteps,n_updates,clipfrac,policy_entropy,approxkl,true_reward,explained_variance,ep_len_mean,policy_loss,time_elapsed,fps,ep_reward_mean,serial_timesteps,value_loss
6125000,245,0.071224004,2.4692783,0.005992877,0.010009089,0.8824727311730385,234.92,-0.0027077445,211.22484064102173,53796,3.175488974203854,61250,0.103977524
6150000,246,0.06566,2.4687307,0.005436131,0.010526499,0.9493840597569942,243.04,-0.0018565558,212.07241535186768,57805,3.155839576702881,61500,0.041722037
6175000,247,0.073319994,2.467031,0.0057557323,0.010477961,0.9156576469540596,237.92,-0.001987935,212.87993049621582,55834,3.274032290991069,61750,0.06919405
6200000,248,0.078408,2.467027,0.006169813,0.011131148,0.9781187120825052,245.58,-0.002646768,213.69842052459717,56582,3.389444617395702,62000,0.021520648
6225000,249,0.051159997,2.4655688,0.004511627,0.010042062,0.9231367781758308,241.05,-0.001639279,214.52762722969055,54097,3.299980366852277,62250,0.07300228
6250000,250,0.054932,2.4682698,0.0048026405,0.010585585,0.9709728471934795,246.65,-0.0011362784,215.37034130096436,55438,3.1674982207711575,62500,0.022317559
6275000,251,0.057499997,2.4648557,0.005028365,0.011759447,0.8849522173404694,244.34,-0.0026053372,216.21544766426086,55861,3.387593475405312,62750,0.0783854
6300000,252,0.058332004,2.46242,0.005072949,0.012268849,0.9537878409028053,246.11,-0.0015046761,217.0333731174469,57031,3.3737989841281477,63000,0.028623605
6325000,253,0.10170001,2.4607058,0.0076295896,0.011307076,0.9376420266926289,243.37,-0.0018463165,217.85837650299072,57230,3.3716488055238587,63250,0.056648113
6350000,254,0.049487997,2.4602962,0.004524327,0.011977903,0.967225931584835,245.53,-0.0019141972,218.6717653274536,56839,3.352239264363914,63500,0.02385175
6375000,255,0.058332004,2.4597516,0.004949879,0.011569396,0.9470020942389965,245.05,-0.0026407293,219.48390579223633,57220,3.2543029685657494,63750,0.03243359
6400000,256,0.10967599,2.4546413,0.00850237,0.0109301675,0.9538103342056274,242.84,-0.0016839753,220.29602193832397,55109,3.301661982962037,64000,0.043019988
6425000,257,0.081875995,2.4487681,0.0066239303,0.010936878,0.9385542087256908,241.49,-0.002309023,221.13822054862976,48852,3.3389982114100256,64250,0.062902726
6450000,258,0.056727998,2.4433327,0.0048428224,0.011075466,0.7541911900043488,237.27,-0.0015135513,222.029780626297,55474,3.3871592715711194,64500,0.15070912
6475000,259,0.079504,2.4402719,0.0062779747,0.010487783,0.8967874273657799,237.74,-0.0026367425,222.8813693523407,54952,3.292212591140202,64750,0.086664006
6500000,260,0.04402,2.4390812,0.0040087784,0.010344982,0.9229249432682991,236.63,-0.0015690697,223.71383142471313,55974,3.294135384467727,65000,0.07300087
6525000,261,0.096752,2.4354062,0.0074480698,0.010986103,0.9656186550855637,243.63,-0.00091934076,224.53826260566711,54704,3.327164136262583,65250,0.02882355
6550000,262,0.044448,2.43262,0.0041708667,0.009939418,0.8886244967579842,233.53,-0.0020883693,225.368506193161,57210,3.2887203590725447,65500,0.11012975
6575000,263,0.065628,2.4357972,0.0053387354,0.010113362,0.908725343644619,242.22,-0.002158611,226.18908190727234,57245,3.3366231288460857,65750,0.091798544
6600000,264,0.080212004,2.4422867,0.006332209,0.012842953,0.940527331084013,249.18,-0.0015285581,226.99643754959106,55220,3.3003359329439697,66000,0.03694385
6625000,265,0.08054,2.444796,0.006221785,0.010351825,0.9576348401606083,242.03,-0.0019010439,227.83062958717346,56540,3.268666711754993,66250,0.044761438
6650000,266,0.048776,2.4446063,0.0044044107,0.011842058,0.889904260635376,245.31,-0.0015972201,228.66028261184692,57892,3.338658674736312,66500,0.0573667
6675000,267,0.050567996,2.442202,0.004567879,0.011496767,0.8775417506694794,239.93,-0.0017202825,229.47385334968567,57134,3.230511583587386,66750,0.075989455
6700000,268,0.050019998,2.4374619,0.0044356044,0.010522383,0.9687672033905983,244.22,-0.0022555809,230.3019199371338,55622,3.332067127854366,67000,0.03556233
6725000,269,0.070011996,2.434456,0.005719926,0.009082472,0.883357360959053,239.44,-0.0024581493,231.13301396369934,56008,3.2247191839070837,67250,0.11379472
6750000,270,0.079932,2.4297576,0.0062754923,0.01076902,0.9131488725543022,239.33,-0.0019504719,231.97073650360107,57237,3.4737242173267946,67500,0.09330264
6775000,271,0.046144,2.428639,0.004227957,0.010551605,0.9651660583913326,240.5,-0.0023569125,232.79446864128113,57122,3.2708582028446425,67750,0.039417896
6800000,272,0.07036801,2.4288487,0.0058056,0.011436702,0.964707225561142,247.04,-0.0014923867,233.61512184143066,57644,3.274403626797584,68000,0.022060683
6825000,273,0.065564,2.4277432,0.005405438,0.010478505,0.8345290869474411,238.61,-0.0014087266,234.42195415496826,55662,3.238513443966234,68250,0.10635157
6850000,274,0.063836,2.4282985,0.005406079,0.011942143,0.8115099966526031,235.45,-0.001168858,235.25304579734802,55288,3.43345601640197,68500,0.11289104
6875000,275,0.060380004,2.4300513,0.0050302953,0.010516703,0.9318127632141113,242.05,-0.0018680334,236.08647561073303,53858,3.274742501208984,68750,0.054951213
6900000,276,0.058188,2.4302838,0.00490061,0.008115747,0.850855827331543,235.1,-0.0020978923,236.9338207244873,56545,2.9250306351220763,69000,0.13677065
6925000,277,0.062243998,2.4317434,0.0053082183,0.011013003,0.8587764352560043,236.79,-0.0017508898,237.73163437843323,56937,3.2535375633611237,69250,0.12408136
6950000,278,0.055992,2.4331567,0.0050418116,0.011926335,0.9693180024623871,245.52,-0.0023764179,238.54211354255676,56531,3.3609822462393377,69500,0.021434717
6975000,279,0.053924,2.4363055,0.00473075,0.0113212215,0.9435264728963375,243.43,-0.0022693377,239.3763291835785,57559,3.3464862254370087,69750,0.04397264
7000000,280,0.118159994,2.4373798,0.009593389,0.010207473,0.9236179515719414,242.24,-0.0016075015,240.20427870750427,57380,3.272216411972325,70000,0.075900786
7025000,281,0.059543997,2.436592,0.0050459844,0.0113202315,0.9166494160890579,243.91,-0.0021006465,241.02420592308044,54573,3.3965015844020865,70250,0.063320465
7050000,282,0.08894,2.4333897,0.0068204007,0.01125509,0.9163637906312943,243.22,-0.001504992,241.8700430393219,53354,3.1732260256526352,70500,0.05361116
7075000,283,0.088136,2.4284158,0.0067217113,0.009743541,0.8977381139993668,242.33,-0.0019922392,242.72225975990295,56730,3.0552725179104563,70750,0.085846186
7100000,284,0.06232,2.4266644,0.005210816,0.01104371,0.9741351287811995,244.19,-0.0018626027,243.53053784370422,55798,3.206047829098111,71000,0.021572247
7125000,285,0.074807994,2.4232118,0.0062190495,0.013573576,0.9053381383419037,247.52,-0.001846831,244.36333465576172,53908,3.46109695665849,71250,0.038163178
7150000,286,0.072484,2.4203858,0.005957725,0.012128199,0.9785378146916628,249.07,-0.0017759555,245.2179160118103,57294,3.135724649043951,71500,0.009061145
7175000,287,0.05628,2.4197507,0.004935015,0.013933087,0.9864367339760065,249.2,-0.0020642304,246.04437065124512,57730,3.600301505562777,71750,0.0060796724
7200000,288,0.081347995,2.4173756,0.006416717,0.009691903,0.9221340045332909,243.16,-0.0014054452,246.85802125930786,57103,3.2283166675366317,72000,0.08295073
7225000,289,0.123332,2.416705,0.009527477,0.012244479,0.8735046237707138,245.63,-0.0015870944,247.66413807868958,55973,3.294012030100805,72250,0.057726838
7250000,290,0.05152,2.4160476,0.0045536747,0.011758291,0.9822025075554848,246.36,-0.0021835938,248.4947578907013,56188,3.432808144281953,72500,0.013835083
7275000,291,0.099032,2.4136565,0.007540919,0.0125880735,0.9526201374828815,247.38,-0.0013819194,249.3199601173401,55180,3.439650424312142,72750,0.026436698
7300000,292,0.0824,2.411452,0.0064863563,0.0110490555,0.9353598356246948,244.04,-0.0020761457,250.15078020095825,55750,3.324115034368201,73000,0.06125363
7325000,293,0.083292,2.407368,0.0065227947,0.012238805,0.9304410070180893,245.14,-0.001395435,250.98008012771606,56309,3.4330743893878504,73250,0.051571023
7350000,294,0.045868002,2.4033375,0.0043159416,0.012617087,0.9324212819337845,243.86,-0.0016059665,251.78374218940735,56686,3.364059610954032,73500,0.03791846
7375000,295,0.051116,2.400784,0.0047058496,0.012136609,0.9741471372544765,246.17,-0.0026404958,252.59978461265564,56218,3.327801221784789,73750,0.014845671
7400000,296,0.050303996,2.399818,0.0045561283,0.013119408,0.9745119288563728,248.44,-0.001847171,253.4280617237091,50132,3.4820734853359205,74000,0.012098701
7425000,297,0.053292,2.3939984,0.0046381364,0.011054572,0.9299112185835838,241.03,-0.002037411,254.31184554100037,55551,3.3895422445144696,74250,0.063696966
7450000,298,0.081039995,2.3915217,0.006304787,0.011321775,0.9169437363743782,242.8,-0.0020313864,255.13588070869446,54744,3.227360314600188,74500,0.05273155
7475000,299,0.083928004,2.3948848,0.0067103133,0.010981565,0.9100914895534515,237.21,-0.0022005853,255.97246646881104,54236,3.406425644564586,74750,0.08787909
7500000,300,0.10266,2.4005713,0.0075854375,0.0094619375,0.8977963402867317,240.25,-0.0013455875,256.8052999973297,53571,3.1499406383129336,75000,0.0969697
7525000,301,0.057340004,2.4016006,0.004935995,0.011718369,0.9347157031297684,242.23,-0.0013248504,257.6509118080139,54604,3.234075010389879,75250,0.042838186
7550000,302,0.059516,2.396956,0.0050384393,0.0114046605,0.9340925142168999,242.94,-0.0024169402,258.4883530139923,56320,3.3729595770477316,75500,0.051822174
